"scope_id","printed_range","body_page_keys","closed_on_controlling_record","active_or_open_page_keys","audit_tier","controlling_status","controlling_evidence","next_action"
"P13","235-257","23","23","0","A_current_head_wholepaper_multi_pass","closed whole-paper current-head best-available audit","Whole-paper current-head audit rows and later source-backed patch survival","Reopen only on concrete source contradiction"
"P14","182-203","22","22","0","B_historical_audit_exact_current_span","closed imported complete-page audit with live span equal to post-R804 v11","P14 page visual dispositions plus exact current-span comparison","Reopen only on concrete source contradiction"
"P15","138-156","19","19","0","B_historical_audit_exact_current_span","closed imported complete-page audit with live span equal to R796","P15 R780 page audit plus exact current-span comparison","Reopen only on concrete source contradiction"
"P16","25-30","6","6","0","B_historical_audit_exact_current_span","closed historical page audit plus exact current span survival","Canonical page-QC rows and exact-span survival record","Reopen only on concrete source contradiction"
"P17","1-35","35","35","0","B_historical_audit_exact_current_span","closed historical page audit plus current-span survival and direct guardrail correction","Canonical page-QC rows and exact-span survival record","Reopen only on concrete source contradiction"
"P18","101","1","1","0","A_current_head_complete_page","closed complete-page source reopen and exact span survival","Current-head complete-page source row","Preserve recorded notation and date controls"
"P19","24-66","43","43","0","A_current_head_wholepaper_multi_pass","closed whole-paper multi-pass current-head audit","Whole-paper page audit and current source-adjudicated rows","Reopen only on concrete source contradiction"
"P20","26-33","8","8","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P21","68-71","4","4","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page rows and prime-locus negative control","Reopen only on concrete source contradiction"
"P22","53-79","27","27","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P23","177-184","8","8","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P24","229-261","33","33","0","A_current_head_complete_page","closed complete-page source checked with punctuation guardrails","Canonical current-head page rows and P24 reconciliation","Reopen only on concrete source contradiction"
"P25","116-120","5","5","0","A_current_head_complete_page","closed body; 1924 versus 1925 metadata convention held explicitly","Canonical current-head page rows and source-error apparatus","Resolve catalog convention only if stronger bibliographic authority is adopted"
"P26","102","1","1","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page row","Reopen only on concrete source contradiction"
"P27","101","1","1","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page row","Reopen only on concrete source contradiction"
"P28","144","1","1","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page row","Reopen only on concrete source contradiction"
"P29","28-35","8","8","0","A_current_head_complete_page","closed complete-page source checked with shared-footnote apparatus repaired","Current-head page rows and shared-footnote render check","Reopen only on concrete source contradiction"
"P30","26-61","36","36","0","A_current_head_complete_page","closed complete-page source checked after survival repair","Current-head complete-page rows and native IA witness controls","Reopen only on concrete source contradiction"
"P31","82-104","23","23","0","A_current_head_complete_page","closed best-available current-head full-paper canonical reaudit","P31 full-paper canonical reaudit and compile/render check","Reopen only on concrete source contradiction"
"P32","221-228","8","8","0","A_current_head_multi_pass","closed current second pass with source-backed repairs","Multi-pass current page rows and survival checks","Reopen only on concrete source contradiction"
"P33","71-73","3","3","0","A_current_head_second_pass","closed second pass with no secure mathematical delta","P33 independent current-head pass in v18","Reopen only on concrete source contradiction"
"P34","641-692","53","53","0","A_current_head_complete_page","closed continuous current-head full-page audit through end boundary","LocalCodex v18-v20 pp641-692 audit; supersedes stale active-p672 row","Ignore obsolete active-p672 status unless new source evidence appears"
"P35","65-72","8","8","0","A_current_head_complete_page","closed current-head complete-paper mathematical audit","LocalCodex v21 full-paper audit and guardrails","Reopen only on concrete source contradiction"
"P36","17","1","1","0","A_current_head_complete_page","closed original-page source confirmed","Canonical current-head page row","Reopen only on concrete source contradiction"
"P37","147-152","6","6","0","A_current_head_complete_page","closed current-head full-page source checked","Canonical current-head page rows and restored omitted material","Reopen only on concrete source contradiction"
"P38","399-404","6","6","0","A_current_head_complete_page","closed current-head full-page source checked","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P39","189-194","6","6","0","A_current_head_complete_page","closed body with explicit bibliographic apparatus","Canonical current-head page rows and 134-to-34 apparatus ruling","Preserve diplomatic 134 unless reader apparatus policy changes"
"P40","514-541","28","28","0","A_current_head_complete_page","closed complete-page source checked best available","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P41","411-419","9","9","0","A_current_head_complete_page","closed current-head full-page source checked with glyph guard","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P42","5-15","11","11","0","A_current_head_complete_page","closed current-head full-page source checked with glyph guard","Canonical current-head page rows","Reopen only on concrete source contradiction"
"P43","1-21","21","21","0","A_current_head_complete_page","closed current-head complete-page source checked","Canonical current-head page rows","Reopen only on concrete source contradiction"
"TAIL","711-777","67","67","0","A_current_head_complete_page","closed complete-page current-head audit across all collected-volume tail pages","Tail pp711-746 pp747-764 and pp765-777 complete-page audits","Reopen only on concrete source contradiction"
