marker_uid,concept,lane,language,marker,evidence_channel,base_weight,source_use,risk_flags,main_sources,source,note
MK6_2_000014,ring,pan_romance,ro,inele,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000015,ring,pan_romance,rm,rintg,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000016,ring,controlled_arabic,ar,حلقة,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000017,ring,persianate,fa,حلقه,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000018,ring,malay_indonesian,my_id,gelanggang,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000019,ring,cjk,ja,環,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000020,ring,cjk,ko,환,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000021,quotient field,slavic_east,uk,поле часток,sourcebody_internal_candidate,0.2,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000022,quotient field,slavic_east,ru,поле частных,sourcebody_internal_candidate,0.2,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000023,quotient field,interslavic,isv,polje kvocientov,sourcebody_internal_candidate,0.2,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000024,quotient field,interslavic,isv_cyr,поље квоциентов,sourcebody_internal_candidate,0.2,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000025,quotient field,slavic_west,cs,cs podílové těleso [C],competitor,0.75,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000026,quotient field,slavic_west,pl,pl ciało ułamków [C],competitor,0.75,,review_priority; WS_competitor_only_one_branch; internal_variance,ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_uj_algebra1_noetherian.txt,marker_table_v3_3,
MK6_2_000027,corollary,slavic_east,uk,додаток,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000028,corollary,slavic_east,ru,дополнение,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000029,corollary,slavic_west,cs,důsledek [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000030,corollary,slavic_west,pl,wniosek [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000031,corollary,slavic_south,hr_sr,≈Dedekindov poslědok I/II [S]; posljedica [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000032,corollary,slavic_south,bg,edstvie [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000033,corollary,controlled_arabic,ar,نتيجة,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000034,corollary,persianate,fa,نتیجه,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000035,corollary,malay_indonesian,my_id,akibat/korolari,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti consequence rows; UM terminology rows; pl:polish_mimuw_algebra2_galois.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2,marker_table_v3_3,
MK6_2_000036,theorem,slavic_east,uk,Теорема I,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
MK6_2_000037,theorem,slavic_east,ru,Теорема I,sourcebody_internal_candidate,0.6,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
MK6_2_000038,theorem,slavic_west,cs,věta [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
MK6_2_000039,theorem,slavic_west,sk,(ascii) [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
MK6_2_000040,theorem,slavic_west,pl,twierdzenie [C],competitor,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
MK6_2_000041,theorem,slavic_south,hr_sr,≈Hilbertov teorem o bazisu modula [S],support,0.75,,variant_or_doublet_note; WS_competitor_only_one_branch,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:es:cum_es.tex:336; pan_romance:fr:french/1303.5221v2/Brnr.tex:117; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_,marker_table_v3_3,
