concept,lane_count,language_count,marker_count,support_mass,adverse_or_competitor_mass,gap_mass,lanes,languages,channel_weight_json,risk_flags,priority_score,recommended_next_action
interlanguage candidates,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
language-lane exact source-canon row,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
public or accepted terminology,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
relation-function boundary,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_domain;rf_codomain,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_image_range,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_linear_map,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_relation;rf_function,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
"script overlap is not intelligibility, native review, or Korean evidence",1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
source-canon body use,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
source_canon_insufficient,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
symbol-only/noisy hits do not close the tensor-product source-canon blocker,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
center,4,11,11,2.15,2.25,0.0,interslavic;pan_romance;slavic_south;slavic_west,ca;cs;es;fr;gl;hr_sr;isv;pl;pt;rm;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 1.4000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
corollary,7,11,13,6.0,3.0,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;my_id;pl;ru;uk,"{""competitor"": 3.0, ""sourcebody_internal_candidate"": 3.0, ""support"": 3.0}",has_adverse_or_competitor,100,P1_review_packet
determinant,7,12,16,10.5,0.75,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;cs;es;fa;fr;hr_sr;my_id;pl;ru;sk;sl;uk,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 3.0, ""support"": 7.5}",has_adverse_or_competitor,100,P1_review_packet
dimension,6,10,13,8.55,0.75,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;cs;es;fa;fr;hr_sr;my_id;pl;sk;sl,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 1.7999999999999998, ""support"": 6.75}",has_adverse_or_competitor,100,P1_review_packet
division ring,3,10,10,1.55,3.75,0.0,pan_romance;slavic_south;slavic_west,bg;ca;cs;es;fr;hr_sr;pl;pt;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 0.8, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
division ring / body,3,7,7,0.95,3.75,0.0,interslavic;slavic_south;slavic_west,bg;cs;hr_sr;isv;pl;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
element,7,12,16,9.9,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 2.4, ""support"": 7.5}",has_adverse_or_competitor,100,P1_review_packet
extension (field),3,5,5,0.95,2.25,0.0,interslavic;slavic_south;slavic_west,cs;hr_sr;isv;pl;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
field,8,20,24,11.4,3.75,0.0,cjk;controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;ja;ko;my_id;pl;pt;rm;ro;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 9.65, ""support"": 1.75}",has_adverse_or_competitor,100,P1_review_packet
ideal,11,25,28,16.279,0.9,0.0,cjk;controlled_arabic;generic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_frontier;turkic_source_canon,ar;az;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;kz;my_id;pl;pt;rm;ro;ru;sk;sl;tr;uk;uz,"{""adverse_or_false_sense"": 0.9, ""sourcebody_internal_candidate"": 9.9, ""support"": 6.378749174278204}",has_adverse_or_competitor,100,P1_review_packet
lemma,8,20,20,12.15,0.75,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;isv_cyr;it;my_id;pl;pt;ro;ru;sk;sl;uk,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 8.4, ""support"": 3.75}",has_adverse_or_competitor,100,P1_review_packet
matrix,7,17,17,9.45,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;my_id;pl;pt;rm;ro;sk,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
noetherian,5,11,11,2.15,2.25,0.0,interslavic;malay_indonesian;pan_romance;slavic_south;slavic_west,ca;cs;es;fr;hr_sr;isv;it;my_id;pl;pt;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 1.4000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
polynomial,9,15,19,12.269,0.75,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_source_canon,ar;cs;es;fa;fr;hr_sr;isv;isv_cyr;kz;my_id;pl;sk;sl;uk;uz,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 3.5999999999999996, ""support"": 8.669314718055995}",has_adverse_or_competitor,100,P1_review_packet
prime ideal,8,17,20,5.85,2.25,0.0,arabic_farsi_persianate;cjk;controlled_arabic;malay_indonesian;pan_romance;slavic_east;slavic_south;slavic_west,bg;ca;cs;es;fr;hr_sr;it;ja;ko;my_id;nan;pl;pt;ro;ru;sk;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 3.6, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
proof,7,18,18,10.2,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;my_id;pl;pt;rm;ro;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 3.0}",has_adverse_or_competitor,100,P1_review_packet
quotient field,3,6,6,0.8,1.5,0.0,interslavic;slavic_east;slavic_west,cs;isv;isv_cyr;pl;ru;uk,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 0.8}",has_adverse_or_competitor,100,P1_review_packet
representation,8,19,21,10.95,2.25,0.0,cjk;controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;my_id;pl;pt;rm;ru;sk;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 8.7, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
ring,9,23,27,12.3,4.5,0.0,cjk;controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_source_canon,ar;az;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;my_id;pl;pt;rm;ro;ru;sk;sl;uk;uz,"{""competitor"": 4.5, ""sourcebody_internal_candidate"": 10.25, ""support"": 2.049650756146648}",has_adverse_or_competitor;flagship_review_row,100,P1_review_packet
set,7,12,14,6.9,3.0,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 3.0, ""sourcebody_internal_candidate"": 2.4, ""support"": 4.5}",has_adverse_or_competitor,100,P1_review_packet
splitting field,4,7,7,1.35,2.25,0.0,interslavic;slavic_east;slavic_south;slavic_west,cs;isv;pl;ru;sk;sl;uk,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 0.6000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
subset,7,12,15,9.15,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 2.4, ""support"": 6.75}",has_adverse_or_competitor,100,P1_review_packet
theorem,7,17,17,8.7,2.25,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;it;my_id;pl;pt;ro;ru;sk;uk,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 1.5}",has_adverse_or_competitor,100,P1_review_packet
trace,3,4,4,0.95,1.5,0.0,interslavic;slavic_south;slavic_west,bg;cs;isv;pl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
Noetherian ring,2,5,6,0.35,0.9,0.8,generic;turkic_frontier,Azerbaijani;Chuvash;Tatar;Uyghur;tr,"{""adverse_or_false_sense"": 0.9, ""gap"": 0.8, ""support"": 0.35}",has_adverse_or_competitor,82,P1_review_packet
polynomial ring,2,1,2,0.35,0.9,0.0,generic;turkic_frontier,tr,"{""adverse_or_false_sense"": 0.9, ""support"": 0.35}",has_adverse_or_competitor,62,P1_review_packet
elementary divisor,3,7,7,1.4,0.0,0.0,interslavic;pan_romance;slavic_east,es;fr;gl;isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,100,P2_sourcebody_context_review
identity,2,9,9,1.8,0.0,0.0,malay_indonesian;pan_romance,ca;es;fr;gl;it;my_id;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.8}",,100,P2_sourcebody_context_review
least common multiple,3,9,9,1.8,0.0,0.0,interslavic;pan_romance;slavic_east,ca;es;fr;gl;isv;it;pt;ru;uk,"{""sourcebody_internal_candidate"": 1.8}",,100,P2_sourcebody_context_review
primary ideal,3,8,8,1.6,0.0,0.0,interslavic;pan_romance;slavic_east,ca;es;fr;isv;it;pt;ru;uk,"{""sourcebody_internal_candidate"": 1.6}",,100,P2_sourcebody_context_review
residue class,3,7,7,1.4,0.0,0.0,interslavic;pan_romance;slavic_east,es;fr;gl;isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,100,P2_sourcebody_context_review
domain,2,8,8,1.9,0.0,0.0,olp_source_side;pan_romance,ca;en;es;fr;gl;it;pt;ro,"{""source_normalization"": 0.5, ""sourcebody_internal_candidate"": 1.4000000000000001}",,99,P2_sourcebody_context_review
commutative ring,3,4,6,1.7,0.0,0.0,cjk;controlled_arabic;persianate,ar;fa;ja;ko,"{""sourcebody_internal_candidate"": 1.7000000000000002}",,97,P2_sourcebody_context_review
linear map,3,3,3,1.7,0.0,0.0,controlled_arabic;olp_source_side;persianate,ar;en;fa,"{""source_normalization"": 0.5, ""sourcebody_internal_candidate"": 1.2}",,92,P2_sourcebody_context_review
submodule,3,3,3,1.65,0.0,0.0,cjk;controlled_arabic;persianate,ar;fa;ja,"{""sourcebody_internal_candidate"": 1.65}",,91,P2_sourcebody_context_review
integral domain,3,4,4,0.8,0.0,0.0,interslavic;malay_indonesian;slavic_east,isv_cyr;my_id;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,88,P2_sourcebody_context_review
transvection,3,3,3,0.6,0.0,0.0,controlled_arabic;interslavic;persianate,ar;fa;isv,"{""sourcebody_internal_candidate"": 0.6000000000000001}",,81,P2_sourcebody_context_review
congruence,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
left,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
power,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
product,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
right,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
therefore,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
unique,1,8,8,1.6,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.6}",,76,P2_sourcebody_context_review
complement,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;rm;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
conversely,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
divisibility,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
exists,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
extension,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;rm,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
for all,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
greatest common divisor,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
if and only if,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
irreducible ideal,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
reduced,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
respectively,1,7,7,1.4,0.0,0.0,pan_romance,ca;es;fr;it;pt;rm;ro,"{""sourcebody_internal_candidate"": 1.4000000000000001}",,69,P2_sourcebody_context_review
associated prime ideal,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
bordering operation,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
characteristic series,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
complete form sequence,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
dedekind mertens theorem,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
diagonal entry,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
direct factor,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
double reduction,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
elimination,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
extension of the ground field,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
field of automorphisms,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
form sequence,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
general ideal theory,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
group ring,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
identity matrix,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
identity operator,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
indecomposable,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
initial form,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
multiplier domain,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
normal subgroup,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
one to one,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
regular representation,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
remark,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
representation module,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
ring without radical,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
simple,2,4,4,0.8,0.0,0.0,interslavic;slavic_east,isv;isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.8}",,68,P2_sourcebody_context_review
algebra over a field,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
coprime ideals,1,6,6,1.2,0.0,0.0,pan_romance,es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.2000000000000002}",,62,P2_sourcebody_context_review
direct product,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
lie algebra,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
lie group,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
map/application,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
noetherian module,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
reducible,2,2,2,1.2,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
variable,2,2,2,1.2,0.0,0.0,malay_indonesian;persianate,fa;my_id,"{""sourcebody_internal_candidate"": 1.2}",,62,P2_sourcebody_context_review
zero divisor,1,6,6,1.2,0.0,0.0,pan_romance,es;fr;gl;it;pt;ro,"{""sourcebody_internal_candidate"": 1.2000000000000002}",,62,P2_sourcebody_context_review
ansatz,2,3,3,0.6,0.0,0.0,interslavic;slavic_east,isv_cyr;ru;uk,"{""sourcebody_internal_candidate"": 0.6000000000000001}",,61,P2_sourcebody_context_review
