concept,lane_count,language_count,marker_count,support_mass,adverse_or_competitor_mass,gap_mass,lanes,languages,channel_weight_json,risk_flags,priority_score,recommended_next_action
interlanguage candidates,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
language-lane exact source-canon row,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
public or accepted terminology,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
relation-function boundary,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_domain;rf_codomain,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_image_range,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_linear_map,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
rf_relation;rf_function,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
"script overlap is not intelligibility, native review, or Korean evidence",1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
source-canon body use,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
source_canon_insufficient,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
symbol-only/noisy hits do not close the tensor-product source-canon blocker,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
center,4,11,11,2.15,2.25,0.0,interslavic;pan_romance;slavic_south;slavic_west,ca;cs;es;fr;gl;hr_sr;isv;pl;pt;rm;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 1.4000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
corollary,7,11,13,6.0,3.0,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;my_id;pl;ru;uk,"{""competitor"": 3.0, ""sourcebody_internal_candidate"": 3.0, ""support"": 3.0}",has_adverse_or_competitor,100,P1_review_packet
determinant,7,12,16,10.5,0.75,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;cs;es;fa;fr;hr_sr;my_id;pl;ru;sk;sl;uk,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 3.0, ""support"": 7.5}",has_adverse_or_competitor,100,P1_review_packet
dimension,6,10,13,8.55,0.75,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;cs;es;fa;fr;hr_sr;my_id;pl;sk;sl,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 1.7999999999999998, ""support"": 6.75}",has_adverse_or_competitor,100,P1_review_packet
division ring,3,10,10,1.55,3.75,0.0,pan_romance;slavic_south;slavic_west,bg;ca;cs;es;fr;hr_sr;pl;pt;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 0.8, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
division ring / body,3,7,7,0.95,3.75,0.0,interslavic;slavic_south;slavic_west,bg;cs;hr_sr;isv;pl;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
element,7,12,16,9.9,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 2.4, ""support"": 7.5}",has_adverse_or_competitor,100,P1_review_packet
extension (field),3,5,5,0.95,2.25,0.0,interslavic;slavic_south;slavic_west,cs;hr_sr;isv;pl;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
field,8,20,24,11.4,3.75,0.0,cjk;controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;ja;ko;my_id;pl;pt;rm;ro;sk;sl,"{""competitor"": 3.75, ""sourcebody_internal_candidate"": 9.65, ""support"": 1.75}",has_adverse_or_competitor,100,P1_review_packet
ideal,11,25,28,16.279,0.9,0.0,cjk;controlled_arabic;generic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_frontier;turkic_source_canon,ar;az;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;kz;my_id;pl;pt;rm;ro;ru;sk;sl;tr;uk;uz,"{""adverse_or_false_sense"": 0.9, ""sourcebody_internal_candidate"": 9.9, ""support"": 6.378749174278204}",has_adverse_or_competitor,100,P1_review_packet
lemma,8,20,20,12.15,0.75,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;isv_cyr;it;my_id;pl;pt;ro;ru;sk;sl;uk,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 8.4, ""support"": 3.75}",has_adverse_or_competitor,100,P1_review_packet
matrix,7,17,17,9.45,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;my_id;pl;pt;rm;ro;sk,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
noetherian,5,11,11,2.15,2.25,0.0,interslavic;malay_indonesian;pan_romance;slavic_south;slavic_west,ca;cs;es;fr;hr_sr;isv;it;my_id;pl;pt;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 1.4000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
polynomial,9,15,19,12.269,0.75,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_source_canon,ar;cs;es;fa;fr;hr_sr;isv;isv_cyr;kz;my_id;pl;sk;sl;uk;uz,"{""competitor"": 0.75, ""sourcebody_internal_candidate"": 3.5999999999999996, ""support"": 8.669314718055995}",has_adverse_or_competitor,100,P1_review_packet
prime ideal,8,17,20,5.85,2.25,0.0,arabic_farsi_persianate;cjk;controlled_arabic;malay_indonesian;pan_romance;slavic_east;slavic_south;slavic_west,bg;ca;cs;es;fr;hr_sr;it;ja;ko;my_id;nan;pl;pt;ro;ru;sk;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 3.6, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
proof,7,18,18,10.2,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;isv;it;my_id;pl;pt;rm;ro;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 3.0}",has_adverse_or_competitor,100,P1_review_packet
quotient field,3,6,6,0.8,1.5,0.0,interslavic;slavic_east;slavic_west,cs;isv;isv_cyr;pl;ru;uk,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 0.8}",has_adverse_or_competitor,100,P1_review_packet
representation,8,19,21,10.95,2.25,0.0,cjk;controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;my_id;pl;pt;rm;ru;sk;sl,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 8.7, ""support"": 2.25}",has_adverse_or_competitor,100,P1_review_packet
ring,9,23,27,12.3,4.5,0.0,cjk;controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west;turkic_source_canon,ar;az;bg;ca;cs;es;fa;fr;gl;hr_sr;it;ja;ko;my_id;pl;pt;rm;ro;ru;sk;sl;uk;uz,"{""competitor"": 4.5, ""sourcebody_internal_candidate"": 10.25, ""support"": 2.049650756146648}",has_adverse_or_competitor;flagship_review_row,100,P1_review_packet
set,7,12,14,6.9,3.0,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 3.0, ""sourcebody_internal_candidate"": 2.4, ""support"": 4.5}",has_adverse_or_competitor,100,P1_review_packet
splitting field,4,7,7,1.35,2.25,0.0,interslavic;slavic_east;slavic_south;slavic_west,cs;isv;pl;ru;sk;sl;uk,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 0.6000000000000001, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
subset,7,12,15,9.15,1.5,0.0,controlled_arabic;interslavic;malay_indonesian;pan_romance;persianate;slavic_south;slavic_west,ar;bg;cs;es;fa;fr;hr_sr;isv;my_id;pl;sk;sl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 2.4, ""support"": 6.75}",has_adverse_or_competitor,100,P1_review_packet
theorem,7,17,17,8.7,2.25,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate;slavic_east;slavic_south;slavic_west,ar;bg;ca;cs;es;fa;fr;gl;hr_sr;it;my_id;pl;pt;ro;ru;sk;uk,"{""competitor"": 2.25, ""sourcebody_internal_candidate"": 7.199999999999999, ""support"": 1.5}",has_adverse_or_competitor,100,P1_review_packet
trace,3,4,4,0.95,1.5,0.0,interslavic;slavic_south;slavic_west,bg;cs;isv;pl,"{""competitor"": 1.5, ""sourcebody_internal_candidate"": 0.2, ""support"": 0.75}",has_adverse_or_competitor,100,P1_review_packet
Noetherian ring,2,5,6,0.35,0.9,0.8,generic;turkic_frontier,Azerbaijani;Chuvash;Tatar;Uyghur;tr,"{""adverse_or_false_sense"": 0.9, ""gap"": 0.8, ""support"": 0.35}",has_adverse_or_competitor,82,P1_review_packet
polynomial ring,2,1,2,0.35,0.9,0.0,generic;turkic_frontier,tr,"{""adverse_or_false_sense"": 0.9, ""support"": 0.35}",has_adverse_or_competitor,62,P1_review_packet
