"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P39-ZH-T011","§2 third paragraph","Operatorisomorphie","An isomorphism respecting the specified Galois-group operators: group substitutions in the field correspond to multiplication in the group ring","算子同构","Operator modifies the kind of isomorphism; the preservation condition belongs to the concept, not merely to notation","Exclude an isomorphism of analytic operators, operator-algebra isomorphism, and a bare vector-space isomorphism","带算子同构; 算符同构; 等变同构","modern Sino-xenic coinage/calque","算子 is a Mandarin Simplified attractor competing with 算符 and 等变 formulations; no regional preference has been established","producer editorial choice plus inherited translation witness; independent check pending","算子同構","controlled-generic same-character candidate only; regional choice among 算子/算符/等變 remains unresolved; independent check pending","absent; producer record only; not validated or ready","The explanatory sentence must carry the equivariance content because the short label alone may under-specify it"
"P39-ZH-T012","§2 third paragraph; §6 final paragraph","Artinschen Führern","Artin conductors attached to representations/L-series and compared with a ramification-supported conductor","Artin 导子","导子 is the arithmetic conductor; 阿廷 names Artin in the compound","Exclude a human guide or leader, an electrical conductor, a differential operator, and an arbitrary modulus without the Artin construction","阿廷导子; 阿丁导子; 阿廷特征; 阿廷模数","mixed/contested","The frozen target retains the Latin name Artin rather than imposing a Mandarin transliteration; regional naming conventions remain outside this controlled-generic claim.","exact frozen target form plus independent checker source/target comparison","Artin 導子","controlled-generic character form matching the corrected target; not TW/HK/MO localized","checker-confirmed as the exact frozen target form; final package disposition remains separate","Reconciled to the Latin-name form actually present in the frozen target; the prior row described an unimplemented 阿廷 normalization"
"P39-ZH-T013","§4 theorem statement and following localization explanation; §5 ramification definition; §6 throughout","Stelle | Stellen | Verzweigungsstellen","A finite or infinite place of a number field in the paper's local-global and ramification statements","位／分歧位","Use for the arithmetic place, with finite places indexed by prime ideals and infinite places treated separately as the source explains","Exclude physical location, decimal position, job post, a single valuation map without its place-equivalence sense, and merely a prime ideal when infinite places are included","素位; 地方; 赋值; 素点","mixed/contested","The frozen target uses 位 and context-specific 分歧位 while explicitly distinguishing finite and infinite places; no regional Hant convention is inferred.","exact frozen target forms plus independent checker source/target comparison","位／分歧位","same-character controlled forms matching the corrected target; not TW/HK/MO localized","checker-confirmed as the exact frozen target forms; final package disposition remains separate","Reconciled to the forms actually present in the frozen target; 素位 does not occur there and 素理想 is kept distinct"
"P39-ZH-T014","§6 penultimate paragraph","der Strahl","The ray in the conductor/ray-class sense after normalization of factor systems at each ramified place","射线","Use only as the class-field-theoretic ray attached to conductor congruence conditions","Exclude a geometric ray, radiation, a beam, and an unqualified ideal class","模射线; 射类; 射线类; 狭射线","modern Sino-xenic coinage/calque","The bare Hans form 射线 is vulnerable to the geometric default and may not be the preferred regional class-field term; Hant conversion leaves that unresolved","producer editorial choice plus inherited translation witness; independent check pending","射線","controlled-generic character-form candidate only; class-field terminology and regional localization unresolved; independent check pending","absent; producer record only; not validated or ready","Keep the conductor context explicit because the standalone form is highly trap-prone"
"P39-ZH-T015","§6 second paragraph","Totalcharakter der Hauptform","The complete aggregate genus-character data of the principal form in the quadratic-form specialization","全特征","Read 全 as completeness of the relevant character package, not as a universal character in representation theory","Exclude personal character, a glyph, a characteristic of a field, a single group character, and a total derivative","总特征; 完全特征; 全部特征标; 总特征标","mixed/contested","全特征 is a literal Hans attractor with uncertain historical genus-theory scope; it is retained only as a producer choice and may require replacement after independent checking","producer editorial choice plus inherited translation witness; independent check pending","全特徵","controlled-generic character-form candidate only; terminology and regional localization unresolved; independent check pending","absent; producer record only; not validated or ready","This is one of the highest-priority sense-window records because 特征 may be mistaken for characteristic or character"
"P39-ZH-T016","§6 second paragraph","die \((1-S)\)te symbolische Potenz in die Duplikation übergeht","Squaring of an ideal/form class in the quadratic specialization of the symbolic (1-S)-power","平方映射","Translate the mathematical operation implied by the specialization, not the surface everyday notion of making a duplicate","Exclude copying a passage, duplicating an object, doubling a number, and a geometric duplication construction","平方化; 二重化; 倍加; 复制; 平方运算","native coinage","平方映射 is the exact operation-oriented wording in the frozen target; it is an explanatory choice rather than a mirror of Duplikation.","exact frozen target form plus independent checker mathematical-language comparison","平方映射","same-character controlled explanatory form matching the corrected target; not TW/HK/MO localized","checker-confirmed as the exact frozen target form; final package disposition remains separate","Reconciled to 平方映射, the form actually present in the frozen target; the prior row incorrectly named 平方化"
"P39-ZH-T017","§4 norm theorem paragraph; §6 cyclic-field specialization","Normenrest | Normenreste | Normenrest nach dem Führer","Norm residue: a local or congruence condition asserting membership in the relevant norm residue class","范数剩余","Use as the recurring arithmetic concept underlying the norm theorem and conductor formulation","Exclude a numerical remainder, residual size of a norm, leftover after normalization, and Normenrestsymbol as if the two were identical","范数残余; 诺姆剩余; 范数余类; 范数剩余类","modern Sino-xenic coinage/calque","The Hans compound may be mistaken for an ordinary remainder and may dominate alternatives; controlled Hant remains nonregional and unchecked","producer editorial choice plus inherited translation witness; independent check pending","範數剩餘","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Maintain a distinct record from 范数剩余符号 because the symbol and the residue condition are not interchangeable"
"P39-ZH-T018","§3 after display (4); §4 theorem statement; §5 definition of the unit class","zerfallende Algebrenklasse | zerfallenden Algebren | zerfallende Algebren","An algebra that splits as a full matrix algebra after the relevant scalar extension, including local splitting at places","分裂代数","Use 分裂 for the algebra's splitting property and align it with 分裂域","Exclude a decomposable direct product, a reducible representation, a cracked physical object, and a semisimple decomposition","劈裂代数; 裂解代数; 分解代数","modern Sino-xenic coinage/calque","The Hans family 分裂域/分裂代数 may collapse distinct algebraic notions if context is omitted; regional Hant conventions remain unverified","producer editorial choice plus inherited translation witness; independent check pending","分裂代數","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Exact observed source inflections replace the unattested nominative singular formerly recorded in this exact-phrase field"
"P39-ZH-T019","§3 paragraph after display (5); §5 first and explicit theorem paragraphs","Transformationsgrössen","The multiplicative coboundary-like factors c_S^T c_T/c_ST generated by changing u_S to u_S c_S, and their ideal-class analogues","变换量","量 names the indexed multiplicative expressions, not a variable measuring the size of a transformation","Exclude geometric transformation parameters, coordinate-change matrices, physical quantities, and group elements v_S themselves","变换因子; 转换量; 变换系数; 上边界因子","modern Sino-xenic coinage/calque","The inherited Hans literal form may conceal the cohomological role and may not travel regionally; independent review must decide whether a more explicit term is needed","producer editorial choice plus inherited translation witness; independent check pending","變換量","controlled-generic character-form candidate only; cohomological and regional terminology unresolved; independent check pending","absent; producer record only; not validated or ready","Retain the displayed formula near first use to constrain the sense"
"P39-ZH-T020","§2 third paragraph","Gruppenring (Gruppenalgebra)","The group ring/group algebra paired with the Galois field under operator isomorphism","群环（群代数）","Preserve both source labels and their parenthetical relation; the base-field linear structure is supplied by context","Exclude a ring-shaped group, a permutation group alone, an operator ring unrelated to the group, and a groupoid algebra","群代数（群环）; 群代数; 群环","modern Sino-xenic coinage/calque","The order 群环（群代数） follows the inherited Hans witness and may not match all traditions; the Hant control cannot establish regional ordering","producer editorial choice plus inherited translation witness; independent check pending","群環（群代數）","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Keep both names at the first occurrence; later compression remains a separate editorial decision"
