"slice_id","status","lane","eligible_for_corpus_support","reason","next_gate","blocked_outputs"
"R6-OCR-ACCESS-01","created","OCR accessibility and visual source routing","false_for_translation_work","Coordinator requested OCR/accessibility routing and sign/visual-access source-start work before technical lexicon","Use routing matrix for internal source-legibility access-needs and reviewer/source-owner questions only","public OCR corpus; copied source text; generated captions; public transcripts; public alt text; stills; visual inventory; accepted signs; translation; pilot"
"R6-SOURCE-CANON-01","created","Source-canon witness table","false_for_translation_work","Global steering requested source canon first with source-level witnesses before translation or lexicon work","Use witness table and explicit gap ledger before any route movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion"
"R6-SOURCE-CANON-02","created","Whole-program source-canon alignment","false_for_translation_work","Repo-visible AGENTS and Copilot instructions require shared source-canon field shape cross-lane checks and no completion claims","Use normalized required-field mirror and alignment note before any future source-state change","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; completion claim; Git push"
"R6-SOURCE-CANON-03","created","Source-canon field completeness audit","false_for_translation_work","Strict provenance rows must have exact URL local path hash license signal and tags while guardrail-only and placeholder-route rows stay separate","Use strict 82-row provenance table plus 10-row non-source guardrail table 1-row non-strict route table and 78-row gap ledger","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; completion claim; Git push"
"R6-SOURCE-CANON-04","created","Strict provenance path hash replay","false_for_translation_work","Strict source-canon provenance rows must remain verifiable against local disk before B3 package consumption","Use path/hash audit before accepting row metadata drift or packaging metadata","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; completion claim; Git push"
"R6-SOURCE-CANON-05","created","Strict provenance URL reachability audit","false_for_translation_work","Strict source-canon provenance rows must have exact non-placeholder URL status and live access blockers recorded","Use URL reachability audit and R6-URL-GAP rows before accepting URL metadata drift","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; completion claim; Git push"
"R6-SOURCE-CANON-06","created","Strict provenance license access package boundary","false_for_translation_work","Strict source-canon provenance rows need explicit package and reuse boundaries before B3 or reader-index consumption","Use license/access audit as support metadata only with no raw source body media caption transcript screenshot term sign translation pilot or clearance claim","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; completion claim; Git push"
"R6-SOURCE-CANON-07","created","Public source archive discovery audit","false_for_translation_work","GitHub arXiv and CTAN metadata probes add concrete source-archive search evidence and one candidate repository route without strict witness promotion","Use discovery audit and candidate route ledger as metadata-only source acquisition evidence; keep gaps open until source-body hash language/topic authority and reviewer/source-owner gates are satisfied","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-08","created","Candidate repository metadata hash audit","false_for_translation_work","The one public GitHub candidate route needs hashed local metadata provenance without source-body capture or witness promotion","Use metadata capture hash audit to verify what repository metadata was observed; keep source-body path/hash blank and gaps open until a separate capture policy satisfies language topic license authority and B3 gates","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; repository clone; source archive download; completion claim; Git push"
"R6-SOURCE-CANON-09","created","B3 package boundary audit","false_for_translation_work","R6 output artifacts need package-boundary classification before Session B consumes metadata","Use package boundary audit to include support metadata only and to exclude raw source bodies zips cache runtime large files source/media payloads translations terms signs pilots and promotion claims","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; repository clone; source archive download; raw OCR corpus; completion claim; Git push"
"R6-SOURCE-CANON-10","created","Target coverage crosswalk","false_for_translation_work","R6 target strings need a machine-readable map across strict witnesses explicit gaps candidate routes non-source guardrails and non-strict route metadata","Use target coverage crosswalk before any source-state change; blocker-only and candidate-only rows require transition evidence before movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-11","created","Gap transition requirements audit","false_for_translation_work","Explicit gap rows need per-row evidence requirements before any blocker can move toward support","Use transition requirements audit before blocker-to-support work; every row still has can_move_to_support_now=false and promotion_allowed=false","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-12","created","Source-state invariant audit","false_for_translation_work","Core R6 source-canon artifacts need replayable invariant checks across strict witnesses gaps candidates guardrails crosswalks B3 gates and manifest text","Use invariant audit before source-state changes; 14 invariants pass and no row authorizes support movement or promotion","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-13","created","Bislama official source retry addendum","false_for_translation_work","Official Vanuatu Bislama endpoints in prior gap rows became reachable and exact PDF/HTML captures were hashed in the local work tree","Use Bislama retry addendum as provenance metadata only; reviewer/source-owner and reuse gates remain open and raw captures are not package payload instructions","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-14","created","Aruba Papiamento EA.AW source route retry","false_for_translation_work","Official EA.AW Papiamento catalog routes are search-visible but direct source-body access returned 404 or verification-loader behavior","Use Aruba route retry addendum as blocker/provenance metadata only; resolve official PDF access or source-owner route before support movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-15","created","Guatemala Uspanteko DIGEBI source capture","false_for_translation_work","Official DIGEBI product page exposed a Google Drive PDF route and exact Uspanteko mathematics PDF capture was hashed in the local work tree","Use Uspanteko capture addendum as provenance metadata only; reviewer/source-owner and reuse gates remain open and raw captures are not package payload instructions","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SLICE-04","next","Blocker-to-support transition","false_until_new_evidence","blocked rows require exact source capture or reviewer/source-owner return before movement","ingest only new exact sources or dated returns through transition note","direct term/sign extraction; translation; pilot"
"R6-SOURCE-CANON-16","created","Paraguay Guarani MEC route retry","false_source_body_not_captured","Official MEC page and named PRODEPA/Guarani/Matematica files are search-visible, but local page/PDF fetches timed out and no source body or source-body hash was captured","Use Paraguay route retry addendum as blocker metadata only; resolve direct MEC file access or source-owner route before any support movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-17","created","Bolivia Quechua Red Minedu source capture","false_for_translation_work","Exact Red Minedu 19985 PDF captured from HTTPS and HTTP routes with matching hash","Use Bolivia capture addendum as provenance metadata only; reviewer/source-owner and reuse gates remain open and raw captures are not package payload instructions","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-18","created","Ecuador EIB Kichwa CNIB route retry","false_source_body_not_captured","Official Ecuador CNIB page and KICHWA_CNIB_2017 PDF route are recorded, but local source-body access timed out","Use Ecuador route retry addendum as blocker/provenance metadata only; resolve CNIB/Kichwa PDF access or source-owner route before support movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-19","created","Mexico CONALITEG Indigenous route retry","false_linked_book_bodies_not_captured","Official CONALITEG catalogue HTML captured and hashed, but linked Indigenous-language and Nanahuatzin book/viewer/PDF bodies remain unresolved or error payloads","Use Mexico route retry addendum as catalogue-route blocker/provenance metadata only; resolve linked book bodies or source-owner route before support movement","translation; pilot; term spine; visual inventory; approval claim; source-authority promotion; license clearance; media clearance; source-body payload; accepted terms; accepted signs; completion claim; Git push"
"R6-SOURCE-CANON-20","created","Sign access DGS/ASL source-route addendum","false_for_sign_or_media_output","Existing ASL/DGS strict route captures were consolidated with a 2026-07-05 headers-only route probe; source/reviewer/media gates remain open","Use sign access addendum as source-route provenance and blocker metadata only; obtain qualified reviewer/source-owner and media/reuse returns before any sign/media/support movement","accepted signs; visual inventory; copied video/media; screenshots; captions; transcripts; translation; pilot; approval claim; source-authority promotion; license/media clearance; completion claim; Git push"
"R6-SOURCE-CANON-21","created","Kreyol MIT-Ayiti / MENFP source-route addendum","false_for_translation_or_term_work","Existing MIT-Ayiti Kreyol math routes were consolidated with MENFP/context captures and GitHub candidate blockers; source-owner/reviewer and reuse gates remain open","Use Kreyol addendum as source-route and blocker provenance only; obtain source-owner/reviewer and reuse returns before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-22","created","Mauritius Kreol MIE source-route addendum","false_for_translation_or_term_work","MIE curriculum/bookcase/practice routes for Kreol Morisien/Kreol Rodrige were captured as route metadata; exact named-language math/STEM bodies and source-owner/reuse gates remain open","Use Mauritius addendum as source-route/blocker provenance only; obtain exact book/PDF/source-body route, source-owner/reviewer return, and reuse decision before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-23","created","Krio Sierra Leone MBSSE source-route addendum","false_for_translation_or_term_work","Official Krio syllabus and Sierra Leone curriculum/math comparator PDFs were captured as route metadata; exact Krio mathematics/STEM body and source-owner/reuse gates remain open","Use Krio addendum as source-route/blocker provenance only; obtain exact Krio math/STEM source body, source-owner/reviewer return, and reuse decision before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-24","created","Tok Pisin PNG FODE source-route addendum","false_for_translation_or_term_work","Official PNG FODE Tok Pisin language-context and English mathematics comparator PDFs were captured as route metadata; exact Tok Pisin mathematics/STEM body and source-owner/reuse gates remain open","Use Tok Pisin addendum as source-route/blocker provenance only; obtain exact Tok Pisin math/STEM source body, source-owner/reviewer return, and reuse decision before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-25","created","Nigerian Pidgin source-route addendum","false_for_translation_or_term_work","Existing NERDC English mathematics comparator plus official Nigeria policy/math-access routes and public GitHub pcm source-file candidates were captured as route metadata; exact Nigerian Pidgin mathematics/STEM body and source-owner/reuse gates remain open","Use Nigerian Pidgin addendum as source-route/blocker provenance only; obtain exact Nigerian Pidgin math/STEM source body or validated mathematical source archive, source-owner/reviewer return, and reuse decision before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-26","created","Cape Verdean Kriolu source-route addendum","false_for_translation_or_term_work","Official Cabo Verde Portuguese mathematics comparators and public Kriolu/bilingual-education context PDFs were captured as route metadata; exact Cape Verdean Kriolu mathematics/STEM body and source-owner/reuse gates remain open","Use Cape Verdean Kriolu addendum as source-route/blocker provenance only; obtain exact Kriolu math/STEM source body or validated mathematical source archive, source-owner/reviewer return, and reuse decision before any terms, excerpts, translation, or support movement","accepted terms; copied prose; excerpts; translation; pilot; approval claim; source-authority promotion; license/media clearance; source-body payload; completion claim; Git push"
"R6-SOURCE-CANON-27","created","R6 source-canon sufficiency transition and scoped draft support","true_draft_noncanonical_for_covered_rows_only","GitHub-visible sufficiency transition rule on branch codex/noether-pc-20260629 requires scoped draft review work once baseline witnesses exist; Kreyol MIT-Ayiti and Bislama/Vanuatu have sufficient scoped target-language witnesses","Route Kreyol and Bislama draft rows to reviewer/source-owner questions; keep comparator-only rows in source-acquisition/gap status","accepted terms; native review claim; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-SOURCE-CANON-28","created","R6 GitHub governance sync","true_metadata_only","GitHub-visible instruction bus was re-read on branch codex/noether-pc-20260629 at c8fd72191abb3e3841b571f2497ce719839c9deb; exact hashes, local parent/B3 ledger hashes, R6 compliance state, and remaining blockers are recorded","Use governance sync as B3-packageable metadata; continue draft support only for covered Kreyol/Bislama rows and keep uncovered Indigenous/creole/sign rows in source-acquisition or gate status","local side-channel authority; native review claim; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; raw source body; credential; OCR cache; traineddata; zip primary; Git push"
