"recovery_id","priority","scope","blocker_class","exact_path_or_evidence","live_retry_or_web_status","next_recovery_action","applied_8f7_gate_id","post_8f7_decision","b3_or_manual_next_action","no_claim_boundary"
"R6-POST-B3-RECOVERY-029","priority_recovery","Ecuador Ministry EIB pages","source_canon_insufficient","source_acquisition_or_gap_only","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-040","priority_recovery","Paraguay Guarani","source_canon_insufficient","source_acquisition_or_gap_only","web-visible MEC page/PDF routes; local capture timed out","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-041","priority_recovery","Paraguay Guarani/Matematica PRODEPA","source_canon_insufficient","source_acquisition_or_gap_only","web-visible MEC page/PDF routes; local capture timed out","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-047","priority_recovery","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-048","priority_recovery","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","source_canon_insufficient","source_acquisition_or_gap_only","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-049","priority_recovery","ASL","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-050","priority_recovery","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-051","priority_recovery","ASL, LSQ, DGS, International Sign, future signed-language rows","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-052","priority_recovery","DGS","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-053","priority_recovery","LSQ","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-054","priority_recovery","International Sign comparator","source_canon_insufficient","source_acquisition_or_gap_only","existing source-route HTML/JSON rows only; no media/source-owner clearance","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-057","priority_recovery","Ecuador Kichwa CNIB","probe metadata only; source body still insufficient","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","retry official CNIB body route and source-owner path","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-058","priority_recovery","Paraguay Guarani/PRODEPA","route/probe only; no Guarani mathematics source body","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","web-visible MEC page/PDF routes; local capture timed out","retry MEC/PRODEPA routes and alternate official indexes","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-059","priority_recovery","DGS/ASL/LSQ sign/access","metadata/HTML/JSON only; no media/source-owner clearance","outputs/r6-ethics-authority-source-start-cycle9-20260706/blockers/BLOCKER_NEXT_ACTIONS.csv","existing source-route HTML/JSON rows only; no media/source-owner clearance","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
