"blocker_id","route_or_language","origin_ledger","current_status","c7fb_replay_result","next_recovery_action","disallowed_claims","branch_head"
"blocker","Tok Pisin","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Ecuador EIB","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Guarani/Paraguay","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Krio/Sierra Leone","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Papiamento/Papiamentu - Aruba","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Ecuador EIB","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Ecuador Ministry EIB pages","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Paraguay Guarani","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Paraguay Guarani/Matematica PRODEPA","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","ASL","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","ASL, LSQ, DGS, International Sign, future signed-language rows","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","DGS","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","LSQ","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","International Sign comparator","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Ecuador Kichwa CNIB","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","retry official CNIB body route and source-owner path","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","Paraguay Guarani/PRODEPA","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","retry MEC/PRODEPA routes and alternate official indexes","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
"blocker","DGS/ASL/LSQ sign/access","outputs\R6_8F7_PRIORITY_RECOVERY_LIVE_RETRY_20260706\blockers\R6_PRIORITY_RECOVERY_DECISIONS_AFTER_LIVE_RETRY_20260706.csv","active recovery/blocker row","branch-visible transfer audit does not close this source/reviewer/ethics blocker","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","native review; community approval/consent; accepted terminology; license clearance; gate promotion; source certification; final status; translation completion","c7fb7e644e04102b67cc5da379ba9d4226feaef8"
