source_document_id,findability_id,language_code,language_bucket,family,branch,file_type,source_path,local_path,provenance_url,raw_source_url,repository_full_name,hash_sha256,byte_count,license_availability_note,access_class,topic_tags,script_counts_json,witness_category,upload_policy,source_use_label,non_claim_boundary
CJK-SOURCE-BODY-20260705-0011,CJK-FIND-20260705-004,ja,japanese,Japonic,Japanese,tex-or-latex-source,app1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app1.tex,https://github.com/rsato64/relativisticQM,https://raw.githubusercontent.com/rsato64/relativisticQM/main/app1.tex,rsato64/relativisticQM,25C27A503C803F922D7E5CD92AAA5DDCFC11314B9A885CB533210A7DCC874547,7220,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,group theory; Lie algebra reference; physics-adjacent TeX,"{""ASCII"": 5146, ""CJK_Unified_Ideograph"": 27, ""Hangul"": 1, ""Katakana"": 1, ""Other_Non_ASCII"": 1517}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0012,CJK-FIND-20260705-004,ja,japanese,Japonic,Japanese,tex-or-latex-source,app2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app2.tex,https://github.com/rsato64/relativisticQM,https://raw.githubusercontent.com/rsato64/relativisticQM/main/app2.tex,rsato64/relativisticQM,8C558548A8A483537BBD5827E67416AFCE8D61F2DAAFDC23EEB2C2FBEF1D07D1,9655,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,group theory; Lie algebra reference; physics-adjacent TeX,"{""ASCII"": 7474, ""CJK_Unified_Ideograph"": 37, ""Hangul"": 4, ""Other_Non_ASCII"": 1641}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0013,CJK-FIND-20260705-004,ja,japanese,Japonic,Japanese,tex-or-latex-source,app3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app3.tex,https://github.com/rsato64/relativisticQM,https://raw.githubusercontent.com/rsato64/relativisticQM/main/app3.tex,rsato64/relativisticQM,743E7D76D4A2971EC9AD0ACD7FAB7665D73D2605BE844EC843A0F7E484788A67,2689,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,group theory; Lie algebra reference; physics-adjacent TeX,"{""ASCII"": 2082, ""CJK_Unified_Ideograph"": 7, ""Other_Non_ASCII"": 455}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0014,CJK-FIND-20260705-005,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,abstract-algebra/group-section.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\zhcosin__algebra-notes\abstract-algebra\group-section.tex,https://github.com/zhcosin/algebra-notes,https://raw.githubusercontent.com/zhcosin/algebra-notes/master/abstract-algebra/group-section.tex,zhcosin/algebra-notes,F037EC5B7FDB6B5C3797E4BA84373F232BFA3483A050A4AF653D08ABAA6C03E7,5960,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; abstract algebra; Chinese TeX notes,"{""ASCII"": 1775, ""CJK_Punctuation"": 21, ""CJK_Unified_Ideograph"": 1264, ""Fullwidth"": 110}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0015,CJK-FIND-20260705-005,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,abstract-algebra/group.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\zhcosin__algebra-notes\abstract-algebra\group.tex,https://github.com/zhcosin/algebra-notes,https://raw.githubusercontent.com/zhcosin/algebra-notes/master/abstract-algebra/group.tex,zhcosin/algebra-notes,44B01AEDA361617A0E4BD39793E64130B4495B724714B7D9BB4241622C2A625B,165,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; abstract algebra; Chinese TeX notes,"{""ASCII"": 162, ""CJK_Unified_Ideograph"": 1}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0016,CJK-FIND-20260705-005,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,linear-algebra/determinant.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\zhcosin__algebra-notes\linear-algebra\determinant.tex,https://github.com/zhcosin/algebra-notes,https://raw.githubusercontent.com/zhcosin/algebra-notes/master/linear-algebra/determinant.tex,zhcosin/algebra-notes,1E7360E5865153900E7AA18B6CD17238DBEC4416D164AD895B98C1FDCACAB089,18228,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; abstract algebra; Chinese TeX notes,"{""ASCII"": 10908, ""CJK_Punctuation"": 23, ""CJK_Unified_Ideograph"": 2258, ""Fullwidth"": 159}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0017,CJK-FIND-20260705-005,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,linear-algebra/linear-algebra.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\zhcosin__algebra-notes\linear-algebra\linear-algebra.tex,https://github.com/zhcosin/algebra-notes,https://raw.githubusercontent.com/zhcosin/algebra-notes/master/linear-algebra/linear-algebra.tex,zhcosin/algebra-notes,69120941BF8352CDAF9C6F22ED42E53172410A142C7901918550CD08DA5A3B36,218,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,linear algebra; abstract algebra; Chinese TeX notes,"{""ASCII"": 191, ""CJK_Unified_Ideograph"": 9}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0018,CJK-FIND-20260705-006,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,chapters/chapter1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\Kfj2006__Algebra_notes\chapters\chapter1.tex,https://github.com/Kfj2006/Algebra_notes,https://raw.githubusercontent.com/Kfj2006/Algebra_notes/master/chapters/chapter1.tex,Kfj2006/Algebra_notes,4C3F749B7F766D402DAB38B594494207F3C4F8ADC7853772CAFDF5A2D3B4EB47,11816,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,abstract algebra; group theory; ring theory; Chinese TeX notes,"{""ASCII"": 6062, ""CJK_Punctuation"": 59, ""CJK_Unified_Ideograph"": 1688, ""Fullwidth"": 169, ""Other_Non_ASCII"": 2}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0019,CJK-FIND-20260705-006,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,chapters/chapter2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\Kfj2006__Algebra_notes\chapters\chapter2.tex,https://github.com/Kfj2006/Algebra_notes,https://raw.githubusercontent.com/Kfj2006/Algebra_notes/master/chapters/chapter2.tex,Kfj2006/Algebra_notes,E56FF73AAF14BD7AA2B4CDFE336F95DB6355FDD3C12984B6A10B544791D624DE,23502,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,abstract algebra; group theory; ring theory; Chinese TeX notes,"{""ASCII"": 13785, ""CJK_Punctuation"": 106, ""CJK_Unified_Ideograph"": 2793, ""Fullwidth"": 326, ""Other_Non_ASCII"": 14}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0020,CJK-FIND-20260705-006,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,chapters/chapter3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\Kfj2006__Algebra_notes\chapters\chapter3.tex,https://github.com/Kfj2006/Algebra_notes,https://raw.githubusercontent.com/Kfj2006/Algebra_notes/master/chapters/chapter3.tex,Kfj2006/Algebra_notes,03A3165EF039EE1EA3458FA2513C32AE146DD0D3000D61B5F5484CB517A2B3DB,29931,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,abstract algebra; group theory; ring theory; Chinese TeX notes,"{""ASCII"": 15096, ""CJK_Punctuation"": 129, ""CJK_Unified_Ideograph"": 4331, ""Fullwidth"": 473, ""Other_Non_ASCII"": 12}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0021,CJK-FIND-20260705-006,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,chapters/chapter4.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\Kfj2006__Algebra_notes\chapters\chapter4.tex,https://github.com/Kfj2006/Algebra_notes,https://raw.githubusercontent.com/Kfj2006/Algebra_notes/master/chapters/chapter4.tex,Kfj2006/Algebra_notes,A3C6A1C24E5E550E9DE04EDD98D2BA8D132FD2FF6FEDDC300F09677EB48E6219,28240,No GitHub license detected in repository metadata; manual license/access review required,manifest_only_raw_payload_blocked_pending_license_access_review,abstract algebra; group theory; ring theory; Chinese TeX notes,"{""ASCII"": 15427, ""CJK_Punctuation"": 122, ""CJK_Unified_Ideograph"": 3768, ""Fullwidth"": 369, ""Other_Non_ASCII"": 12}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0022,CJK-FIND-20260705-007,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,1-1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-1.tex,https://github.com/ayhe123/algebra-lecturenote,https://raw.githubusercontent.com/ayhe123/algebra-lecturenote/main/1-1.tex,ayhe123/algebra-lecturenote,839AA307A40D4B5828DDD8831D4E41E769619ED6E632F094AF14AA98CFCF8A4B,63837,GitHub license signal: CC-BY-4.0 (Creative Commons Attribution 4.0 International); not legal clearance,manifest_only_payload_requires_dedicated_b3_license_review,algebra; Chinese TeX notes; Kostrykin algebra introduction notes,"{""ASCII"": 50535, ""CJK_Unified_Ideograph"": 4434}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0023,CJK-FIND-20260705-007,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,1-2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-2.tex,https://github.com/ayhe123/algebra-lecturenote,https://raw.githubusercontent.com/ayhe123/algebra-lecturenote/main/1-2.tex,ayhe123/algebra-lecturenote,A8861763C8321599D9BB43D53C98A49875CFBA9576DCC010BB268184A9341FBB,47026,GitHub license signal: CC-BY-4.0 (Creative Commons Attribution 4.0 International); not legal clearance,manifest_only_payload_requires_dedicated_b3_license_review,algebra; Chinese TeX notes; Kostrykin algebra introduction notes,"{""ASCII"": 39700, ""CJK_Punctuation"": 2, ""CJK_Unified_Ideograph"": 2440}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0024,CJK-FIND-20260705-007,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,1-3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-3.tex,https://github.com/ayhe123/algebra-lecturenote,https://raw.githubusercontent.com/ayhe123/algebra-lecturenote/main/1-3.tex,ayhe123/algebra-lecturenote,E3B9F43AE70565F813F679237A1AF17373D2AC34C9795F3BC44AEBDF2EA5A506,113486,GitHub license signal: CC-BY-4.0 (Creative Commons Attribution 4.0 International); not legal clearance,manifest_only_payload_requires_dedicated_b3_license_review,algebra; Chinese TeX notes; Kostrykin algebra introduction notes,"{""ASCII"": 102656, ""CJK_Unified_Ideograph"": 3610}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
CJK-SOURCE-BODY-20260705-0025,CJK-FIND-20260705-007,zh-Hans,simplified_chinese,Sinitic,Mandarin/Simplified-script source lane,tex-or-latex-source,1-4.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-4.tex,https://github.com/ayhe123/algebra-lecturenote,https://raw.githubusercontent.com/ayhe123/algebra-lecturenote/main/1-4.tex,ayhe123/algebra-lecturenote,2BB0428BF8FA0FF8BDF54C9AD6FB49950C9FB17D4B583259E6B0F713D2F882E3,120030,GitHub license signal: CC-BY-4.0 (Creative Commons Attribution 4.0 International); not legal clearance,manifest_only_payload_requires_dedicated_b3_license_review,algebra; Chinese TeX notes; Kostrykin algebra introduction notes,"{""ASCII"": 95292, ""CJK_Unified_Ideograph"": 8246}",source-witness,dedicated_source_body_corpus_local_package,native-source-body,"literal source body only; no native review, accepted terminology, license clearance, gate promotion, source-canon completion, translation completion, Korean-school claim, pan-CJK claim, or generated-translation evidence claim"
