do_not_use_id,candidate_or_claim,language_lane,relation,blocked_scope,action,evidence_or_gap_note,source_row_ref
DNU-CJK-GAP-0031,class number,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for class number; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-031
DNU-CJK-GAP-0032,decomposition of primes,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for decomposition of primes; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-032
DNU-CJK-GAP-0033,norm,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for norm; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-033
DNU-CJK-GAP-0034,ring of integers,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for ring of integers; current CJK source-canon baseline is algebra/linear-algebra heavy.,CJK-ACQ-GAP-20260705-034
DNU-CJK-GAP-0035,Harish-Chandra,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact korean_addendum source-content witness for Harish-Chandra; current source-canon rows do not close this retained blocker.,CJK-ACQ-GAP-20260705-035
DNU-CJK-GAP-0036,completely reducible,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for completely reducible; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-036
DNU-CJK-GAP-0037,group algebra,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for group algebra; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-037
DNU-CJK-GAP-0038,group ring/group algebra,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for group ring/group algebra; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-038
DNU-CJK-GAP-0039,semisimple,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for semisimple; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-039
DNU-CJK-GAP-0040,maximal ideal,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for maximal ideal; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-040
DNU-CJK-GAP-0041,principal ideal,korean_addendum,korean_addendum_limited_source_context,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for principal ideal; reason=korean_addendum_limited_source_context.,CJK-ACQ-GAP-20260705-041
DNU-CJK-GAP-0042,semisimple ring,korean_addendum,korean_addendum_source_or_native_register_reinforcement_needed,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Collect stronger target-language source evidence for semisimple ring; reason=korean_addendum_source_or_native_register_reinforcement_needed.,CJK-ACQ-GAP-20260705-042
DNU-CJK-CLAIM-0001,Japanese Noether generated output as native CJK evidence,all,false_output,generated output is not a native source witness,reject_as_source_canon,Standing CJK/Fable boundary guard.,static-boundary-guard
DNU-CJK-CLAIM-0002,Han-only script similarity as pan-CJK proof,all,pan_cjk_overclaim,"script overlap is not intelligibility, native review, or Korean evidence",record_only_as_script-neighbor_note,Standing CJK/Fable boundary guard.,static-boundary-guard
DNU-CJK-CLAIM-0003,Korean addendum merged into CJK interlanguage authority,korean_addendum,boundary_error,Korean rows are addendum/source-routing unless exact owner evidence changes that,keep_separate_koreanic_leaf,Standing CJK/Fable boundary guard.,static-boundary-guard
DNU-CJK-CLAIM-0004,Noisy German \otimes hits as tensor product naming/explanation evidence,all,source_evidence_error,symbol-only/noisy hits do not close the tensor-product source-canon blocker,retain_tensor_product_gap_until_exact_native_source_witness,Standing CJK/Fable boundary guard.,static-boundary-guard
DNU-CJK-CLAIM-0005,Generated draft renderings as accepted terminology or native review,all,authority_overclaim,draft scaffolds are generated-draft/non-canonical review material only,do_not_claim_approval_or_completion,Standing CJK/Fable boundary guard.,static-boundary-guard
