repair_id,printed_source_page,english_anchor_20260717,correction_summary,authority_evidence,disposition
SGA5-EXACT-0343,115,line 3850 / section 5.2 prose formula,"Restore first canonical-arrow RHom target","receipt row 0343; LNM 589 p.115",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0344,115,line 3850 / section 5.2 prose formula,"Restore second canonical-arrow RHom target","receipt row 0344; LNM 589 p.115",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0348,123,line 4072 / equation 6.4.1,"Restore tensor base S","receipt row 0348; LNM 589 p.123",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0352,128,line 4224 / omega definition,"Exterior-power exponents N -> d","receipt row 0352; LNM 589 p.128",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0355,128,line 4242 / trace prose,"cl^N_{X/S}(Y) -> cl_{X/S}(Y)","receipt row 0355; LNM 589 p.128",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0356,128,line 4247 / adjunction prose,"Repeat cl^N removal at second anchor","receipt row 0356; LNM 589 p.128",PASS_APPLIED_REVALIDATED
SGA5-EXACT-0357,134,line 4402 / theorem 6.13.3,"D^b_ctf -> D_ctf","receipt row 0357; LNM 589 p.134",PASS_APPLIED_REVALIDATED
III-STR-01,83,line 2392 / diagram 2.4.0,"Replace with exact source tikzpicture topology including (P,Q) and (P_2,Q_2)","French 2095-2127; scan pp.83-84",PASS_EXACT_BLOCK
III-STR-02,84,line 2438 / diagram 2.5.1,"Restore exact seven-node eight-arrow topology","French 2145-2165; scan p.84",PASS_EXACT_BLOCK
III-STR-03,89,lines 2615-2619 / projection diagram,"Restore P_1 P_2 and L_1 L_2 decorations","French 2322-2326; scan p.89",PASS_EXACT_BLOCK
III-STR-04,94,line 2764 / diagram 3.3.0,"Restore exact four-node square and f'_1 arrow","French 2467-2472; scan p.94",PASS_EXACT_BLOCK
III-STR-05,94,lines 2771-2799 / 3.3.1 and 3.3.2,"Restore unprimed functors all arrows and follow-through formulas","French 2474-2506; scan p.94",PASS_EXACT_BLOCK
III-STR-06,95-96,lines 2820-2888 / proposition 3.4,"Restore (1)-(5) topology and all four supporting source displays","French 2518-2574; scan pp.95-96",PASS_EXACT_BLOCK
III-STR-07,98,lines 2980-3008 / diagrams 3.7.1-3.7.2,"Restore f direction and exact source graph topology","French 2682-2706; scan p.98",PASS_EXACT_BLOCK
III-STR-08,100,lines 3127-3132 / localization diagram after 4.2.5,"Bottom-left X' -> X","French around 2834; scan p.100",PASS_TARGETED
III-STR-09,102,line 3195 / cube 4.4.0,"Restore exact source edge directions","French 2901-2927; scan p.102",PASS_EXACT_BLOCK
III-STR-10,103,line 3256 / diagram 4.4.2,"Restore exact nodes routes operators and phantom (A)-(D) labels","French around 2965; scan p.103",PASS_EXACT_BLOCK
III-STR-11,105,lines 3364-3377 / theorem 4.4 proof,"Restore full large proof diagram with (8) (9) A_1 A_2 routes","French 3071-3084; scan p.105",PASS_EXACT_BLOCK
III-STR-12,105,lines 3388-3412 / adjunction triangles,"Restore d'_!d'^! and d''_!d''^! strings plus tensor decoration","French 3095-3120; scan p.105",PASS_TARGETED
III-STR-13,107,lines 3472-3479 / paired squares,"Restore both missing left vertical arrows","French 3178-3186; scan p.107",PASS_TARGETED
III-STR-14,107,line 3483 / diagram 4.4.6,"Remove spurious top-left tensor base and restore source wrapping","French 3190-3201; scan p.107",PASS_EXACT_BLOCK
III-STR-15,107,line 3502 / diagram 4.4.7,"Top-right d'^! -> d^! and matching prose target","French 3209-3223; scan p.107",PASS_EXACT_BLOCK
III-STR-16,114,line 3806 / diagram 5.1.7,"Restore exact f_{1!}/f_{2*} dual pattern","French around 3513; scan p.114",PASS_EXACT_BLOCK
III-STR-17,116,lines 3868-3875 / section 5.2 setup,"Reverse f_12 and f_23 arrows to source direction; restore M_1/M_2/M_3 functors","French 3571-3593; scan p.116",PASS_TARGETED
III-STR-18,118,lines 3962-3979 / section 5.3 setup and 5.3.6,"Reverse f_12/f_34 arrows and restore unstarred left label","French 3666-3688; scan p.118",PASS_EXACT_BLOCK
III-STR-19,126,lines 4158-4168 / diagram 6.7.1 and prose,"Restore derived outer tensors M_i=f_{i*}L_i and derived canonical arrow","French 3863-3875; scan p.126",PASS_EXACT_BLOCK
