edge_id,pdf_page,annotation_index,rect_x0,rect_y0,rect_x1,rect_y1,visible_text_from_rect,input_destination,target_id,target_pdf_page,target_view,target_left,target_top,target_kind,target_expose,target_title,origin_class,application_id,override_id,status
sga1.edge.sha256.396816501e26711e48a26fe26e24568352cfe2b6d68b2378287adee7110fb1aa,4,17,98.833,518.063,508.398,529.775,VI.9. Example: a cloven category defined by a functor E◦→Cat; split categories,section*.479,sga1.e06.sec.9,119,/XYZ,87.874,504.437,sec,VI,Example,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.2798ea66055c63219215bbaf46bb78ee56a910b6d7e5f11b3c5fccecec5cd0c2,4,18,86.878,507.233,173.952,516.680,over E,section*.479,sga1.e06.sec.9,119,/XYZ,87.874,504.437,sec,VI,Example,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.4dd1bb88a902e786cad1c434f4942aceb32b2b0f5e094aa73ee65e266ddf1345,4,19,98.833,492.160,353.795,503.789,VI.10. Cofibered categories and bifibered categories,section*.480,sga1.e06.sec.10,120,/XYZ,87.874,599.441,sec,VI,Cofibered categories and bifibered categories,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.cceab68a9bde0cb04eb056e9c0bb888a4603780f3e1a41e4ae136e48c97a2733,4,20,98.833,479.209,253.129,490.837,VI.11. Miscellaneous examples,section*.482,sga1.e06.sec.11,121,/XYZ,87.874,762.52,sec,VI,Miscellaneous examples,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.01f786d6024538d92b0cb79f4b6bc495eae39ca9b990c07691cb3728de3bebad,4,21,98.833,466.257,283.523,477.886,VI.12. Functors on a cloven category,section*.483,sga1.e06.sec.12,124,/XYZ,87.874,461.865,sec,VI,Functors on a cloven category,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b1019e608243d8e4be5bbc1b1f6a3cc85e1fd6d459e2d4d6880b151c15592185,4,22,86.878,442.104,149.961,453.732,Bibliography,chapter*.488,sga1.reader.generated.chapterstar-488,128,/XYZ,87.874,762.52,generated,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.1a9016dbd1d61d35c877d5bb2f35bc8e569bd9388bf539dd03580c36597813c7,4,23,86.878,385.759,270.022,397.388,Chapter VIII. Faithfully flat descent,chapter*.490,sga1.e08.chapter.unnamed,129,/XYZ,87.874,762.52,chapter,VIII,Faithfully flat descent,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.ddd6cc8327cbd19ffe8c7fc844e64cf2a555c6a41001158722291b32add637ac,4,24,98.833,372.808,308.461,384.437,VIII.1. Descent of quasi-coherent modules,section*.491,sga1.e08.sec.1,129,/XYZ,87.874,649.145,sec,VIII,Descent of quasi-coherent modules,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.08eff64df28e225d348b11da98e6040d6b36fc2ff1318814dbdea4e5095c3c73,4,25,98.833,359.857,342.764,371.485,VIII.2. Descent of affine preschemes over another,section*.506,sga1.e08.sec.2,133,/XYZ,87.874,762.52,sec,VIII,Descent of affine preschemes over another,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.454266de321ac773174412b3ea24d0ac722d9a41444ab5768b97857bf1711a8f,4,26,98.833,346.905,491.216,360.382,VIII.2. Descent of affine preschemes over another 1 VIII.3. Descent of set-theoretic properties and finiteness properties of morphisms11,section*.508,sga1.e08.sec.3,133,/XYZ,87.874,393.302,sec,VIII,Descent of set-theoretic properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b37e10e4ba732c1c0acdb75de2c4604b992dd2335533bc64b3676dd3d53cc896,4,27,484.989,346.905,491.216,360.382,1 s11,Hfootnote.2,sga1.reader.footnote.2,133,/XYZ,110.041,85.039,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5b677d4e2cf14fbc3e1eb1600fd27774575edb091d2da268a96b2c8b27c69a64,4,28,98.833,333.954,300.250,345.582,VIII.4. Descent of topological properties,section*.516,sga1.e08.sec.4,135,/XYZ,87.874,713.589,sec,VIII,Descent of topological properties,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.07fba0559b42c677f38cfce049d24ee2de5db25ec5b6223a7d680635d75310ac,4,29,98.833,321.002,318.006,332.631,VIII.5. Descent of morphisms of preschemes,section*.527,sga1.e08.sec.5,137,/XYZ,87.874,501.468,sec,VIII,Descent of morphisms of preschemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.f936d9b724eae11d0dadef1d0ab8576d43251a5ac32f30e1d0264767ef2ffd3d,4,30,98.833,308.051,377.391,321.528,VIII.5. Descent of morphisms of preschemes VIII.6. Application to finite and quasi-finite morphisms2,section*.539,sga1.e08.sec.6,140,/XYZ,87.874,261.725,sec,VIII,Application to finite and quasi-finite morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.52bba04431145592ef7a964f6e8c4335e7d0d5ace58202973b34141c148bfb0a,4,31,371.165,308.051,377.391,321.528,s2,Hfootnote.3,sga1.reader.footnote.3,140,/XYZ,110.041,85.039,footnote,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.6b9e077873bfc3d0806bd80192896a5f6a332758b8f37ee2e98641c703d8c310,4,32,98.833,295.099,361.279,306.728,VIII.7. Criteria for the effectivity of a descent datum,section*.549,sga1.e08.sec.7,142,/XYZ,87.874,762.52,sec,VIII,Criteria for the effectivity of a descent datum,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.afc37ee406e4f62bc53c291532ea05438fb14403a53cb2aea3cdba23bf8529e3,4,33,86.878,270.946,149.961,282.575,Bibliography,chapter*.562,sga1.reader.generated.chapterstar-562,147,/XYZ,87.874,762.52,generated,,,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.b2ee900918735356bb85a0ff73640c378a135cb9ac18869de3078d27f64758a3,4,34,86.878,246.792,508.398,258.421,Chapter IX. Descent of étale morphisms.,chapter*.563,sga1.e09.chapter.unnamed,148,/XYZ,87.874,762.52,chapter,IX,Descent of \'etale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.f871fd1d1f37a011431621c522703fe3cea1b8fb07349193e2aa5843cab9ee7e,4,35,86.878,233.841,347.011,245.469,Application to the fundamental group,chapter*.563,sga1.e09.chapter.unnamed,148,/XYZ,87.874,762.52,chapter,IX,Descent of \'etale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.126fa0a37bbe30d59fc8d9c49be106b143839b238851ea78285f247c40998698,4,36,98.833,220.889,263.552,232.518,IX.1. Review of étale morphisms,section*.564,sga1.e09.sec.1,148,/XYZ,87.874,631.212,sec,IX,Review of \'etale morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.25a005946894dd0787211f24e48580b5d7067acaf8fcff4fce8d169b53d5507b,4,37,98.833,207.938,376.763,219.567,IX.2. Submersive and universally submersive morphisms,section*.576,sga1.e09.sec.2,150,/XYZ,87.874,762.52,sec,IX,Submersive and universally submersive morphisms,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5e1d129dc0eaf8a84d3b3509be25569572b56163cd689674e89db7cb00032e72,4,38,98.833,194.986,335.582,206.615,IX.3. Descent of étale morphisms of preschemes,section*.583,sga1.e09.sec.3,151,/XYZ,87.874,676.222,sec,IX,Descent of \'etale morphisms of preschemes,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.5e528cc47239205f817c46b3a484ea6b82bd8b78c7e9d0fab44cfb70c67bf1e2,4,39,98.833,182.035,360.038,193.664,IX.4. Descent of étale preschemes: effectivity criteria,section*.589,sga1.e09.sec.4,152,/XYZ,87.874,471.269,sec,IX,Descent of \'etale preschemes: effectivity criteria,inherited_internal_link,,,resolved_stable_goto
sga1.edge.sha256.8fa4c89a1c2405c48d0bf18c971825aebb0c5fbcaba176dd0f3fa650a621e0e1,4,40,98.833,169.084,358.006,180.712,IX.5. Translation in terms of the fundamental group,section*.606,sga1.e09.sec.5,156,/XYZ,87.874,686.446,sec,IX,Translation in terms of the fundamental group,inherited_internal_link,,,resolved_stable_goto
