"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","source_locator_or_archive_url","local_path","license_or_access_signal","sha256_or_other_hash","byte_count","source_language","language_evidence","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","upload_policy","gap_or_blocker_note","non_claim_boundary","cross_lane_reference","status"
"Arabic RTL","Arabic","Marefa representation space","Marefa contributors","representation theory;algebraic structures;invariant theory topic map","public_encyclopedia_register_witness","html_public_topic_map","https://www.marefa.org/%D9%81%D8%B6%D8%A7%D8%A1_%D8%A7%D9%84%D8%AA%D9%85%D8%AB%D9%8A%D9%84","","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/marefa_representation_space_public_topic_map.html","Explicit reuse license not verified","A280CD052DC59561262DFF5916FA382794FE32133193690ABE2801A3ED104F41","312259","Arabic","Arabic public topic map text","true","false","true","metadata/hash row only; source body not uploaded","Public topic-map context only; not specialist authority","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","weak_witness"
"Arabic RTL","English mathematical anchor only","arXiv:2504.12179 Modular matrix invariants under some transpose actions","arXiv authors","modular matrix invariant rings;invariant theory;commutative algebra","non_arabic_specialist_source_archive","arxiv_pdf_and_tex_source","https://arxiv.org/abs/2504.12179","https://arxiv.org/e-print/2504.12179","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/downloads/arxiv_2504_12179_eprint_source.tar","arXiv non-exclusive license to distribute; abstract page exposes TeX source; not Arabic authority","source_archive=9283405D3E30900E07B044219A6A660CF5D5A6DA200048236240FAFB29B75364;pdf=52E05D70F57D625C9C6813F997712F66177DF25BF5885E11C7B15066BE3B1DAB;extracted_tex=ABAFDDEB02EE03AD77B0A5476C70C50F3CAA64E4E82173936978BE2048F7602A","","English","English specialist source archive for mathematical anchoring only","false","true","false","metadata/hash row only; non-Arabic anchor cannot authorize Arabic wording","No direct Arabic specialist invariant-theory source found","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","mathematical_anchor_only"
"Arabic RTL","Rejected candidate","GitHub Arabic TeX false positive","Ag-ilies/pfe repository","none","rejected_tex_source_hit","raw_tex_rejected","https://raw.githubusercontent.com/Ag-ilies/pfe/fbd0c804af7c2bf2d151251ad0b39a40dec21809/Content/02_Chapter1/Text/chapter1.tex","","sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/raw_tex_rejections/github_Ag-ilies_pfe_chapter1_false_positive.tex","License not checked after rejection","EA0D8192E487589ADFDE181DDA5E3A82A32AB867FD24308BCF94CD84FD709F8E","","Arabic-script false positive","Rejected as non-mathematical/stylistic constants","false","false","false","blocked; do not upload; keep as false-positive audit row","Rejected as not a mathematics source","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior witness table","rejected"
"Arabic RTL","Arabic","Algebra II / Linear Algebra - الجبر الجزء الثاني: الجبر الخطي","Omran Kouba / HIAST","linear algebra;algebra;matrices;vector spaces","cross_lane_direct_arabic_pdf_source","pdf_publication","https://hiast.edu.sy/sites/default/files/general/Algebra%20Vol.%202%20-O.%20Kouba-HIAST-2017.pdf","","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_pdf_hiast_algebra_vol2_linear_algebra.pdf","Search/PDF signal indicates Creative Commons BY-ND 4.0; verify before reuse beyond witness citation","9E1A2EC4E2CD27889748DF75DCB9F631734F105A2E19BF542AD52F26470DB06F","9490179","Arabic","Arabic title and PDF body; R3 fetched and hashed","true","false","true","metadata/hash row only; source body remains R3 fetched evidence and should not be copied by this lane","Linear-algebra adjacent support; not invariant-theory or six-row term approval","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_pdf_hiast_algebra_vol2_linear_algebra","cross_lane_witness"
"Arabic RTL","Arabic","Arabic Wikibooks: Algebra / Linear algebra / systems of linear equations","Arabic Wikibooks contributors","linear systems;coefficients;variables;linear algebra","cross_lane_source_wikitext","mediawiki_raw_wikitext","https://ar.wikibooks.org/wiki/%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%AC%D9%85%D9%84%D8%A9_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D8%A7%D8%AA_%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A9","https://ar.wikibooks.org/w/index.php?title=%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%AC%D9%85%D9%84%D8%A9_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D8%A7%D8%AA_%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A9&action=raw","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_wikibooks_linear_systems_raw.wiki.txt","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only","1C42729D36326EAAE4F8C528D26B9777D61A0DCD87840FFB6CEB295BA4FD72DC","3696","Arabic","Arabic source wikitext fetched by R3","true","false","true","metadata/hash pointer only; do not copy raw body here","Linear-algebra support only; not invariant-theory authority","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_wikibooks_linear_systems_raw","cross_lane_witness"
"Arabic RTL","Arabic","Arabic Wikibooks: Algebra / Linear algebra / matrices","Arabic Wikibooks contributors","matrices;linear algebra","cross_lane_source_wikitext","mediawiki_raw_wikitext","https://ar.wikibooks.org/wiki/%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D8%A7%D8%AA","https://ar.wikibooks.org/w/index.php?title=%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D8%A7%D8%AA&action=raw","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_wikibooks_matrices_raw.wiki.txt","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only","F1FADB95A074728BF7B5C6A03468EEFD63BA000BE75A9BE4302B2CD3479FC87E","3060","Arabic","Arabic source wikitext fetched by R3","true","false","true","metadata/hash pointer only; do not copy raw body here","Linear-algebra/matrix support only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_wikibooks_matrices_raw","cross_lane_witness"
"Arabic RTL","Arabic","Arabic Wikipedia: جبر خطي","Arabic Wikipedia contributors","linear algebra;vector spaces","cross_lane_source_wikitext","mediawiki_raw_wikitext","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A","https://ar.wikipedia.org/w/index.php?title=%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A&action=raw","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_wikipedia_linear_algebra_raw.wiki.txt","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only","3762E086A6268F425014603D2E31867CB8B2A566F4AA1D9559D511E9B8173103","22214","Arabic","Arabic source wikitext fetched by R3","true","false","true","metadata/hash pointer only; do not copy raw body here","Overview support only; not sufficient for invariant-theory bridge","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_wikipedia_linear_algebra_raw","cross_lane_witness"
"Arabic RTL","Arabic","Arabic Wikipedia: فضاء متجهي","Arabic Wikipedia contributors","vector spaces;linear algebra","cross_lane_source_wikitext","mediawiki_raw_wikitext","https://ar.wikipedia.org/wiki/%D9%81%D8%B6%D8%A7%D8%A1_%D9%85%D8%AA%D8%AC%D9%87%D9%8A","https://ar.wikipedia.org/w/index.php?title=%D9%81%D8%B6%D8%A7%D8%A1_%D9%85%D8%AA%D8%AC%D9%87%D9%8A&action=raw","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_wikipedia_vector_space_raw.wiki.txt","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only","0281433D2944392DB236F4650CB57007F28AF0BDA36B2454A853EDDAC93380CA","14506","Arabic","Arabic source wikitext fetched by R3","true","false","true","metadata/hash pointer only; do not copy raw body here","Vector-space/linear-algebra support only","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_wikipedia_vector_space_raw","cross_lane_witness"
"Arabic RTL","Arabic","Arabic Wikipedia: Frank Grosshans / invariant theory mention","Arabic Wikipedia contributors","invariant theory biographical mention","cross_lane_weak_source_wikitext","mediawiki_raw_wikitext","https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%86%D9%83_%D8%AC%D8%B1%D9%88%D8%B4%D8%A7%D9%86%D8%B3","https://ar.wikipedia.org/w/index.php?title=%D9%81%D8%B1%D8%A7%D9%86%D9%83_%D8%AC%D8%B1%D9%88%D8%B4%D8%A7%D9%86%D8%B3&action=raw","C:/Users/memo_/Documents/Codex/2026-07-04/noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z/fetched/ar_wikipedia_frank_grosshans_raw.wiki.txt","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms; signal only","D8F9C4774F628E5C9041C20F11E34A6F83327574EEA532F4E0FA7E45151EC592","2377","Arabic","Arabic source wikitext fetched by R3","true","false","true","metadata/hash pointer only; do not copy raw body here","Weak mention only; Arabic direct specialist invariant-theory source package still open","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row ar_wikipedia_frank_grosshans_raw","weak_cross_lane_witness"
"Arabic RTL","Arabic source-canon gap","Arabic TeX/LaTeX source corpus","not found","Arabic TeX/LaTeX source corpus;algebra;ring;field;invariant theory","gap_row","gap","","","","No source found; no license signal","", "0","Arabic","No direct Arabic mathematical TeX/LaTeX source archive found for treated topics","false","false","false","gap row only","Need Arabic TeX/LaTeX source package from institutional repository, journal, arXiv-like preprint, GitHub repository, or author archive","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-TEX-001","gap"
"Arabic RTL","Arabic source-canon gap","Direct Arabic specialist classical invariant-theory source","not found","classical invariant theory;polynomial invariants;invariant rings;geometric invariant theory","gap_row","gap","","","","No source found; no license signal","", "0","Arabic","Existing Arabic witnesses are secondary/index/context pages","false","false","false","gap row only","Need direct Arabic mathematical source for invariant theory topics","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-INV-002","gap"
"Arabic RTL","Arabic source-canon gap","Arabic covariant / binary forms source","not found","covariant;binary forms;classical invariant theory","gap_row","gap","","","","No source found; no license signal","", "0","Arabic","No direct Arabic classical invariant-theory source for covariants or binary forms found","false","false","false","gap row only","Need Arabic specialist source distinguishing classical covariant from tensor covariant/contravariant usage","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-COV-003","gap"
"Arabic RTL","Arabic source-canon gap","Arabic Artinian / minimal-condition source","not found","Artinian;minimal condition;descending-chain condition;rings;modules","gap_row","gap","","","","No source found; no license signal","", "0","Arabic","Direct Arabic Artinian-source witness remains thin","false","false","false","gap row only","Need Arabic algebra text using Artinian rings/modules or descending-chain condition in comparable algebraic context","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-ART-004","gap"
"Arabic RTL","Arabic source-canon gap","Arabic ring homomorphism/isomorphism contexts","not fully closed","ring homomorphism;ring isomorphism;ring theory","gap_row","gap","","","","No source found sufficient to close context-specific gap","", "0","Arabic","Group-theory and algebra sources support related vocabulary, but ring-specific contexts need strengthening","false","false","false","gap row only","Need Arabic ring theory text with homomorphism/isomorphism vocabulary in ring contexts","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-HOMISO-005","gap"
"Arabic RTL","Arabic source-canon gap","License/reuse closure for Arabic witness set","not closed","license;reuse;access boundaries","gap_row","gap","","","","Only HIAST algebra witness has clear open license signal in current Arabic table; no blanket clearance","", "0","Arabic","License/access signals incomplete across Arabic witness set","false","false","false","gap row only","Record page-level rights statements before redistribution beyond metadata/hash references","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","Arabic lane prior gap AR-GAP-LIC-006","gap"
"Arabic RTL","Arabic source-canon gap","Arabic direct TeX/arXiv invariant-theory source package","not found","invariant theory;TeX;arXiv;source package","cross_lane_gap_row","gap","","","","No source found; no license signal","", "0","Arabic","R3 found Arabic mentions but not a direct Arabic TeX/arXiv/source archive for the invariant-theory term cluster","false","false","false","gap row only","Do not route invariant-theory Arabic bridge terms from weak mentions","No native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, reviewer packet population, or Git push","R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z row gap_ar_invariant_theory_tex_arxiv","gap"
