physical_page	printed_page	prompt_id	disposition	source_status	french_status	apparatus_status	final_status	record_sha256_source	record_sha256_french	record_sha256_apparatus
17	118	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	C33AB568DA13F90EB2EDF29F2442583341C731D8E1A338FDA4482248C2E8CBAB	3803100545D01F103D08D9974FC0C51A8A0857BDEAC64FA72C0B254C58625406	A812C080173AB40D643FB346886628F5D7DE15C73C54D5052FE75D751A913020
18	119	P03	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0B7F39E03C58DD073549E31FDB8C75B461E090A38826524A49F8FFB01D589FEA	4662E1BB2E95AF4D8B31B9FA18600E8E2B5C80DD70BEC0B325A2FAA247C2B7D4	4FBEF9D71AD081D6D64006003E26D4CB8B9AB9AD27CD686AAB2BD1C986CC2FA0
19	120	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	685F201C086BF6D0F7D82E1E3C2D0A4C6F4FD6B2C866374046072E0064402291	6B3E5B9ADBF1F567B4E1C931E7CA5C253F702CA5EE1D3FE0CBB8E092CCF55C4F	3313583CA1E560B063DB35BBD073E65A521AF01AC2D303C1F4A2EBC7D2290288
20	121	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0F3D963AD4B3145A4C75214B47D87A6DCBFC16BDFFCD4F73715EABB1BE556880	BDEAB5535F1AAE0FA013EE0D65D9032B1B7458085E557400D13B176CCA2E8A38	6D01DF6E6B9E043A8E2BF3F09F216E26B91FB1038F4A473AC2DD46BB2E20E782
21	122	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	32BEC1B4204F7AA26373839D240D0E804E3BEDADA6B8D58842B9E392514D6E4F	30E04FEE2793FBB5D6DD6182D0F6DF4B1B729622561CE25B4FDD4509A2C5D8F5	CA4836BD4327C39125CDE91DEB839029E34669311ECD1B3F1DAFE1F78ED57794
22	123	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8C28427FA90260BEC7627C8FF59A2A4B91A3AFD0E74539D81F7FEC16B5FCA219	6D3BCF05160BE96FFDC60AEFD0DD00CF8558D3AE88976867366CCCA0AC0C662C	2FAC6202258B8ACE2CAC456E2D4EEF4F27B332F2EFCEEDAC8D564A786ABB8BCD
23	124	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	65F421520B91D1380ADDFED93D4A10ACB49E40F607263A47E8C71C50761568A0	A2F576CD3FD4C4961D02289172C6530E61DEB9EB25C858C764887A96635752AB	A3D012DD291DDEA73FE93F347DD6E81949F601B67B7501334AE2B4C83D331FE9
24	125	P04	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1198D802FF3B0261643E82796D36A2D5E6099A0CA33BC49A63B0953C0306DE6E	63FBC1582B76B1AC7DC49117D052CB5F7FC407AD31E367ED586E375C8837207A	3FC3725B2ED81FB983A38F6CAB413411C1DB014033A52069D49EF9B5BC6DA67B
25	126	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3051B82D20637E32E5BF8778D6877135ED00FE80B7237326B40CE90B1359CBAC	AC79969E037C8DE7D776B9AFDF5CA2F0766E4AF160BB0F4F5774B05997287FE6	D561E44EA13062CB213AE7DEC73C69BF20752AA2814A98F602EAC18B15F4BD64
26	127	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B27E9F651E08AD54F52C16E1C81DE8AA4A1C39A676B88F447C17A736271CBC1D	D6C76EFC969CB82133E5E4AEBDB7B08B19063DF5FBCEF4E26649478C59A88240	26CF927D1E611D896FD23CFE5276F5C67692326E04E037F0B6FDE9A12BBCDDBF
27	128	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	9B5990882E92A9D5F97F076B864D29B238FFBEC45F183969C2AC6C7F132A49D6	CE54DA49F4F6A2E25F9BCDEA05851CC6EA02E4D0E5157851F09E9AE0ED296AE9	2133BB812BBC56A06C10EF34DB800AFABA3D5320AAC56A10D85B1CC0A059167D
28	129	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2AC22752D888F757E099925139F1820B4228C429633367F33143BA1B8A417314	C2A78411B7603D2E0C2CAA9D4433B2FE3E706C3BD91F0EFD1D56C34ADD66B5AA	424502878815C478FC102C64929A046BA5A45FC7AF6E900A74D7A2D1FF071F9E
29	130	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D92A16F2CBC70C3A86FDBB7A68D4C47ED46BB255B7D994BBC24472B2138D20C2	612A1908D08EB9319429B7687B54FE9C9B0FF4CFA30846F18DE0B1212BA9259B	F4B06F0A9B3F7494C615123EB1FDE8D749018F9DED584D2E516B7713AC795B79
30	131	P05	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	B72FE1ED3FAD228EE9F4A53847223C717A1B5375DDA334764AC082E837896592	6B8495F94F917FC2BA0AD9B2AEE1131A00F588D3F6E5FA39CDD953179AA8241C	16D37FB6425A6419C9C65A23ACACC0A1FC4CD375FD9D97016A6548D7B85149A0
31	132	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	653F78376529D83D5D04DB6F3AF746950324BA2EFA6604392798A39307F2C30D	26CB8C4D61D6047176E278613D97DA2B65BD55DD7CAB754338B8A253DA3A279B	A8EF1F8F7F662D9275473BB1BC358A9B5F3C3FDF6360D317BD9EC19171DBB6A5
32	133	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4A64AA077214095A03B602423E35F3145FE5C83569C3AC7B171C185559DB0797	7B02C9DA48AE0B318AC4610A962FD6A653AB6159C47E285FF5C7BE82E5109A19	1784EB932EF2851A953D0E010CE089F22F2088B65D74A6CF488583953FCE7585
33	134	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	84D59EA59E485BBC7E9B49FE8949D2E24D6886B222EF4E9E7AB10FFCBB831904	69EE721DA42D2E2E206322DC31D353C78B6ED16E580E9ABF20FD1AEBFABB6F26	45470E6C067C35E486CA8BD4B0C43B6BE8380A720417F02F8C6B90369BB7CC32
34	135	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1CB353003F27CB2DD32C32F181AD99F8EDE16BF093303CB4363A455BA49850AE	2CFF7156EF7EC6761419DF1C877954B14E98519AFD09EF456F0D1D5BA433623D	9B8579DBD4B11D0C06CAE8E6F948BBCC24A9C88C4E00ECB472A33D4524FCF1EF
35	136	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CD683A300BD981C5FB12D6734C0AA863E8147B5E4F73E51525F481E859121B8B	D415108DFCFCD8576E5D05D48A25E56CBC877F2512C90253A4987BA30DD5C424	6EBCF6D7C3BBC6053BBB4C84FFBBCD31ECF1FD06D093CC44398FCC242380DBBC
36	137	P06	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	EC24708B29BC65F81367B788E5E674F4633D673B9FFD88FED4BC29FB3FE2C885	050EAC4269E510230E95C7BE830D7168CE657A7C65EABE24E807430AE2BB71FD	CD6CC94236DCD9CA29835E6B0C26B5B37C01CE9B3134AF7EF36E9163F35CBFD6
37	138	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AEA9D40C0148983FE53363C5DB856C991AEE4213A1BC2BC000773FA6D4212404	983B9A625DED3413C41EE5EACBD111018E0365AF4CFA8D318AA893F6E9980324	8FCC4F968B115C4FB11BAC2E99ADD2F8F25C19EB0509469FF126AE713B40A245
38	139	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7687B089AE39B6560099B7909BDAE240A8869167F9DBD88D29E603FEAEDA73D7	77210FF84AEF6E13BCBDA3BA207B6D8BED84AC18EF9F666565825FC6C97C817A	DED858ABB4E7D061358849730CDF00669AEB808AD5076A8C1CDCF05E5D8E17BB
39	140	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D03D64D86F02BC84EDD31DC26E60B35449B914988FD69463D9B1B92F94C26F6F	6B710300403A8AB38A5A925E41E6067237051C9F34E5D6BF872E12C1B9246A2F	9762098C2664EC0C876EC14D3517FE5294415501825EEDC4CC143B49A436AA80
40	141	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	07764DDBA9AC1ABDD5411B6270BD03626831C7D15F8318DF759A57B638902CFE	5630F382AA9F2ED43A725076635938D2030BFFAEE641B919F7F9D52881FE1225	D4E2A0A86F09062AE1540FEE616D2C87ACA4907048A5342680734C08F6E1AF7D
41	142	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A6C608C95430FB322F6974A1B44FCF9ED05C9D26838F882CB6BF65F380BE3EE2	BAB80AEE6F22CD319A74B4EFFDAAA710B51F10B0D5FCB988959051B29FA21973	913E61DFE64358F51555A32D3E70FB31D4C5874B6A6C7D9733C9CEE0477C39D6
42	143	P07	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4DBEC2F2D509D75174CCCDCE65B4DC01AFC9C8EB9C96A44B0ADF77A2397678AC	0EC3F27766D15E4F6DA53A3C9FCCA9F4D32D5769CA14CA887CE670197DA7A078	4A68B77495769674220F0F7C32043F8631CFF4FE703699763D3ACD327A24AA1B
43	144	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	02974646B76FE90BABC6857F119A5C655421180E794FA4D5E83D7B20859F7A31	9C19CD5EE3FCF36FCF82CAFBB2E98A6B0C2DE2E7A3C30C9C1F9B25FEFA1FF01A	FEA9A21417A7440CCCDE14744A3ACE28047A888F19D7D80C2FFC108857D838C8
44	145	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	C355AB186696EF6ACEC44670976F747AF0B08F932531898E1E8E17011C04E66F	023B4D1691C83B72F6CB8CA5235C8A9948B916927678DC08948150DAEF6B0C62	597DBEE1F850E13033F57F4B80987CFE72F348592691E9EC571B39AA4405E7B3
45	146	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	468058935781824242AF4D3EA9C38942B1F2FBB08C40059372F475879711EE4D	667733B5C96FA17DCB0EA88D268BCDC394B6EA62DCDDFF097A8AB0517DA562A6	E17EC019D5E1A0EC03FF231D7F0F4EBAB0E3E283F9FD7B3E025BF224AC7CA92D
46	147	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	92E54ED25A146BCB038D1988BB5E19F1BF11120BDDFBF90AB528A8771B335127	341C87B4A69105B569B48CED841ECE00DD88F8EB04AA2C4AF5C6FF5D61C79408	27E3F256E7263E8E837CF9DD37623F85A24A7F69650755377E3971FA0D581A70
47	148	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CE5A00FCAE7CDA16B021CD444F3DFD88F91A58E449095D1261A38882E5107F59	8F2DA50F17D98E4659709138E794288D8A097B8FAEC570568C592DD6781B17C0	EFCE549707033B78EFFC0EA61E354D84A0B8AB94851F26770AE5304CA59BFE0C
48	149	P08	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F3D4C37046F20C604DF9E351BAE04403FE25B6198F2911301D26465907B609DE	6F52A9DC7EF0DEAF24895A29433E6EC543F339D31630C5C89C859D889699976F	2139BAE9C8037AD5E4895CBE86024026DE376AEEA5764D81F8419ECB9A9FB27C
49	150	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	FC016DBF97E0DF60F06612EF74AE7408F9BC69A58509E0EA76DA3203E115E539	07F94D28DA69FE2DF0F0D541350546D10C3017F2544C31E0554BD88855682EC0	CFBBBB3F856606D54B095C25AB53D0925974715947B6A34A70DB3AB5D778CCC0
50	151	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DDC660FD3D7712EB58A8053669FB7CA0EFCD1A32DEE26E3847C8FAEAF0544E9D	F5E0AE5D6BB45982C0AC548AFA6C85E6CDACAA9626802F1DADC5CA11C2EC26CF	D9063E625FAFBAB8231D3B57DE15EF00D06EC58D9480ED90637CF976BDFF2735
51	152	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F17ADDA16D2D061E5D233774BE6360AA29ED4D2C21E7FE291512D349CFA27D5B	61E7EE25CEB7BABB259992B1BFD960C36D843761F61F9C55B5B7BC75ED56F1B5	A94DFBEF32692037BC420F09E0D658F15011A6896AD193200448B192DC8A86A7
52	153	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	83AE695D08562BE48ED6903D29CE1D047466A0DDE84505DB5CEF0D272DC9B3C0	E5B67730A35EAA6708D1950DEBDF004284752C8F7FF8E870A44A7875852D984B	7B6CF263D6D6D1488324692CF88F862BB2BBECFE1F6E35C5E8DBF04CA4F5518C
53	154	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3B37D435925E4CD61A7B525C03DC342F646E85C213542786B5FC1E765E9EA2B6	BC99694E5689AC716BFBFCCDC6A86FA537793ED5587AF23F5D1A6D7BDF751D8B	A4DCE1C0265F7BEFB1EAF9C217097F2BDC83BCD1062F132A63E8403975DD1D3B
54	155	P09	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	EEA23C9E3BE8D76B6ACA9C18CD4F229E6424166BE3090C2054E3854524AD07FB	DD4734A00FAED0112B5914D7D157A0100F62DE0C057F040FBF6BBB17DF70B047	680D456A91174A675C7CD89466A0CD014D42501FD4B5E6BF58B092B678B1FAEC
55	156	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F2353C3C4DA4F03EAFE826E9A5576DFDC94CFEF890186840AFB18DE2314C6401	11D476FBF532B99FE1A5F3AE38AB6E7AC5510E9BD4FDEB579B52EC0301627697	357D8A098A1C4995303CF167A515463905662169AAD93EE11A097B93671BCD5F
56	157	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	58B85859675CD0470DB2F2A5A83F8599D058F0944C9B4151A6DBD7F90BC59866	D0C14B0CF7BB24E98AD41294ADC7F798485540129887E1AF316F20F9D4CCBCC0	CE21C9D07F93454B4868B7E78B8450D77CB21CFDC0E9CDCB737C09B306635B02
57	158	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2B81C6665CE4F2E3CB5FB1C2CCE13F9AE538EC1C7B95702C0A448B1D6EBB7E99	18E06ED47C662594F877311AB23207FF9401A621A7DF80BC9BA521CBEFB913B8	5789727581EB41BFAD470A1E946972B0DF7237FC04273849E07246D9CC11E964
58	159	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BB4E020A297BE1484CC874479E7D2A7FCA9D938334C481EB8DC9D8CB73F303CC	F581C80DBB7CE7DB3D2AD510404F46D6DED58432E4589085C6FC56422D5B679B	8D85192FB7B9FDE479D155613290F789531114C1C7939C25A30C667E3659836B
59	160	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	CC0F86CAF829999F7631E50FD0539367AB774FC9CB1165F0648EB32D71A33A15	759FDF48E0783C063887A1C58A63A767D84A7F1A66B6ADD0F4B29A675203E8D9	3A9620F29BA8A6CDEE003BB623BDE756A6880562DB3E25C13BD25125C423A289
60	161	P10	INCLUDE_ARTICLE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A201BEB247E0DA7DA8EE28EA9BD430EEFED681FB78D1E8BED2C6A9D7C4FF6C15	AB6A6C5E187DBF40EFAE15797901EF683BCBEC30ABEDF970E1C28E1C534CF500	01E3A8CD977306E12D58D03403CA88131A169FB8FFBF03AEF68EC75CAE2CE403
