"paper","printed_page","source_pdf_page","validation_output_pages","formulas_or_structures","source_full_page","source_sha256","source_dimensions","source_inspection_assets","audit_depth","disposition","confirmed_fix_ids","no_patch_ids","adverse_source_ids","notes"
"P04","128","11","49-50","(13)-(15)","02_source/P04/full_pages/P04_p128_source_native.jpg","baede91b96e0edd245df5c48aa6342eeca698a5be0509b6411c94bcd49243a3e","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","129","12","50-51","(16)","02_source/P04/full_pages/P04_p129_source_native.jpg","c40d01701961ae50f56fde89f316b34f3c2c49205cbbcdaddd50858767ae0af2","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-002","NP-P04-129-ELLIPSIS","SE-20260718-P04-PRINT-002","Displayed continuation in (16) and source-literal prose omission distinguished; no silent ellipsis supplied."
"P04","130","13","51","(17)-(19)","02_source/P04/full_pages/P04_p130_source_native.jpg","098c97c0872e4dae62a742bf5bf63144f5f892c3700e5ae60e41d90cdd2675a3","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-003","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","131","14","51-52","(20),(21),(20a)","02_source/P04/full_pages/P04_p131_source_native.jpg","7d1bf8bd8fb8ac2baf59d17c19ca4a523f73ca7b1e47ddd06033532ec028cf8b","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-004","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","132","15","52-53","(22)-(24)","02_source/P04/full_pages/P04_p132_source_native.jpg","d50e5108e37f5e4422df33437f78f2bf34fc321d50b105408c7919e15636b0e7","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-005;W04-P04-006;W04-P04-007","NP-P04-132-REL23;NP-P04-132-PARTITION","SE-20260718-P04-PRINT-R823-003","Relation (23) independently confirms q_{rho-1}^{(1)}. Source duplicates tau>=sigma in cases 3/4; coherent disjoint R823 case-3 strictness retained."
"P04","133","16","53-54","(25)-(28)","02_source/P04/full_pages/P04_p133_source_native.jpg","6a4c9c4829dbef91777f02b2e2204ee51efce6fad766ffb2aa0e351938fd0a76","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-008;W04-P04-009","NP-P04-133-EQ28","","Equation (28) independently confirms both full multi-indices; only lexical compounds and equality strokes changed."
"P04","134","17","54","(29)-(32)","02_source/P04/full_pages/P04_p134_source_native.jpg","e121da60b3d89436d5d7f0e593d95e8b0aaaf3b73d23e93183905fa7a7fd8703","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","135","18","54-55","(33)-(36)","02_source/P04/full_pages/P04_p135_source_native.jpg","06aacf87d1d17888c3800e32708b66f64d5c2923bdf4d74f847dbbe9ff1d114d","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-010","NP-P04-135-EQ35","SE-20260718-P04-PRINT-R823-004","Equation (35) preserved under documented editorial ruling; two split Schlußausdruck compounds repaired."
"P04","136","19","55","(37)-(38)","02_source/P04/full_pages/P04_p136_source_native.jpg","6294a3de6e1bc090f47c5a86fc3bcf7d3851ab9841fe8e8a615753e762b6ac22","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","137","20","55-56","(39)","02_source/P04/full_pages/P04_p137_source_native.jpg","f53cc883c02d81d70634391dbe407c02413cf705189320b90a6ad0ae80b833d2","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_apparatus-or-no-patch","","NP-P04-137-38-39","SE-20260718-P04-PRINT-R823-005;SE-20260718-P04-PRINT-R823-006","Relations (38)-(39), Schlußausdrücke, source alpha/current rho, and source identity/current equality all independently checked."
"P04","138","21","56","'-","02_source/P04/full_pages/P04_p138_source_native.jpg","8daf80f0e86dbe3f97300b12aaee91d92c7ee4566d4365820d2892c8088fc0b0","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_no-new-secure-delta","","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","139","22","56-57","(40)-(43),(42a),(43a)","02_source/P04/full_pages/P04_p139_source_native.jpg","a5fc9be427334dd73f3efb64471aecafee579e68110ec7ea0f87a577bc91260b","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-011","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","140","23","57","(44)-(45)","02_source/P04/full_pages/P04_p140_source_native.jpg","814ac3647e621e90c03836f4c5dc613e244a305879ed5346a250e590ec6899d4","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-012","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","141","24","57-58","(46)","02_source/P04/full_pages/P04_p141_source_native.jpg","e97fb4032b1e146b1a349acdc1d89ba0d1a1b0b19a485f8fc81e263ece6f1e08","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-013","","","No additional source-certain mathematical or symbol delta promoted on this validation base."
"P04","142","25","58-59","(47)-(49)","02_source/P04/full_pages/P04_p142_source_native.jpg","0f402db8e519cad576bc4cf081016123389ef88d75bccd902926b6877c1a9eee","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-014;W04-P04-015;W04-P04-016;W04-P04-017","NP-P04-142-EQ47","","Source shows rho<=n, f identity sign, a second equality in (48), and double-stroke chain in (49)."
"P04","143","26","59","(50)-(52)","02_source/P04/full_pages/P04_p143_source_native.jpg","6c848b45b0fce447cf380cd77ce40c859b2d6fc55d9ec12563309a978b8775e6","3888x5649","full page + 5 source-only strips","full-page visual reopen; dense formula/symbol collation; requested-locus adjudication","source-checked_patched-in-validation-and-localized-diff","W04-P04-018","NP-P04-143-DOTS;NP-P04-143-BOUNDARY","","One dotted q plus three dotted p symbols survive. Source p143/p144 continuity inspected; p144 not edited."
