printed_page	unit_id	fr_structure	en_structure	fr_tex_lines	en_tex_lines	math_segments	manual_structural_review
76	p076.r28.eq.009	continuation; R28 eq.009 visually replayed	continuation; R28 eq.009 visually replayed	35-40	35-40	5	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.eq.010	continuation; R28 eq.010 visually replayed	continuation; R28 eq.010 visually replayed	42-44	42-44	1	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.par.008	continuation; R28 par.008 visually replayed	continuation; R28 par.008 visually replayed	46-48	46-48	2	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
76	p076.r28.eq.011	continuation; R28 eq.011 visually replayed	continuation; R28 eq.011 visually replayed	50-52	50-52	1	All reasoning, not only final criterion, is preserved: no need to knowt; either rootχ; invariance under multiples ofb; negative-root sign cancellation; final question continues on77.
77	p077.r28.par.009	continuation; R28 par.009 visually replayed	continuation; R28 par.009 visually replayed	3-5	3-5	2	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.eq.012	continuation; R28 eq.012 visually replayed	continuation; R28 eq.012 visually replayed	7-9	7-9	1	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.par.010	paragraph-start; R28 par.010 visually replayed	paragraph-start; R28 par.010 visually replayed	11-13	11-13	3	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.eq.013	continuation; R28 eq.013 visually replayed	continuation; R28 eq.013 visually replayed	15-21	15-21	7	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.par.011	paragraph-start; R28 par.011 visually replayed	paragraph-start; R28 par.011 visually replayed	23-26	23-26	7	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.par.012	paragraph-start; R28 par.012 visually replayed	paragraph-start; R28 par.012 visually replayed	28-39	28-38	12	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.par.013	paragraph-start; R28 par.013 visually replayed	paragraph-start; R28 par.013 visually replayed	41-44	40-43	7	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
77	p077.r28.par.014a	paragraph-start; R28 par.014a visually replayed	paragraph-start; R28 par.014a visually replayed	46-48	45-47	0	Every dependency and qualification in the generalization remains: absence of t, proposed removal of representability, squarefree M, smaller-than-c factors, proof difficulty, and limited rigorous range. No unprinted proof or correction added.
78	p078.r28.par.014b	continuation; R28 par.014b visually replayed	continuation; R28 par.014b visually replayed	3-11	3-10	6	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.thm.001	heading; R28 thm.001 visually replayed	heading; R28 thm.001 visually replayed	13-13	12-12	0	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.par.015	paragraph-start; R28 par.015 visually replayed	paragraph-start; R28 par.015 visually replayed	15-22	14-22	23	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.par.016	paragraph-start; R28 par.016 visually replayed	paragraph-start; R28 par.016 visually replayed	24-28	24-28	2	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.par.017	paragraph-start; R28 par.017 visually replayed	paragraph-start; R28 par.017 visually replayed	30-34	30-34	10	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.par.018	paragraph-start; R28 par.018 visually replayed	paragraph-start; R28 par.018 visually replayed	36-40	36-40	11	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
78	p078.r28.par.019	paragraph-start; R28 par.019 visually replayed	paragraph-start; R28 par.019 visually replayed	42-43	42-43	0	Full provisional-general versus proved-special distinction preserved. Each branch of Theorem I, arbitrary rootχ construction,3-divisibility and7-divisibility cases correspond with no dropped negative case.
79	p079.r28.sec.005	heading; R28 sec.005 visually replayed	heading; R28 sec.005 visually replayed	3-3	3-3	0	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.par.020	paragraph-start; R28 par.020 visually replayed	paragraph-start; R28 par.020 visually replayed	5-11	5-11	11	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.par.021	paragraph-start; R28 par.021 visually replayed	paragraph-start; R28 par.021 visually replayed	13-16	13-16	8	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.eq.014	continuation; R28 eq.014 visually replayed	continuation; R28 eq.014 visually replayed	18-25	18-25	1	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.par.022	continuation; R28 par.022 visually replayed	continuation; R28 par.022 visually replayed	27-28	27-28	1	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.eq.015	continuation; R28 eq.015 visually replayed	continuation; R28 eq.015 visually replayed	30-36	30-36	1	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.eq.016	continuation; R28 eq.016 visually replayed	continuation; R28 eq.016 visually replayed	38-44	38-44	3	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.eq.017	continuation; R28 eq.017 visually replayed	continuation; R28 eq.017 visually replayed	46-52	46-52	1	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
79	p079.r28.eq.018a	continuation; R28 eq.018a visually replayed	continuation; R28 eq.018a visually replayed	54-57	54-57	2	Two4n+1 primes, representability and oddt, reduction ofu symbol, factor classification and each of the three subsequent operations are fully represented; final prime list continues on80.
80	p080.r28.eq.018b	continuation; R28 eq.018b visually replayed	continuation; R28 eq.018b visually replayed	3-6	3-6	4	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.par.023	paragraph-start; R28 par.023 visually replayed	paragraph-start; R28 par.023 visually replayed	8-11	8-12	10	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.eq.019	continuation; R28 eq.019 visually replayed	continuation; R28 eq.019 visually replayed	13-20	14-21	1	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.par.024	paragraph-start; R28 par.024 visually replayed	paragraph-start; R28 par.024 visually replayed	22-25	23-26	8	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.par.025	paragraph-start; R28 par.025 visually replayed	paragraph-start; R28 par.025 visually replayed	27-32	28-33	11	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.par.026	paragraph-start; R28 par.026 visually replayed	paragraph-start; R28 par.026 visually replayed	34-41	35-42	6	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.eq.020	continuation; R28 eq.020 visually replayed	continuation; R28 eq.020 visually replayed	43-45	44-46	1	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.par.027	paragraph-start; R28 par.027 visually replayed	paragraph-start; R28 par.027 visually replayed	47-49	48-50	3	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
80	p080.r28.eq.021	continuation; R28 eq.021 visually replayed	continuation; R28 eq.021 visually replayed	51-53	52-54	1	All sign-change conditions and repeated product-of-right-members reasoning retained, including the reciprocity reason requiring no further changes and separately treated t4n+3 case. The pair of results is summarized on81.
81	p081.u01	paragraph-start	paragraph-start	3-9	3-9	1	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u02	paragraph-start	paragraph-start	11-19	11-19	9	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u03	labelled-proposition	labelled-proposition	21-29	21-29	3	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u04	paragraph-start	paragraph-start	31-37	31-37	5	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u05	paragraph-start	paragraph-start	39-47	39-47	11	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u06	continuation	continuation	49-57	49-57	11	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
81	p081.u07	continuation	continuation	59-64	59-64	4	All branches and sources of substituted values retained. Full gcd construction and reference to§4 present. The unusual statement that the result will not be demonstrated is literally translated, not silently removed.
82	p082.u01	paragraph-start; legible p^2 retained, see separate apparatus	paragraph-start; legible p^2 retained, see separate apparatus	3-18	3-18	31	No condensation of first/second case reasoning, separate K/L assertion, odd-divisor theorem, multiplication by E/F symbols or numerator-order reversal. The printed p² anomaly remains translated and separately explained.
82	p082.u02	paragraph-start	paragraph-start	20-23	20-23	8	No condensation of first/second case reasoning, separate K/L assertion, odd-divisor theorem, multiplication by E/F symbols or numerator-order reversal. The printed p² anomaly remains translated and separately explained.
82	p082.u03	paragraph-start	paragraph-start	25-34	25-34	13	No condensation of first/second case reasoning, separate K/L assertion, odd-divisor theorem, multiplication by E/F symbols or numerator-order reversal. The printed p² anomaly remains translated and separately explained.
82	p082.u04	paragraph-start	paragraph-start	36-49	36-49	9	No condensation of first/second case reasoning, separate K/L assertion, odd-divisor theorem, multiplication by E/F symbols or numerator-order reversal. The printed p² anomaly remains translated and separately explained.
83	p083.u01	continuation	continuation	3-13	3-13	5	All conditional comparisons and double presentations of each criterion remain. No collapse of the two χ roots or omission of the final separate divisible case. Sentence at83/84 ends with «the»/«same thing» in EN matching source sense.
83	p083.u02	continuation	continuation	15-22	15-22	11	All conditional comparisons and double presentations of each criterion remain. No collapse of the two χ roots or omission of the final separate divisible case. Sentence at83/84 ends with «the»/«same thing» in EN matching source sense.
83	p083.u03	continuation	continuation	24-29	24-29	8	All conditional comparisons and double presentations of each criterion remain. No collapse of the two χ roots or omission of the final separate divisible case. Sentence at83/84 ends with «the»/«same thing» in EN matching source sense.
83	p083.u04	paragraph-start	paragraph-start	31-43	31-43	14	All conditional comparisons and double presentations of each criterion remain. No collapse of the two χ roots or omission of the final separate divisible case. Sentence at83/84 ends with «the»/«same thing» in EN matching source sense.
83	p083.u05	paragraph-start; continues on 84	paragraph-start; continues on 84	45-48	45-48	7	All conditional comparisons and double presentations of each criterion remain. No collapse of the two χ roots or omission of the final separate divisible case. Sentence at83/84 ends with «the»/«same thing» in EN matching source sense.
84	p084.u01	continuation of p083.u05	continuation of p083.u05	3-5	3-5	3	The proof-status distinction, common-general-theorem argument, distinct-prime M, both branches of TheoremII and a=5/13 specialization are complete. English does not supply the promised general proof.
84	p084.u02	paragraph-start	paragraph-start	7-23	7-23	7	The proof-status distinction, common-general-theorem argument, distinct-prime M, both branches of TheoremII and a=5/13 specialization are complete. English does not supply the promised general proof.
84	p084.heading	heading	heading	25-25	25-25	0	The proof-status distinction, common-general-theorem argument, distinct-prime M, both branches of TheoremII and a=5/13 specialization are complete. English does not supply the promised general proof.
