printed_seam	authority_pdf_pages	scope_leaves	manual_observation	source_images	result	fr_ending_tex	fr_opening_tex	en_ending_tex	en_opening_tex
75/76	92/93	13/14	Delta-prime display closes p75; p76 uses it to decide the sign of t/b.	qa/s04/source/p075_authority.png;qa/s04/source/p076_authority.png	MANUALLY_RECHECKED	t\pm\psi\equiv0\md{b},\qquad \leg{t\mp\psi}{b}=1. \end{equation*}	\par\noindent Il résulte du théorème énoncé à la fin du paragraphe précédent que, pour décider si $-b$ est ou n'est pas résidu biquadratique par rapport à $p$, tout se réduit à la question de savoir si $t$	t\pm\psi\equiv0\md{b},\qquad \leg{t\mp\psi}{b}=1. \end{equation*}	\par\noindent It follows from the theorem stated at the end of the preceding paragraph that, in order to decide whether $-b$ is or is not a biquadratic residue with respect to $p$, everything reduces to the
76/77	93/94	14/15	The announced task of deciding t/b=±1 continues with finding chi satisfying chi^2=p modulo b at p77.	qa/s04/source/p076_authority.png;qa/s04/source/p077_authority.png	MANUALLY_RECHECKED	\[ \leg{t}{b}=1\quad\hbox{ou}\quad \leg{t}{b}=-1. \]	\par\noindent Il suffira de chercher un nombre qui satisfasse à la congruence $\chi^2\equiv p\md{b}$; ayant trouvé un pareil nombre $\chi$, on aura toujours:	\[ \leg{t}{b}=1\quad\hbox{or}\quad \leg{t}{b}=-1. \]	\par\noindent It will suffice to seek a number satisfying the congruence $\chi^2\equiv p\md{b}$; having found such a number $\chi$, one will always have:
77/78	94/95	15/16	The sentence ends toutes les valeurs and resumes de b, telles que; no extension of the stated restricted proof.	qa/s04/source/p077_authority.png;qa/s04/source/p078_authority.png	MANUALLY_RECHECKED	\par\indent Quoi qu'il en soit, on peut remarquer que le théorème que nous allons énoncer est rigoureusement prouvé, par ce qui précède, pour toutes les valeurs	\par\noindent de $b$, telles que la formule $t^2-bu^2$ n'ait que le seul diviseur quadratique $\pm(t^2-bu^2)$. En jetant les yeux sur la première des tables ajoutées à la \emph{Théorie des Nombres}, on voit	\par\indent However that may be, one may remark that the theorem which we are about to state is rigorously proved, by what precedes, for all values	\par\noindent of $b$ such that the formula $t^2-bu^2$ has only the single quadratic divisor $\pm(t^2-bu^2)$. Casting one's eyes over the first of the tables added to the \emph{Theory of Numbers}, one sees
78/79	95/96	16/17	Quoted 7 corollary ends followed by etc.; p79 begins section5, without an invented missing corollary.	qa/s04/source/p078_authority.png;qa/s04/source/p079_authority.png	MANUALLY_RECHECKED	rapport à $p$, si ni l'un ni l'autre de ces nombres n'est divisible par 7.“ \par\indent etc.	\sectionnumber{5} \par\indent Désignons par $a$ un nombre premier $4n+1$, et par $p$ un nombre premier également $4n+1$, et de	non-residue with respect to $p$, if neither of these numbers is divisible by 7.” \par\indent etc.	\sectionnumber{5} \par\indent Let us denote by $a$ a prime number $4n+1$, and by $p$ a prime number likewise $4n+1$, and
79/80	96/97	17/18	Final list deliberately ends h, and resumes h-prime,h-double-prime,... at p80; no duplicated h.	qa/s04/source/p079_authority.png;qa/s04/source/p080_authority.png	MANUALLY_RECHECKED	\leg{gg'g''\ldots{}\times hh'h''\ldots}{p}=\leg{t}{p}=\pm1, \] le signe supérieur ou inférieur ayant lieu selon que les nombres premiers $h$,	\par\noindent $h'$, $h''$, \ldots{} sont en nombre pair ou impair. On peut énoncer ce résultat d'une manière un peu différente, en disant que $\leg{t}{p}$ est égal au produit des seconds membres des relations	\leg{gg'g''\ldots{}\times hh'h''\ldots}{p}=\leg{t}{p}=\pm1, \] the upper or lower sign taking place according as the prime numbers $h$,	\par\noindent $h'$, $h''$, \ldots{} are even or odd in number. One can state this result in a slightly different way, by saying that $\leg{t}{p}$ is equal to the product of the second members of the relations
80/81	97/98	18/19	Separate t=4n+1 and t=4n+3 sign cases are united in eta at p81.	qa/s04/source/p080_authority.png;qa/s04/source/p081_authority.png	MANUALLY_RECHECKED	\[ \leg{t}{p}=-\leg{t}{a}. \]	\par\indent Ces deux cas sont compris dans la formule suivante à laquelle nous réunissons un résultat obtenu plus haut:	\[ \leg{t}{p}=-\leg{t}{a}. \]	\par\indent These two cases are comprised in the following formula, to which we join a result obtained above:
81/82	98/99	19/20	Final E/a,F/a symbols are followed by the difference2psi parity argument at p82; the later printed p^2 anomaly remains untouched.	qa/s04/source/p081_authority.png;qa/s04/source/p082_authority.png	MANUALLY_RECHECKED	\[ \leg{E}{a}=1,\quad\leg{F}{a}=1. \]	\par\indent La différence des nombres impairs $t+\psi$ et $t-\psi$ étant $2\psi$ et par conséquent divisible par 4, on voit que ces deux nombres sont ou l'un et l'autre	\[ \leg{E}{a}=1,\quad\leg{F}{a}=1. \]	\par\indent The difference of the odd numbers $t+\psi$ and $t-\psi$ being $2\psi$ and consequently divisible by 4, one sees that these two numbers are either both
82/83	99/100	20/21	Final psi±t symbol formula is compared with theta at opening of p83; numerator order retained.	qa/s04/source/p082_authority.png;qa/s04/source/p083_authority.png	MANUALLY_RECHECKED	\[ \leg{\psi+t}{a}=\leg{\psi-t}{a}=(-1)^{\frac{p-1}{4}+\frac{t-1}{2}}. \]	\noindent Si l'on compare ce qui vient d'être prouvé au résultat $(\theta)$, obtenu plus haut, on verra que $a$ est ou n'est pas résidu biquadratique relativement à $p$, selon	\[ \leg{\psi+t}{a}=\leg{\psi-t}{a}=(-1)^{\frac{p-1}{4}+\frac{t-1}{2}}. \]	\noindent If one compares what has just been proved with the result $(\theta)$, obtained above, one will see that $a$ is or is not a biquadratic residue with respect to $p$, according
83/84	100/101	21/22	The phrase ou, ce qui est la continues même chose on p84 before the 8n alternatives.	qa/s04/source/p083_authority.png;qa/s04/source/p084_authority.png	MANUALLY_RECHECKED	En comparant ceci à ce qui a été prouvé plus haut $(\theta)$, on trouvera que, dans le cas de $\varphi$ divisible par $a$, $a$ est ou n'est pas résidu biquadratique relativement à $p$, selon que l'on a $\leg{2}{a}=1$, ou $\leg{2}{a}=-1$, ou, ce qui est la	\noindent même chose, d'après un théorème connu, selon que $a$ est de la forme $8n+1$ ou de la forme $8n+5$.	Comparing this with what was proved above $(\theta)$, one will find that, in the case of $\varphi$ divisible by $a$, $a$ is or is not a biquadratic residue with respect to $p$, according as one has $\leg{2}{a}=1$, or $\leg{2}{a}=-1$, or, which is the	\noindent same thing, by a known theorem, according as $a$ is of the form $8n+1$ or of the form $8n+5$.
84/85	101/102	22/23	The a=5,a=13 discussion continues with the actual 20n± forms example on p85; no invented a=13 example.	qa/s04/source/p084_authority.png;qa/s04/source/p085_authority.png	MANUALLY_RECHECKED	précède, la formule $t^2-au^2$ n'ayant, pour ces valeurs de $a$, d'autre diviseur quadratique que celui-ci: $t^2-au^2$, ou en d'autres termes, tout diviseur de $t^2-au^2$ étant lui-même de la forme $t^2-au^2$.	\par\indent „$p$ désignant un nombre premier de l'une des formes $20n+1$, $20n+9$, si l'on fait $p=\varphi^2+\psi^2$ (où $\psi$ est supposé pair) on s'assure facilement que l'un	precedes, the formula $t^2-au^2$ having, for these values of $a$, no quadratic divisor other than this one: $t^2-au^2$, or in other words, every divisor of $t^2-au^2$ being itself of the form $t^2-au^2$.	\par\indent “$p$ denoting a prime number of one of the forms $20n+1$, $20n+9$, if one puts $p=\varphi^2+\psi^2$ (where $\psi$ is supposed even) one readily ascertains that one
85/86	102/103	23/24	The Addition opening sentence ends beaucoup and resumes simplifiées on p86; its heading and both rules remain on p85.	qa/s04/source/p085_authority.png;qa/s04/source/p086_authority.png	MANUALLY_RECHECKED	familiarisé avec l'analyse indéterminée, nous croyons ne pas faire une chose inutile, en développant avec détail, dans cette addition, les démonstrations des théorèmes dont il s'agit, ces démonstrations étant susceptibles d'être beaucoup	\noindent simplifiées au moyen de quelques considérations qui peuvent ne pas se présenter de suite à l'esprit. Nous commençons par la démonstration du premier	familiar with indeterminate analysis, we believe we are not doing something useless by developing in detail, in this addition, the demonstrations of the theorems in question, these demonstrations being susceptible of being greatly	\noindent simplified by means of a few considerations that may not immediately present themselves to the mind. We begin with the demonstration of the first
86/87	103/104	24/25	The full three-prime reciprocal row continues with its product on p87, with no new heading; terminal ellipsis/point remains in the row.	qa/s04/source/p086_authority.png;qa/s04/source/p087_authority.png	MANUALLY_RECHECKED	\[ \leg{k}{p}=1,\quad\leg{k'}{p}=1,\quad\leg{k''}{p}=1,\quad\ldots. \]	\noindent Faisant le produit de toutes ces expressions et de la formule identique $\leg{2^\nu}{p}=\leg{2^\nu}{p}$, il viendra:	\[ \leg{k}{p}=1,\quad\leg{k'}{p}=1,\quad\leg{k''}{p}=1,\quad\ldots. \]	\noindent Taking the product of all these expressions and of the identical formula $\leg{2^\nu}{p}=\leg{2^\nu}{p}$, one obtains:
87/88	104/105	25/26	Final congruence is interpreted at p88 opening, then compared with gamma-prime to form delta-prime.	qa/s04/source/p087_authority.png;qa/s04/source/p088_authority.png	MANUALLY_RECHECKED	\[ t^{\frac{p-1}{2}}\equiv(-b)^{\frac{p-1}{4}}\md{p}. \]	\noindent Cette dernière congruence fait voir que $-b$ est ou n'est pas résidu biquadratique relativement à $p$, selon que l'on a $\leg{t}{p}=1$, ou $\leg{t}{p}=-1$. Si l'on compare	\[ t^{\frac{p-1}{2}}\equiv(-b)^{\frac{p-1}{4}}\md{p}. \]	\noindent This last congruence shows that $-b$ is or is not a biquadratic residue with respect to $p$, according as one has $\leg{t}{p}=1$, or $\leg{t}{p}=-1$. If one compares
88/89	105/106	26/27	D’un autre continues côté in the same coprimality proof. The third prose line of p89 literally uses b, restored from the scan.	qa/s04/source/p088_authority.png;qa/s04/source/p089_authority.png	MANUALLY_RECHECKED	nombres étaient divisibles l'un et l'autre par un même nombre premier $\delta$, $\delta$ diviserait chacun des nombres $t+\psi s$, $t-\psi s$ et par conséquent aussi leur demi-somme et leur demi-différence, c'est-à-dire les nombres $t$ et $\psi s$. D'un autre	\noindent côté, comme $\delta$ divise $m^2$, il divisera aussi le nombre $\varphi$, $\varphi$ étant égal à $m\varphi'$; il suit de là et de ce que $\varphi^2+\psi^2$ est égal au nombre premier $p$, que $\psi$ n'est	numbers were both divisible by the same prime number $\delta$, $\delta$ would divide each of the numbers $t+\psi s$, $t-\psi s$ and consequently also their half-sum and their half-difference, that is to say, the numbers $t$ and $\psi s$. On the other	\noindent hand, since $\delta$ divides $m^2$, it will also divide the number $\varphi$, $\varphi$ being equal to $m\varphi'$; it follows from this and from $\varphi^2+\psi^2$ being equal to the prime number $p$, that $\psi$ is not
89/90	106/107	27/28	Last psi s+chi s symbol with matched ± sign is multiplied using reciprocity at p90; the sign-choice explanation spans neither omission nor duplication.	qa/s04/source/p089_authority.png;qa/s04/source/p090_authority.png	MANUALLY_RECHECKED	\[ \leg{\psi s+\chi s}{b}=\pm1. \]	\noindent D'un autre côté, si l'on se rappelle que $b$ est de la forme $4n+3$, on tirera de la formule $\pm t\equiv\chi s\md{b}$: $\pm\leg{t}{b}=\leg{\chi s}{b}$. Si l'on multiplie cette égalité	\[ \leg{\psi s+\chi s}{b}=\pm1. \]	\noindent On the other hand, if one recalls that $b$ is of the form $4n+3$, one will obtain from the formula $\pm t\equiv\chi s\md{b}$: $\pm\leg{t}{b}=\leg{\chi s}{b}$. If one multiplies this equality
90/91	107/108	28/29	French lexical division der-/nière retained exactly across page boundary; English corresponding phrase is the last/equation.	qa/s04/source/p090_authority.png;qa/s04/source/p091_authority.png	MANUALLY_RECHECKED	facteur binôme est toujours le produit d'une puissance de $b$ et d'une expression impaire telle que $g^2+bh^2$, dans laquelle $g$ et $bh$ sont premiers entre eux. Désignant par $b^r$ la puissance de $b$ dont il s'agit, on pourra donc écrire la \mbox{der-}	\noindent nière équation de cette manière: \[	binomial factor is always the product of a power of $b$ and an odd expression such as $g^2+bh^2$, in which $g$ and $bh$ are relatively prime. Denoting by $b^r$ the power of $b$ in question, one may therefore write the last	\noindent equation in this manner: \[
91/92	108/109	29/30	Theorem citation ends plusieurs and resumes fois, que l’équation: followed by eta-prime on p92.	qa/s04/source/p091_authority.png;qa/s04/source/p092_authority.png	MANUALLY_RECHECKED	par $p$ un autre nombre premier également de la forme $4n+1$ et tel que $\leg{a}{p}=1$. On conclut de là, en appliquant la loi de réciprocité, qu'on a aussi $\leg{p}{a}=1$. Ces conditions ayant lieu, il suit du théorème déjà cité plusieurs	\noindent fois, que l'équation: \begin{equation*}\tag{$\eta'$}	by $p$ another prime number likewise of the form $4n+1$ and such that $\leg{a}{p}=1$. One concludes from this, on applying the law of reciprocity, that one also has $\leg{p}{a}=1$. These conditions holding, it follows from the theorem already cited several	\noindent times, that the equation: \begin{equation*}\tag{$\eta'$}
92/93	109/110	30/31	Last word Si continues u est pair; the condition is not lost or duplicated at p93.	qa/s04/source/p092_authority.png;qa/s04/source/p093_authority.png	MANUALLY_RECHECKED	\] \par\indent Distinguons actuellement deux cas, selon que $u$ est pair ou impair. Si	\noindent $u$ est pair, $t$ est impair; on a donc alors $\mu=0$, et la dernière égalité se réduit à celle-ci:	\] \par\indent Let us now distinguish two cases, according as $u$ is even or odd. If	\noindent $u$ is even, $t$ is odd; one then has $\mu=0$, and the last equality reduces to this one:
93/94	110/111	31/32	Final colon announces the full theta-prime labelled statement at p94, not an unlabelled new theorem.	qa/s04/source/p093_authority.png;qa/s04/source/p094_authority.png	MANUALLY_RECHECKED	\par\indent En comparant ce résultat avec la congruence $t^{\frac{p-1}{2}}\equiv(-a)^{\frac{p-1}{4}}u^{\frac{p-1}{2}}\md{p}$, qui se déduit immédiatement de l'équation $(\eta')$, on trouvera ce théorème:	\begin{equation*}\tag{$\vartheta'$} \begin{minipage}{0.84\textwidth} Si $u$ est pair, $a$ est ou n'est pas résidu biquadratique par rapport	\par\indent Comparing this result with the congruence $t^{\frac{p-1}{2}}\equiv(-a)^{\frac{p-1}{4}}u^{\frac{p-1}{2}}\md{p}$, which follows immediately from the equation $(\eta')$, one obtains this theorem:	\begin{equation*}\tag{$\vartheta'$} \begin{minipage}{0.84\textwidth} If $u$ is even, $a$ is or is not a biquadratic residue with respect
94/95	111/112	32/33	Les nombres K et L seront donc continues dans ce cas impairs l’un et l’autre at p95.	qa/s04/source/p094_authority.png;qa/s04/source/p095_authority.png	MANUALLY_RECHECKED	Il faut maintenant considérer successivement le cas de $u$ pair et celui de $u$ impair. Si $u$ est pair, $u'=\dfrac{u}{m}$ le sera pareillement, et comme $s\varphi'$ est toujours impair, $(s\varphi')^2-au'^2$ sera également impair. Les nombres $K$ et $L$ seront donc	\noindent dans ce cas impairs l'un et l'autre, et comme ils divisent le binôme précédent, on aura:	We must now consider successively the case of $u$ even and that of $u$ odd. If $u$ is even, $u'=\dfrac{u}{m}$ will likewise be so, and since $s\varphi'$ is always odd, $(s\varphi')^2-au'^2$ will also be odd. The numbers $K$ and $L$ will therefore	\noindent both be odd in this case, and since they divide the preceding binomial, one has:
95/96	112/113	33/34	Sentence ends chacun and continues d’eux sera de la forme4n+2 at p96.	qa/s04/source/p095_authority.png;qa/s04/source/p096_authority.png	MANUALLY_RECHECKED	Le nombre $u$ étant toujours impair, supposons $a$ de la forme $8n+5$. Le produit $KL$, qui équivaut au binôme $(s\varphi')^2-au'^2$, étant alors de la forme $8n+4$, et les nombres $K$ et $L$ étant évidemment pairs l'un et l'autre, chacun	\noindent d'eux sera de la forme $4n+2$, de sorte qu'en faisant $K=2K'$, $L=2L'$, $K'$ et $L'$ seront impairs; et comme ces derniers nombres sont en outre diviseurs	The number $u$ still being odd, let us suppose $a$ of the form $8n+5$. The product $KL$, which is equivalent to the binomial $(s\varphi')^2-au'^2$, then being of the form $8n+4$, and the numbers $K$ and $L$ being evidently both even, each	\noindent of them will be of the form $4n+2$, so that, putting $K=2K'$, $L=2L'$, $K'$ and $L'$ will be odd; and since these latter numbers are moreover divisors
96/97	113/114	34/35	The comparison ends lorsque and resumes u est impair at p97; negative and positive alternatives both retained.	qa/s04/source/p096_authority.png;qa/s04/source/p097_authority.png	MANUALLY_RECHECKED	\] D'un autre côté, l'énoncé précédent fait voir, qu'on a, dans le cas de $u$ impair, $\leg{\psi s\pm t}{a}=(-1)^{\frac{a-1}{4}}$. En comparant ces deux résultats, on conclut que, lorsque	\noindent $u$ est impair, $a$ est ou n'est pas résidu biquadratique relativement à $p$, selon que l'on a:	\] On the other hand, the preceding statement shows, that one has, in the case of $u$ odd, $\leg{\psi s\pm t}{a}=(-1)^{\frac{a-1}{4}}$. Comparing these two results, one concludes that, when	\noindent $u$ is odd, $a$ is or is not a biquadratic residue with respect to $p$, according as one has:
97/98	114/115	35/36	L’analyse qu’il faut appliquer continues à ce second cas at p98, where the author explicitly declines to repeat the proof.	qa/s04/source/p097_authority.png;qa/s04/source/p098_authority.png	MANUALLY_RECHECKED	\par\indent Ces résultats sont relatifs au cas où $\varphi$ n'est pas divisible par $a$. Resterait à traiter le cas où $\varphi$ est divisible par $a$. L'analyse qu'il faut appliquer	\noindent à ce second cas, étant entièrement semblable à celle que nous avons exposée avec détail dans ce qui précède, nous nous dispenserons de la développer ici,	\par\indent These results concern the case where $\varphi$ is not divisible by $a$. It would remain to treat the case where $\varphi$ is divisible by $a$. The analysis to be applied	\noindent to this second case, being entirely similar to that which we have set out in detail in what precedes, we shall dispense with developing it here,
