printed_page	layer	author_note_count	anchor	source_observation	inspection
81	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
82	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
82	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
83	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
83	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
84	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
84	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
85	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
85	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
86	fr	0	NONE	Reference to p71 author footnote is prose, not a new footnote/anchor; no duplicate note introduced.	SOURCE_READ_NO_AUTHOR_NOTE
86	en	0	NONE	Reference to p71 author footnote is prose, not a new footnote/anchor; no duplicate note introduced.	SOURCE_READ_NO_AUTHOR_NOTE
87	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
87	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
88	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
88	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
89	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
89	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
90	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
90	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
91	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
91	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
92	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
92	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
93	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
93	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
94	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
94	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
95	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
95	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
96	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
96	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
97	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
97	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
98	fr	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
98	en	0	NONE	No author footnote on this page.	SOURCE_READ_NO_AUTHOR_NOTE
