printed_page	authority_pdf_page	layer	before	after	evidence	disposition
89	106	English mathematical token	divisible by $\delta$.	divisible by $b$.	Full PDF 106; exact-scope leaf 27; Opening paragraph, third prose line, prints b. Translation must retain that printed reading; explanation belongs only in apparatus.	CORRECTED_TO_AUTHORITY; prior bytes retained
89	106	English conditional structure	Observing that $b$ is a prime number $4n+3$, one may present	If one observes that $b$ is a prime number $4n+3$, one will be able to present	Full PDF 106; exact-scope leaf 27; Middle paragraph: ‘Si l’on fait attention que b est un nombre premier 4n+3, on pourra présenter’. Restore explicit conditional rather than an unqualified participial instruction.	CORRECTED_TO_AUTHORITY; prior bytes retained
89	106	English conditional structure	Comparing this with the preceding one, one has	If one compares this with the preceding one, one will have	Full PDF 106; exact-scope leaf 27; Final paragraph: ‘Si l’on compare celle-ci à la précédente, on aura’. Restore explicit conditional.	CORRECTED_TO_AUTHORITY; prior bytes retained
90	107	English conditional structure	On the other hand, recalling that $b$ is of the form $4n+3$, one obtains	On the other hand, if one recalls that $b$ is of the form $4n+3$, one will obtain	Full PDF 107; exact-scope leaf 28; Opening: ‘D’un autre côté, si l’on se rappelle ... on tirera’. Retain the explicit condition.	CORRECTED_TO_AUTHORITY; prior bytes retained
90	107	English conditional structure	"Multiplying this equality
by the preceding one, one has"	"If one multiplies this equality
by the preceding one, one will have"	Full PDF 107; exact-scope leaf 28; Opening paragraph: ‘Si l’on multiplie cette égalité par la précédente, on aura’. Retain the explicit condition.	CORRECTED_TO_AUTHORITY; prior bytes retained
90	107	English conditional structure	Comparing this formula with what was proved above $(\delta')$, one obtains	If one compares this formula with what was proved above $(\delta')$, one will obtain	Full PDF 107; exact-scope leaf 28; Before zeta-prime: ‘Si l’on compare cette formule ... on obtiendra’. Retain the explicit condition.	CORRECTED_TO_AUTHORITY; prior bytes retained
91	108	English conditional structure	"Combining this with the result obtained above $(\delta')$,
one finds"	"If one combines this with the result obtained above $(\delta')$,
one finds"	Full PDF 108; exact-scope leaf 29; After the 8n+7 / 8n+3 alternatives: ‘Si l’on combine ceci avec le résultat obtenu plus haut’. Restore explicit Si.	CORRECTED_TO_AUTHORITY; prior bytes retained
92	109	English conditional structure	which, on multiplying both its members by $\leg{2^\mu}{a}\leg{2^\mu}{p}$, changes	which, if one multiplies both its members by $\leg{2^\mu}{a}\leg{2^\mu}{p}$, changes	Full PDF 109; exact-scope leaf 30; Before final display: ‘qui, si l’on multiplie ses deux membres ... se change’. Retain the explicit conditional clause.	CORRECTED_TO_AUTHORITY; prior bytes retained
93	110	English conditional structure	Combining all that we have just proved, we obtain this statement:	If we combine all that we have just proved, we shall obtain this statement:	Full PDF 110; exact-scope leaf 31; Before inset statement: ‘Si nous réunissons tout ce que nous venons de prouver, nous aurons cet énoncé’. Restore explicit condition.	CORRECTED_TO_AUTHORITY; prior bytes retained
96	113	English conditional structure	and on then multiplying by the equalities	and if one then multiplies by the equalities	Full PDF 113; exact-scope leaf 34; Opening paragraph after K/a=L/a=-1: ‘et si l’on multiplie ensuite avec les égalités’. Retain explicit Si.	CORRECTED_TO_AUTHORITY; prior bytes retained
89	106	Apparatus source discrepancy	\section*{Continuities and source furniture}	"\section*{P. 89: the printed divisor $b$}
In the opening paragraph, the print says that $\psi$ is not divisible by $b$.
It does not print $\delta$ at this point. Both editions now reproduce $b$;
the S03 transcription's $\delta$ was an unmarked contextual repair.
The surrounding argument concerns a supposed common divisor $\delta$ of
$E$ and $F$, and the next sentence again names $\delta$. Thus $\delta$ appears
to be intended, but this is an editorial inference, not the diplomatic reading.

Authority: exact-scope leaf 27 / full-PDF page 106, opening paragraph,
third prose line. Detail: \path{qa/s04/source/p089_divisor_detail.png}.

\section*{Continuities and source furniture}"	Full PDF 106; exact-scope leaf 27; Opening paragraph, third prose line, prints b, whereas S03 silently substituted delta. Separate explanation added; neither author edition silently repairs the witness.	CORRECTED_TO_AUTHORITY; prior bytes retained
