printed_page	full_pdf_page	scope_leaf	role	source_image	source_image_sha256	manual_record	scope_replay	author_reader_occurrences
73	90	11	AUTHOR_TEXT_FRENCH	qa/s04/source/p073_authority.png	C0466294A0F04EEF347E4B75C451AEF15167FD60396959006CA5627F7741F3D3	qa/s04/MANUAL_COLD_COLLATION.json#/73	COMPLETE	1
74	91	12	AUTHOR_TEXT_FRENCH	qa/s04/source/p074_authority.png	FB5AE30032EE51C16A7134B86143C23CFEEB62EA7ED527D624373D4FB01FA427	qa/s04/MANUAL_COLD_COLLATION.json#/74	COMPLETE	1
75	92	13	AUTHOR_TEXT_FRENCH	qa/s04/source/p075_authority.png	202CFC7EEA5698250E925680C2EB5BB85AB5422093C71CE8DBF76A20D11CB6EB	qa/s04/MANUAL_COLD_COLLATION.json#/75	COMPLETE	1
76	93	14	AUTHOR_TEXT_FRENCH	qa/s04/source/p076_authority.png	58559469DF164C02AC4E7964BFDE5ED91D3DBB22EDA44EB7E0F3C37F913FE7C3	qa/s04/MANUAL_COLD_COLLATION.json#/76	COMPLETE	1
77	94	15	AUTHOR_TEXT_FRENCH	qa/s04/source/p077_authority.png	559243B058E6948FB575EA04F986CCB8E9B19530889B4789841EB37A9A5CEA35	qa/s04/MANUAL_COLD_COLLATION.json#/77	COMPLETE	1
78	95	16	AUTHOR_TEXT_FRENCH	qa/s04/source/p078_authority.png	E884969CE2BDD0B0FEEE4BC0D9439434192E4B583CAA982283D4163A9A98909C	qa/s04/MANUAL_COLD_COLLATION.json#/78	COMPLETE	1
79	96	17	AUTHOR_TEXT_FRENCH	qa/s04/source/p079_authority.png	F34F5B4554F425CAB2D1A025570279ED3AF31F3EC65651469BF9085D9B704631	qa/s04/MANUAL_COLD_COLLATION.json#/79	COMPLETE	1
80	97	18	AUTHOR_TEXT_FRENCH	qa/s04/source/p080_authority.png	8F696A0950C224428C819A2E16020DA8529A3F6001798EFF3AA8861B49451223	qa/s04/MANUAL_COLD_COLLATION.json#/80	COMPLETE	1
81	98	19	AUTHOR_TEXT_FRENCH	qa/s04/source/p081_authority.png	7F35973012AA5F6E272F8C48A63D644FACF442813DCFB5F28025A61B860405BA	qa/s04/MANUAL_COLD_COLLATION.json#/81	COMPLETE	1
82	99	20	AUTHOR_TEXT_FRENCH	qa/s04/source/p082_authority.png	328076B96A5C957FFAB6EA2B30AAEE24DBC39FD1F8C46BE0BD3CEA2376E0FE33	qa/s04/MANUAL_COLD_COLLATION.json#/82	COMPLETE	1
83	100	21	AUTHOR_TEXT_FRENCH	qa/s04/source/p083_authority.png	BAF8DDB3179F7C9591DE473B6E2804C9AF008CBC4CEEED33AE244AB6584750F6	qa/s04/MANUAL_COLD_COLLATION.json#/83	COMPLETE	1
84	101	22	AUTHOR_TEXT_FRENCH	qa/s04/source/p084_authority.png	68A8B52D001AC2AE5D4CB7E1DA8BB988D0A2FFB3C25908D1D721A8B3BCCF4F2B	qa/s04/MANUAL_COLD_COLLATION.json#/84	COMPLETE	1
85	102	23	AUTHOR_TEXT_FRENCH	qa/s04/source/p085_authority.png	F0E49BBB5003CE06F2B927B1A868BF28EEF553FE2AC863D8CA6C0438E008F32E	qa/s04/MANUAL_COLD_COLLATION.json#/85	COMPLETE	1
86	103	24	AUTHOR_TEXT_FRENCH	qa/s04/source/p086_authority.png	B5A4A90B4CFFCE88F87F4F899ACD3A8CCCE550D8F18A63400DCBC33D4C494D29	qa/s04/MANUAL_COLD_COLLATION.json#/86	COMPLETE	1
87	104	25	AUTHOR_TEXT_FRENCH	qa/s04/source/p087_authority.png	563958058A4ABFB1CC62CB1DF0EFA8F90FB85E62B1A6BF39C049FFBE3227D0C4	qa/s04/MANUAL_COLD_COLLATION.json#/87	COMPLETE	1
88	105	26	AUTHOR_TEXT_FRENCH	qa/s04/source/p088_authority.png	B6F297B04C00F39B49745CC417D7B83027E9F9975D10074BF47979B5E731B7D9	qa/s04/MANUAL_COLD_COLLATION.json#/88	COMPLETE	1
89	106	27	AUTHOR_TEXT_FRENCH	qa/s04/source/p089_authority.png	E0672A904D6875325188CD81CD3A06F4FFFB217D5CFC8077C7A0F074493D703A	qa/s04/MANUAL_COLD_COLLATION.json#/89	COMPLETE	1
90	107	28	AUTHOR_TEXT_FRENCH	qa/s04/source/p090_authority.png	195B076A10B9EDAB1C90AEE562E141AC41347EE5137FEC066AC521E9ED5BA32C	qa/s04/MANUAL_COLD_COLLATION.json#/90	COMPLETE	1
91	108	29	AUTHOR_TEXT_FRENCH	qa/s04/source/p091_authority.png	5CF4FB9D8609F5A2951D87AB0EC08B53AFFC6342317B4467384CB4D329B6DF1C	qa/s04/MANUAL_COLD_COLLATION.json#/91	COMPLETE	1
92	109	30	AUTHOR_TEXT_FRENCH	qa/s04/source/p092_authority.png	303E9813A3720660C7EE8C0BD4328F5D876B9C4C4BD2A002BEA5EC08AFA35FF5	qa/s04/MANUAL_COLD_COLLATION.json#/92	COMPLETE	1
93	110	31	AUTHOR_TEXT_FRENCH	qa/s04/source/p093_authority.png	F4E18AF95CFCBE155D57997E120EF8959014B7FC704B6863F751C3D0468521F2	qa/s04/MANUAL_COLD_COLLATION.json#/93	COMPLETE	1
94	111	32	AUTHOR_TEXT_FRENCH	qa/s04/source/p094_authority.png	ED73CA1806969994F750AA1B815AE778343996B3B448165F42265469528FD68D	qa/s04/MANUAL_COLD_COLLATION.json#/94	COMPLETE	1
95	112	33	AUTHOR_TEXT_FRENCH	qa/s04/source/p095_authority.png	6D5D0117A124FC9979383E20EC0D7D641E092BEF672BBEE39A5210F3D8387F9B	qa/s04/MANUAL_COLD_COLLATION.json#/95	COMPLETE	1
96	113	34	AUTHOR_TEXT_FRENCH	qa/s04/source/p096_authority.png	0498B28AC33C7416AE35ABCE2E5C4CE89D2A72D6B684D7F76678DD8608DCEFDD	qa/s04/MANUAL_COLD_COLLATION.json#/96	COMPLETE	1
97	114	35	AUTHOR_TEXT_FRENCH	qa/s04/source/p097_authority.png	9C1A7684431460D17D19831305208749BE0461EBDDECFB8FB6CB7072B438E26E	qa/s04/MANUAL_COLD_COLLATION.json#/97	COMPLETE	1
98	115	36	AUTHOR_TEXT_FRENCH	qa/s04/source/p098_authority.png	C8E1041859F3B23EF30A6AD796826A672111FD831FE5E18D62B39A8BA11E1F5B	qa/s04/MANUAL_COLD_COLLATION.json#/98	COMPLETE	1
