"active_row_id","language_code","name","native_source_status","scoped_sufficiency_or_gap_scope","r6_packet_decision_before_8f7","applied_8f7_gate_ids","applied_8f7_gate_decision","prior_r6_source_witness_rows_from_authority_delta","authority_delta_recovery_gap_rows","required_next_artifact","next_gate_or_recovery_action","no_claim_boundary"
"R6-ACTIVE-016","srn","Sranan/Saramaccan/Ndyuka/Guyanese","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Find language-specific STEM sources; keep each named language separate.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-017","tpi","Tok Pisin","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-018","bi","Bislama/Vanuatu","source_canon_sufficient_for_scoped_draft_work","Official Vanuatu Matematiks/Saens school math/STEM register only; not higher algebra or invariant theory","covered by source-gated draft/interlinear support in this packet where matching form rows exist","8F7D-GATE-0021; 8F7D-GATE-0023; 8F7D-GATE-0024","generated-draft/noncanonical support remains allowed only for exact source-backed scope with adverse-evidence and normalization/reviewer questions","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Current-gap retry superseded for Matematiks/Saens: exact official PDF captures and hashes are recorded in NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; keep source-authority, reviewer/source-owner, reuse/license, term, excerpt, translation, visual inventory, and pilot gates closed.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-019","u","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-020","gn","Guarani/Paraguay","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-021","kri","Krio/Sierra Leone","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-022","u","Mexico CONALITEG Indigenous books","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-023","pap","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-024","u","Quechua/Bolivia","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-025","u","Uspanteko/Guatemala","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-026","u","Aymara","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-027","u","Bolivia Quechua","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-028","u","Bolivia Quechua candidate","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-029","u","Bolivia Quechua longitudes","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-030","u","Bolivia Red Minedu repository","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-031","u","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-032","u","Ecuador Ministry EIB pages","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-033","u","Guatemala DIGEBI product pages","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-034","u","Guatemala Uspanteko","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-035","u","Hnahnu/Otomi","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-036","u","Maya","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-037","u","Mexico CONALITEG Indigenous primary","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-038","u","Mexico CONALITEG viewers/catalogue","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
