concept_current,term_rows,current_E,current_W,current_S,projected_E,projected_W,projected_S,w0_filtered_candidate_rows,w0_hold_rows,adverse_rows,gap_rows,candidate_rows,current_D1,current_KL,projected_D1,projected_KL,delta_projected_D1
decomposition,10,17.0,1.0,1.0,17.0,1.0,1.0,0,0,0,9,0,1.5060022429136557,0.6891536699730206,1.5060022429136557,0.6891536699730206,0.0
extension of the first kind,10,21.0,1.0,2.0,21.0,1.0,2.0,0,0,0,9,0,1.5782780836740626,0.6422778563748213,1.5782780836740626,0.6422778563748213,0.0
reduk,10,10.0,1.0,1.0,10.0,1.0,1.0,0,0,0,9,0,1.7613591211464834,0.532526549708481,1.7613591211464834,0.532526549708481,0.0
unit,10,20.0,0.0,0.0,20.0,0.0,0.0,0,0,0,10,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
corollary,9,18.0,0.0,4.0,18.0,0.0,4.0,0,0,9,9,0,1.6066307960863546,0.6244729756102726,1.6066307960863546,0.6244729756102726,0.0
set,9,12.0,0.0,0.0,12.0,0.0,0.0,0,0,8,9,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
algebra,8,16.0,2.0,2.0,16.0,2.0,2.0,0,0,1,6,0,1.8946457081379977,0.4595804290179329,1.8946457081379977,0.4595804290179329,0.0
direct factor,8,14.0,0.0,0.0,14.0,0.0,0.0,0,0,0,8,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
lemma,8,18.0,3.0,3.0,18.0,3.0,3.0,0,0,6,5,0,2.0867794400977164,0.36299034890931503,2.0867794400977164,0.36299034890931503,0.0
modul,8,12.0,4.0,4.0,12.0,4.0,4.0,0,0,0,4,0,2.586409289858933,0.14834174943487521,2.586409289858933,0.14834174943487521,0.0
relation,8,13.0,0.0,0.0,13.0,0.0,0.0,0,0,0,8,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
sistem,8,13.0,0.0,0.0,13.0,0.0,0.0,0,0,0,8,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
grup,7,15.0,1.0,1.0,15.0,1.0,1.0,0,0,0,6,0,1.5585521545710281,0.6548550044079613,1.5585521545710281,0.6548550044079613,0.0
one-to-one,7,14.0,0.0,0.0,14.0,0.0,0.0,0,0,0,7,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
prime ideal,7,15.0,2.0,2.0,15.0,2.0,2.0,0,0,3,5,0,1.9359126860413256,0.4380334010160341,1.9359126860413256,0.4380334010160341,0.0
adjunction,6,11.0,0.0,0.0,11.0,0.0,0.0,0,0,0,6,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
isomorphism,6,13.0,2.0,2.0,13.0,2.0,2.0,0,0,0,4,0,2.031324469270484,0.3899242604495263,2.031324469270484,0.3899242604495263,0.0
trace,6,13.0,0.0,3.0,13.0,0.0,3.0,0,0,1,6,0,1.6202453123826384,0.6160347234910977,1.6202453123826384,0.6160347234910977,0.0
chain condition,5,12.0,0.0,0.0,12.0,0.0,0.0,0,0,0,5,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
crossed representation,5,8.0,1.0,1.0,8.0,1.0,1.0,0,0,0,4,0,1.8946457081379977,0.4595804290179329,1.8946457081379977,0.4595804290179329,0.0
identity (relation),5,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,5,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
invariant,5,9.0,4.0,4.0,9.0,4.0,4.0,0,0,1,1,0,2.7665553381886885,0.08100930255219366,2.7665553381886885,0.08100930255219366,0.0
izomorf,5,10.0,5.0,5.0,10.0,5.0,5.0,0,0,0,0,0,2.82842712474619,0.05889151782819174,2.82842712474619,0.05889151782819174,0.0
ansatz / setup,4,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
diskriminant,4,8.0,0.0,0.0,8.0,0.0,0.0,0,0,0,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
funkci,4,9.0,0.0,0.0,9.0,0.0,0.0,0,0,0,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
integral,4,10.0,1.0,1.0,10.0,1.0,1.0,0,0,0,3,0,1.7613591211464834,0.532526549708481,1.7613591211464834,0.532526549708481,0.0
integral domain,4,8.0,0.0,0.0,8.0,0.0,0.0,0,0,0,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
matrix,4,8.0,0.0,0.0,8.0,0.0,0.0,0,0,2,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
proper divisor,4,9.0,0.0,0.0,9.0,0.0,0.0,0,0,0,4,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
racional,4,9.0,1.0,1.0,9.0,1.0,1.0,0,0,0,3,0,1.822421430545617,0.49844621550846435,1.822421430545617,0.49844621550846435,0.0
crossed product,3,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,3,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
decomposition identity,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,,0,,0.0
discriminant,3,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,3,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
homomorphism,3,7.0,1.0,1.0,7.0,1.0,1.0,0,0,0,2,0,1.9812716892692186,0.4148733828193562,1.9812716892692186,0.4148733828193562,0.0
matrix product,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,,0,,0.0
norm,3,6.0,3.0,3.0,6.0,3.0,3.0,0,0,0,0,0,2.82842712474619,0.05889151782819174,2.82842712474619,0.05889151782819174,0.0
normal,3,6.0,0.0,0.0,6.0,0.0,0.0,0,0,0,3,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
quotient field,3,7.0,1.0,1.0,7.0,1.0,1.0,0,0,3,2,0,1.9812716892692186,0.4148733828193562,1.9812716892692186,0.4148733828193562,0.0
remark,3,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,3,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
resultant,3,6.0,0.0,0.0,6.0,0.0,0.0,0,0,0,3,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
associated prime ideal,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
automorphism,2,4.0,1.0,1.0,4.0,1.0,1.0,0,0,1,1,0,2.381101577952299,0.23104906018664842,2.381101577952299,0.23104906018664842,0.0
completely reducible,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
direct sum,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,,0,,0.0
kongruen,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
maksimal,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
multiplier domain,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
polinom,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
residue class,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
special,2,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
splitting form,2,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
substitution,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
transform,2,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
variable,2,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,2,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
character,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
characteristic series,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
degree,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
diagonal entry,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
division algebra,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
eksponent,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
factor system,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
functional determinant,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
homomorf,1,2.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,2.82842712474619,0.05889151782819174,2.82842712474619,0.05889151782819174,0.0
identity operator,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
konstru,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
kvadrat,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
minimal,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
primary ideal,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
princip,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
principal genus theorem,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
proof,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,1,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
reducent,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
regular,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
ring without radical,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
simetri,1,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
transformation quantities,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,0,,0.0
