"language","bcp47","branch","lexeme_id","draft_gloss","searched_forms","source_rows_searched","occurrence_count","sufficiency_bucket","best_source_form","best_source_anchor","best_source_snippet","next_gate","non_claim_boundary"
"Kazakh","kk","Kipchak","L-IDEAL","ideal","идеал","18","5","source-canon-sufficient-for-scoped-draft-support","идеал","bodies/kk/wikitext-20260629T101500Z/Ideal (ring theory)__Идеал (математикада).wiki:1","'''Идеал'''<ref>«Қазақстан»: Ұлттық энцклопедия / Бас редактор Ә. Нысанбаев – Алматы «[[Қазақ энциклопедиясы]]» Бас редакциясы, 1998 ISBN 5-89800-123-9, IV том</ref>, ''математикада'' – негізгі [[алгебра]]лық ұғымдардың ...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-NOETHERIAN-RING","Noetherian ring","Нётер | Noether","18","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL","polynomial","көпмүшелік","18","25","source-canon-sufficient-for-scoped-draft-support","көпмүшелік","bodies/kk/external-leads/kazakh_linear_algebra_html_invariant_theory.txt:1","...а жиі кездесетін есептері: кері матрицаны табу, анықтауышты есептеу, алгебралық көпмүшеліктің түбірін табу. Сызықтық теңдеулер теориясы – сызықтық алгебраның ең алғашқы саласы. Бұл теорияның дамуы нәтижесінде анықтауышта...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL-RING","polynomial ring","көпмүшелік сақина","18","3","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","көпмүшелік сақина","bodies/kk/current-web-hard-row-20260705/KK-WEB-20260705_univision_606140.html:328","...әне матрицалық көбейту әдісімен шешу. Кронекер-Капелли Теоремасы. Көпмүшелік сақина. Көпмүшелердің қалдықпен бөлінуі. Евклид Алгоритмі. Векторлардағы сызықтық операциялар. Векторлардың скалярлық, векторлық, аралас көбейт...","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-RING","ring","сақина","18","11","source-canon-sufficient-for-scoped-draft-support","сақина","bodies/kk/external-leads/kazakh_aues_graph_invariants_html.txt:1","...гіленуі . немесе ; ә) Пирс стрелкасы (антидизъюнкция), белгіленуі . немесе ; б) сақиналы қосынды (логикалық қосынды, екі модуль бойынша қосынды), белгіленуі . немесе . Анықтамаға сүйеніп, бұл операциялардың ақиқаттық кес...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-IDEAL","ideal","идеал","10","1","source-canon-sufficient-for-scoped-draft-support","идеал","ocr-witnesses/ky/KY-PDF-002_Kyrgyz_mathematics_curriculum_PDF_edu_gov_kg.txt:1031","үйрөтө тургандыгы, геометриялык объектилер реалдык объектилердин идеалдаштырылган","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-NOETHERIAN-RING","Noetherian ring","Нётер | Noether","10","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL","polynomial","көп мүчө | келтирилбес көп мүчө","10","22","source-canon-sufficient-for-scoped-draft-support","келтирилбес көп мүчө","bodies/ky/wikitext-direct-20260705/DirectWikiAPI__Келтирилбес көп мүчө.wiki:1","'''Келтирилбес көп мүчө''' – төмөнкү даражалуу көбөйтүүчүлөргө ажырабаган көп мүчө. Көп мүчөнүн көбөйтүүчүлөргө ажырашы жана кел тирилбес касиети анын коэффициенти кандай сандан турганына байланыштуу. Мисалы, эгер коэффи...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL-RING","polynomial ring","көп мүчө шакек | көп мүчөлөр шакеги","10","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-RING","ring","шакек","10","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-IDEAL","ideal","ideal","17","1","source-canon-sufficient-for-scoped-draft-support","ideal","bodies/tk/wikitext-20260629T101500Z/Mathematics__Matematika.wiki:3","...tiki obýektler]] hakyky ýa-da beýleki matematiki obýektleriň aýratynlyklaryny [[ideallaşdyrma]]k we şol aýratynlyklary formal dilde ýazmak arkaly döredilýär. Matematika [[tebigy ylymlar]]a degişli däldir, ýöne hem olaryň...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-NOETHERIAN-RING","Noetherian ring","Noether | Noeter | Nöter","17","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL","polynomial","köpagza | kopagza | köp agza","17","12","source-canon-sufficient-for-scoped-draft-support","köpagza","bodies/tk/current-source-gate/TK-CUR-051-003.html:653","...wiatura arkaly usul oňaýlydyr, emma grek harplaryny, matrisalary, standart funksiýalaryň käbirlerini, görkezgiçler we ş.m. ýalylary palettalaryň kömegi bilen girizmek oňaýlydyr. Palettalar toplumyndan �������������������...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL-RING","polynomial ring","köpagza halka | kopagza halka","17","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-RING","ring","halka","17","2","source-canon-sufficient-for-scoped-draft-support","halka","bodies/tk/current-source-gate/TK-CUR-051-003.html:653","...makda, kompýuterde sanly hasaplamalary we wizuallaşdyrmagy geçirmekde öwrenijiler uly kynçylyklar çekýärler. Gollanmanyň maksady öwrenijilere bu kynçylyklary ýeňip geçmekde kömek bermekden ybaratdyr. Gollanmadaky paragra...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-MODULE","module","modül | modul","53","262","source-canon-sufficient-for-scoped-draft-support","modul","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/compile_log.txt:174","(C:\Users\Kadirhan\AppData\Local\Programs\MiKTeX\tex/generic/pgf/modules\pgfmod","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-NOETHERIAN-RING","Noetherian ring","Noether | Noetherian","53","130","source-canon-sufficient-for-Turkish-scoped-draft-support","Noether","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt:1007","olduğu görülür ve böylece 𝑄, Noether kuvvetli asalımsı değildir.","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL","polynomial","polinom","53","128","source-canon-sufficient-for-scoped-draft-support","polinom","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/part1_olasilik/bolum00_onbilgiler.tex:1115","...f{Weierstrass}: $[a,b]$'de her sürekli $f$ için $\forall\varepsilon>0$, bir $p$ polinomu var ki $\|f-p\|_\infty<\varepsilon$. $f(x)=|x-1/2|$: polinom dizisi $p_n(x)=\sqrt{(x-1/2)^2+1/n}$ üniform yaklaşır (köşeyi yumuşatı...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL-RING","polynomial ring","polinom halkası | polinom halkasi | polinomlar halkası","53","11","source-canon-sufficient-for-Turkish-scoped-draft-support","polinom halkası","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt:1038","olsun. 𝐾 [𝑋 ] polinom halkasını ve 𝑄 = ({𝑋+ ' , 𝑋# 𝑋6 : 𝑖 ≥ 1 𝑣𝑒 𝑗 ≥ 2}) idealini alalım.","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-RING","ring","halka | halkası | halkasi","53","372","source-canon-sufficient-for-scoped-draft-support","halka","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/ekler/ekD_terminoloji_sozlugu.tex:107","Halka & ring & Böl.~\ref{chp:olcum_teorisi} \\","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-IDEAL","ideal","идеал","16","13","source-canon-sufficient-for-scoped-draft-support","идеал","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:45635","Идеал:Идеал NP-ANT-M;!""""","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-NOETHERIAN-RING","Noetherian ring","Нётер | Noether","16","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL","polynomial","күпбуын","16","28","source-canon-sufficient-for-scoped-draft-support","күпбуын","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:13431","күпбуын:күпбуын N1 ; ! """"","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL-RING","polynomial ring","күпбуын боҗра | күпбуыннар боҗрасы","16","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-RING","ring","боҗра","16","1","source-canon-sufficient-for-scoped-draft-support","боҗра","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:5761","боҗра:боҗра N1 ; ! """"","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-MODULE","module","مودۇل","31","6","source-canon-sufficient-for-scoped-draft-support","مودۇل","bodies/ug/current-source-gate/UG-CUR-052-006.html:330","...><div class=""result-list""><div class=""result-terjime rtl-text"">تولغانما مودۇل</div></div><div class=""result-list""><div class=""result-terjime rtl-text"">تولغانما قاتلام</div></div><div class=""result-list""><div class=""resul...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-NOETHERIAN-RING","Noetherian ring","نوئېتېر | نوئېتېر ھالقا | نوئېتېر ھالقىسى","31","36","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","نوئېتېر","bodies/ug/current-source-gate/UG-CUR-052-001.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/noeter_halqisi/"" rel=""bookmark"">نوئېتېر ھالقىسى</a></h1>","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL","polynomial","كۆپ ئەزالىق | كۆپئەزالىق","31","6","source-canon-sufficient-for-scoped-draft-support","كۆپ ئەزالىق","bodies/ug/current-source-gate/UG-CUR-052-002.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/kop_ezaliq_halqa/"" rel=""bookmark"">كۆپ ئەزالىق ھالقا</a></h1>","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL-RING","polynomial ring","كۆپ ئەزالىق ھالقا | كۆپ ئەزالىق ھالقىسى","31","6","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","كۆپ ئەزالىق ھالقا","bodies/ug/current-source-gate/UG-CUR-052-002.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/kop_ezaliq_halqa/"" rel=""bookmark"">كۆپ ئەزالىق ھالقا</a></h1>","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-RING","ring","ھالقا | ھالقىسى","31","32","source-canon-sufficient-for-scoped-draft-support","ھالقىسى","bodies/ug/current-source-gate/UG-CUR-052-001.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/noeter_halqisi/"" rel=""bookmark"">نوئېتېر ھالقىسى</a></h1>","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-IDEAL","ideal","ideal","22","10","source-canon-sufficient-for-scoped-draft-support","ideal","bodies/uz/wikitext-direct-20260705/DirectWikiAPI__Bezu halqasi.wiki:12","# ''R'' asosiy ideallar zanjirlarini oshirish uchun tugatish shartini qondiradi.","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-NOETHERIAN-RING","Noetherian ring","neyteriya | Noether | Neter","22","9","adjacent-or-eponym-context-only; hard-row-source-gate-open","neyteriya","bodies/uz/wikitext-direct-20260705/DirectWikiAPI__Bezu halqasi.wiki:10","# ''R'' — neyteriyalik.","seek exact compound/definition source row before hard-row draft support; keep current row as context only","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-POLYNOMIAL","polynomial","koʻphad | ko‘phad | kop had | ko`phad | koʻphadlar | ko‘phadlar | ko’phadlar | ko`phadlar | ko'phadlar","22","175","source-canon-sufficient-for-scoped-draft-support","ko`phadlar","bodies/uz/current-web-hard-row-20260705/UZ-WEB-20260705_arxivuz_kophadlar_halqasi.html:120","<li class=""breadcrumb-item active""><span aria-current=""location"">Ko`phadlar halqasi</span></li>","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-POLYNOMIAL-RING","polynomial ring","koʻphad halqasi | ko‘phad halqasi | kop had halqasi | koʻphadlar halqasi | ko‘phadlar halqasi | ko’phadlar halqasi | ko`phadlar halqasi | ko'phadlar halqasi | koʻphadlar xalqasi | ko‘phadlar xalqasi | ko’phadlar xalqasi | ko`phadlar xalqasi | ko'phadlar xalqasi","22","19","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","ko`phadlar halqasi","bodies/uz/current-web-hard-row-20260705/UZ-WEB-20260705_arxivuz_kophadlar_halqasi.html:120","<li class=""breadcrumb-item active""><span aria-current=""location"">Ko`phadlar halqasi</span></li>","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-RING","ring","halqa","22","137","source-canon-sufficient-for-scoped-draft-support","halqa","bodies/uz/wikitext-direct-20260705/DirectWikiAPI__Bezu halqasi.wiki:11","# ''R'' — bitta qiymatli parchalanish (faktor halqasi) boʻlgan domen halqa.","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
