"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","byte_count","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","upload_policy","rechecked_context"
"Romance source-canon lane","Spanish","cimat-tna","Alexey Beshenov","algebra_number_theory; ring; field; ideal; prime ideal; maximal ideal; finite generation","B","ZIP source package","https://github.com/alexey-beshenov/cimat-tna/archive/refs/heads/master.zip","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_cimat-tna_aacf7b6d3d53.zip","CC BY-SA 4.0 stated in README","9693a241d02233ebd961b121c35fcf031ca59bc823f780c52efedbfc2ef1897a","20456407","Spanish","true","true","false","Number-theory course; not invariant theory","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","notas-san-salvador","Alexey Beshenov","commutative_algebra; commutative algebra; localization; maximal ideal; Hilbert basis theorem","B","ZIP source package","https://github.com/alexey-beshenov/notas-san-salvador/archive/refs/heads/master.zip","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_notas-san-salvador_1af5935f72a3.zip","GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local archive contains README.md but no LICENSE/COPYING match; README has no license grant; no license-clearance claim","cb36231487863bc0af7225259dfb27f0951b583776427743cfc70b380c790629","882100","Spanish","true","true","false","License gap explicitly verified via GitHub API and local archive scan; use as source witness only, not rights-clear publication proof","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","apuntes-uam-infomat/apuntes","UAM student notes contributors","commutative_algebra; commutative algebra; localization; Hilbert basis theorem; ideal; maximal ideal","B","ZIP source package","https://github.com/apuntes-uam-infomat/apuntes/archive/refs/heads/master.zip","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github\apuntes-uam-infomat_apuntes_c67591e4e78a.zip","CC-BY-NC-SA stated in README","2c908f3635e6bde6f4e1ff0d245487fabac1992e226dd1dca0f73d8a8bda3755","44749099","Spanish","true","true","false","Student notes; not canonical approval","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","La geometria de los monoides","J. Rogelio Perez-Buendia; Ernesto Antonio Reyes-Ramirez","monoids_tensor; producto tensorial; module; commutative ring; ideal; maximal ideal","A","current TeX source package","https://arxiv.org/e-print/2209.02110v2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\arxiv_2209.02110v2.source","Creative Commons license link present on arXiv page","9b8421c86cbec96648b87d85d259d88977edc6c09f1c0867e1ff8d3455d82f62","50903","Spanish","true","true","false","Target-language tensor witness exists but Noether tensor row remains blocked for missing German anchor","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Introduccion a los D-modulos","Juan Camilo Arias; Camilo Rengifo","d_modules_representation; module; localization; representation; semisimple Lie algebra; producto tensorial","A","TeX source package","https://arxiv.org/e-print/2307.03598v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\spanish\2307.03598v1.source","Creative Commons license link present on arXiv page","9aefde893f1424c61c09711a1dae84ff51a1ef560870a7035a0236daaf79ddcc","26550","Spanish","true","true","false","Semisimple remains adjacent and review-sensitive","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","El Teorema de Gelfand Naimark desde una perspectiva Categorica","arXiv authors per page","representation_categorical; representation theory; categorical algebra","A","TeX source package","https://arxiv.org/e-print/2409.15681v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\spanish\2409.15681v1.source","CC BY 4.0 via live Creative Commons license flow","ae846b4c02d252a214036d1427daf39daa5409e2b6b80729e46bcbfbb2dbc7de","23843","Spanish","true","true","false","Adjacent source only","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Superficies elipticas y el decimo problema de Hilbert","Hector Pasten","hilbert_problem_fields; Hilbert; field; number theory","A","TeX source package","https://arxiv.org/e-print/2207.10005v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\spanish\2207.10005v1.source","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2207.10005; arXiv API license field blank; no license-clearance claim","7ca8189fb234d8a65cfbc7dd1577bea7098e948cc96a9177e070d8e3d852b452","6435","Spanish","true","true","false","Not Hilbert-basis theorem","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Teoria de invariantes de grupos finitos","Universidad de Valladolid source package","invariant_theory; invariant theory; invariant ring; Noether bound; Molien formula; producto tensorial; Hilbert basis","C","PDF plus extracted text","https://uvadoc.uva.es/bitstream/handle/10324/71007/TFG-G6811.pdf?sequence=1&isAllowed=y","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_uva_invariant_groups_finite.pdf","UVaDOC metadata: openAccess; CC BY-NC-ND 4.0 rights URI; PDF fallback HTTP 200; no license-clearance claim","2adfb7881c0296e9802839ef9e53879376be50b324b9767ab2cee08f9af71fd4","549416","Spanish","true","false","true","PDF/text fallback; URL and access/license signal refreshed; no TeX/source archive verified","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Introduccion a la Teoria Geometrica de Invariantes","Javier Nicolas Gargiulo Acea","geometric_invariant_theory_semisimple; geometric invariant theory; semisimple; completely reducible; representation","C","PDF plus extracted text","https://web.dm.uba.ar/files/tesis_lic/2012/gargiulo_javier.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_uba_gargiulo_geometric_invariant_theory.pdf","UBA thesis page and direct PDF verified; department page says PDF publication requires completed author authorization form; page footer states Copyright Universidad de Buenos Aires 2026; no license-clearance claim","349c3c8d132930ba80adebc7ff86a3f2baea75c8ce00ad0352290be226312eeb","1107643","Spanish","true","false","true","PDF/text fallback; semisimple bridge remains review-sensitive; UBA publication authorization/access boundary recorded; no TeX/source archive verified","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Dialnet Hilbert/Gordan invariant-theory hard-term PDF","Dialnet/local source package","invariant_theory_hilbert_gordan; Hilbert; Gordan; invariants","C","PDF","https://dialnet.unirioja.es/descarga/articulo/8832426.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_dialnet_hilbert_gordan_invariants.pdf","Dialnet article page and direct PDF verified; legal notice states free access and private/research/educational use, prohibits unauthorized commercial use and mass automated download, and reserves IP rights; no license-clearance claim","a4cc2e9ee6739429a1efcc9562892586d374701d68b1df8ee273645b21d47727","126109","Spanish","true","false","true","PDF fallback; bibliographic metadata and Dialnet access/legal terms recorded; no TeX/source archive verified","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","French exact Hilbert-basis shorthand gap","Romance lane","hilbert_basis; base de Hilbert","GAP","not applicable","","","not applicable","","0","French","false","false","false","Validated French TeX exact shorthand remains weak; pending review","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","gap row only; language lane does not push; no upload/promotion action except through B3 source-canon coordination","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","French tensor corpus anchor gap","Romance lane","tensor_product; produit tensoriel","GAP","not applicable","","","not applicable","","0","French","false","false","false","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","gap row only; language lane does not push; no upload/promotion action except through B3 source-canon coordination","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Spanish tensor corpus anchor gap","Romance lane","tensor_product; producto tensorial","GAP","not applicable","","","not applicable","","0","Spanish","false","false","false","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","gap row only; language lane does not push; no upload/promotion action except through B3 source-canon coordination","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","Spanish","Spanish semisimple bridge manual-review gap","Romance lane","semisimple; semisimple; completamente reducible","GAP","not applicable","","","not applicable","","0","Spanish","false","false","false","Direct Noether prose should keep completamente reducible for vollstandig reduzibel; semisimple remains review-sensitive","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","gap row only; language lane does not push; no upload/promotion action except through B3 source-canon coordination","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
