row_type,lane,row_id,draft_support_or_source_state,evidence_basis,current_status,promotion_allowed,next_gate
support,Malay-Indonesian,resultant,resultan/paduan,"official/higher-algebra expansion upgrades terminology support",specialist_flag_only,false,"specialist prose witness and reviewer return"
support,Malay-Indonesian,invariant,invarian; tak berubah/tak varian,"official/higher-algebra expansion strengthens terminology route",specialist_search_only,false,"invariant-theory prose and algebra reviewer"
support,Malay-Indonesian,covariant,kovarian,"official/higher-algebra expansion strengthens terminology route",specialist_search_only,false,"invariant-theory prose and algebra reviewer"
gap,Brunei/Singapore,brunei_dbp_exact_math_terminology,"DBP/MABBIM route attempted; SSL failure; PRPM comparator route separate","20260703 exact-content refresh",blocked,false,"Brunei reviewer/source return or item-level DBP/MOE/MABBIM math terminology"
gap,Brunei/Singapore,brunei_moe_math_medium_and_curriculum,"MOE CDD page and SPN21 English/Malay PDFs downloaded","20260703 exact-content refresh",context_only,false,"MOE textbook/syllabus item with Malay math terminology or reviewer medium decision"
gap,Brunei/Singapore,singapore_malay_math_exact_content,"MOE/SEAB pages downloaded; ATL parsed","20260703 exact-content refresh and ATL check",source_needed,false,"Singapore reviewer/source return or approved-textbook Malay math terminology source"
gap,Brunei/Singapore,singapore_atl_current_titles,"544 primary and 506 secondary rows parsed; 0 math+Malay overlap","20260703 ATL title check",title_route_only,false,"item-level source if Malay mathematics title appears"
gap,Comparator,mabbim_prpm_comparator,"Malaysia DBP PRPM MABBIM math sample downloaded","20260703 exact-content refresh",comparator_only,false,"scope-governance return before cross-scope reuse"
source_return,SEA/Pacific,filipino_tagalog_higher_algebra,"direct math glossary PDFs downloaded","R7 targeted source discovery pass2",source_pointer_only,false,"native-country higher algebra/proof source or reviewer decision"
source_return,SEA/Pacific,cebuano,"official DepEd lower-math landing pages captured","R7 targeted source discovery pass2",lower_math_locator,false,"higher math/proof source and item-level capture"
source_return,SEA/Pacific,ilokano,"math-competence context plus glossary overlap","R7 targeted source discovery pass2",context_only,false,"direct Ilokano math/STEM source"
source_return,SEA/Pacific,hiligaynon,"DepEd math listing match captured","R7 targeted source discovery pass2",locator_only,false,"item-level DepEd capture/download and text check"
source_return,SEA/Pacific,waray,"math-instruction context paper captured","R7 targeted source discovery pass2",context_only,false,"direct Waray math/STEM material"
source_return,SEA/Pacific,bikol,"language-material context page captured","R7 targeted source discovery pass2",context_only,false,"direct Bikol math/STEM material"
source_return,SEA/Pacific,lao,"JICA/official math portals and Learning Passport captured; OCR route validated earlier","R7 targeted source discovery pass2 and Lao audits",source_pointer_ocr_ready,false,"direct high-school/higher math material extraction"
source_return,SEA/Pacific,shan,"language textbook context page captured","R7 targeted source discovery pass2",locator_only,false,"direct Shan math/STEM source"
source_return,SEA/Pacific,zhuang,"search-gap record only","R7 targeted source discovery pass2",gap,false,"direct Zhuang math/STEM material"
source_return,SEA/Pacific,hmong_miao,"Grade 4 glossary downloaded; Grade 10 endpoint 403","R7 targeted source discovery pass2",glossary_locator,false,"local/curriculum source beyond US test glossary"
source_return,SEA/Pacific,mien_yao,"language-resource page captured","R7 targeted source discovery pass2",context_only,false,"direct Mien/Yao math/STEM source"
source_return,SEA/Pacific,khmer,"math-book index captured; math-terms PDF SSL failure","R7 targeted source discovery pass2",locator_only,false,"official/university/proof source and stronger authority"
source_return,SEA/Pacific,mon,"language context page captured","R7 targeted source discovery pass2",context_only,false,"direct Mon math/STEM source"
source_return,SEA/Pacific,santali_munda,"Bharatavani Santali/Ol Chiki textbook listing captured","R7 targeted source discovery pass2",locator_only,false,"item-level textbook download/text extraction and broader Munda decision"
source_pointer,SEA/Pacific,cjk_sinosphere_crosswalk,"source-rich native-edition/crosswalk rows exist","R7 CJK/Tibeto-Burman/Pacific retry queue",source_pointer_can_start,false,"no pan-CJK language; row-level source/review before terms"
source_pointer,SEA/Pacific,thai,"current front door captured","R7 CJK/Tibeto-Burman/Pacific retry queue",source_pointer_can_start,false,"no Thai-Lao or pan-Tai construction"
source_pointer,SEA/Pacific,tibetan_burmese,"existing glossary-rich shelves plus front-door evidence","R7 CJK/Tibeto-Burman/Pacific retry queue",source_pointer_can_start,false,"no Tibeto-Burman umbrella language"
source_pointer,SEA/Pacific,maori,"existing source-rich shelf plus current source routes","R7 CJK/Tibeto-Burman/Pacific retry queue",source_pointer_can_start,false,"no pan-Polynesian construction"
source_pointer,SEA/Pacific,samoan_tongan_hawaiian,"local-standard front doors/dictionary/context captured","R7 CJK/Tibeto-Burman/Pacific retry queue",source_pointer_can_start,false,"exact math education terminology and reviewer/source returns"
source_pointer,SEA/Pacific,png_papuan,"PNG education/front-door context and teacher-guide evidence","R7 CJK/Tibeto-Burman/Pacific retry queue",local_only_source_pointer,false,"named local-language evidence; no Papuan umbrella construction"
source_pointer,SEA/Pacific,australian_indigenous,"existing papers and locator targets","R7 CJK/Tibeto-Burman/Pacific retry queue",local_only_gap_locator,false,"language/community-specific open resources and authority route"
