"adverse_id","channel","concept_or_unit","form_or_defect","evidence_path_or_source","sha256_or_version","anchor","severity","disposition","notes"
"P37-ZH-ADV-011","adverse","NOE-P37-LINEAR-DISJOINT-ACCESSORY-EXTENSION","Inherited 互素 is an integer/ideal coprimality attractor; 附属扩张 lacks support.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18698;18773","high","replaced_and_glossed","Selected 线性无交 / 辅助扩张（原文 akzessorische Erweiterung）. Exact auxiliary compounds: 0; 线性无交: 4 lines in 1 file."
"P37-ZH-ADV-012","competitor","NOE-P37-ARTIN-CONDUCTOR","The sole bounded 导子 substring occurs in unrelated 推导子图 and cannot support the number-theory term by itself.","71-file recovered Chinese TeX scope","scope=71-tex-files;search=2026-07-18","exact-string search","medium","pdf_context_controls","HFUT number-theory PDF pp. 89 and 106 supplies the intended context. Exact 阿廷导子: 0."
"P37-ZH-ADV-013","adverse","NOE-P37-ABELIANIZATION","Inherited 换位子群 / 因子群 is less controlled than 导出子群 / 商群 and omits the abelianization result.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 line 18739","medium","replaced_in_target","Selected 模导出子群所得的商群（交换化）. Bounded counts: 导出子群 5/3; 交换化 5/3; 商群 107/14."
"P37-ZH-ADV-014","adverse","NOE-P37-INTEGRAL-ELEMENT","Inherited 整量 is opaque and can be read as a whole-valued quantity.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 line 18741","medium","replaced_in_target","Selected 整元素. Exact 整元素: 0; 整元: 5 lines in 1 file."
"P37-ZH-ADV-015","translation_defect","NOE-P37-FORMULA-PRODUCT","Inherited witness rendered the defining product relation as division.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","source-keyed formula audit","critical","corrected_in_target","Target restores source multiplication. This is a translation-witness defect, not a German source defect."
"P37-ZH-ADV-016","translation_defect","NOE-P37-SYMBOL-CASE","Inherited witness conflated frakO/frako.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","source-keyed symbol audit","critical","corrected_in_target","Target distinguishes the relevant rings. This is not a source defect."
"P37-ZH-ADV-017","translation_defect","NOE-P37-INDEX-SYMBOL","Inherited witness changed v_l to v_t.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","source-keyed symbol audit","high","corrected_in_target","Target restores the source index. This is not a source defect."
"P37-ZH-ADV-018","translation_defect","NOE-P37-PRIME-IDEAL-SYMBOL","Inherited witness collapsed P and frakP.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","source-keyed symbol audit","critical","corrected_in_target","Target restores the distinct source symbols. This is not a source defect."
"P37-ZH-ADV-019","adverse","NOE-P37-TAME-RAMIFICATION","Inherited 普通分歧素位 translates gewöhnlich generically and loses the tame-versus-higher/wild contrast.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","opening argument; contrast with höhere Verzweigung","high","replaced_in_target","Selected 温分歧素位. HFUT extracted PDF p.71 directly contrasts 温分歧 and 野分歧."
"P37-ZH-ADV-020","adverse","NOE-P37-PRINCIPAL-IDEAL-GENERATOR","Inherited 基 reads the Hasse footnote's singular a as a vector-space basis.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","Hasse footnote: etwa mit Basis a_i; a ... Basis des ursprünglichen Ideals","high","replaced_in_target","Selected 由 a_i 生成 / 生成元. The ideal is principal and a is one generator, not a basis family."
