kind,volume,scope,language,relative_path,bytes,sha256,source_scope,status
cumulative,II,current cumulative,german,02_cumulative_work/volume_2/german/pdf/weber_volume2_current_repaired_cumulative_german_source.pdf,814841,9a3475b69717c3594ac14ae77cd658e598c757042b2a9a5bbfa71ffab5e6dfa8,unchanged from current section packet record,copied unchanged
cumulative,II,current cumulative,german,02_cumulative_work/volume_2/german/tex/weber_volume2_current_repaired_cumulative_german_source.tex,315174,bacb2d2b5dc838c9bcc2e910fd20229308256670de292ade658ac4fe432357bd,unchanged from current section packet record,copied unchanged
cumulative,III,current cumulative,english,02_cumulative_work/volume_3/english/pdf/weber_volume3_current_repaired_cumulative_english_translation.pdf,1338963,a7beedaaca28b820dd7e885530f0c5ae4425f402f5e42372e7d0a72c8677b72d,unchanged from current section packet record,copied unchanged
cumulative,III,current cumulative,english,02_cumulative_work/volume_3/english/tex/weber_volume3_current_repaired_cumulative_english_translation.tex,682302,e979be4dc09a9eda48b578ed65b0f0f577c90a63024f39072a12ae9072e58194,unchanged from current section packet record,copied unchanged
cumulative,III,current cumulative,german,02_cumulative_work/volume_3/german/pdf/weber_volume3_current_repaired_cumulative_german_source.pdf,1369274,818233120895ac6261b250b3ef877c09296c8bd00f90269dfa6b73676f0db0e7,unchanged from current section packet record,copied unchanged
cumulative,III,current cumulative,german,02_cumulative_work/volume_3/german/tex/weber_volume3_current_repaired_cumulative_german_source.tex,702729,4fb614b3332508ed4dee7279c1cb3d5544482ebb2bb188944d15cf809ff4d669,unchanged from current section packet record,copied unchanged
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-1-01.png,608663,5954ab1fe4a8045032e08cba868edac2b30951cf8c696a0c4d97d8b8195604b5,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-10-10.png,600295,86d73f9d3b1ce729efe786a56e4931553c97d1eb1a9e591a543655c23ed56e9b,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-11-11.png,550709,935b0c476ad6b6a21c2ff9f0d1780559dd2165e1a5abc8af4fb06233f4a72838,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-12-12.png,544699,9ad255d5bfaa534e5fe120a59fe4401698f87a431e1b36b605ce28ddb1f70432,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-13-13.png,376832,8c2dfb35479c2e9204b6a32d90baf9802010e591a2fd567ded21b17c5be4c340,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-2-02.png,508521,edc327eade496971695e1b96f23116114ca7f801899fe17e304728f03b0b286c,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-3-03.png,535268,38898e4003a8e37a265ccc77a9cc56f223441f3336a9bf67f0aa78c96ce66c8e,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-4-04.png,571646,fbeefc951f7a34c16f5cc0e4c5d7ae06e08083304f16e8b26e3ece3524ba7866,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-5-05.png,510249,78469eb23d2873d172b622ba3105c3ebfc9fdc788cd4e75a1b302a9f1dd7f7ba,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-6-06.png,615960,3a82e469eae33e34c1390d10c7e27a0618e97a93188bf70536a254d8f75db49f,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-7-07.png,660906,53ee9881897238d4e1eeaf2e2fcb18e4964014d4fe58d9eef12a1ed634ebcfa5,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-8-08.png,598867,81e7ebc232bb0fab22fa90ed0e23550f4888fc85167e4404015279e7dc26005d,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/png_page_renders/page-9-09.png,649053,5b514dc93c839c5169106ab06c0fd46981a6025e41cb9fe3748c709dffe99fbe,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I,§§73-75,,03_source_scans/current_batch_volume_1_sections73_75/source_scan_vol1_sections73_75_pp225_237.pdf,969121,875cf93fdf379479f5fbd9b77600906a38872567ad51c006fe11f05857dae49b,Volume I source pages 225-237,included for scan verification
source_scan_cutout,I/III,prior cutouts,,03_source_scans/reincluded_batch39_scan_slices/weber_vol1_source_scan_sections44_46.pdf,696821,6036d8cbf4894b82896867f01eb55a7ab3bdfe74b370e3de03941a899938b7c8,prior scan cutouts re-included,included
source_scan_cutout,I/III,prior cutouts,,03_source_scans/reincluded_batch39_scan_slices/weber_vol3_source_scan_section100.pdf,326691,126c78b3385850181d0cc8e115ddd87a738e028536231f9ed54ac5ff6199caa0,prior scan cutouts re-included,included
source_scan_cutout,I/III,prior cutouts,,03_source_scans/reincluded_previous_volume1_scans/current_batch_vol1_sections62_72/source_scan_vol1_sections62_72_pp192_225top.pdf,2689002,1a4c7f5496ff8d83bd9f74cd24e081669a0fa8ec7eeae8a14b55c19ecf8664e7,prior scan cutouts re-included,included
source_scan_cutout,I/III,prior cutouts,,03_source_scans/reincluded_previous_volume1_scans/prior_cutouts_reincluded_from_previous_release/source_scan_vol1_sections46end_54_pp153_177.pdf,2060711,2a50864c7c53cf77b0bdab1ca4acc5eb87c79d38110d2acecc41c51c2e045cfb,prior scan cutouts re-included,included
source_scan_cutout,I/III,prior cutouts,,03_source_scans/reincluded_previous_volume1_scans/prior_cutouts_reincluded_from_previous_release/source_scan_vol1_sections55_61_pp178_192.pdf,1177295,f7290f7140c0949c326dc3c18bfae778aa34d92b0841604c9683c040b28b1833,prior scan cutouts re-included,included
source_ocr_excerpt,I,§§73-75,,04_source_ocr_excerpt_current_batch/source_scan_vol1_sections73_75_pp225_237_pdftotext.txt,27879,e4190397dd48dcfd9ea24c3873ba449f075bbf5b607b09929233473d3a6184e2,OCR from current scan cutout,included for auxiliary checking
file,,,,README.txt,914,db263a30b4759491051ef332c913efc90a33ea41646b7a2a61b0f3656f3e98d4,,included
