paper,title_de,current_start,current_end,recovery_state,korean_body,next_action
18,"Über eine Arbeit des im Kriege gefallenen K. Hentzelt zur Eliminationstheorie",11218,11242,producer_complete,"inherited heading plus newly translated ED0004 body","mechanically build and route independent checking"
19,"Idealtheorie in Ringbereichen",11243,12397,missing,"none found","translate"
20,"Ein algebraisches Kriterium für absolute Irreduzibilität",12398,12609,missing,"none found","translate"
21,"Formale Variationsrechnung und Differentialinvarianten",12610,12701,missing,"none found","translate"
22,"Zur Theorie der Polynomideale und Resultanten",12702,13533,missing,"none found","translate"
23,"Algebraische und Differentialvarianten",13534,13657,missing,"none found","translate"
24,"Eliminationstheorie und allgemeine Idealtheorie",13658,14146,missing,"none found","translate"
25,"Eliminationstheorie und Idealtheorie",14147,14205,producer_complete_new,"fresh full-paper translation from ED0004","mechanically build and route independent checking"
26,"Abstrakter Aufbau der Idealtheorie im algebraischen Zahlkörper",14206,14218,inherited_coherent_rebase,"1 complete inherited body","assemble with current formatting"
27,"Hilbertsche Anzahlen in der Idealtheorie",14219,14227,inherited_coherent_rebase,"1 complete inherited body","assemble against ED0004"
28,"Gruppencharaktere und Idealtheorie",14228,14242,producer_complete_reused,"inherited full body reopened; unsupported modern gloss removed at source line 14236","mechanically build and route independent checking"
29,"Der Endlichkeitssatz der Invarianten endlicher linearer Gruppen der Charakteristik p",14243,14343,inherited_coherent_rebase,"14 inherited units forming a complete body","assemble and rebase repeated footnote marker"
30,"Abstrakter Aufbau der Idealtheorie in algebraischen Zahl- und Funktionenkörpern",14344,15599,missing,"none found","translate"
31,"Der Diskriminantensatz für die Ordnungen eines algebraischen Zahl- oder Funktionenkörpers",15600,16091,missing,"none found","translate"
32,"Über minimale Zerfällungskörper irreduzibler Darstellungen",16092,16260,inherited_coherent_rebase,"19 inherited units forming a complete body","assemble; correct containment wording in inherited U06"
33,"Hyperkomplexe Größen und Darstellungstheorie in arithmetischer Auffassung",16261,16334,inherited_coherent_rebase,"8 inherited units forming a complete body","assemble against ED0004"
34,"Hyperkomplexe Größen und Darstellungstheorie",16335,18360,missing,"none found","translate"
35,"Über Maximalbereiche aus ganzzahligen Funktionen",18361,18624,missing,"none found","translate"
36,"Idealdifferentiation und Differente",18625,18638,inherited_coherent_rebase,"1 complete inherited body","assemble against ED0004"
37,"Normalbasis bei Körpern ohne höhere Verzweigung",18639,18830,missing,"none found","translate"
38,"Beweis eines Hauptsatzes in der Theorie der Algebren",18831,19051,missing,"none found","translate"
39,"Hyperkomplexe Systeme in ihren Beziehungen zur kommutativen Algebra und zur Zahlentheorie",19052,19141,missing,"none found","translate"
40,"Nichtkommutative Algebren",19142,19789,missing,"none found","translate"
41,"Der Hauptgeschlechtssatz für relativ-galoissche Zahlkörper",19790,19943,producer_complete_reused,"12 inherited units reopened and terminology rebased","mechanically build and route independent checking"
42,"Zerfallende verschränkte Produkte und ihre Maximalordnungen",19944,20176,producer_complete_reused,"12 inherited units reopened and rank terminology rebased","mechanically build and route independent checking"
43,"Idealdifferentiation und Differente",20177,21004,missing,"none found","translate"
POST-A,"Algebra der hyperkomplexen Groessen",21005,23741,missing,"none found","translate as a separate post-numbered work"
POST-B,"Kapferer: Notwendige und hinreichende Multiplizitaetsbedingungen; mit Zusatz gemeinsam mit E. Noether",23742,23983,missing,"none found","translate as a separate post-numbered work"
BACK,"Bibliography and terminal edition apparatus",23984,24146,missing,"none found","translate edition apparatus"
