constellation,const_ar,const_zh,n,arabic,roman,lon_d,lon_m,lat_d,lat_m,dir,mag,page,note
Aquarius,الدلو,宝瓶座,,الكوكب المقدم من هذه الثلثة,the leading of these three,,,,,N,4,23,
Aquarius,الدلو,宝瓶座,,الذي في نجد الساق اليمنى,on the right-leg upland,,,,,S,3,23,
Aquarius,الدلو,宝瓶座,,الثاني من الثلثة على طرف ذنبه,second of three on its tail-tip,,,,,S,3,23,
Aquarius,الدلو,宝瓶座,,المقدم من الاثنين الجنوبيين الباقيين,leading of the two remaining southern,,,,,S,3,23,
Aquarius,الدلو,宝瓶座,,الكوكب التالي لهذا,the star following this,,,,,S,3,23,
Aquarius,الدلو,宝瓶座,,الجنوبي من الاثنين في ساقه اليمنى,S of two in its right leg,,,,,S,3,23,
Aquarius,الدلو,宝瓶座,,المقدم من الخمسة التي في مصب الماء,leading of the five in the water-outflow,,,,,S,4,23,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,المتوسط من الثلثة التي في جسده,middle of three in its body,,,,,S,3,19,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,الشمالي من هذه الثلثة,N of these three,,,,,S,3,19,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,المؤخر من الكوكبين اللذين في ذنبه,rear of the two in its tail,,,,,S,3,19,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,المقدم منهما,the leading of them,,,,,S,3,19,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,الشمالي الذي في الشق المقدم منه,N in its leading cleft,,,,,S,2,19,bright
Cetus,قيطس وهو سبع البحر,鲸鱼座,,الشمالي عند الاثنين في طرف ذنبه,N by the two on its tail-tip,,,,,S,3,19,
Cetus,قيطس وهو سبع البحر,鲸鱼座,,الكوكب الجنوبي الذي على طرف ذنبه,S star on its tail-tip,,,,,S,3,19,faint
Orion,الجبار,猎户座,,الذي في رأسه,in its head,,,,,N,4,19,
Orion,الجبار,猎户座,,النيّر الذي على كتفه اليمنى (منكب الجوزاء),bright on right shoulder = Betelgeuse,,,,,S,1,19,"Betelgeuse, 1st mag"
Orion,الجبار,猎户座,,الذي على كتفه اليسرى,on its left shoulder (Bellatrix),,,,,S,2,19,bright
Orion,الجبار,猎户座,,الذي تحت هذا في كتفه اليسرى,below this on left shoulder,,,,,S,4,19,faint
Orion,الجبار,猎户座,,الشمالي من التسعة في الجلد الذي بيده اليسرى,N of the nine in the shield in its left hand,,,,,S,3,19,
Orion,الجبار,猎户座,,الكوكب الذي على مرفقه الأيمن,on its right elbow,,,,,S,4,19,
Orion,الجبار,猎户座,,السادس منها في الشمال,"the sixth, in the north",,,,,S,3,19,
Orion,الجبار,猎户座,,السابع الذي بعد هذا في الشمال,the seventh after it,,,,,S,3,19,
Orion,الجبار,猎户座,,الثامن الذي بعده في الشمال,the eighth after it,,,,,S,3,19,
Orion,الجبار,猎户座,,التاسع في الجنوب من التي في الجلد (المجلد),"ninth, S of those in the shield",,,,,S,3,19,
Orion,الجبار,猎户座,,المقدم من الثلثة في المنطقة,leading of the three in the belt,,,,,S,3,19,Orion belt
Sagittarius,الرامي,人马座,,الذي على ركبته الرابي من رجله اليسرى,"on its knee, left leg",,,,,S,3,24,
Sagittarius,الرامي,人马座,,الذي على عرقوبه من رجله المقدمة,"on its heel, forward leg",,,,,S,3,24,
Sagittarius,الرامي,人马座,,الذي في فخذه اليسرى,in its left thigh,,,,,S,3,24,
Sagittarius,الرامي,人马座,,الذي على ساق الرامي اليمنى المؤخرة,on the Archer right rear leg,,,,,S,3,24,
Sagittarius,الرامي,人马座,,الشمالي من الاربعة في أصل أليته (عرقوب الرامي),N of four at base of rump = heel of Archer,,,,,S,1,24,bright
Sagittarius,الرامي,人马座,,الذي يتلوه في الخط الشمالي,following it in the northern line,,,,,S,5,24,
Orion,الجبار,猎户座,,الأوسط منها (في المنطقة),middle of the belt,,,,,S,2,18,Orion belt
Orion,الجبار,猎户座,,المؤخر من الثلثة التي في المنطقة,rear of the three in the belt,,,,,S,2,18,Orion belt
Orion,الجبار,猎户座,,الذي عند مقبض سيفه,by the handle of its sword,,,,,S,3,18,sword
Orion,الجبار,猎户座,,الشمالي من الثلثة المضيئة عند رأس السيف,N of three bright at the sword head,,,,,S,4,18,sword
Orion,الجبار,猎户座,,المتوسط من هذه الثلثة,the middle of these three,,,,,S,3,18,faint
Orion,الجبار,猎户座,,المقدم من الثلثة وهو الجنوبي منها,"leading of the three, its southern",,,,,S,3,18,
Orion,الجبار,猎户座,,النيّر الذي على طرف رجله اليسرى (رجل الجوزاء),bright on left-foot tip = Rigel,,,,,S,1,18,"Rigel, 1st mag"
Orion,الجبار,猎户座,,الكوكب الشمالي فوق عرقوبه,N star above its heel,,,,,S,2,18,
Scorpius,العقرب,天蝎座,,الذي عند الشوكة وهي الشولة,at the sting = al-Shawla (Shaula),,,,,S,3,25,Shaula region
Scorpius,العقرب,天蝎座,,المؤخر من الاثنين اللذين في الشولة,rear of the two in the sting,,,,,S,3,25,
Scorpius,العقرب,天蝎座,,المقدم منهما,the leading of them,,,,,S,3,25,
Scorpius,العقرب,天蝎座,,الشمالي الذي يتلو الشولة,the N following the sting,,,,,N,3,25,not in figure
Sagittarius,الرامي والقوس,人马座,,الكوكب الذي على زج السهم,on the nock of the arrow,,,,,S,4,25,
Sagittarius,الرامي والقوس,人马座,,الذي على مقبض يده اليسرى,on the grip of its left hand,,,,,S,4,25,
Orion,الجبار,猎户座,,الخارج الذي تحت عقبه اليسرى,outside under its left heel,,,,,S,3,,18
Orion,الجبار,猎户座,,الذي تحت ركبته اليسرى المؤخرة,under its left rear knee,,,,,S,3,bright,18
Libra,الميزان,天秤座,,الكوكب المضيء من كواكب الكفة الجنوبية,bright of the southern pan (Zubenelgenubi),,,,,N,2,26,south pan
Libra,الميزان,天秤座,,الكوكب المظلم الشمالي من هذا,the dim northern one,,,,,N,5,26,
Libra,الميزان,天秤座,,النيّر الذي في الكفة الشمالية,bright of the northern pan (Zubeneschamali),,,,,N,2,26,north pan
Libra,الميزان,天秤座,,المتوسط من التي في الكفة الجنوبية,middle of the southern pan,,,,,N,4,26,
Libra,الميزان,天秤座,,الكوكب التالي لهذا,the star following this,,,,,N,4,26,
Libra,الميزان,天秤座,,الكوكب المتوسط من الكفة الشمالية,middle of the northern pan,,,,,N,4,26,
Eridanus,النهر,波江座,,الذي على طرف رجل الجبار وهو على رأس النهر,at Orion foot = head of the River,,,,,S,4,18,River head
Eridanus,النهر,波江座,,النيّر الكبير وهو آخر كواكب النهر,the great bright last star of the River = Achernar,,,,,S,1,18,"Achernar, 1st mag"
Eridanus,النهر,波江座,,الذي يتلو الاربعة التي في القطع,following the four in the segment,,,,,S,4,18,
Eridanus,النهر,波江座,,الثالث بين يدي الأوسط,third before the middle,,,,,S,4,18,
Eridanus,النهر,波江座,,المقدم من الاربعة,leading of the four,,,,,S,4,18,
Eridanus,النهر,波江座,,المؤخر من الاربعة,rear of the four,,,,,S,4,18,
Eridanus,النهر,波江座,,الكوكب الثالث الذي قبل هذا الرابع,the third before this fourth,,,,,S,4,18,
Eridanus,النهر,波江座,,الذي في منعطف النهر على صدر قيطس,at the River bend on the breast of Cetus,,,,,S,4,18,
Leo,الأسد,狮子座,,المقدم الكبير الذي يسمى عرف الأسد,"the big leading star, the Mane of the Lion",,,,,N,5,dim; Coma/locks region,27
Leo,الأسد,狮子座,,الكوكب الذي يتلوه على الضفيرة,"following it, on the braid (al-Dhawaʾib)",,,,,N,5,dim; Coma Berenices,27
Virgo,العذراء والسنبلة,室女座,,الجنوبي من الاثنين اللذين في رأس العذراء,S of the two in the head of Virgo,,,,,N,5,27,
Virgo,العذراء والسنبلة,室女座,,الكوكب الشمالي من هذا,the northern one of this,,,,,N,5,27,
Virgo,العذراء والسنبلة,室女座,,الذي على جناحها الأيسر,on her left wing,,,,,N,3,27,
Canis Major,الكلب الأكبر,大犬座,,الكوكب الذي على أذنيه,on its ears,,,,,S,4,16,bright
Canis Major,الكلب الأكبر,大犬座,,الكوكب الذي في رأسه,in its head,,,,,S,4,16,
Canis Major,الكلب الأكبر,大犬座,,النيّر الذي في فم الكلب (الشعرى اليمانية),bright in the Dog mouth = Sirius,,,,,S,1,16,"Sirius, brightest star"
Canis Major,الكلب الأكبر,大犬座,,الذي على طرف رجله المقدمة,on its forward foot tip,,,,,S,3,16,
Canis Major,الكلب الأكبر,大犬座,,الذي في أصل فخذه اليسرى,at the base of its left thigh,,,,,S,3,16,
Canis Major,الكلب الأكبر,大犬座,,الذي في أصل فخذه اليمنى,at the base of its right thigh,,,,,S,4,16,faint
Canis Major,الكلب الأكبر,大犬座,,الذي تحت بطنه بين فخذيه,under its belly between the thighs,,,,,S,3,16,
Canis Major,الكلب الأكبر,大犬座,,الذي على رجله اليمنى,on its right leg,,,,,S,4,16,
Leo,الأسد,狮子座,,الكوكب الذي على طرف منخر الأسد,on the tip of the Lion nostril,,,,,N,4,28,
Leo,الأسد,狮子座,,الشمالي من الاثنين اللذين في رأس الأسد,N of the two in the head,,,,,N,3,28,
Leo,الأسد,狮子座,,الأوسط من الثلثة التي في عنقه,middle of three in its neck,,,,,N,2,28,bright
Leo,الأسد,狮子座,,المقدم من الثلثة في عنقه الشمالي,leading of three in its neck,,,,,N,4,28,
Leo,الأسد,狮子座,,الجنوبي من الثلثة في عنق الأسد (قلب الأسد / الملك),S of three = Heart of the Lion = Regulus,,,,,N,1,28,"Regulus, 1st mag"
Leo,الأسد,狮子座,,المقدم من الاثنين اللذين على ظهره,leading of the two on its back,,,,,N,3,28,
Leo,الأسد,狮子座,,الكوكب الذي يتلو هذا,the star following this,,,,,N,4,28,faint
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,الشمالي في الشق المقدم من الاربعة,N in the leading cleft of the four,,,,,S,4,17,
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,المؤخر من هذه الاربعة,rear of these four,,,,,S,4,17,
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,المؤخر من الاثنين بعد العطف,rear of the two after the bend,,,,,S,4,17,
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,المؤخر من الثلثة التي بعد الاثنين,rear of three after the two,,,,,S,4,17,
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,الشمالي من الاثنين المتقاربين,N of the two close together,,,,,S,4,17,
Lepus/Eridanus (southern),الأرنب/النهر,南天（待定）,,الجنوبي منهما,the southern of them,,,,,S,4,17,
Gemini,التوأمان,双子座,,الذي على طرف الرجل اليسرى من التوأم المؤخر,foot of the rear twin,,,,,S,4,29,
Gemini,التوأمان,双子座,,الذي على الركبة اليسرى من التوأم المؤخر,"left knee, rear twin",,,,,S,3,29,
Gemini,التوأمان,双子座,,الذي على وسط الألية من هذا التوأم,mid-rump of this twin,,,,,S,3,29,
Gemini,التوأمان,双子座,,الذي على الخاصرة اليسرى من هذا التوأم,left flank of this twin,,,,,S,3,29,
Gemini,التوأمان,双子座,,الذي على الركبة اليسرى من التوأم المقدم,"left knee, leading twin",,,,,S,4,29,
Cancer,السرطان,巨蟹座,,وسط الملف النحاني الذي في صدر السرطان,the nebulous cluster in the breast of Cancer = Praesepe,,,,,S,0,Praesepe/Beehive (nebulous),29
Cancer,السرطان,巨蟹座,,الشمالي من الاثنين اللذين عند المربع النحاني,N of the two by the nebulous square,,,,,S,4,,29
Taurus,الثور,金牛座,,الذي على عينه الجنوبية (الدبران),on its southern eye = Aldebaran,,,,,S,1,30,"Aldebaran, 1st mag"
Taurus,الثور,金牛座,,الذي على عينه تحت قرنه الجنوبي,on its eye below the S horn,,,,,S,3,30,Hyades
Taurus,الثور,金牛座,,الذي بين الأول وعينه الجنوبية,between the first and its S eye,,,,,S,3,30,Hyades
Taurus,الثور,金牛座,,التالي لهذا الذي على الشمالية,"following this, on the N",,,,,S,3,30,Hyades
Taurus,الثور,金牛座,,الذي على أصل قرنه عند أذنه الجنوبية,at the horn base by its S ear,,,,,S,4,30,
Taurus,الثور,金牛座,,الذي على وسط قرنه الجنوبي,on the middle of its S horn,,,,,S,4,30,
Taurus,الثور,金牛座,,الذي على أصل قرنه الشمالي,at the base of its N horn,,,,,N,4,30,
Taurus,الثور,金牛座,,الذي على طرف قرنه الجنوبي,on the tip of its S horn,,,,,S,3,30,
Taurus,الثور,金牛座,,الذي على طرف قرنه الشمالي وهو على رجل ذي الأعنة,"N horn tip, shared with Auriga foot",,,,,N,3,30,"El Nath / β Tau, shared with Auriga"
Aries,الحمل,白羊座,,الكوكب المؤخر منها,the rear star of them,,,,,N,3,31,
Aries,الحمل,白羊座,,الشمالي من الاثنين اللذين في فم الحمل,N of the two in the mouth of the Ram,,,,,N,5,31,
Aries,الحمل,白羊座,,الكوكب الجنوبي منهما,the southern of them,,,,,N,5,31,
Aries,الحمل,白羊座,,الكوكب الذي على عنق الحمل,on the neck of the Ram,,,,,N,5,31,
Aries,الحمل,白羊座,,الذي على ظهر الحمل,on the back of the Ram,,,,,N,6,31,
Aries,الحمل,白羊座,,الذي على عجز أليّته,on its rump,,,,,N,5,31,
Aries,الحمل,白羊座,,المقدم من الثلثة التي في أليّته,leading of three in its rump,,,,,N,4,31,
Aries,الحمل,白羊座,,الكوكب المتوسط منها,the middle of them,,,,,N,4,31,
Aries,الحمل,白羊座,,المؤخر من هذه الثلثة,the rear of these three,,,,,N,4,31,
Aries,الحمل,白羊座,,الكوكب الذي خلف فخذ الحمل,behind the thigh of the Ram,,,,,N,5,31,
Pegasus,الفرس الأعظم,飞马座,,الشمالي من الاثنين اللذين في رأسه,N of the two in its head,,,,,N,3,32,pre-Andromeda; verify Pegasus/Perseus
Pegasus,الفرس الأعظم,飞马座,,الكوكب الذي على رقبته,on its neck,,,,,N,4,32,pre-Andromeda; verify Pegasus/Perseus
Pegasus,الفرس الأعظم,飞马座,,الذي على عرقوبه الأيمن,on its right hock,,,,,N,4,32,pre-Andromeda; verify Pegasus/Perseus
Pegasus,الفرس الأعظم,飞马座,,الكوكب الذي على ركبته اليسرى,on its left knee,,,,,N,4,32,pre-Andromeda; verify Pegasus/Perseus
Pegasus,الفرس الأعظم,飞马座,,الكوكب الذي على عرقوبه الأيسر,on its left hock,,,,,N,4,32,pre-Andromeda; verify Pegasus/Perseus
Andromeda,المرأة المسلسلة,仙女座,,الذي بين كَتِفَي اندروميدس,between the shoulders of Andromeda,,,,,N,3,32,
Andromeda,المرأة المسلسلة,仙女座,,الجنوبي من الثلثة التي فوق شِقّها,S of the three above her flank,,,,,N,3,32,
Andromeda,المرأة المسلسلة,仙女座,,المقدم من الثلثة التي فوق شقها,leading of the three above her flank,,,,,N,4,32,
Delphinus,الدلفين,海豚座,,المقدم من الثلثة التي على ذنب الدلفين,leading of three on the Dolphin tail,,,,,N,3,33,faint
Delphinus,الدلفين,海豚座,,الجنوبي المقدم من الضلع الأول,S leading of the first rib,,,,,N,3,33,faint
Delphinus,الدلفين,海豚座,,المضاف الجنوبي في خط سند المنقار,S adjacent on the snout line,,,,,N,3,33,faint
Delphinus,الدلفين,海豚座,,الشمالي من الضلع المؤخر,N of the rear rib,,,,,N,3,33,faint
Delphinus,الدلفين,海豚座,,الشمالي من الضلع الأول,N of the first rib,,,,,N,3,33,faint
Equuleus,قطعة الفرس (برطلوس),小马座,,الأول المقدم من اللذين في رأس برطلوس,leading of the two in the head of the Foal,,,,,N,4,,33
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الذي عند مَخرج عنق الحية,at the base of the Serpent neck,,,,,N,3,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الذي بعد الجَزّة المقدمة في عنق الحية,after the leading tuft in the Serpent neck,,,,,N,3,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,المتوسط من الثلثة التي بعدها,the middle of the three after it,,,,,N,3,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الكوكب الجنوبي منها,the southern of them,,,,,N,3,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الكوكب الجنوبي الذي وراء فخذ الحوّاء,S star behind the thigh of Ophiuchus,,,,,N,4,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الذي يلي الأول من الثلثة على ذنب الحية,"following the first, on the Serpent tail",,,,,N,4,34,
Serpens/Ophiuchus,الحية والحوّاء,巨蛇/蛇夫座,,الذي على طرف ذنب الحية,on the tip of the Serpent tail,,,,,N,4,34,
Crater,الكأس,巨爵座,,الكوكب الذي على أذن الكأس الجنوبية,on the southern ear of the Cup,,,,,S,4,,15
Crater,الكأس,巨爵座,,الذي على أذن الكأس الشمالية,on the northern ear of the Cup,,,,,S,5,,15
Corvus,الغراب,乌鸦座,,الذي في منقار الغراب عند الشجاع,"in the Crow beak, near Hydra",,,,,S,3,15,
Corvus,الغراب,乌鸦座,,الذي في عنقه قرب من رأسه,on its neck near the head,,,,,S,3,15,
Corvus,الغراب,乌鸦座,,الذي في الجناح المقدم الأيمن,on the right leading wing,,,,,S,3,15,
Corvus,الغراب,乌鸦座,,المقدم من الاثنين في الجناح المؤخر,leading of two on the rear wing,,,,,S,3,15,
Corvus,الغراب,乌鸦座,,الكوكب المؤخر منهما,the rear of them,,,,,S,3,15,
Auriga,ذو الأعنّة,御夫座,,الكوكب الذي على رأس ذي الأعنّة,on the head of Auriga,,,,,N,3,35,
Auriga,ذو الأعنّة,御夫座,,الكوكب الذي في كتفه اليسرى (العَيُّوق),on its left shoulder = Capella,,,,,N,1,35,"Capella, 1st mag"
Auriga,ذو الأعنّة,御夫座,,الذي على كتفه اليمنى,on its right shoulder,,,,,N,2,35,bright
Auriga,ذو الأعنّة,御夫座,,الكوكب الذي على عرقوبه الأيسر,on its left hock,,,,,N,4,35,faint; the Kids
Auriga,ذو الأعنّة,御夫座,,الذي على عرقوبه الأيمن,on its right hock,,,,,N,4,35,bright
Ophiuchus,الحوّاء,蛇夫座,,الكوكب الذي على رأس الحوّاء,on the head of Ophiuchus = Ras Alhague,,,,,N,3,,35
Cassiopeia,ذات الكرسي,仙后座,,الكوكب الذي على رأس ذات الكرسي,on the head of Cassiopeia,,,,,N,4,36,
Cassiopeia,ذات الكرسي,仙后座,,الكوكب الذي في صدرها,on her breast,,,,,N,3,36,
Cassiopeia,ذات الكرسي,仙后座,,الشمالي منها وهو على شِقّتها,"N, on her flank",,,,,N,4,36,bright
Cassiopeia,ذات الكرسي,仙后座,,الكوكب الذي على ركبتيها,on her knees,,,,,N,3,36,
Cassiopeia,ذات الكرسي,仙后座,,الكوكب الذي في وسط الكرسي,in the middle of the Chair,,,,,N,4,36,faint
