recovery_authority_action_id,language_or_scope,blocker_origin,blocker_field,probe_kind,probe_rows,existing_probe_rows,missing_probe_rows,ledger_pointer_rows,searched_path_sample,next_recovery_step_sample,authority_ethics_action,current_head,input_frontier_head,source_use_label,accepted_translation_evidence,promotion_allowed,native_review_claimed,boundary_note
R9-FAA2C330-RECOVERY-AUTHORITY-0011,Amharic,9bb_zip_candidate_review_correction,source_body_type,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0012,Amharic,9bb_zip_candidate_review_correction,target_language_subpath,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0013,Amharic,e58_render_witness_ocr_pickup,exact_phrase_from_render,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0014,Amharic,e58_render_witness_ocr_pickup,formula_neighbor_visual_confirmation,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0015,Amharic,e58_render_witness_ocr_pickup,ocr_unicode_confidence,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0016,Amharic,e58_render_witness_ocr_pickup,source_page_language_boundary,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0024_024_amharic_math_g3_chapter_10_b1ff0c22.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\amharic\source-pdfs\R9-LSB-0045_045_amharic_math_g6_chapter_4_bf0b06b2.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0017,Hausa,9bb_zip_candidate_review_correction,exact_source_phrase,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0018,Hausa,9bb_zip_candidate_review_correction,reviewer_boundary,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0019,Hausa,9bb_zip_candidate_review_correction,source_body_type,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0020,Hausa,9bb_zip_candidate_review_correction,target_language_subpath,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0021,Hausa,e58_render_witness_ocr_pickup,exact_phrase_from_render,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\hausa\source-pdfs\R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\related-west-african\source-pdfs\hausa-igbo-context-recovery-20260705\hausa\120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0022,Hausa,e58_render_witness_ocr_pickup,formula_neighbor_visual_confirmation,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\hausa\source-pdfs\R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\related-west-african\source-pdfs\hausa-igbo-context-recovery-20260705\hausa\120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0023,Hausa,e58_render_witness_ocr_pickup,ocr_unicode_confidence,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\hausa\source-pdfs\R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\related-west-african\source-pdfs\hausa-igbo-context-recovery-20260705\hausa\120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0024,Hausa,e58_render_witness_ocr_pickup,source_page_language_boundary,file,9,9,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\hausa\source-pdfs\R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\related-west-african\source-pdfs\hausa-igbo-context-recovery-20260705\hausa\120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0025,Hausa,language_source_bodies_gap_rows,AJOL landing/PDF retry preserved; use retrieval result for next source-return step,blank,1,0,1,0,,continue local-source and external source-return search; preserve blocker until exact body and review gates close,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0026,Hausa,language_source_bodies_gap_rows,additional_source_bodies_packaged_stronger_textbook_glossary_gate_still_open,ledger_pointer,3,0,0,3,see R9_HAUSA_IGBO_EXACT_SOURCE_BODY_RECOVERY_20260705.csv,"resolve referenced ledger to concrete body path, then hash/probe and update blocker row",record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0027,Hausa,language_source_bodies_gap_rows,context_or_register_body_packaged_stronger_textbook_glossary_gate_still_open,ledger_pointer,1,0,0,1,see R9_HAUSA_IGBO_CONTEXT_SOURCE_BODY_RECOVERY_20260705.csv,"resolve referenced ledger to concrete body path, then hash/probe and update blocker row",record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0028,Oromo,9bb_zip_candidate_review_correction,exact_source_phrase,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0029,Oromo,9bb_zip_candidate_review_correction,reviewer_boundary,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0030,Oromo,9bb_zip_candidate_review_correction,source_body_type,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0031,Oromo,9bb_zip_candidate_review_correction,target_language_subpath,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
