filename,status,source_count,bytes,pages,text_chars,sha256,sources,category,language_group,title,held_source_count,held_sources
10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,combined,1,215082,24,29884,1708a42e9293a33c4adc31e369de1a42d5a9642ac00ad8e9b5342ff759022b35,['translations/en/islamic/al-kashi-miftah-al-hisab_bilingual.pdf'],translation_work,english_bilingual,"Jamshid al-Kashi, Miftah al-Hisab",0,[]
10-12 English Translation - al-Khwarizmi - Algebra.pdf,combined,1,229794,48,45233,077140dfce3be18cab2c1b3f279d3e384c5a7e94eb88f28b9bf945c3ccd66ec9,['translations/en/islamic/al-khwarizmi-al-jabr_bilingual.pdf'],translation_work,english_bilingual,"al-Khwarizmi, al-Jabr wa-l-Muqabala",0,[]
10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,combined,1,215555,16,28126,403ee5e437e23ef7057effaa2442bb4cc6417fdce3bd36a68d9221af7f116aed,['translations/en/islamic/al-tusi-shakl-al-qatta_bilingual.pdf'],translation_work,english_bilingual,"Nasir al-Din al-Tusi, Shakl al-Qatta",0,[]
10-14 English Translation - Omar Khayyam - Treatise on Algebra.pdf,combined,1,170980,25,20608,b9e7bae3f833e87dabc79d20d8551d449b6cd4b9bcf0df9a4b19e80867ccb267,['translations/en/islamic/omar-khayyam-sinaat-al-jabr_bilingual.pdf'],translation_work,english_bilingual,"Omar Khayyam, Treatise on Algebra",0,[]
10-15 English Translation - Ruska - Oldest Arabic Algebra.pdf,combined,1,253085,30,103907,c0dc38588a2abef53be76751022f77eccba027a09d001cec684ab176c0ecc525,['translations/en/islamic/ruska-zur-aeltesten-arabischen-algebra_bilingual.pdf'],translation_work,english_bilingual,"Julius Ruska, Zur altesten arabischen Algebra",0,[]
10-16 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,combined,1,98791,16,9115,6f01aa1a6a985a7f0cc99631e8d99aef9ec1ebcd357a04ac132483f025c3cf4e,['translations/en/references/al-muqaddasi-ahsan-al-taqasim_bilingual.pdf'],translation_work,english_bilingual,"al-Muqaddasi, Ahsan al-Taqasim",0,[]
10-17 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,combined,1,176020,20,31004,59d8612c160f8cd5d28e01ddff3755095522f538ae66f708bd32fd6a65beef05,['translations/en/references/ibn-al-nadim-kitab-al-fihrist_bilingual.pdf'],translation_work,english_bilingual,"Ibn al-Nadim, Kitab al-Fihrist",0,[]
10-18 English Translation - Ibn al-Qifti - Tarikh al-Hukama.pdf,combined,1,187113,28,32149,205106ed56b5f256f9d3dd4639fc8fd180805364f4b754c177719657c73cb71a,['translations/en/references/ibn-al-qifti-tarikh-al-hukama_bilingual.pdf'],translation_work,english_bilingual,"Ibn al-Qifti, Tarikh al-Hukama",0,[]
10-19 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,combined,1,170902,13,22880,7c6d0252cbf257887ebc865d7b54d41ca64901cf210a07536ecb04ac38c2b583,['translations/en/references/said-al-andalusi-tabaqat-al-umam_bilingual.pdf'],translation_work,english_bilingual,"Said al-Andalusi, Tabaqat al-Umam",0,[]
"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",combined,2,576952,54,56766,0b4df228e3b9dcaaaac61eebe2b3772a26994873e0900d6534e055df12867620,"['translations/zh/chinese/jiuzhang-suanshu-vols1-3_classical-modern_bilingual.pdf', 'translations/zh/chinese/jiuzhang-suanshu-vols7-9_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Anonymous, Jiuzhang Suanshu and Nine Chapters, volumes 1-9 (clean public components)",1,['translations/zh/chinese/jiuzhang-suanshu-vols4-6_classical-modern_bilingual.pdf']
"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",combined,3,799178,60,59693,962538b937f39b2b8d1851852d11448a8f4653658cfa820433db59aaae9b4019,"['translations/zh/chinese/li-ye-ceyuan-haijing-vols1-3_classical-modern_bilingual.pdf', 'translations/zh/chinese/li-ye-ceyuan-haijing-vols4-6_classical-modern_bilingual.pdf', 'translations/zh/chinese/li-ye-ceyuan-haijing-vols7-9_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Li Ye, Ceyuan Haijing, volumes 1-12 (clean public components)",1,['translations/zh/chinese/li-ye-ceyuan-haijing-vols10-12_classical-modern_bilingual.pdf']
20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,combined,3,653748,100,85855,6f6ddec659fc8f95eade417c5bcdb68ef33f758e3f309560866cfd90687068e6,"['translations/zh/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3_classical-modern_bilingual.pdf', 'translations/zh/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5_classical-modern_bilingual.pdf', 'translations/zh/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Li Ye, Ceyuan Haijing Fenlei Shishu, volumes 1-10",0,[]
"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",combined,3,795101,69,61862,f2e749cf0e42eefbf1f8e974160863e9e401feb53aa15c6b0c51df20c5d346f5,"['translations/zh/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_classical-modern_bilingual.pdf', 'translations/zh/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_classical-modern_bilingual.pdf', 'translations/zh/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Qin Jiushao, Shuxue Jiuzhang, fascicles 1 and 5-9",0,[]
20-05 Modern Chinese - Sunzi Suanjing.pdf,combined,1,315760,19,14532,777c5f63d53f87b8192b466f0758daf127f1e276ecf37865d41ee9c277c9bd06,['translations/zh/chinese/sunzi-suanjing_classical-modern_bilingual.pdf'],translation_work,classical_modern_chinese,"Sunzi, Sunzi Suanjing, classical-modern Chinese",0,[]
"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",combined,3,936405,83,46601,5691de23c958b76222d8218e8fa4283fb3042381e41cb25d404d747730c3281d,"['translations/zh/chinese/yang-hui-xiangjie-jiuzhang-part1_classical-modern_bilingual.pdf', 'translations/zh/chinese/yang-hui-xiangjie-jiuzhang-part2_classical-modern_bilingual.pdf', 'translations/zh/chinese/yang-hui-xiangjie-jiuzhang-part3_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Yang Hui, Xiangjie Jiuzhang Suanfa, parts 1-3",0,[]
"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",combined,2,574383,41,39407,a988e30b7d3706479f463bb9e616120750d5ae03df68b231cc5ce6f6b518b5e6,"['translations/zh/chinese/zhu-shijie-suanxue-qimeng-part1_classical-modern_bilingual.pdf', 'translations/zh/chinese/zhu-shijie-suanxue-qimeng-part2_classical-modern_bilingual.pdf']",translation_work,classical_modern_chinese,"Zhu Shijie, Suanxue Qimeng, parts 1-2",0,[]
"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-3.pdf",combined,1,295052,26,52939,11b86370b2a962539d6e74c23a49dfd5fef3011f1e452620317e05ce53abe111,['translations/ar/chinese/li-ye-ceyuan-haijing-vols1-3_arabic.pdf'],translation_work,arabic,"Li Ye, Ceyuan Haijing, Arabic translation volumes 1-3",0,[]
"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1.pdf",combined,1,280850,24,38123,122c77de000e4f46645f400a1035c860cf9a87cbf9650e095503f608faaed47b,['translations/ar/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_arabic.pdf'],translation_work,arabic,"Qin Jiushao, Shuxue Jiuzhang, Arabic translation fascicle 1",0,[]
30-03 Arabic Translation - Sunzi Suanjing.pdf,combined,1,217896,18,22486,be7781fa83be68a85cd6f1d3500461b9b0aba4dc3a615abf9304bb55a275ada8,['translations/ar/chinese/sunzi-suanjing_arabic.pdf'],translation_work,arabic,"Sunzi, Sunzi Suanjing, Arabic translation",0,[]
"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",combined,2,461338,33,28705,224f05d7dff028611def3acc1a9c3dbc7cc79415ca93c0122add9e4005a4ed3e,"['chinese/jiuzhang-suanshu-vols4-6.pdf', 'chinese/jiuzhang-suanshu-vols7-9.pdf']",original_work,chinese_originals,"Anonymous, Jiuzhang Suanshu and Nine Chapters, volumes 1-9 (clean public components)",1,['chinese/jiuzhang-suanshu-vols1-3.pdf']
"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",combined,4,623514,63,51207,25361bdac2a8ecec77942af448fdb9f2f272d3a38003db5e9587144ecff10089,"['chinese/li-ye-ceyuan-haijing-vols1-3.pdf', 'chinese/li-ye-ceyuan-haijing-vols4-6.pdf', 'chinese/li-ye-ceyuan-haijing-vols7-9.pdf', 'chinese/li-ye-ceyuan-haijing-vols10-12.pdf']",original_work,chinese_originals,"Li Ye, Ceyuan Haijing, volumes 1-12",0,[]
40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,combined,3,551028,85,41240,c021df047c82df901ac1ce2b21d1112643a672a97072e18b5176f138d169f814,"['chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3.pdf', 'chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5.pdf', 'chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10.pdf']",original_work,chinese_originals,"Li Ye, Ceyuan Haijing Fenlei Shishu, volumes 1-10",0,[]
40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,combined,1,1346327,7,6263,6736becfd46fa6879ca9ab478868a686734988a33788d656932c6a30dd26c86b,['chinese/cyhj_detail.pdf'],original_work,chinese_originals,"Li Ye, Ceyuan Haijing geometric detail",0,[]
"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",combined,5,855530,76,70217,1a3a06c6061e37d0cbd5972115052d7c40e38d8d2bef4c5687ffbf49194cd86f,"['chinese/qin-jiushao-shuxue-jiuzhang-fascicle1.pdf', 'chinese/qin-jiushao-shuxue-jiuzhang-fascicle2.pdf', 'chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4.pdf', 'chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6.pdf', 'chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9.pdf']",original_work,chinese_originals,"Qin Jiushao, Shuxue Jiuzhang, fascicles 1-9",0,[]
"40-06 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",combined,2,308792,35,8549,85b5fa454b4bbc9a5f5ead6777944364f84c22f0bb1a2c393ed49b2aa58e79ce,"['chinese/yang-hui-xiangjie-jiuzhang-part2.pdf', 'chinese/yang-hui-xiangjie-jiuzhang-part3.pdf']",original_work,chinese_originals,"Yang Hui, Xiangjie Jiuzhang Suanfa, parts 1-3 (clean public components)",1,['chinese/yang-hui-xiangjie-jiuzhang-part1.pdf']
"40-07 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",combined,2,2185379,34,28116,ccff9e9ed3f9674f446c9230c846f83396c70ae71dd0330256cc0751753db805,"['chinese/zhu-shijie-suanxue-qimeng-part1.pdf', 'chinese/zhu-shijie-suanxue-qimeng-part2.pdf']",original_work,chinese_originals,"Zhu Shijie, Suanxue Qimeng, parts 1-2",0,[]
50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,combined,1,126868,23,16090,6c29e556ec145c1664eaba3f6f1e46e8ef6b7bf06794527a584a476fb0d4ccec,['indian/aryabhata-aryabhatiya.pdf'],original_work,indian_originals,"Aryabhata, Aryabhatiya",0,[]
"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",combined,3,332196,71,30704,33f2bd7d4528b376e28b9ba621518c743c178cf5b12aba9f0ae398a25e36f2fc,"['indian/bhaskara-ii-bijaganita-part1.pdf', 'indian/bhaskara-ii-bijaganita-part2.pdf', 'indian/bhaskara-ii-bijaganita-part3.pdf']",original_work,indian_originals,"Bhaskara II, Bijaganita, parts 1-3",0,[]
50-03 Indian Original - Bhaskara II - Lilavati.pdf,combined,1,117507,38,4490,05bfa8baa40544cff79d2bb633d74989218c5553b805e7a8ba22898050cb30fc,['indian/bhaskara-ii-lilavati.pdf'],original_work,indian_originals,"Bhaskara II, Lilavati",0,[]
50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,combined,15,1496812,238,228013,b71969d41dec9fb327b4225ddbf1b16d9e0ca5cec5556e17894da27adb4d3f3d,"['indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk2.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk2.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2.pdf', 'indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3.pdf']",original_work,indian_originals,"Brahmagupta, Brahmasphutasiddhanta, complete",0,[]
60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,combined,1,199257,27,27970,9bd79e75ed7200602a3a9ed8f235266d102e8f17b8dc6b7ab4735d1a41ab93b5,['islamic/al-kashi-miftah-al-hisab.pdf'],original_work,islamic_originals,"Jamshid al-Kashi, Miftah al-Hisab",0,[]
60-02 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,combined,1,165545,17,24696,eed6697180c3d8a6147f6e5f2f945b464446a23a1b49134a67d8b37b3d5aea4b,['islamic/al-tusi-shakl-al-qatta.pdf'],original_work,islamic_originals,"Nasir al-Din al-Tusi, Shakl al-Qatta",0,[]
60-03 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,combined,1,371692,62,163039,4b343e46987b350cc63552430a8eed7d88e94f3fa53998daa67e16b61284e423,['islamic/ruska-zur-aeltesten-arabischen-algebra-1917.pdf'],original_work,islamic_originals,"Julius Ruska, Zur altesten arabischen Algebra (1917)",0,[]
60-04 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,combined,1,112751,21,4642,00162e04e36ed844f4ff71584cf75a7c03d72f4d7266d51f614c5d3dc0624588,['islamic/rosen-algebra-of-mohammed-ben-musa-1831.pdf'],original_work,islamic_originals,"Frederic Rosen, Algebra of Mohammed Ben Musa (1831)",0,[]
60-05 Islamic Original - Robert of Chester and Karpinski.pdf,combined,1,119069,43,17144,998b9379d45702fb38d96839be4688f21d0eea67dabbb6d576051e6582ebffbb,['islamic/karpinski-robert-of-chester-latin-translation-1915.pdf'],original_work,islamic_originals,"Robert of Chester and Louis Karpinski, Latin translation of al-Khwarizmi (1915)",0,[]
70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,combined,1,170499,15,25562,5836bf4e7f259f1512da35af931624f014aa48f44e14fa4928e43f500fd204b9,['references/said-al-andalusi-tabaqat-al-umam.pdf'],reference_work,historical_references,"Said al-Andalusi, Tabaqat al-Umam",0,[]
70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,combined,1,89653,16,9125,b6c5c592f2f363c143f73cbf3e365cd7de09f40222acc6ae7bd8eb43b9d41fa1,['references/al-muqaddasi-ahsan-al-taqasim.pdf'],reference_work,historical_references,"al-Muqaddasi, Ahsan al-Taqasim",0,[]
70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,combined,1,131128,12,16517,5ead3a5846a866336bd43d7a7e0bbfa9ddf0cb243b633862318ca27b3610f126,['references/ibn-al-nadim-kitab-al-fihrist.pdf'],reference_work,historical_references,"Ibn al-Nadim, Kitab al-Fihrist",0,[]
70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,combined,1,135247,11,15758,2ec7b62a4d3759e3df396aaccaeaf544b4e2bab00d8bd3225a9682af1636aabe,['references/ibn-al-qifti-tarikh-al-hukama.pdf'],reference_work,historical_references,"Ibn al-Qifti, Tarikh al-Hukama",0,[]
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,combined,1,186647,24,64775,52528e1edc2b7829c1ddb6638cfef572f42cbba05f2622eee1be4a8135b6d73d,['references/smith-karpinski-hindu-arabic-numerals-1911.pdf'],reference_work,historical_references,"Smith and Karpinski, Hindu-Arabic Numerals (1911)",0,[]
