archive_path,bytes
combined_tex_bundles/work_level/01_work_tr_en__omar_khayyam_algebra__combined_sources.tex,43889
combined_tex_bundles/work_level/01_work_tr_en__qin_shuxue_jz_f1_9__combined_sources.tex,337279
combined_tex_bundles/work_level/01_work_tr_en__robert_chester_karpinski_al_khwarizmi_1915__combined_sources.tex,77172
combined_tex_bundles/work_level/01_work_tr_en__rosen_algebra_ben_musa_1831__combined_sources.tex,174188
combined_tex_bundles/work_level/01_work_tr_en__ruska_arab_algebra__combined_sources.tex,154787
combined_tex_bundles/work_level/01_work_tr_en__said_al_andalusi_tabaqat__combined_sources.tex,47169
combined_tex_bundles/work_level/01_work_tr_en__smith_karpinski_numerals_1911__combined_sources.tex,120774
combined_tex_bundles/work_level/01_work_tr_en__sunzi_suanjing__combined_sources.tex,63411
combined_tex_bundles/work_level/01_work_tr_en__yang_hui_xiangjie_jz_p1_3__combined_sources.tex,200078
combined_tex_bundles/work_level/01_work_tr_en__zhu_shijie_qimeng_p1_2__combined_sources.tex,138887
combined_tex_bundles/work_level/01_work_tr_zh__anon_jiuzhang__combined_sources.tex,256409
combined_tex_bundles/work_level/01_work_tr_zh__li_ye_ceyuan_fenlei__combined_sources.tex,314967
combined_tex_bundles/work_level/01_work_tr_zh__li_ye_ceyuan_v1_12__combined_sources.tex,345657
combined_tex_bundles/work_level/01_work_tr_zh__qin_shuxue_jz_modern_chinese_current__combined_sources.tex,231428
combined_tex_bundles/work_level/01_work_tr_zh__sunzi_suanjing__combined_sources.tex,52066
combined_tex_bundles/work_level/01_work_tr_zh__yang_hui_xiangjie_jz_p1_3__combined_sources.tex,187094
combined_tex_bundles/work_level/01_work_tr_zh__zhu_shijie_qimeng_p1_2__combined_sources.tex,147080
combined_tex_bundles/work_level/02_work_orig_chinese__anon_jiuzhang__combined_sources.tex,140556
combined_tex_bundles/work_level/02_work_orig_chinese__li_ye_ceyuan__combined_sources.tex,181558
combined_tex_bundles/work_level/02_work_orig_chinese__li_ye_ceyuan_fenlei__combined_sources.tex,152667
combined_tex_bundles/work_level/02_work_orig_chinese__qin_shuxue_jz__combined_sources.tex,210527
combined_tex_bundles/work_level/02_work_orig_chinese__sunzi_suanjing__combined_sources.tex,53433
combined_tex_bundles/work_level/02_work_orig_chinese__yang_hui_xiangjie_jz__combined_sources.tex,106028
combined_tex_bundles/work_level/02_work_orig_chinese__zhu_shijie_qimeng__combined_sources.tex,75321
combined_tex_bundles/work_level/02_work_orig_indian__aryabhata_aryabhatiya__combined_sources.tex,71714
combined_tex_bundles/work_level/02_work_orig_indian__bhaskara_bijaganita__combined_sources.tex,173281
combined_tex_bundles/work_level/02_work_orig_indian__bhaskara_lilavati__combined_sources.tex,45186
combined_tex_bundles/work_level/02_work_orig_indian__brahmagupta_bss__combined_sources.tex,825914
combined_tex_bundles/work_level/02_work_orig_islamic__al_kashi_miftah__combined_sources.tex,56773
combined_tex_bundles/work_level/02_work_orig_islamic__al_khwarizmi_al_jabr__combined_sources.tex,70626
combined_tex_bundles/work_level/02_work_orig_islamic__al_tusi_shakl_qatta__combined_sources.tex,48259
combined_tex_bundles/work_level/02_work_orig_islamic__omar_khayyam_algebra__combined_sources.tex,32923
combined_tex_bundles/work_level/02_work_orig_islamic__robert_chester_karpinski_1915__combined_sources.tex,66589
combined_tex_bundles/work_level/02_work_orig_islamic__rosen_algebra_ben_musa_1831__combined_sources.tex,161096
combined_tex_bundles/work_level/02_work_orig_islamic__ruska_arab_algebra_1917__combined_sources.tex,228095
combined_tex_bundles/work_level/03_work_reference__al_muqaddasi_taqasim__combined_sources.tex,40954
combined_tex_bundles/work_level/03_work_reference__ibn_al_nadim_fihrist__combined_sources.tex,30763
combined_tex_bundles/work_level/03_work_reference__ibn_al_qifti_hukama__combined_sources.tex,28888
combined_tex_bundles/work_level/03_work_reference__said_al_andalusi_tabaqat__combined_sources.tex,45531
combined_tex_bundles/work_level/03_work_reference__smith_karpinski_numerals_1911__combined_sources.tex,84968
README.md,404
sources/chinese/jiuzhang-suanshu-vols1-3.tex,42125
sources/chinese/jiuzhang-suanshu-vols4-6.tex,33383
sources/chinese/jiuzhang-suanshu-vols7-9.tex,61092
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3.tex,51082
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5.tex,39782
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10.tex,57423
sources/chinese/li-ye-ceyuan-haijing-vols1-3.tex,37016
sources/chinese/li-ye-ceyuan-haijing-vols10-12.tex,37769
sources/chinese/li-ye-ceyuan-haijing-vols4-6.tex,31722
sources/chinese/li-ye-ceyuan-haijing-vols7-9.tex,70046
sources/chinese/multirow.sty,6696
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1.tex,39946
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2.tex,30119
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4.tex,37027
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6.tex,59922
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9.tex,37860
sources/chinese/sunzi-suanjing.tex,52081
sources/chinese/texmf/tex/latex/local/booktabs.sty,6078
sources/chinese/texmf/tex/latex/local/enumitem.sty,52272
sources/chinese/texmf/tex/latex/local/fancyhdr.sty,31715
sources/chinese/texmf/tex/latex/local/indentfirst.sty,1618
sources/chinese/texmf/tex/latex/local/longtable.sty,16014
sources/chinese/texmf/tex/latex/local/microtype.sty,102845
sources/chinese/texmf/tex/latex/local/setspace.sty,22490
sources/chinese/texmf/tex/latex/local/titlesec.sty,48766
sources/chinese/texmf/tex/latex/local/xeCJK-listings.sty,13930
sources/chinese/texmf/tex/latex/local/xeCJK.sty,183137
sources/chinese/texmf/tex/latex/local/xeCJKfntef.sty,39577
sources/chinese/texmf/tex/latex/local/xunicode-addon.sty,26486
sources/chinese/texmf/tex/latex/local/xunicode-extra.def,61684
sources/chinese/titlesec.sty,48766
sources/chinese/tocloft.sty,36103
sources/chinese/yang-hui-xiangjie-jiuzhang-part1.tex,38612
sources/chinese/yang-hui-xiangjie-jiuzhang-part2.tex,38203
sources/chinese/yang-hui-xiangjie-jiuzhang-part3.tex,25408
sources/chinese/zhu-shijie-suanxue-qimeng-part1.tex,52837
sources/chinese/zhu-shijie-suanxue-qimeng-part2.tex,20010
sources/indian/aryabhata-aryabhatiya.tex,70164
sources/indian/bhaskara-ii-bijaganita-part1.tex,60960
sources/indian/bhaskara-ii-bijaganita-part2.tex,67639
sources/indian/bhaskara-ii-bijaganita-part3.tex,40421
sources/indian/bhaskara-ii-lilavati.tex,43654
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1.tex,54131
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk2.tex,49503
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3.tex,33734
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4.tex,92009
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5.tex,65773
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6.tex,43520
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1.tex,53011
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk2.tex,87590
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3.tex,53336
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4.tex,29402
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5.tex,68978
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6.tex,58530
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1.tex,38712
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2.tex,42703
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3.tex,38294
sources/indian/test.tex,233
sources/islamic/al-kashi-miftah-al-hisab.tex,54679
sources/islamic/al-khwarizmi-al-jabr-wa-l-muqabala.tex,68433
sources/islamic/al-tusi-shakl-al-qatta.tex,46948
sources/islamic/karpinski-robert-of-chester-latin-translation-1915.tex,65288
sources/islamic/multirow.sty,6696
sources/islamic/omar-khayyam-sinaat-al-jabr.tex,31598
sources/islamic/rosen-algebra-of-mohammed-ben-musa-1831.tex,159722
sources/islamic/ruska-zur-aeltesten-arabischen-algebra-1917.tex,226253
sources/islamic/test-arabic-font.tex,824
sources/islamic/titleps.sty,25336
sources/islamic/titlesec.sty,48766
sources/master-index.tex,26821
sources/master-preamble.tex,4419
sources/references/al-muqaddasi-ahsan-al-taqasim.tex,39762
sources/references/booktabs.sty,6078
sources/references/enumitem.sty,52272
sources/references/etoolbox.sty,46885
sources/references/fancyhdr.sty,31715
sources/references/ibn-al-nadim-kitab-al-fihrist.tex,29520
sources/references/ibn-al-qifti-tarikh-al-hukama.tex,27980
sources/references/microtype-xetex.def,28582
sources/references/microtype.cfg,27642
sources/references/microtype.sty,102845
sources/references/ragged2e.sty,10085
sources/references/said-al-andalusi-tabaqat-al-umam.tex,44529
sources/references/smith-karpinski-hindu-arabic-numerals-1911.tex,83774
sources/references/titlesec.sty,48766
sources/translations/arabic/chinese/li-ye-ceyuan-haijing-vols1-3_arabic.tex,120487
sources/translations/arabic/chinese/paracol.sty,105390
sources/translations/arabic/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_arabic.tex,86315
sources/translations/arabic/chinese/sunzi-suanjing_arabic.tex,53041
sources/translations/arabic/chinese/test_framed.tex,276
sources/translations/arabic/chinese/test_mdframe.tex,297
sources/translations/arabic/chinese/test_minimal.tex,149
sources/translations/arabic/chinese/test_tcolor.tex,288
sources/translations/arabic/chinese/test_tcolor2.tex,309
sources/translations/arabic/chinese/test_tcolor3.tex,312
sources/translations/arabic/chinese/test_tcolor4.tex,266
sources/translations/arabic/islamic/al-khwarizmi-al-jabr_arabic-enhanced.tex,73818
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols1-3_classical-modern_bilingual.tex,72216
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols4-6_classical-modern_bilingual.tex,54115
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols7-9_classical-modern_bilingual.tex,124124
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3_classical-modern_bilingual.tex,107196
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5_classical-modern_bilingual.tex,88414
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10_classical-modern_bilingual.tex,111928
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols1-3_classical-modern_bilingual.tex,63897
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols10-12_classical-modern_bilingual.tex,81613
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols4-6_classical-modern_bilingual.tex,65967
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols7-9_classical-modern_bilingual.tex,126039
sources/translations/classical_modern_chinese/chinese/paracol.sty,105390
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_classical-modern_bilingual.tex,59685
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_classical-modern_bilingual.tex,110241
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_classical-modern_bilingual.tex,56149
sources/translations/classical_modern_chinese/chinese/sunzi-suanjing_classical-modern_bilingual.tex,50661
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part1_classical-modern_bilingual.tex,61997
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part2_classical-modern_bilingual.tex,71381
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part3_classical-modern_bilingual.tex,47925
sources/translations/classical_modern_chinese/chinese/zhu-shijie-suanxue-qimeng-part1_classical-modern_bilingual.tex,108989
sources/translations/classical_modern_chinese/chinese/zhu-shijie-suanxue-qimeng-part2_classical-modern_bilingual.tex,33860
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols1-3_bilingual.tex,91805
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols4-6_bilingual.tex,52903
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols7-9_bilingual.tex,128231
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols1-3_bilingual.tex,67979
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols10-12_bilingual.tex,73241
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols4-6_bilingual.tex,72972
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols7-9_bilingual.tex,151501
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_bilingual.tex,53592
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2_bilingual.tex,51850
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle4_bilingual.tex,47505
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle5_bilingual.tex,82253
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle6_bilingual.tex,60773
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4_bilingual.tex,42991
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_bilingual.tex,114662
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_bilingual.tex,65677
sources/translations/english_bilingual/chinese/sunzi-suanjing_bilingual.tex,61808
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part1_bilingual.tex,81638
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part2_bilingual.tex,60601
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part3_bilingual.tex,52487
sources/translations/english_bilingual/chinese/zhu-shijie-suanxue-qimeng-part1_bilingual.tex,109285
sources/translations/english_bilingual/chinese/zhu-shijie-suanxue-qimeng-part2_bilingual.tex,25397
sources/translations/english_bilingual/indian/aryabhata-aryabhatiya_bilingual.tex,57790
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part1_bilingual.tex,69371
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part2_bilingual.tex,59852
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part3_bilingual.tex,61219
sources/translations/english_bilingual/indian/bhaskara-ii-lilavati_bilingual.tex,48921
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1_bilingual.tex,84747
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3_bilingual.tex,46270
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4_bilingual.tex,95153
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5_bilingual.tex,121472
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6_bilingual.tex,68433
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1_bilingual.tex,84990
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3_bilingual.tex,97147
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4_bilingual.tex,34768
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5_bilingual.tex,91643
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6_bilingual.tex,84329
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1_bilingual.tex,53960
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2_bilingual.tex,78987
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3_bilingual.tex,53883
sources/translations/english_bilingual/indian/paracol.sty,105390
sources/translations/english_bilingual/indian/titlesec.sty,48766
sources/translations/english_bilingual/islamic/al-kashi-miftah-al-hisab_bilingual.tex,60142
sources/translations/english_bilingual/islamic/al-khwarizmi-al-jabr_bilingual.tex,90665
sources/translations/english_bilingual/islamic/al-tusi-shakl-al-qatta_bilingual.tex,54129
sources/translations/english_bilingual/islamic/karpinski-robert-of-chester-latin-translation-1915_bilingual.tex,75470
sources/translations/english_bilingual/islamic/omar-khayyam-sinaat-al-jabr_bilingual.tex,42442
sources/translations/english_bilingual/islamic/paracol.sty,105390
sources/translations/english_bilingual/islamic/rosen-algebra-of-mohammed-ben-musa-1831_enhanced.tex,172246
sources/translations/english_bilingual/islamic/ruska-zur-aeltesten-arabischen-algebra_bilingual.tex,151984
sources/translations/english_bilingual/references/al-muqaddasi-ahsan-al-taqasim_bilingual.tex,40173
sources/translations/english_bilingual/references/ibn-al-nadim-kitab-al-fihrist_bilingual.tex,59101
sources/translations/english_bilingual/references/ibn-al-qifti-tarikh-al-hukama_bilingual.tex,57366
sources/translations/english_bilingual/references/said-al-andalusi-tabaqat-al-umam_bilingual.tex,45939
sources/translations/english_bilingual/references/smith-karpinski-hindu-arabic-numerals-1911_enhanced.tex,118775
