priority,status,paper,printed_page_or_band,last_seen_or_fixed_in,error_class,old_or_bad_reading,source_backed_reading,what_this_means,next_action,evidence
P1,integrated_current_head,P19,57,Local R790; carried into R794/R795/R796,index/range symbol,b_e / alpha^(e) family,b_\\varrho / alpha^(\\varrho) family,P19 had a real index-family correction.,Spot-check in current head only if P19 reopened.,Noether_R794.../1/03_audit/confirmed_fixes_R790.csv
P1,integrated_current_head,P34,680,Local R791; carried into R794/R795/R796,wrong subscripted field,da K_\\nu Körper ist,da K Körper ist,P34 had a real mathematical noun/symbol correction.,Spot-check P34 hard cluster if reopened.,Noether_R794.../1/03_audit/confirmed_fixes_R791.csv
P1,integrated_current_head,P40,524,Local R788 carried into R794/R795/R796,relation glyph,\\frT\\leq \\frT_A\\cap\\frM,\\frT\\subseteq \\frT_A\\cap\\frM,P40 had a real relation-symbol correction from archaeology.,Spot-check P40 if reopening hard clusters.,Noether_R794.../1/03_audit/confirmed_fixes_R788_carried.csv
P1,closed_known_band_not_global_cert,P30,30-32,external proposal lane R780; carried into R794/R795/R796; local ledger cleanup 2026-07-05,definition/emphasis plus product dot,plain definition terms; \\mR_\\alpha\\mR_\\beta,source emphasis restored; \\mR_\\alpha\\cdot\\mR_\\beta,"P30 early definitions had one real math notation fix and many source-register fixes; the known p30-p32 band is closed against the current head, but this is not a full-paper certification of P30.","Do not redo pp30-32 unless contradicted. If continuing P30, move to unclosed neighboring pages rather than treating this known band as an active hard-math error.",R794 web_R780_P15P30_evidence/P30/P30_confirmed_fixes_R780_web.csv; NOETHER_PAGE_QC_LEDGER_20260705.csv P30 rows
P1,closed_known_band_not_global_cert,P30,33-35,Local R795; local ledger cleanup 2026-07-05,source-register/definition emphasis,plain Dedekind/chain definition phrases,source-emphasized definition/theorem phrases,"Mostly source-register fixes rather than mathematical-symbol errors; the known p33-p35 band is closed at current-head level, but this is not a full-paper certification of P30.",Do not prioritize unless continuing contiguous P30 closure; move to genuinely unclosed P30 pages if P30 remains active.,Noether_R795.../1/03_audit/confirmed_fixes_R795.csv; NOETHER_PAGE_QC_LEDGER_20260705.csv P30 rows
P1,closed_current_head_survival_no_new_patch,P30,40-41,Local R781; local machine-assisted production survival check 2026-07-05,isomorphism glyph,\\cong in source-isomorphism loci,\\simeq,"Potentially mathematical glyph fidelity, already fixed locally before R794.",No action unless P30 is reopened for full visual page certification.,"current TeX lines 15508,15510,15552,15557; local R781 note"
P0,superseded_and_reclosed_by_direct_source_20260718,P30,43-49,external proposal lane complete-page audit 2026-07-17; local integration lane direct source recheck/integration 2026-07-18,dense ideal-theory proof and footnote notation,"stale current/guardrail family used Latin x, including a^x b^x","Greek varkappa family: b^varkappa, a^varkappa, (a-b)^(varkappa+lambda), a^varkappa b^varkappa=(ab)^varkappa; continues on pp44 and 47","Aggressive enlargement of the raw page overturned an internally plausible prior guardrail. The linked family must be checked across pages, not token by token.",Closed in current head; retain p43-p47 as a linked-family sentinel.,P30_printed_p043_SIM_leaf0048_from_rawJP2.png; P30_Web_p037_061_confirmed_fixes_20260718.csv; diff_P25Head_to_P30WebIntegrated_20260718.diff
P0,closed_current_head_survival_no_new_patch,P30,50-52,Recovered R126 p050-052 source-fix chain; current local survival check 2026-07-05,dense ideal-theory proof and formula corruption,compressed Hilfssatz/Zusatz; `c != ct`; corrupted determinant proof; reversed/corrupted exponent-two proof; wrong sigma/lambda induction formulation,full source Hilfssatz/Zusatz; `\\mc^\\varrho\\ne\\mc^{\\varrho+1}`; `e^n+b_1e^{n-1}+...+b_n=0`; restored exponent-two and sigma/lambda induction proof,This is a high-risk dense proof band whose old source fixes survive in the current head. The p52 `Duch` spelling is a separate no-patch trap.,No action unless contradicted; keep p52 `Duch` trap closed.,NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv rows 005-009; current TeX lines 15110-15219
P0,closed_current_head_survival_no_new_patch,P30,53-55,Recovered R126 p053-055 source-fix chain; current local survival check 2026-07-05,proof-direction and quotient-notation errors,reversed Axiom III congruences; compressed Axiom IV/I-II proof; wrong principal-ideal structure; reversed variables in broken-ideal group proof,"source congruence directions; restored proof caveat/product construction; `\\mo c=...`/barred quotient-ring proof; `A(B:A)=B`, `\\tau_i=t_i/a`, quotient-in-R note",Hard proof-direction/structure fixes found earlier survive in the current head.,No action unless P30 p53-p55 is reopened visually.,NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv rows 010-013; current TeX lines 15256-15358
P0,closed_current_head_survival_no_new_patch,P30,56-57,Recovered R126 p056-061 source-fix chain; current local survival check 2026-07-05,final proof omissions and quotient/divisibility notation,omitted 6 alpha/beta proof material; wrong 6 gamma notation; wrong `b` vs `ab` divisibility; omitted eta-unit sentence; missing converse paragraph and source footnotes,"restored 6 alpha/beta/gamma proofs, `ab` divisibility condition, eta-unit transition, converse paragraph, footnotes 32/33, and item 9 quotient-ring notation",The last confirmed P30 fix cluster survives in current head; pp58-61 were prior visual no-patch pages.,No action unless contradicted; P30 pp58-61 remain carried-forward no-patch from prior local visual audit.,NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv rows 014-023; current TeX lines 15360-15430 plus manual_dispositions_p056_061.csv
P2,low_math_risk_current_band,P30,42-45,Local R796 in progress,source-register/definition emphasis,plain direct-sum / quotient / primary-ideal terms,source-emphasized definition and theorem terms,Current band yielded many source-style fixes but no new hard math-symbol error.,"Package if useful, but next priority should move to P24/P13/tail math clusters.",NOETHER_R796 clean drop in workspace
P2,known_no_patch_trap,P30,52,Local R757/R790,false OCR/spelling temptation,Durch Multiplikation,Duch Multiplikation,Source reads Duch; do not 'fix' it to Durch.,Keep as closed trap.,User-provided/local R757/R790 reports
P1,closed_source_backed_patch_compile_ok,P34,682,external proposal lane R706/R705 found; local integration lane promoted 2026-07-05,relation glyph / algebraic similarity notation,(und \simeq\Omega sind),(und \sim\Omega sind),P34 p682 source crop shows a single-tilde relation in the center-decomposition paragraph; the current head had regressed/failed to carry the external proposal lane R706 correction.,"No action unless contradicted; if P34 hard cluster is reopened, carry this as a sentinel.",_p34_p682_source_check_20260705/P34_p682_sim_Omega_source.png; current TeX line 17920; xelatex_pass2_after_external proposal lane_P34p682.log
P1,closed_source_backed_patch_compile_ok,P30,36,Local machine-assisted production manual visual recheck after Web2 R781,index-family symbol in no-unit supplementary construction,\xi_{k+i}/\xi_i and \mathfrak a_i/\mathfrak n_i generic index,\xi_{k+\lambda}/\xi_\lambda and \mathfrak a_\lambda/\mathfrak n_\lambda,"P30 p36 had the same class of index-family error as the Web2 R781 pp31-33 misses. Local machine-assisted production found it by reopening the raw JP2 page, patched the current head, and compiled twice after the completed v2 correction.",No further action on this locus unless contradicted; if P30 is reopened continue nearby dense-symbol page checks.,_source_checks_20260705/P30_pp026_039_recheck/P30_p036_lambda_index_source_crop.png
P1,closed_source_backed_patch_compile_ok,P19,57,First-Web R784 span diff plus local 1000dpi source render,index-family symbol / finite module-basis family,b_\varrho a_k^{(\varrho)} and b_\varrho\alpha^{(\varrho)},b_e a_k^{(e)} and b_e\alpha^{(e)},P19 p57 had a live current-head regression: the finite module-basis `e` family was overcorrected to the later-style `\varrho` family. Low-res crops were ambiguous; 1000dpi source render settled the reading. XeLaTeX passed twice after patch.,Include this as a sentinel for P19 page-by-page audit.,_source_checks_20260705/P19_p57/P19_p57_formula_and_following_sentence_1000dpi_crop.png
P1,closed_source_backed_patch_compile_ok,P30,32,external proposal lane R782 source crop plus local current-head check,exponent in defining equation tied to module-chain break,second occurrence `\alpha^n+r_1\alpha^{n-1}+\cdots+r_n=0.`,second occurrence `\alpha^n+r_1\alpha^{n+1}+\cdots+r_n=0.`,P30 p32 had a live exponent error in the second displayed equation of the chain-equivalence paragraph. The earlier ordinary integrality equation remains `n-1`; only the later source-visible chain-equivalence equation changes. XeLaTeX passed twice after patch.,Include in next web drop; no further action on this locus unless contradicted.,_noether_archaeology_20260705/extracted_today_20260705/Noether_R782_external proposal lane_R781_P30p32_33_ChainExponentFix_20260705_COMPLETE/.../P30_p32_eq_nplus1_source_x6.png
P1,closed_source_backed_patch_compile_ok,tail,763,R742 archaeology package plus local 650dpi source crop,relation glyph in norm-class / class-field-theory statement,`P^*/N\mathfrak Z^*\sim\mathfrak G.`,`P^*/N\mathfrak Z^*\simeq\mathfrak G.`,"The current R796-chain head had plain `\sim`, but the rendered printed p763 source line clearly shows the isomorphism-style `\simeq`. R742 was not safe as a wholesale no-patch package, but this specific glyph fix is source-backed. XeLaTeX passed twice after patch.",Package next web drop; keep R742's Göttingen-title instruction superseded by later/current source-policy unless reopened.,_source_checks_20260705/R742_tail_p763_symbol/tail_p763_p763_normclass_line_crop_650.png
P2,closed_source_backed_patch_compile_ok,P41,412,R738 P41 source audit package,source word / mathematical analogy wording,Anologon,Analogon,"P41 p412 source visibly reads `Analogon`; the current R796-chain head still had the misspelled `Anologon`. This is a lost R738 archaeology repair, not a newly discovered source problem. XeLaTeX passed twice after patch.",Package with current archaeology recovery drop.,_noether_archaeology_20260705/extracted_today_20260705/Noether_R738_local integration lane_P41_SourceAudit_20260704/.../P41_source_p412_Analogon_crop_650render.png
P2,closed_source_backed_survival_no_patch,P13/P15/P37/P38,P13 251-252; P15 149; P37 150; P38 401,R275/R276 archaeology package checked against current R796,"transformation-symbol family, formula specialization, basis-index, and missing connective word","old R274/R275 readings: plain T-family, formula-ratio specialization, `v_l`, missing `aber`","current source-backed readings survive: `\\frakT` family, `[G]_{(xi14=xi13)}`, `v_t`, `Nun steht aber III`",No new current-head error found. The rows remain useful as examples of hard-math/style errors that were found by older Web work and now survive current.,"Do not re-import R275/R276. If P13/P15/P37/P38 are reopened, use these as sentinel loci.","R276 confirmed_fixes_R275.csv; R276 confirmed_fixes_R276.csv; current TeX lines 8934-8949, 9629, 18712, 18890"
P3,closed_source_backed_survival_no_patch,P40,514-529,R559 checked against current R796,"source-style headings/footnotes/references/emphasis, not hard math","R556/R558-style flattened headings, misplaced footnotes, compressed section references, missing emphasis",current R796 already has R559 source-style readings,No live mathematical symbol error found; this closure records that a large P40 source-style repair bundle survives current and should not be re-imported.,Use as P40 style sentinel; continue real hard-math audits elsewhere.,"R559 confirmed_fixes_R559.csv; current TeX lines 19147, 19155, 19164-19170, 19264, 19394, 19401, 19460, 19462, 19495-19514"
P2,closed_source_backed_survival_no_patch,P40,530-535,R556 checked against current R796,algebra/index/rank notation and source-style section references,"old R555 readings included `A_L`, `A in A_r`, theorem `aus 2`, `Rang nach P`, `ebenso viele`, and compressed section references","current R796 already has source-backed `A_\\Lambda`, `\\Lambda` in `A_r`, theorem `aus 4`, `Rang nach \\Omega`, `ebensoviel`, and source-spaced references","No live current-head error found. R556 remains a useful hard-symbol sentinel because p534/p535 contain mathematically meaningful notation, but its unlisted `A_r\\times_P B_s` cumulative drift is source-rejected.","Do not re-import R556; if P40 pp530-535 are reopened, use these loci as sentinels and keep plain `A_r\\times B_s=C_t`.",R556 confirmed_fixes_R556.csv; current TeX lines 19616 and 19641; source crop P40_p532_section7_A_r_Brauer_crop_best_available_x2.png
P1,closed_source_backed_survival_no_patch,P24,243-246,R527 checked against current R796,macro artifact plus Hilfssatz V index/exponent/sum-family errors,"old R526/R527-before readings included literal `\\\\mR`, `u_{\\mu\\nu}`/`t_{\\mu\\nu}`, `x_{i+1}`, `x_{i+1}^{p^{f'}}`, and repeated lambda-family `\\sum c_\\lambda g_\\lambda`","current R796 already has source-backed `\\mR`, `u_{\\mu r}`/`t_{\\mu r}`, `x_{i+\\lambda}`, `x_i^{p^{f'}}`, and `\\sum c_i(t)\\,g_i(...)`",No live current-head error found. R527 remains a high-value P24 hard-symbol sentinel because these errors are exactly the kind of index-family drift that changes the mathematics.,"Do not re-import R527; if P24 Hilfssatz V is reopened, use this as a sentinel cluster.",R527 confirmed_fixes_R527.csv; current TeX lines 13887-13910
P1,closed_source_backed_survival_no_patch,tail,757,R497 checked against current R796,ring/ideal glyph in Deuring crossed-product tail,old reading `\\mathfrak a=\\mathfrak Z\\cdot\\mathfrak H`,current R796 has source-backed `\\mathfrak o=\\mathfrak Z\\cdot\\mathfrak H`,No live current-head error found. This remains a high-value tail sentinel because confusing ideal `a` with ring `o` changes the statement.,"Do not re-import R497; if tail p757 is reopened, use this glyph as a sentinel.",R497 confirmed_fixes_R497.csv; current TeX lines 23448 and 23456
P1,closed_source_backed_patch_compile_ok,P24,234,Web R786/R688 source crop,module norm separator / algebraic notation,"`N(\\frakG_{i-1},\\frakM_{i-1})`",`N(\\frakG_{i-1}\\mid\\frakM_{i-1})`,Comma versus vertical separator changes the displayed norm notation in the P24 proof chain; current R796 was missing Web R786's source-backed correction.,Keep fixed in next package; do not regress if reconciling P24 with older packages.,Noether Multilingual/confirmed_fixes_R786.csv; P24_source_contact.jpg; local xelatex_pass1/2_after_WebR786_P24_norm_separator.log
P1,closed_source_backed_patch_compile_ok,P30,51-52,external proposal lane R791 integrated by local integration lane v8,hard-math/source-punctuation condition chain,q=p^2 conclusion and comma-separated condition displays lacking source aber/semicolon structure,q=p conclusion; semicolon-linked condition chains with explicit aber and source-abbreviated fourth relation,The Hilfssatz-II/III proof conditions were mathematically/source materially wrong or normalized away in the current head.,Keep R791 p51-p52 as sentinel if P30 is reopened.,R791_confirmed_fixes.csv rows R791-001..005 plus R789-004; diff_v7_to_v8_R791_R794.diff
P2,closed_source_backed_patch_compile_ok,P34,669-671,external proposal lane R794 integrated by local integration lane v8,representation-theory notation/source-style arrows and inline mappings,long arrows and displayed mapsto normalization for source inline arrow sentences,short arrows c+d->C+D/cd->CD and inline x_i->bar x_i / y_i->x_i source sentences,"Not all changes are theorem-content errors, but arrow style and inline mapping form are source-faithfulness sentinels in a representation-theory definition block.",Continue P34 p672 onward; do not re-expand these loci into normalized displays without source reason.,Noether_R794_confirmed_fixes.csv; GDZ p669-p671 source strips; diff_v7_to_v8_R791_R794.diff
P2,closed_source_backed_patch_compile_ok,P34,682-691,external proposal lane R796 integrated by local integration lane v9,source-style heading/terminology/emphasis in representation theory,"flattened subsection headings, displayed opening formulas, missing terminology emphasis, and normalized footnote wording","centered headings, inline source openings, source P-modulhomomorph wording, emphasized Systemmatrix/Systemdeterminante/Spuren/Charaktere loci","Mostly source-style, but in a notation-heavy representation-theory paper these are useful sentinels for where AI normalization drifts.",Do not promote non-authorial underlines; keep R796 no-patch rows.,R796 confirmed/no-patch ledgers; diff_v8_to_v9_R795_R797.diff
P2,closed_source_backed_patch_compile_ok,P34/P35,692/693 boundary,external proposal lane R797 integrated by local integration lane v9,page-boundary continuity,P35 started on same output page as P34 receipt,newpage after P34 receipt; P35 starts fresh,Prevents active-paper boundary confusion in later web sessions and reader packages.,Use v9; do not remove boundary page break without source/layout reason.,R797 hard_math_error_addendum.csv; render checks output p349/p350
P2,checked_no_new_delta,P30,46-61,external proposal lane R798 checked by local integration lane v10,P30 hard-symbol/source-style reconciliation survival,R798 lists the already-known P30 close-stack sentinels: q=p rather than q=p^2; fraktur \\mX/\\mT rather than roman X/T; source semicolon/aber condition chains; source-style section headings and emphasis,all R798 sentinels already survive in local integration lane v9/v10 current TeX,Confirms that v9 did not miss the later P30 merge-close package despite R-number collision risk.,"Use R798's ledgers as provenance, but do not import another P30 span unless a later source-backed package shows a real semantic delta.",R798_NORMALIZED_EQUALITY_CHECK.md; Noether_R798_confirmed_fixes.csv; Noether_R798_hard_math_error_addendum.csv
P2,closed_source_backed_patch_compile_ok,P34,"670,673,675,676,684,686-688",external proposal lane R800/R801 integrated by local integration lane v11,"representation-theory formula numbering, arrows, relation ideal, trace punctuation",right-margin tags; mapsto; compressed section refs; tab-corrupted text; mZ\\simeq .../\\mm; Primfunktion in den x_i; comma in trace display,"source left-margin numbering, short a->am_k, spaced section refs, repaired text braces, mZ\\sim P[z]/m and m ideal, Primfunktion in den x, semicolon in trace display",P34 was still yielding source-style/math-symbol corrections even after earlier closure; R801 is now the better P34 whole-paper survival checkpoint.,Use R801/R804 as P34 sentinel; R799 original ZIP is missing but carried effect survives in R804.,R800/R801 ledgers; diff_v10_to_v11_R800_R804.diff
P2,closed_no_text_patch,P40,514-541,external proposal lane R802 logged by local integration lane v11,whole-paper survival closure,none promoted,current P40 section already matches latest local heads and accepted P40 fixes survive,P40 is not the active mathematical-error source in this newest pass; no new TeX delta.,Use R802 as closure provenance; reopen only for stronger source or explicit new error.,R802 survival/no-patch/page-audit ledgers
P1,closed_source_backed_patch_compile_ok,P14,"190,193",external proposal lane R803/R804 integrated by local integration lane v11,dense equation layout/punctuation,displayed g-equation cluster with non-source punctuation; spaced mod. (z-c); comma before ellipsis,source inline g-equation cluster; mod.(z-c); no comma/terminal period before ellipsis,"This is source-critical mathematical prose/equation punctuation, not mere typography; it affects how the equation chain is read.",Keep R804 no-patch hazard rows for p193/p198/p200.,R803 confirmed fixes; R804 no_patch_checks; diff_v10_to_v11_R800_R804.diff
P1,closed_source_backed_patch_compile_ok,P19,57,external proposal lane R804 integrated by local integration lane v11,index-family symbol error,b_e/a_k^(e) and b_e alpha^(e) terminal family,b_\\varrho/a_k^(\\varrho) and b_\\varrho alpha^(\\varrho),True mathematical symbol-family correction in a coefficient decomposition/proof line.,Do not regress to e; use R804 crop evidence if challenged.,R804 confirmed_fixes_R804.csv; P19_p57_z2_mid.png noted by external proposal lane
P1,closed_source_backed_patch_compile_render_ok_supersedes_prior,P19,57,external proposal lane R805 verified by local integration lane v12,index-family contradiction and prior false correction,R804/v11 terminal varrho family,source terminal e family in both linked formulas,"The prior P19 p57 hard-math row was wrong; direct source recheck shows e, so stale R804 evidence must not be reused.",Keep v12 e-family and cite the R805 full-page/targeted witnesses.,R805 confirmed_fixes_R805.csv; P19_p57_source_ak_locus.png; P19_p57_source_alpha_locus.png; output pp211-212
P1,closed_source_backed_patch_compile_render_ok,P19,64,external proposal lane R810 plus recovered R812 verified by local integration lane v12,math-font and object-family distinction,fraktur A/B module family and missing authorial emphasis,plain A/B module family with source emphasis on the basis statement,Fraktur versus roman letters changes which objects are being denoted in a dense module/matrix construction.,Retain plain A/B and reopen only against stronger source evidence.,R810 confirmed_fixes.csv; P19_printed_p064_full_source.jpg; output pp215-216
P1,closed_source_backed_patch_compile_render_ok,P19,65-66,external proposal lane R810/R811/R813 verified by local integration lane v12,"class-index family, inequality glyphs, and source-inline proof structure",temporary e-family; normalized display blocks; comma-normalized lists,varrho class family; nu proof target; leqq chain; source semicolons and inline class/proof structure,"This cluster controls rank, class decomposition, irreducibility, and uniqueness; family substitutions or normalized punctuation can change mathematical parsing.",Use v12 and preserve the R810/R811 no-patch distinctions.,R810/R811/R813 confirmed/no-patch ledgers; p65-p66 full pages; output pp216-217
P2,closed_no_patch_after_dense_reopen,P19,66,external proposal lane R806/R810/R811/R813 plus local integration lane v12,Brandt matrix microgeometry and entries,multiple suspected matrix-entry or relation-glyph changes,current Brandt example matrix and similarity glyph retained,Repeated independent reopening found no secure delta; the matrix is a sentinel rather than an open correction.,Do not churn without a stronger witness or a pinpointed source discrepancy.,Noether_R813_P19_p066_brandt_matrix_no_patch.png; R810/R811/R813 no_patch_checks.csv
P0,closed_source_backed_patch_compile_render_ok_supersedes_v12,P19,65-66,external proposal lane R816 independently verified by local integration lane v13,terminal class/exponent index-family conflation,v12 used varrho for rank and terminal class/exponent family,"source uses varrho for rank; e for r_e, B_e, and B_(e+1); nu remains proof-target family",The same local passage uses three role-distinct indices. Conflating them changes the class decomposition and rank-reference formulas.,Keep v13 mixed varrho/e/nu reading; treat v12 CO-070 and its hard-math row as superseded.,R816 PPN full pages 65-66; P19_p065_e_family_display_focus.png; P19_p066_eplusone_rank_focus.png; R814_R816_SOURCE_ADJUDICATION.csv
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,98,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,dimension-erasing matrix compression,literal 2x2-looking matrix (c_1 0; 0 c_n),source schematic matrix (c_1 0; vertical ellipses; 0 c_n),The paragraph has n components. Omitting the ellipsis row turns the source's n-dimensional diagonal shorthand into an apparent 2x2 representation.,Keep the compact three-row source shorthand. Treat matrices with correct corners but missing continuation marks as structural math hazards.,P31 raw GDZ 600 ppi page; P31_PAGE_QC_LEDGER_current.csv; current cumulative TeX/PDF
P0,closed_source_backed_patch_compile_render_ok_supersedes_false_closures,P32,226,local integration lane v15 contradiction archaeology and direct source recheck,parameter-family substitution across linked formulas and prose,"b^2p^2 beta; (bp varrho/Xi^n)^2; a,b,p,varrho","b^2p^2 ell^2; (bp ell/Xi^n)^2; a,b,p,ell","The bad cumulative mixed beta and varrho in one construction and destroyed the single parameter used by the source. The final numerical term 9*64 is b^2 p^2 ell^2 for b=3, p=2, ell=4, independently confirming the source reading.","Keep all four ell loci synchronized. Treat R486, R730, and R750 p226 closures as superseded; R399/R401 were correct.",P32_source_printed_p226_IA_leaf0387.jpg; P32_p226_formula_broad_crop.png; P32_p226_formula_following_identity_crop.png; P32_p226_alternate_IA_witness_rotated.png; before_v14_pdfpage312-312.png; after_v15_pdfpage312-312.png
