"source_ledger_class","key","exact_path_or_candidate","source_use_status","allowed_or_decision","blocked_or_adverse","post_retry_decision","no_claim_boundary"
"source_use","native_community_source_body_index_no_authority_claim","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","ocr_witness_separate_not_source_truth","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","pointer_only_material_not_corpus","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","provenance_metadata_logbook_no_source_authority_claim","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","public_source_archive_candidate_for_provenance_review_no_reuse_clearance","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","reviewer_authority_evidence_no_return_approval","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"source_use","sign_access_source_route_metadata_no_media_reuse_clearance","outputs/R6_ACCESS_SOURCE_START_PAYLOAD_20260706/source-use/SOURCE_USE_LABELS.csv","label_preserved","source-canon/provenance/reviewer-route packaging and audit support only","no native-review, accepted terminology, approval, license-clearance, gate-promotion, source-certification, final-status, bridge/pilot, visual inventory, term spine, or translation-completion claim","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"do_not_use_scope_guard","R6-DNU-006","Bislama spelling dictionary route","authority_guard","use as spelling-control route only","math-source authority or translation approval","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"do_not_use_scope_guard","R6-DNU-007","sign/access route metadata","visual_inventory_guard","keep as source-route metadata until exact sign authority and reviewer route close","accepted signs, visual inventory, or signed-language translation output","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"do_not_use_scope_guard","R6-DNU-008","source-body package inclusion","license_clearance_guard","treat as local provenance/source-body corpus review package only","reuse/license clearance or source certification","carry forward; live retry did not close source-body/reviewer/authority gate","generated-draft/noncanonical/source-use/gap only; no promotion or completion"
"live_retry_source_use","ecuador_kichwa_cnib_live_retry","https://educacion.gob.ec/curriculos-nacionales-interculturales-bilingues/ ; KICHWA_CNIB_2017.pdf route","web_visible_route_local_capture_blocked","source-owner/manual/B3 transfer route only until local body/hash exists","no Kichwa draft, term promotion, source certification, translation, pilot, or completion","active recovery","no source certification, approval, license clearance, final status, or completion"
"live_retry_source_use","paraguay_guarani_prodepa_live_retry","https://www.mec.gov.py/cms?ref=295084-programa-de-alfabetizacion-no-formal ; MEC adjuntos 9823/9825/7179","web_visible_route_local_capture_blocked","source-owner/manual/B3 transfer route only until exact PRODEPA math/Guarani bodies and hashes exist","no Guarani math draft, term promotion, source certification, translation, pilot, or completion","active recovery","no source certification, approval, license clearance, final status, or completion"
