"R3-ACQ-0034","zenodo_file_hints","R3-ZENODO-FILE-0029","Persianate/Tajik lane - fa_IR only","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","4882928::بررسي سیر تحول اسماءِ جلالي در متون عرفاني قرن چهارم و ششم )مطالعۀ موردي در کشف¬المحجوب و روح¬الارواح)::بررسي سیر تحول اسماءِ جلالي در متون عرفاني.pdf","https://zenodo.org/records/4882928","https://zenodo.org/api/records/4882928/files/%D8%A8%D8%B1%D8%B1%D8%B3%D9%8A%20%D8%B3%DB%8C%D8%B1%20%D8%AA%D8%AD%D9%88%D9%84%20%D8%A7%D8%B3%D9%85%D8%A7%D8%A1%D9%90%20%D8%AC%D9%84%D8%A7%D9%84%D9%8A%20%D8%AF%D8%B1%20%D9%85%D8%AA%D9%88%D9%86%20%D8%B9%D8%B1%D9%81%D8%A7%D9%86%D9%8A.pdf/content","md5:703697ee33ce7257c9ebb7c55fefbc1a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\persian_invariant_theory.json","D316F2357D0EDF410F0B430CF95EE427B2FCEAB59FEAB85D6ADF6CA52C768D53","Zenodo record metadata access=open; license=cc-by-2.0; no R3 license clearance","Persian/Farsi; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0035","zenodo_file_hints","R3-ZENODO-FILE-0030","Persianate/Tajik lane - fa_IR only","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","17404742::Importance-Performance Analysis (IPA) on Factors Affecting Agility of Iranian Auditing Organizations::152129 Mousavi.pdf","https://zenodo.org/records/17404742","https://zenodo.org/api/records/17404742/files/152129%20Mousavi.pdf/content","md5:3922cd41b32cf044e510cbcda1ee085b","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\persian_invariant_theory.json","D316F2357D0EDF410F0B430CF95EE427B2FCEAB59FEAB85D6ADF6CA52C768D53","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0036","zenodo_file_hints","R3-ZENODO-FILE-0031","Persianate/Tajik lane - fa_IR only","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","18205248::Analytical Study of the Themes of Khazana-e-Jawahar-e-Jalali::1. Zeeshan Javid.pdf","https://zenodo.org/records/18205248","https://zenodo.org/api/records/18205248/files/1.%20Zeeshan%20Javid.pdf/content","md5:efaec16d05ce66842763907c13c6c588","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\persian_invariant_theory.json","D316F2357D0EDF410F0B430CF95EE427B2FCEAB59FEAB85D6ADF6CA52C768D53","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0037","zenodo_file_hints","R3-ZENODO-FILE-0032","Persianate/Tajik lane - fa_IR only","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","20117123::Representation of the ""Initiation Ritual"" in Rostam's Seven Labors: A Mythological and Phenomenological Reading Based on Mircea Eliade's Theories::4. Fadhl Mahmood Wali-1.pdf","https://zenodo.org/records/20117123","https://zenodo.org/api/records/20117123/files/4.%20Fadhl%20Mahmood%20Wali-1.pdf/content","md5:d6b814febf658140672a70936abdf7d1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\persian_invariant_theory.json","D316F2357D0EDF410F0B430CF95EE427B2FCEAB59FEAB85D6ADF6CA52C768D53","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0038","zenodo_file_hints","R3-ZENODO-FILE-0033","Persianate/Tajik lane - fa_IR only","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","2470389::The Invariant Theory of Three Quadrics::article.pdf","https://zenodo.org/records/2470389","https://zenodo.org/api/records/2470389/files/article.pdf/content","md5:7993b4ddf081b7947fe978572a2d9dd5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\persian_invariant_theory.json","D316F2357D0EDF410F0B430CF95EE427B2FCEAB59FEAB85D6ADF6CA52C768D53","Zenodo record metadata access=open; license=cc-zero; no R3 license clearance","Persian/Farsi; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0039","zenodo_file_hints","R3-ZENODO-FILE-0034","Persianate/Tajik lane - fa_IR only","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10074309::Linear Algebra::WhatsApp Image 2023-11-06 at 12.36.39 PM.jpeg","https://zenodo.org/records/10074309","https://zenodo.org/api/records/10074309/files/WhatsApp%20Image%202023-11-06%20at%2012.36.39%20PM.jpeg/content","md5:3eb5c8e7764d9ffbbf48959aa1d3e78e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\xepersian_linear_algebra.json","E6C4C19942FF6ECADF68317B43FB529D8F117E78BA6C98A9B32C55564837CA39","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; XePersian; linear algebra; TeX; Zenodo; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0040","zenodo_file_hints","R3-ZENODO-FILE-0035","Persianate/Tajik lane - fa_IR only","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","15067574::Linear Algebra::Full cover.jpg","https://zenodo.org/records/15067574","https://zenodo.org/api/records/15067574/files/Full%20cover.jpg/content","md5:051b6c75c16c96599d680ed9695e379b","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\xepersian_linear_algebra.json","E6C4C19942FF6ECADF68317B43FB529D8F117E78BA6C98A9B32C55564837CA39","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; XePersian; linear algebra; TeX; Zenodo; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0041","zenodo_file_hints","R3-ZENODO-FILE-0036","Persianate/Tajik lane - fa_IR only","P2_source_archive_or_tex_candidate_metadata","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","3367812::SLATE::slate-2019-04-04.tar.gz","https://zenodo.org/records/3367812","https://zenodo.org/api/records/3367812/files/slate-2019-04-04.tar.gz/content","md5:2a2ea8bc1cd32ef1aa34919282760bae","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\xepersian_linear_algebra.json","E6C4C19942FF6ECADF68317B43FB529D8F117E78BA6C98A9B32C55564837CA39","Zenodo record metadata access=open; license=bsd-3-clause; no R3 license clearance","Persian/Farsi; XePersian; linear algebra; TeX; Zenodo; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0042","zenodo_file_hints","R3-ZENODO-FILE-0037","Persianate/Tajik lane - fa_IR only","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","8296796::Elementary Linear Algebra::WhatsApp Image 2023-08-29 at 11.44.12 AM.jpeg","https://zenodo.org/records/8296796","https://zenodo.org/api/records/8296796/files/WhatsApp%20Image%202023-08-29%20at%2011.44.12%20AM.jpeg/content","md5:af5eb81893a81e9708fdf93b2851ab7a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\xepersian_linear_algebra.json","E6C4C19942FF6ECADF68317B43FB529D8F117E78BA6C98A9B32C55564837CA39","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; XePersian; linear algebra; TeX; Zenodo; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0043","zenodo_file_hints","R3-ZENODO-FILE-0038","Persianate/Tajik lane - fa_IR only","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10863548::Mathematics Linear Algebra::WhatsApp Image 2024-03-23 at 1.20.16 PM (1).jpeg","https://zenodo.org/records/10863548","https://zenodo.org/api/records/10863548/files/WhatsApp%20Image%202024-03-23%20at%201.20.16%20PM%20(1).jpeg/content","md5:7cecc2421a17c5889761d6c33bb094c5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\xepersian_linear_algebra.json","E6C4C19942FF6ECADF68317B43FB529D8F117E78BA6C98A9B32C55564837CA39","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Persian/Farsi; XePersian; linear algebra; TeX; Zenodo; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0044","zenodo_file_hints","R3-ZENODO-FILE-0039","Persianate/Tajik lane - prs_AF separate gate","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10074309::Linear Algebra::WhatsApp Image 2023-11-06 at 12.36.39 PM.jpeg","https://zenodo.org/records/10074309","https://zenodo.org/api/records/10074309/files/WhatsApp%20Image%202023-11-06%20at%2012.36.39%20PM.jpeg/content","md5:3eb5c8e7764d9ffbbf48959aa1d3e78e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\dari_linear_algebra.json","8E648F6F994B93B79725D371DCADFC74B54B3B87AC13F6FC2C2D1F9AB3D65A86","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Dari/Afghan Persian; linear algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0045","zenodo_file_hints","R3-ZENODO-FILE-0040","Persianate/Tajik lane - prs_AF separate gate","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","15067574::Linear Algebra::Full cover.jpg","https://zenodo.org/records/15067574","https://zenodo.org/api/records/15067574/files/Full%20cover.jpg/content","md5:051b6c75c16c96599d680ed9695e379b","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\dari_linear_algebra.json","8E648F6F994B93B79725D371DCADFC74B54B3B87AC13F6FC2C2D1F9AB3D65A86","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Dari/Afghan Persian; linear algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0046","zenodo_file_hints","R3-ZENODO-FILE-0041","Persianate/Tajik lane - prs_AF separate gate","P2_source_archive_or_tex_candidate_metadata","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","3367812::SLATE::slate-2019-04-04.tar.gz","https://zenodo.org/records/3367812","https://zenodo.org/api/records/3367812/files/slate-2019-04-04.tar.gz/content","md5:2a2ea8bc1cd32ef1aa34919282760bae","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\dari_linear_algebra.json","8E648F6F994B93B79725D371DCADFC74B54B3B87AC13F6FC2C2D1F9AB3D65A86","Zenodo record metadata access=open; license=bsd-3-clause; no R3 license clearance","Dari/Afghan Persian; linear algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0047","zenodo_file_hints","R3-ZENODO-FILE-0042","Persianate/Tajik lane - prs_AF separate gate","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","8296796::Elementary Linear Algebra::WhatsApp Image 2023-08-29 at 11.44.12 AM.jpeg","https://zenodo.org/records/8296796","https://zenodo.org/api/records/8296796/files/WhatsApp%20Image%202023-08-29%20at%2011.44.12%20AM.jpeg/content","md5:af5eb81893a81e9708fdf93b2851ab7a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\dari_linear_algebra.json","8E648F6F994B93B79725D371DCADFC74B54B3B87AC13F6FC2C2D1F9AB3D65A86","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Dari/Afghan Persian; linear algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0048","zenodo_file_hints","R3-ZENODO-FILE-0043","Persianate/Tajik lane - prs_AF separate gate","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10863548::Mathematics Linear Algebra::WhatsApp Image 2024-03-23 at 1.20.16 PM (1).jpeg","https://zenodo.org/records/10863548","https://zenodo.org/api/records/10863548/files/WhatsApp%20Image%202024-03-23%20at%201.20.16%20PM%20(1).jpeg/content","md5:7cecc2421a17c5889761d6c33bb094c5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\dari_linear_algebra.json","8E648F6F994B93B79725D371DCADFC74B54B3B87AC13F6FC2C2D1F9AB3D65A86","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Dari/Afghan Persian; linear algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0049","zenodo_file_hints","R3-ZENODO-FILE-0044","Persianate/Tajik lane - tg_Cyrl_TJ separate gate","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","19498175::HISTORIOGRAPHY OF THE TAJIK LANGUAGE::52-59.pdf","https://zenodo.org/records/19498175","https://zenodo.org/api/records/19498175/files/52-59.pdf/content","md5:f45ff2a058f74d72a613b935282d7de5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\tajik_algebra.json","3E35912D409A04AA463BDD77A7ED8075F99FC76D9A603AB33B863C3E142D044D","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Tajik Cyrillic; algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0050","zenodo_file_hints","R3-ZENODO-FILE-0045","Persianate/Tajik lane - tg_Cyrl_TJ separate gate","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","19325611::MODERN WOMEN IN BAHMANYOR'S SHAHANSHAH AND CALVINO'S METAFICTIONAL WORLDS: A COMPARATIVE STUDY::778-788.pdf","https://zenodo.org/records/19325611","https://zenodo.org/api/records/19325611/files/778-788.pdf/content","md5:68d5eeea9664dc0fee25bad7c877cadf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\tajik_algebra.json","3E35912D409A04AA463BDD77A7ED8075F99FC76D9A603AB33B863C3E142D044D","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Tajik Cyrillic; algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0051","zenodo_file_hints","R3-ZENODO-FILE-0046","Persianate/Tajik lane - tg_Cyrl_TJ separate gate","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","1312213::Sorption method for purification of industrial wastewater waters::Бокиев Б. Р., Хужаев П. С., Шарипов Ш. К., Муродов П. .pdf","https://zenodo.org/records/1312213","https://zenodo.org/api/records/1312213/files/%D0%91%D0%BE%D0%BA%D0%B8%D0%B5%D0%B2%20%D0%91.%20%D0%A0.,%20%D0%A5%D1%83%D0%B6%D0%B0%D0%B5%D0%B2%20%D0%9F.%20%D0%A1.,%20%D0%A8%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2%20%D0%A8.%20%D0%9A.,%20%D0%9C%D1%83%D1%80%D0%BE%D0%B4%D0%BE%D0%B2%20%D0%9F.%20.pdf/content","md5:321db57559f0035bba7d7d626df2c3c3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\tajik_algebra.json","3E35912D409A04AA463BDD77A7ED8075F99FC76D9A603AB33B863C3E142D044D","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Tajik Cyrillic; algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0052","zenodo_file_hints","R3-ZENODO-FILE-0047","Persianate/Tajik lane - tg_Cyrl_TJ separate gate","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","6652832::Comparative analysis of the phonologic changes of Modern Persian under the influence of Turkish::EJAR06110.pdf","https://zenodo.org/records/6652832","https://zenodo.org/api/records/6652832/files/EJAR06110.pdf/content","md5:c109febed5550229eee08aab95871cc8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\tajik_algebra.json","3E35912D409A04AA463BDD77A7ED8075F99FC76D9A603AB33B863C3E142D044D","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Tajik Cyrillic; algebra; Zenodo; separate gate; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
