work_id,work_or_corpus,granularity,source_language,public_source_state,target_languages_present_in_this_lane,pdf_gate_in_this_lane,current_manager_status,source_floor_route
DELIGNE,Pierre Deligne papers and letters,author_corpus,French,"mixed paper-by-paper French/English working readers",none,fail,"responsibility retained; no AHW translation tranche","Acquire advanced algebraic-geometry and diagram prose per target"
UA-MATH,Ukrainian applied mathematics,corpus,Ukrainian,"heterogeneous reader and translation drafts",none,fail,"responsibility retained; no AHW translation tranche","Name work and domain before target source intake"
NON-EURO,Non-European mathematics consolidated,corpus,multiple,"heterogeneous multilingual readers and sources",none,fail,"responsibility retained; no AHW translation tranche","Decompose to named work/source language before routing"
CHINESE,Chinese mathematical classics,corpus,Classical/Modern Chinese,"substantial heterogeneous working readers and source packages",none,fail,"responsibility retained; no AHW translation tranche","Decompose by work and acquire domain evidence"
INDIAN,Indian and Sanskrit mathematical classics,corpus,Sanskrit/other,"substantial heterogeneous working readers and source packages",none,fail,"responsibility retained; no AHW translation tranche","Decompose by work and acquire domain evidence"
ISLAMIC,Islamic and Arabic mathematical texts,corpus,Arabic/Latin/other,"substantial heterogeneous readers and sources",none,fail,"responsibility retained; no AHW translation tranche","Decompose by work and keep source authority separate from target usage"
DEDEKIND,Richard Dedekind works,author_corpus,German,"useful partial source-witnessed drafts and English translations",none,fail,"responsibility retained; no AHW translation tranche","Acquire number theory/algebra prose per target"
DIRICHLET,P. G. Lejeune Dirichlet works,author_corpus,German/French/Latin,"partial non-continuous source-witnessed stream",none,fail,"responsibility retained; no AHW translation tranche","Acquire analysis/number-theory prose per target"
GAUSS,C. F. Gauss works,author_corpus,Latin/German,"partial drafts and repair/source packages",none,fail,"responsibility retained; no AHW translation tranche","Decompose by work and acquire domain evidence"
RIEMANN,Bernhard Riemann selected works,author_corpus,German,"selected working-draft readers",none,fail,"responsibility retained; no AHW translation tranche","Acquire analysis/geometry prose per target"
POINCARE,Henri Poincare Oeuvres Tome I stream,author_volume,French,"partial non-continuous working packages",none,fail,"responsibility retained; no AHW translation tranche","Acquire named-work domain evidence per target"
CLASSICAL,Classical algebra and arithmetic shelf,mixed_shelf,Latin/German/French/English,"mixed preservation and staging shelf",none,fail,"responsibility retained; not a single translation unit","Decompose to named works before routing"
AUTHOR-CLUSTER,Additional author cluster,mixed_shelf,multiple,"mixed author shelf and provenance backstop",none,fail,"responsibility retained; not a single translation unit","Decompose to named authors and works"
EGA,EGA,corpus,French,"original/OCR/support plus partial drafts",none,fail,"responsibility retained; no AHW translation tranche","Source-audit authoritative units then acquire advanced-geometry target prose"
CAYLEY,Arthur Cayley works,author_corpus,English,"de-promoted suspect drafts retained for repair",none,fail,"responsibility retained; source fidelity precedes translation","Do not translate unsafe ranges until source-audited and re-promoted"
GALOIS,Evariste Galois source intake,author_corpus,French,"source-intake only; no reader release",none,fail,"responsibility retained; source-language transcription first","Wait for promoted authoritative source unit then acquire target-domain prose"
EISENSTEIN,Gotthold Eisenstein source intake,author_corpus,German,"source-intake only; no promoted transcription",none,fail,"responsibility retained; source-language transcription first","Wait for promoted authoritative source unit then acquire target-domain prose"
STEINER,Jakob Steiner source intake,author_corpus,German,"source-intake only; no promoted transcription",none,fail,"responsibility retained; source-language transcription first","Wait for promoted authoritative source unit then acquire target-domain prose"
OER-PREALG,OpenStax Prealgebra 2e,open_textbook,English,"official current web source; CC BY-NC-SA 4.0","Somali; Oromo",pass_tranche_001,"tranche 001 technically complete as unreviewed working translations; full work incomplete","Retain bounded bridge; extend only after connected target-language evidence"
OER-ALGTRIG,OpenStax Algebra and Trigonometry,open_textbook,English,"historical R9 candidate; exact edition/license must be fixed before use",none,fail,"queued after foundational bridge","Extend source floor beyond elementary algebra first"
OPENINTRO,OpenIntro Statistics,open_textbook,English,"historical R9 candidate; exact edition/license must be fixed before use",none,fail,"queued applied-math bridge","Acquire statistics connected-prose evidence per target"
FCLA,Beezer A First Course in Linear Algebra,open_textbook,English,"historical R9 candidate; exact edition/license must be fixed before use",none,fail,"queued higher-math bridge","Acquire linear-algebra prose after algebra spine"
