node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
JA-P23-EV-TOHO,evidence_source,Toho University geometry curriculum,ja,"https://www.toho-u.ac.jp/sci/edu/sci_curriculum/j5mt8h000001e5ve-att/j5mt8h000001e61w.pdf",sense-checked,"アフィン接続 and 共変微分","message transfer and ordinary derivative"
JA-P23-EV-KYUSHU,evidence_source,Kyushu University relativity notes,ja,"https://maya.phys.kyushu-u.ac.jp/~knomura/education/Undergraduate/General-Relativity/text.pdf",sense-checked,"Riemann 正規座標系","Gaussian normal coordinates"
JA-P23-EV-CHUO,evidence_source,Chuo University mathematics material,ja,"https://www.math.chuo-u.ac.jp/ENCwMATH/ewm57.pdf",sense-checked,"還元定理","contraction theorem"
JA-P23-EV-HOKKAIDO,evidence_source,Hokkaido University of Education algebra notes,ja,"https://alg.kus.hokkyodai.ac.jp/2010/alg2.pdf",sense-checked,"整数係数多項式","algebraic integrality over a base"
JA-P23-EV-KYOTO,evidence_source,Kyoto RIMS paper,ja,"https://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/2019-05.pdf",sense-checked,"次数の上界","least upper bound assertion"
JA-P23-DEC-CORE,decision_record,Core finite-generation decision,ja,"decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json",internally-accepted,"finite-generation and invariant-theory vocabulary cluster","finite cardinality and basis false friends"
JA-P23-DEC-INTEGRALITY,decision_record,Integrality sense-split decision,ja,"decisions/NOE-P23-INTEGRALITY-SENSE-SPLIT.ja.json",internally-accepted,"上整 versus relative integral functions versus integer coefficients","analytic entire and collapsed 整性"
JA-P23-DEC-RESOLVENT,decision_record,Galois resolvent decision,ja,"decisions/NOE-P23-GALOIS-RESOLVENT.ja.json",internally-accepted,"resolvent polynomial whose coefficients supply invariants","operator resolvent and splitting field"
JA-P23-DEC-TRANSFORM,decision_record,Transformation-law decision,ja,"decisions/NOE-P23-TRANSFORMATION-LAWS.ja.json",internally-accepted,"反傾 for dual representation and explicit same-law paraphrase for cogredient","tensor variance and equivariance collapse"
JA-P23-DEC-DIFFGEOM,decision_record,Differential-geometry decision,ja,"decisions/NOE-P23-DIFFERENTIAL-GEOMETRY.ja.json",internally-accepted,"connection covariant derivative normal coordinates and reduction theorem","transfer ordinary derivative Gaussian coordinates and contraction"
JA-P23-DEC-LAGRANGE,decision_record,Lagrange variational-derivative decision,ja,"decisions/NOE-P23-LAGRANGE-VARIATIONAL-DERIVATIVE.ja.json",held,"source-defined variational derivative role","interpolation derivative and unqualified standardization"
JA-P23-C-ALG-INVARIANT,concept,代数的不変式,ja,"P31 13525-13527; Nara Japanese evidence",internally-accepted,"classical polynomial or form invariant","generic invariant quantity"
JA-P23-C-GLN,concept,一般線型群,ja,"P31 13527; Nara Japanese evidence",internally-accepted,"full GL_n action","arbitrary subgroup or affine group"
JA-P23-C-FG-DOMAIN,concept,有限生成整域,ja,"P31 13552; Hartshorne and Gakushuin evidence",internally-accepted,"finitely generated as a ring","finite-cardinality domain"
JA-P23-C-INTEGRITY-BASIS,concept,整基底,ja,"P31 13552; Gakushuin evidence",internally-accepted,"finite polynomial generating set","number-field integral basis"
JA-P23-C-IDEAL-BASIS,concept,イデアル基底,ja,"P31 13554-13573 explicit definition",internally-accepted,"finite ideal generating set","vector-space basis"
JA-P23-C-FUNCTION-FIELD,concept,関数体,ja,"P31 13575; Japanese algebra corpus",internally-accepted,"field of rational functions","function space"
JA-P23-C-UPPER-BOUND,concept,次数の上界,ja,"P31 13580-13582; Kyoto RIMS evidence",internally-accepted,"upper bound on degrees","least upper bound assertion"
JA-P23-C-INTEGRAL-OVER,concept,J は J' 上整である,ja,"P31 13576; Hartshorne and Matsumura evidence",internally-accepted,"monic-polynomial integrality over the base","integer coefficients or algebraic dependence alone"
JA-P23-C-REL-INTEGRAL,concept,相対的に整な関数,ja,"P31 13586; source-defined Japanese sense window",held-source-tethered,"polynomial-domain functions in Hilbert's relative-integrality question","analytic entire functions"
JA-P23-C-INTEGER-COEFF,concept,整数係数性,ja,"P31 13588; Hokkaido evidence",internally-accepted,"coefficient ring is Z","integrality over a subring"
JA-P23-C-RESOLVENT,concept,ガロア分解式,ja,"P31 13586; Sophia evidence",internally-accepted,"Galois resolvent polynomial","operator resolvent"
JA-P23-C-CONTRAGREDIENT,concept,反傾変換,ja,"P31 13573; Nara and Hiroshima evidence",internally-accepted,"dual or inverse-transpose representation","tensor contravariance"
JA-P23-C-COGREDIENT,concept,d x と同じ変換則に従う,ja,"P31 13613 and 13621; explicit source paraphrase",internally-accepted-paraphrase,"same transformation law as d x","forced 共変 同変 or 共傾 lexeme"
JA-P23-C-LAGRANGE,concept,ラグランジュの変分導関数,ja,"P31 13613 and 13621; inherited wording witness",held-provisional,"variational derivative arising from f(x d x)","interpolation derivative; externally standardized claim"
JA-P23-C-CONNECTION,concept,接続,ja,"P31 13613 and 13621; Toho evidence",internally-accepted,"geometric connection underlying the transformation law","message transfer"
JA-P23-C-COV-DERIV,concept,共変微分,ja,"P31 13613; Toho evidence",internally-accepted,"covariant derivative determined by a connection","ordinary derivative"
JA-P23-C-RIEMANN-NORMAL,concept,Riemann 正規座標,ja,"P31 13619; Kyushu evidence",internally-accepted,"geodesic normal coordinates at a point","Gaussian normal coordinates"
JA-P23-C-REDUCTION,concept,還元定理,ja,"P31 13617-13621; Chuo evidence",internally-accepted,"reduction of differential invariants to algebraic invariants","contraction or modular reduction theorem"
JA-P23-C-FORM-DEGREE,concept,形式の次数,ja,"P31 13530 and 13619; formula context",internally-accepted,"historical Dimension meaning polynomial degree","vector-space or manifold dimension"
