id	kind	prompt	requirement	status	evidence
2.9	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.10	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.11	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.12	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 11-12; items a-b and c-d joined across exact page boundary; unit complete
3.1	unit	P03	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 12-13; complete section 3 unit, proof, identities and cross-references retained
3.2	unit	P03	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 12-13; complete section 3 unit, proof, identities and cross-references retained
3.3	unit	P03	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 12-13; complete section 3 unit, proof, identities and cross-references retained
3.4	unit	P03	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 12-13; complete section 3 unit, proof, identities and cross-references retained
3.5	unit	P03	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical 12-13; complete section 3 unit, proof, identities and cross-references retained
LISTS	structure	P01-P03	every alphabetic and roman-numeral list item without merge or omission	ACCEPTED_COMPLETE_P03	every alphabetic and roman list item on physical 1-14 retained without merge or omission
BACK-bibliography	backmatter	P03	bibliography entries 1-11 plus exact EGA and SGA 7 bis notes	ACCEPTED_COMPLETE_P03	authority physical 13-14; entries 1-11 plus exact EGA and SGA 7 bis notes retained
BACK-address	backmatter	P03	Institut des Hautes Études Scientifiques address	ACCEPTED_COMPLETE_P03	authority physical 14; five-line Pierre Deligne / IHES address retained
BACK-received	backmatter	P03	Reçu le 26 août 1971	ACCEPTED_COMPLETE_P03	authority physical 14; literal Reçu le 26 août 1971 retained in French and translated in English
BACK-eof	backmatter	P03	physical EOF after received line	ACCEPTED_COMPLETE_P03	authority physical 14; readers terminate immediately after received line at physical EOF
