"packet","paper","row_id","risk","mitigation","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","carryforward_head","source_use_label_faa2","boundary_faa2"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","War casualty/provenance wording can be overinterpreted.","Stay close to source and mark draft.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","Primary ideal may be confused with prime/simple ideal.","Do-not-use normalization row records the distinction.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","Long displayed formulas are summarized around source TeX in draft.","Keep source hashes and formula-neighboring notes; do not treat as final translation.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","Clearpage could be mistaken for an untranslated content gap.","Record explicit technical/layout evidence row.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","Opaque literal double-chain theorem/law may mislead.","Use expanded chain-condition wording and term alternatives.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","Could be mistranslated as completely closed rather than integrally closed.","Use integral-closure/celo-zamknuty notes.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","Expanding journal abbreviation could introduce citation error.","Retain abbreviation unchanged.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","ISV vycet/vychet wording can overfit East Slavic or Czech-only cues.","Prefer ostatkove klasy / klasy ostatkov and record alternatives.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","kolco vs prsten branch split.","Use polinomno kolco in draft, retain prsten as West/South alternative.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","Expanding J. Ber. d. DMV could introduce bibliographic error.","Retain abbreviation unchanged in draft row.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","Character may be read as personality trait.","Keep representation-theory source note and term alternatives.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","Indecomposable and irreducible could be collapsed in draft.","Use nerazložimy for unzerlegbar and ireducibilny for irreduzibel in notes.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","kolco skews East/ISV; prsten aids South/West.","Record both in branch-weight and marginal ledgers.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","Expanding journal abbreviation could introduce citation error.","Retain abbreviation unchanged.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","Körper can be field or body/division algebra in context.","Record polje/tělo alternatives and source-context notes.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","razloženje may sound decomposition rather than splitting field.","Keep alternatives and require review before promotion.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","Long proof row is summarized around formulas in draft support.","Keep source hashes and formula-neighboring notes; do not treat as final translation.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","Cyrillic rows are mechanical transliteration from Latin draft.","Label generated-draft/non-canonical and require review.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","May be misread as ordinary different/difference.","Use technical noun diferenta/диферента and keep note.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","Quotient/derivative coefficient register differs across Slavic languages.","Retain alternatives and mark for review.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","Expanding journal abbreviations could introduce citation error.","Retain abbreviations unchanged.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
