"lexeme_id","candidate_form","lane_scope","rooted_tree_scope","branch","raw_witness_count","effective_branch_number_D","r6_decision","followup_decision","ac6f_followup_decision"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"marginal-intelligibility row remains review-only/noncanonical","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"do-not-use guard retained","source-use/adverse/marginal/do-not-use guard retained"
