diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P17-011	P17	99	source_language	page 99 starts a new sentence	begin with the continuation 'donc de rang p+1'	Preserve the physical boundary from page 98.	Physical page 99, first line; asset P0099-A01.
D018-P17-012	P17	99	source_language	the rank-p subschemes lie in μ_{p²}	they are subschemes of 𝔾_a contained in α_{p²}	Restore the additive infinitesimal group.	Physical page 99, opening setup; asset P0099-A01.
D018-P17-013	P17	99	source_language	the defining polynomial is X^p+aX	retain (*) X^p + ∑_{0}^{p-1} a_i X^i = 0	Restore the general locally free rank-p equation.	Physical page 99, display (*); asset P0099-A02.
D018-P17-014	P17	99	source_language	the division identity ends with a^{p+1}	retain the terminal term a^{p+1}X and exponent p²-i(p-1)-p	Preserve the exact polynomial identity.	Physical page 99, central display; asset P0099-A05.
D018-P17-015	P17	99	source_language	T is reduced of p+1 points	T ≃ Spec(k[a]/(a^{p+1}))	Restore the nonreduced local model in the supersingular case.	Physical page 99, display after a^{p+1}=0; asset P0099-A03.
D018-P17-016	P17	100	source_language	K is identified directly with H	K is the inverse image of H⊂GL(2,ℤ/n) in GL(2,ℤ̂)	Restore the adelic level subgroup definition.	Physical page 100, section 1.14; asset P0100-A01.
D018-P17-017	P17	100	source_language	the fibers in (1.14.1) are only smooth or n-gons	include smooth fibers, n-gons, and np-gones	Restore the complete boundary geometry.	Physical page 100, formula (1.14.1); asset P0100-A01.
D018-P17-018	P17	100	source_language	silently relabel the second variant as (1.14.2)	retain the printed label '(.14.2)' and note the missing numeral	Preserve the controlling source anomaly.	Physical page 100, second variant label; asset P0100-A01.
D018-P17-019	P17	100	source_language	Φ_2 uses a second Frobenius kernel on E	Φ_2(E)=wΦ_1(E)=(E^{(p)},Ker(V:E^{(p)}→E))	Restore Verschiebung and the Frobenius-twisted curve.	Physical page 100, section 1.15; asset P0100-A02.
D018-P17-020	P17	100	source_language	all four diagram composites are identities	cΦ_1 and cwwΦ_1 are identities, while cwΦ_1 is Frobenius	Restore the distinct composite behavior.	Physical page 100, diagram and final lines; assets P0100-A03--P0100-A04.
D018-P17-021	P17	101	source_language	Φ_1 and Φ_2 are merely finite	they are closed immersions whose images are the two irreducible components	Restore Theorem 1.16(i).	Physical page 101, theorem opening; asset P0101-A01.
D018-P17-022	P17	101	source_language	the components are disjoint	they meet transversely at supersingular points	Restore Theorem 1.16(ii).	Physical page 101, theorem part (ii); asset P0101-A01.
D018-P17-023	P17	101	source_language	the special fiber has arbitrary singularities	its only singularities are ordinary double points	Restore the geometric consequence of transverse intersection.	Physical page 101, theorem part (ii); asset P0101-A01.
D018-P17-024	P17	101	source_language	the unique subgroup is written Ker(F)=Ker(V:E→E^{(p)})	retain the authority's Ker(F)=Ker(V:E→E^{(1/p)})	Do not normalize the printed inverse Frobenius twist.	Physical page 101, supersingular proof; asset P0101-A03.
D018-P17-025	P17	101	source_language	import the object descriptions from page 102	end exactly after 'du type suivant'	Preserve the physical page boundary.	Physical page 101, final line; asset P0101-A04.
D018-P17-026	P17	102	source_language	Γ(n) classifies an unstructured elliptic curve	retain α_n:E_n→̃(ℤ/nℤ)^2	Restore the full level-n structure.	Physical page 102, first display; asset P0102-A01.
D018-P17-027	P17	102	source_language	the symmetric description omits the isogeny label	retain h:E→F and the induced h̄-labelled isomorphism E_n→̃F_n	Preserve the p-isogeny data on n-torsion.	Physical page 102, symmetric description; asset P0102-A01.
D018-P17-028	P17	102	source_language	w sends H to zero	w(E,α_n,H)=(E/H,α_n,E_p/H)	Restore the quotient level subgroup.	Physical page 102, displayed definition of w; asset P0102-A02.
D018-P17-029	P17	102	source_language	w² fixes all level data	w²(E,α_n,H)≃(E,pα_n,H)	Restore the p-multiplication twist on α_n.	Physical page 102, warning before the diagram; asset P0102-A03.
D018-P17-030	P17	102	source_language	complete the supersingular criterion with a diagram from page 103	end exactly after 'et que le diagramme'	Preserve the syntactically open physical boundary.	Physical page 102, final line; asset P0102-A05.
D018-P17-031	P17	102	source_language	silently normalize the terminal level symbol to α_n	retain the authority's visible α_r and note α_n only as the likely contextual correction	Keep the diplomatic transcription distinct from editorial inference.	Physical page 102, terminal displayed condition; asset P0102-A05.
D018-P17-032	P17	99	source_language	carry the left prime onto the stack in the phrase 'A l'infini'	retain the unprimed 𝔪_{Γ_0(p)} at infinity and the primed stack in the following clause	Preserve the visible distinction between adjacent stack symbols.	Physical page 99, final paragraph; asset P0099-A04.
D018-P17-033	P17	99	source_language	silently regularize the second citation to 1.10	retain the printed citation '1 10' without a dot	Keep authority punctuation distinct from editorial repair.	Physical page 99, penultimate line; asset P0099-A04.
D018-P17-034	P17	99	source_language	append '= 0' to the second displayed polynomial	end the second displayed polynomial after ∑ n^{p-i}a_iX^i, as printed	The authority does not repeat the equation terminator in that display.	Physical page 99, homothety display; asset P0099-A02.
D018-P17-035	P17	102	source_language	add a smooth-locus superscript o to the second object list	retain 𝔪_{Γ(n)∩Γ_0(p)} without a superscript in that list	The later arrow definitions print o, but the controlling object-list line does not.	Physical page 102, second object list; asset P0102-A01.
D018-P17-036	P17	102	source_language	remove the unmatched parenthesis in F = E/H)	retain the printed unmatched closing parenthesis in the diplomatic layer	Confine the obvious punctuation repair to translation/apparatus.	Physical page 102, symmetric-description transition; asset P0102-A01.
