# const	n	lon_d	lon_m	lat_d	lat_m	plaga	mag	bayer	codex_note
Cygnus	10	325	40	57	0	b	4	xi	-
Cassiopeia	1	19	0	45	20	b	3	zeta	-
Cassiopeia	2	22	0	46	45	b	3	alpha	Schedar
Cassiopeia	3	24	10	47	50	b	4	eta	-
Cassiopeia	4	31	50	45	30	b	3	delta	-
Cassiopeia	5	19	0	51	40	b	3	beta	Caph
Cassiopeia	6	26	10	52	40	b	4	kappa	-
Perseus	1	37	50	40	30	b	neb	chi	DoubleCluster
Perseus	2	46	0	30	0	b	2	alpha	Mirfak
Perseus	3	43	50	34	30	b	3	gamma	-
Perseus	4	48	50	27	20	b	4	delta	-
Perseus	5	48	0	21	50	b	4	-	-
Perseus	6	40	50	23	0	b	2	beta	Algol
Perseus	7	45	20	12	0	b	3	omicron	-
Perseus	8	47	30	11	0	b	3	zeta	-
Auriga	1	73	40	30	0	b	4	delta	-
Auriga	2	66	10	22	30	b	1	alpha	Capella
Auriga	3	74	0	20	0	b	2	beta	Menkalinan
Auriga	4	61	0	10	10	b	3	iota	-
Auriga	5	66	50	5	0	b	3	gamma	-
Ophiuchus	1	246	0	36	0	b	3	alpha	Rasalhague
Ophiuchus	2	249	10	27	15	b	4	beta	-
Ophiuchus	3	226	10	17	0	b	3	delta	-
Ophiuchus	4	227	10	16	30	b	3	epsilon	-
Ophiuchus	5	242	20	2	15	b	3	eta	-
Ophiuchus	6	244	50	2	15	b	3	-	40Ophiuchi
Ophiuchus	7	245	30	1	30	b	4	-	-
Ophiuchus	8	233	20	11	50	b	3	zeta	-
Serpens	1	215	30	36	0	b	3	gamma	-
Serpens	2	212	50	40	0	b	4	rho	-
Serpens	3	213	10	34	15	b	3	beta	-
Serpens	4	212	50	20	15	b	3	epsilon	-
Serpens	5	215	30	25	20	b	3	-	-
Serpens	6	217	30	24	0	b	3	-	-
Serpens	7	244	50	10	30	b	4	nu	-
Serpens	8	259	50	21	15	b	4	-	-
Serpens	9	269	30	27	0	b	4	theta	-
Sagitta	1	291	20	39	20	b	4	gamma	-
Sagitta	2	284	30	38	40	b	5	beta	-
Aquila	1	284	20	31	30	b	3	gamma	Tarazed
Aquila	2	286	0	27	10	b	3	beta	-
Aquila	3	285	0	29	10	b	2	alpha	Altair
Aquila	4	285	50	30	0	b	3	-	-
Aquila	5	273	20	36	20	b	3	zeta	-
Delphinus	1	298	50	29	10	b	3	epsilon	-
Delphinus	2	299	40	32	0	b	3	beta	-
Delphinus	3	302	30	32	0	b	3	delta	-
Delphinus	4	304	40	33	10	b	3	gamma	-
Delphinus	5	301	20	33	50	b	3	alpha	-
Equuleus	1	307	30	20	30	b	obsc	alpha	-
Equuleus	2	309	10	20	40	b	obsc	beta	-
Equuleus	3	307	30	25	30	b	obsc	gamma	-
Equuleus	4	308	50	25	0	b	obsc	delta	-
Pegasus	1	358	30	26	0	b	2	alphaAnd	Alpheratz
Pegasus	2	353	20	12	30	b	2	gamma	Algenib
Pegasus	3	343	20	31	0	b	2	beta	Scheat
Pegasus	4	337	50	19	40	b	2	alpha	Markab
Pegasus	5	340	10	35	0	b	3	eta	-
Pegasus	6	330	0	18	0	b	3	zeta	-
Pegasus	7	320	20	16	50	b	3	theta	-
Pegasus	8	316	30	22	30	b	3	epsilon	Enif
Pegasus	9	334	50	41	10	b	4	pi	-
Pegasus	10	328	50	34	15	b	4	iota	-
Pegasus	11	323	30	36	50	b	4	kappa	-
Andromeda	1	6	30	24	30	b	3	delta	-
Andromeda	2	15	0	26	20	b	3	beta	Mirach
Andromeda	3	352	50	44	0	b	3	omicron	-
Andromeda	4	28	0	28	0	b	3	gamma	Almach
Triangulum	1	22	10	16	30	b	3	alpha	-
Triangulum	2	27	10	20	40	b	3	beta	-
Triangulum	3	28	0	19	0	b	3	gamma	-
Aries	1	17	50	7	20	b	3	gamma	Mesarthim
Aries	2	18	50	8	20	b	3	beta	Sheratan
Aries	3	22	10	7	40	b	5	eta	-
Aries	4	22	40	6	0	b	5	theta	-
Aries	5	17	40	5	30	b	5	iota	-
Aries	6	28	40	6	0	b	6	nu	-
Aries	7	32	30	4	50	b	5	epsilon	-
Aries	8	35	0	1	40	b	4	delta	-
Aries	9	36	30	2	30	b	4	zeta	-
Aries	10	38	10	1	50	b	4	tau2	-
Aries	11	30	50	1	10	b	5	rho	-
Aries	12	29	10	1	30	a	5	sigma	-
Aries	13	28	10	5	15	a	4	-	-
Aries	14	21	30	10	0	b	3	alpha	Hamal
Taurus	1	37	30	6	0	a	4	-	-
Taurus	2	37	10	7	15	a	4	s	-
Taurus	3	35	30	9	15	a	4	omicron	-
Taurus	4	44	50	8	0	a	3	lambda	-
Taurus	5	40	50	9	30	a	5	-	-
Taurus	6	50	10	5	45	a	3	gamma	Hyades
Taurus	7	51	30	4	15	a	3	delta1	Hyades
Taurus	8	53	50	5	10	a	1	alpha	Aldebaran
Taurus	9	52	0	5	50	a	3	theta1	Hyades
Taurus	10	53	0	3	0	a	3	epsilon	Hyades
Taurus	11	58	40	4	0	a	5	-	-
Taurus	12	61	30	5	0	a	5	-	-
Taurus	13	56	50	4	0	a	4	tau	-
Taurus	14	68	50	2	30	a	3	zeta	-
Taurus	15	66	50	5	0	b	3	beta	ElNath
Taurus	16	43	20	4	30	b	5	-	Pleiades
Taurus	17	43	30	3	40	b	4	-	Pleiades
Taurus	18	44	50	3	20	b	5	-	Pleiades
Taurus	19	44	50	5	0	b	4	-	Pleiades
Gemini	1	94	30	9	30	b	2	alpha	Castor
Gemini	2	97	50	6	15	b	2	beta	Pollux
Gemini	3	77	40	1	30	a	4	eta	-
Gemini	4	81	20	3	30	a	4	nu	-
Gemini	5	83	10	7	30	a	3	-	-
Gemini	6	85	50	10	30	a	4	xi	-
Gemini	7	89	40	2	30	a	3	zeta	-
Gemini	8	92	50	6	0	a	3	lambda	-
Gemini	9	92	50	0	30	a	3	delta	-
Gemini	10	84	10	1	30	a	4	epsilon	-
Cancer	1	111	30	0	40	b	neb	epsilon	Praesepe
Cancer	2	108	50	1	15	b	4	eta	-
Cancer	3	109	10	1	10	a	4	theta	-
Cancer	4	109	30	11	50	b	4	iota	-
Cancer	5	117	40	5	30	a	4	alpha	Acubens
Cancer	6	108	20	7	30	a	4	beta	-
Cancer	7	103	50	1	0	b	5	mu2	-
Cancer	8	108	20	7	30	a	4	-	-
Cancer	9	111	30	2	40	b	4	gamma	AsellusBor
Cancer	10	112	30	0	10	a	4	delta	AsellusAus
Leo	1	119	30	10	0	b	4	-	-
Leo	2	125	30	12	0	b	3	mu	-
Leo	3	133	20	8	30	b	2	gamma	Algieba
Leo	4	131	20	11	0	b	3	zeta	Adhafera
Leo	5	131	50	4	30	b	3	eta	-
Leo	6	134	0	0	10	b	1	alpha	Regulus
Leo	7	142	30	12	15	b	5	-	-
Leo	8	145	20	13	40	b	2	delta	Zosma
Leo	9	151	30	5	50	b	3	iota	-
Leo	10	152	50	1	15	b	4	sigma	-
Leo	11	158	40	3	0	a	4	upsilon	-
Leo	12	155	40	11	50	b	1	beta	Denebola
Leo	13	145	30	11	30	b	5	-	71Leo
Leo	14	147	30	9	40	b	5	theta	-
Leo	15	128	30	0	0	-	5	phi	-
Leo	16	156	0	30	15	b	neb	-	ComaBer
Leo	17	155	30	25	0	b	obsc	-	ComaBer4
Leo	18	159	40	25	30	b	obsc	-	ComaBer21
Virgo	1	157	30	4	15	b	5	nu	-
Virgo	2	158	10	5	40	b	5	xi	-
Virgo	3	160	10	0	10	b	3	beta	-
Virgo	4	169	25	1	10	b	3	eta	-
Virgo	5	174	20	2	50	b	3	gamma	Porrima
Virgo	6	175	30	8	30	b	3	delta	-
Virgo	7	182	10	1	40	b	4	-	-
Virgo	8	201	10	0	30	b	4	lambda	-
Virgo	9	203	50	9	50	b	4	mu	-
Virgo	10	197	50	7	30	b	4	iota	-
Virgo	11	173	20	15	10	b	3	epsilon	Vindemiatrix
Virgo	12	187	50	2	0	a	1	alpha	Spica
Virgo	13	186	0	8	40	b	3	zeta	-
Libra	1	209	10	2	0	b	2	alpha	Zubenelgenubi
Libra	2	208	10	2	30	b	5	mu	-
Libra	3	213	20	8	20	b	2	beta	Zubeneschamali
Libra	4	215	10	1	40	a	4	iota1	-
Libra	5	212	30	1	15	b	4	nu1	-
Libra	6	219	0	4	45	b	4	gamma	-
Scorpius	1	227	40	1	20	b	3	beta	-
Scorpius	2	226	50	1	40	a	3	delta	-
Scorpius	3	226	50	5	0	a	3	pi	-
Scorpius	4	231	30	3	45	a	3	sigma	-
Scorpius	5	233	50	4	0	a	2	alpha	Antares
Scorpius	6	235	40	5	30	a	3	tau	-
Scorpius	7	239	40	11	0	a	3	-	-
Scorpius	8	240	0	15	0	a	3	mu	-
Scorpius	9	241	10	18	40	a	4	zeta1	-
Scorpius	10	244	20	19	30	a	3	eta	-
Scorpius	11	249	20	18	50	a	3	theta	-
Scorpius	12	251	40	16	40	a	3	iota	-
Scorpius	13	250	10	15	10	a	3	kappa	-
Scorpius	14	248	40	13	20	a	3	lambda	Shaula
Scorpius	15	248	10	13	30	a	4	upsilon	-
Scorpius	16	252	20	13	15	a	neb	-	-
Sagittarius	1	255	40	6	20	a	3	gamma	-
Sagittarius	2	258	50	6	30	a	3	delta	-
Sagittarius	3	259	10	10	50	a	3	epsilon	-
Sagittarius	4	260	10	1	30	a	3	lambda	-
Sagittarius	5	257	50	2	50	b	3	mu	-
Sagittarius	6	266	30	3	10	a	3	sigma	-
Sagittarius	7	264	10	3	45	a	4	phi	-
Sagittarius	8	266	20	0	45	b	neb	-	-
Sagittarius	9	268	50	23	0	a	3	beta	-
Sagittarius	10	268	50	4	30	a	4	tau	-
Sagittarius	11	267	30	6	45	a	3	zeta	-
Sagittarius	12	268	10	18	0	a	3	alpha	-
Sagittarius	13	257	50	13	0	a	3	eta	-
Sagittarius	14	278	30	13	30	a	3	theta	-
Sagittarius	15	277	30	20	10	a	3	iota	-
Sagittarius	16	274	0	6	30	a	1	omega	ucertain-mag
Sagittarius	17	280	0	4	50	a	5	-	-
Capricornus	1	288	30	7	20	b	3	alpha1	-
Capricornus	2	288	50	6	40	b	6	nu	-
Capricornus	3	288	30	5	0	b	3	beta	-
Capricornus	4	288	10	0	45	b	6	omicron	-
Capricornus	5	289	50	1	45	b	6	pi	-
Capricornus	6	290	0	1	30	b	6	rho	-
Capricornus	7	292	0	6	30	a	4	psi	-
Capricornus	8	292	50	8	40	a	4	omega	-
Capricornus	9	301	20	6	50	a	4	zeta	-
Capricornus	10	301	30	6	0	a	5	-	-
Capricornus	11	305	0	2	10	a	3	gamma	-
Capricornus	12	307	30	2	0	a	3	delta	DenebAlgedi
Capricornus	13	309	50	0	0	b	5	mu	-
Capricornus	14	308	50	2	50	b	5	lambda	-
Capricornus	15	309	50	4	20	b	5	c1	-
Capricornus	16	304	30	4	45	a	4	epsilon	-
Capricornus	17	297	50	0	0	b	4	theta	-
Capricornus	18	303	0	0	0	a	5	mu	-
Aquarius	1	311	30	15	45	b	5	d	-
Aquarius	2	317	30	11	0	b	3	alpha	Sadalmelik
Aquarius	3	316	20	9	40	b	5	omicron	-
Aquarius	4	307	40	8	50	b	3	beta	Sadalsuud
Aquarius	5	298	50	5	30	b	3	nu	-
Aquarius	6	297	20	8	0	b	4	mu	-
Aquarius	7	295	50	8	40	b	3	epsilon	-
Aquarius	8	320	40	8	45	b	3	gamma	-
Aquarius	9	322	50	10	45	b	3	pi	-
Aquarius	10	323	10	9	0	b	3	zeta	-
Aquarius	11	324	30	8	30	b	3	eta	-
Aquarius	12	322	50	7	30	a	3	delta	-
Aquarius	13	326	10	2	0	b	4	-	-
Aquarius	14	326	0	0	10	b	4	lambda	-
Aquarius	15	328	50	1	10	a	4	h1	-
Aquarius	16	331	10	0	30	a	4	phi	-
Aquarius	17	331	40	1	40	a	4	chi	-
Aquarius	18	318	10	20	20	a	1	alphaPsA	Fomalhaut
Aquarius	19	330	10	3	30	a	4	psi1	-
Aquarius	20	322	50	7	30	b	3	theta	-
Aquarius	21	319	50	0	50	a	5	sigma	-
Aquarius	22	333	20	14	45	a	5	A2	-
Aquarius	23	323	0	14	45	a	4	c1	-
Aquarius	24	312	50	1	40	a	4	iota	-
Aquarius	25	328	40	15	0	a	4	b2	-
Aquarius	26	319	0	9	0	a	5	theta1	-
Aquarius	27	337	50	15	30	a	4	-	2Ceti
Aquarius	28	340	50	14	40	a	4	-	6Ceti
Aquarius	29	340	10	18	15	a	4	-	7Ceti
Pisces	1	332	50	9	15	b	4	beta	-
Pisces	2	335	20	7	30	b	4	gamma	-
Pisces	3	337	10	9	20	b	4	b	-
Pisces	4	339	20	9	30	b	4	theta	-
Pisces	5	341	50	7	30	b	4	iota	-
Pisces	6	337	10	4	30	b	4	kappa	-
Pisces	7	340	50	3	30	b	4	lambda	-
Pisces	8	347	10	6	20	b	4	omega	-
Pisces	9	352	10	5	45	b	6	d	-
Pisces	10	354	10	3	45	b	6	-	Fl51
Pisces	11	358	20	2	15	b	4	delta	-
Pisces	12	1	40	1	10	b	4	epsilon	-
Pisces	13	4	10	6	0	a	4	zeta	-
Pisces	14	3	30	2	0	a	4	e	-
Pisces	15	4	30	5	0	a	6	f	-
Pisces	16	9	30	4	40	a	4	nu	-
Pisces	17	13	40	8	30	a	3	alpha	Alrescha
Pisces	18	11	40	1	20	b	4	omicron	-
Pisces	19	11	50	5	20	b	3	eta	-
Pisces	20	13	10	21	45	b	5	g	-
Pisces	21	11	40	9	0	b	4	rho	-
Pisces	22	6	50	14	20	b	4	psi1	-
Pisces	23	7	50	13	0	b	4	psi2	-
Pisces	24	8	50	12	0	b	4	psi3	-
Pisces	25	13	20	17	0	b	4	upsilon	-
Pisces	26	11	0	15	20	b	4	phi	-
Pisces	27	11	10	11	45	b	4	chi	-
Pisces	28	342	20	2	40	a	4	-	Fl27
Cetus	1	28	50	7	45	a	4	lambda	-
Cetus	2	28	50	12	20	a	3	alpha	Menkar
Cetus	3	23	50	11	30	a	3	gamma	-
Cetus	4	21	40	14	0	a	3	delta	-
Cetus	5	21	20	8	10	a	4	nu	-
Cetus	6	18	10	27	30	a	3	pi	-
Cetus	7	3	10	25	20	a	3	tau	-
Cetus	8	6	10	20	0	a	3	zeta	-
Cetus	9	0	50	15	20	a	3	theta	-
Cetus	10	356	10	15	40	a	3	eta	-
Cetus	11	350	30	13	0	a	5	iota	-
Cetus	12	345	50	9	40	a	3	t	-
Cetus	13	346	50	20	20	a	3	beta	Diphda
Orion	1	68	10	16	30	a	neb	lambda	-
Orion	2	73	10	17	0	a	1	alpha	Betelgeuse
Orion	3	65	10	17	30	a	2	gamma	Bellatrix
Orion	4	66	10	18	0	a	4	A	-
Orion	5	75	30	14	30	a	4	mu	-
Orion	6	61	40	8	0	a	4	-	Fl15
Orion	7	56	0	15	50	a	3	pi1	-
Orion	8	56	0	17	10	a	3	pi2	-
Orion	9	56	30	20	20	a	3	pi5	-
Orion	10	57	30	21	30	a	3	pi6	-
Orion	11	66	30	24	10	a	2	delta	Mintaka
Orion	12	68	30	24	50	a	2	epsilon	Alnilam
Orion	13	69	20	25	40	a	2	zeta	Alnitak
Orion	14	65	0	25	50	a	3	eta	-
Orion	15	67	40	28	40	a	4	c	-
Orion	16	67	50	29	0	a	3	theta1	-
Orion	17	67	50	29	50	a	3	iota	-
Orion	18	61	0	31	30	a	1	beta	Rigel
Orion	19	62	10	30	15	a	4	tau	-
Orion	20	64	30	31	10	a	4	e	-
Orion	21	71	20	33	30	a	3	kappa	Saiph
Eridanus	1	59	30	31	50	a	4	lambda	-
Eridanus	2	11	20	53	30	a	1	theta	Acamar
Eridanus	3	38	10	32	50	a	3	gamma	-
Eridanus	4	35	20	28	50	a	3	delta	-
Eridanus	5	33	10	28	0	a	3	epsilon	-
Eridanus	6	28	20	25	30	a	3	-	-
Eridanus	7	23	20	23	30	a	3	eta	-
Eridanus	8	16	20	32	10	a	4	tau1	-
Eridanus	9	32	30	41	20	a	4	tau4	-
Eridanus	10	35	50	43	20	a	4	tau5	-
Eridanus	11	39	20	53	50	a	4	upsilon4	-
Eridanus	12	29	0	53	0	a	4	upsilon5	-
Eridanus	13	45	20	53	30	a	4	upsilon2	-
Eridanus	14	46	10	54	45	a	4	upsilon1	-
Lepus	1	60	30	35	0	a	5	iota	-
Lepus	2	62	30	35	40	a	5	nu	-
Lepus	3	61	0	36	30	a	5	-	-
Lepus	4	60	20	39	15	a	4	mu	-
Lepus	5	57	20	45	15	a	4	epsilon	-
Lepus	6	67	0	41	30	a	3	alpha	Arneb
Lepus	7	65	30	44	20	a	3	beta	Nihal
Lepus	8	72	10	44	0	a	4	delta	-
Lepus	9	70	10	45	50	a	4	gamma	-
Lepus	10	71	10	38	20	a	4	zeta	-
Lepus	11	73	50	38	10	a	4	eta	-
CanisMajor	1	90	50	35	0	a	4	theta	-
CanisMajor	2	92	30	36	30	a	5	mu	-
CanisMajor	3	88	50	39	10	a	1	alpha	Sirius
CanisMajor	4	82	10	41	20	a	3	beta	-
CanisMajor	5	97	50	48	45	a	3	delta	-
CanisMajor	6	94	50	51	30	a	3	epsilon	-
CanisMajor	7	80	50	53	45	a	3	zeta	-
CanisMajor	8	103	20	50	40	a	3	eta	-
CanisMajor	9	70	10	59	40	a	2	-	betaColumbae
CanisMajor	10	67	10	57	40	a	2	-	Phact-alphaColumbae
CanisMinor	1	96	10	14	0	a	4	beta	Gomeisa
CanisMinor	2	100	20	16	10	a	1	alpha	Procyon
LACUNA	0	0	0	0	0	-	-	-	MISSING-LEAF-codex-ArgoNavis-Canopus-Hydra-Crater-start-per-Nallino
Crater	1	160	30	13	40	a	4	epsilon	post-lacuna
Crater	2	170	20	16	10	a	4	eta	-
Crater	3	162	50	11	50	a	4	theta	-
Corvus	1	176	30	21	40	a	3	alpha	-
Corvus	2	175	30	19	40	a	3	epsilon	-
Corvus	3	174	40	14	50	a	3	gamma	-
Corvus	4	177	50	12	30	a	3	delta	-
Corvus	5	178	10	11	45	a	4	eta	-
Corvus	6	181	40	18	10	a	3	beta	-
Centaurus	1	201	40	21	40	a	5	g	-
Centaurus	2	201	10	18	50	a	5	h	-
Centaurus	3	200	20	20	30	a	4	i	-
Centaurus	4	201	10	20	0	a	5	k	-
Centaurus	5	197	20	25	40	a	3	iota	-
Centaurus	6	206	50	22	30	a	3	theta	-
Centaurus	7	213	10	18	15	a	4	pi	-
Centaurus	8	204	30	28	20	a	4	tau	-
Centaurus	9	205	10	29	20	a	4	upsilon	-
Centaurus	10	206	20	28	0	a	4	phi	-
Centaurus	11	207	30	26	30	a	4	m	-
Centaurus	12	214	0	25	15	a	3	chi	-
Centaurus	13	209	10	33	30	a	3	lambda	-
Centaurus	14	208	50	31	0	a	5	n	-
Centaurus	15	208	0	30	20	a	5	-	-
Centaurus	16	197	0	40	0	a	3	mu	-
Centaurus	17	193	50	46	10	a	3	beta	Hadar
Centaurus	18	207	30	43	0	a	2	-	-
Centaurus	19	208	50	43	45	a	3	-	-
Centaurus	20	201	10	51	10	a	2	nu	-
Centaurus	21	202	20	55	20	a	2	zeta	-
Centaurus	22	199	30	41	10	a	1	alpha	RigilKentaurus
Centaurus	23	215	20	45	20	a	2	gamma	-
Centaurus	24	206	30	51	40	a	2	xi	-
Centaurus	25	205	50	49	10	a	4	epsilon	-
Centaurus	26	197	30	55	10	a	4	f	-
Lupus	1	219	10	24	50	a	3	omicron	-
Lupus	2	217	0	29	10	a	3	alpha	-
Lupus	3	214	10	29	20	a	4	chi	-
Lupus	4	218	20	11	30	a	4	epsilon	-
Lupus	5	230	30	15	20	a	4	mu	-
Lupus	6	217	40	10	0	a	4	delta	-
Ara	1	248	50	22	40	a	5	gamma	-
Ara	2	247	20	26	30	a	4	alpha	-
Ara	3	246	20	34	10	a	4	zeta	-
Ara	4	242	0	34	0	a	4	-	-
Ara	5	254	10	25	45	a	4	-	-
CoronaAustralis	1	260	20	21	30	a	4	alpha	-
CoronaAustralis	2	266	0	20	0	a	4	beta	-
CoronaAustralis	3	267	20	18	30	a	5	eta	-
CoronaAustralis	4	268	10	17	10	a	2	theta	-
CoronaAustralis	5	268	0	16	0	a	4	gamma	-
CoronaAustralis	6	265	50	14	50	a	6	-	-
CoronaAustralis	7	263	0	14	40	a	5	iota	-
CoronaAustralis	8	260	50	15	50	a	5	chi	-
CoronaAustralis	9	260	30	18	30	a	5	lambda	-
PiscisAustralis	1	318	10	20	20	a	1	alpha	Fomalhaut-xref-Aquarius18
PiscisAustralis	2	311	50	20	20	a	4	beta	-
PiscisAustralis	3	315	20	22	15	a	4	gamma	-
PiscisAustralis	4	316	30	22	30	a	4	delta	-
PiscisAustralis	5	315	30	16	15	a	4	epsilon	-
PiscisAustralis	6	306	20	19	30	a	5	mu	-
PiscisAustralis	7	312	20	15	10	a	5	zeta	-
PiscisAustralis	8	310	0	14	40	a	4	lambda	-
PiscisAustralis	9	306	20	15	0	a	4	eta	-
PiscisAustralis	10	303	0	16	30	a	4	theta	-
PiscisAustralis	11	302	10	18	10	a	4	iota	-
PiscisAustralis	12	301	20	22	15	a	4	kappa	-
