correction_id,source_tex,source_line,authority_physical_page,printed_page,diplomatic_reading,corrected_reading,status,evidence_note
FAC-FR-C0011,fac_body.tex,933,25,220,"K_h = \sum_{q \geqq h} K^{p,q}","K_h = \sum_{p \geqq 0, q \geqq h} K^{p,q}",applied_to_corrected_french_and_english,"The printed definition leaves p free even though K_h is a subgroup of the whole double complex. The next sentence identifies K_h/K_{h+1} with the full row \sum_{p=0}^\infty K^{p,h}; therefore K_h must sum over every p>=0 and q>=h. Authority p.220 confirms the incomplete sum is printed."
FAC-FR-C0012,fac_body.tex,935,25,220,"H^n(K_h/K_{h+1}) = H_I^{h,n-h}(K)","H^n(K_h/K_{h+1}) = H_I^{n-h,h}(K)",applied_to_corrected_french_and_english,"The quotient is the q=h row with coboundary d-prime. In total degree n its horizontal degree is p=n-h, so its cohomology is H_I^{n-h,h}, not H_I^{h,n-h}. Authority p.220 confirms the transposed indices are printed."
FAC-FR-C0013,fac_body.tex,964,25,220,"U_{i_0 \ldots i_k \ldots i_{p+1}} \cap V_{j_0 \ldots j_q}","U_{i_0 \ldots \hat{i}_k \ldots i_{p+1}} \cap V_{j_0 \ldots j_q}",applied_to_corrected_french_and_english,"The restriction map rho_k applies a section indexed with i_k omitted to the full intersection. Its defining inclusion must therefore have the larger target intersection with i_k omitted. The native 600-dpi authority image clearly has no hat in this prose display although the immediately preceding cochain formula does; diplomatic French preserves the printed omission."
FAC-FR-C0014,fac_body.tex,1029,26,221,coincide,coïncide,applied_to_corrected_french,"Printed French omits the required diaeresis in coïncide. The inherited transcription explicitly identifies this printed defect. Corrected French restores standard spelling; diplomatic French preserves print; English is naturally 'coincides'."
FAC-FR-C0015,fac_body.tex,1029,26,221,"\iota' \circ \iota''^{-1}: H^n(\mathfrak{U},\mathfrak{F}) \to H^n(\mathfrak{V},\mathfrak{F})","\iota''^{-1} \circ \iota': H^n(\mathfrak{U},\mathfrak{F}) \to H^n(\mathfrak{V},\mathfrak{F})",applied_to_corrected_french_and_english,"Under the standard right-to-left composition convention used elsewhere in the article, iota-prime maps H(U) to the double-complex cohomology and inverse iota-double-prime maps that group to H(V). The printed order is not type-correct for the displayed domain and codomain; the proof compares iota-prime(f) with iota-double-prime(tau f)."
FAC-FR-C0016,fac_body.tex,1062,27,222,"f_{i_0 \ldots i_p \tau j_0 \ldots \tau j_{n-p}}","f_{i_0 \ldots i_p \tau j_0 \ldots \tau j_{n-p-1}}",applied_to_corrected_french_and_english,"The left side g^p has j_0 through j_{n-p-1}, and the immediately following inclusion uses exactly that same terminal j-index. The printed right side introduces an undefined extra j_{n-p}; removing it also gives the required n+1 indices of the n-cochain f."
FAC-FR-C0017,fac_body.tex,1080,27,222,"\iota': H^n(\mathfrak{V},\mathfrak{F}) \to H^n(\mathfrak{U},\mathfrak{V};\mathfrak{F})","\iota': H^n(\mathfrak{U},\mathfrak{F}) \to H^n(\mathfrak{U},\mathfrak{V};\mathfrak{F})",applied_to_corrected_french_and_english,"Iota-prime was defined in no.28 on C(U,F), and applying Proposition 3 with U and V interchanged makes it the map from H(U), not a second map from H(V). This is also required for Proposition 4 to yield sigma(V,U). Authority p.222 confirms V is printed."
FAC-FR-C0018,fac_body.tex,1125,28,223,"toute variété algébrique, muni de la topologie de Zariski","toute variété algébrique, munie de la topologie de Zariski",applied_to_corrected_french,"The adjective modifying the feminine noun variété requires feminine agreement. Direct 1100-dpi authority inspection confirms that the masculine form muni is printed. Corrected French restores the agreement; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0019,fac_body.tex,1165,29,224,"est un' anneau","est un anneau",applied_to_corrected_french,"The printed apostrophe after the masculine article un has no grammatical function and is authority-confirmed. Corrected French removes it; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0020,fac_body.tex,1174,30,225,"R = P \cdot P_1/Q \cdot P_1","R = (P \cdot P_1)/(Q \cdot P_1)",applied_to_corrected_french_and_english,"The proof multiplies numerator and denominator of P/Q by P_1 so that the numerator lies in I(F) while the denominator remains nonzero at x. Without grouping, ordinary precedence reads the printed expression as an extra multiplication by P_1. Corrected French and English make the intended equal fraction explicit; diplomatic French preserves print."
FAC-FR-C0021,fac_body.tex,1172,30,225,polynomes,polynômes,applied_to_corrected_french,"Direct 1100-dpi authority inspection confirms that the circumflex is absent in this occurrence although the same page prints polynômes elsewhere. Corrected French restores standard spelling; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0022,fac_body.tex,1190,30,225,"pous touti","pour tout i",applied_to_corrected_french_and_english,"The printed phrase has two adjacent typographical errors and is authority-confirmed. The quantified coordinate index is i, as stated in Proposition 5 immediately above. Corrected French restores pour tout i; diplomatic French preserves print; English translates the intended quantifier."
FAC-FR-C0023,fac_body.tex,1238,32,227,coincident,coïncident,applied_to_corrected_french,"Direct 1100-dpi authority inspection confirms that the diaeresis is absent in the printed verb. Corrected French restores standard spelling; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0024,fac_body.tex,1256,32,227,reconnait,reconnaît,applied_to_corrected_french,"Direct 1100-dpi authority inspection confirms that the circumflex is absent in the printed verb. Corrected French restores standard spelling; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0025,fac_body.tex,1298,34,229,"tout point de x","tout point x",applied_to_corrected_french_and_english,"The printed phrase is grammatically malformed: x is the bound point, not a space of which a point is taken. Corrected French removes the stray de; diplomatic French preserves print; English states the intended every point x."
FAC-FR-C0026,fac_body.tex,1306,34,229,"coincident (four occurrences)","coïncident (four occurrences)",applied_to_corrected_french,"Direct 1100-dpi authority inspection confirms four printed occurrences without the diaeresis. Corrected French restores standard spelling in all four; diplomatic French preserves print; English is naturally grammatical."
FAC-FR-C0027,fac_body.tex,1327,35,230,"La relation [formula] au voisinage de y'' without an opening quotation mark","La relation ``[formula] au voisinage de y'' with paired quotation marks",applied_to_corrected_french_and_english,"Direct 1100-dpi inspection confirms that the first quoted relation has only a closing quotation mark, while the parallel second relation is paired. Corrected French restores the missing opening quotation; diplomatic French preserves print; English uses balanced quotation marks."
