self_correction_id,discovered_at_checkpoint,affected_unit,affected_file,affected_locator,error_class,original_form,corrected_form,occurrence_count,detection_channel,propagation_scope,propagation_check,status,superseded_artifact
FAC-SELF-0011,I_4_27_r1,NA,"english_source_first_workpass/build_checkpoint_I_4_27_r1; french_source_corrected_workpass/build_checkpoint_C0012_T0019_r1",build_invocation,build_engine_selection,"initial no.27 builds invoked XeLaTeX instead of the pdfLaTeX engine used by every admitted FAC checkpoint","rebuilt both English and corrected French with the established pdfLaTeX engine",0,"French hard failure at DeclareUnicodeCharacter plus lead comparison with the prior English console header","English and corrected-French build procedure only","French XeLaTeX produced no PDF; English XeLaTeX produced an unadmitted 21-page reader with materially different font embedding; neither changed source bytes; admitted successors use pdfLaTeX and are compared to the prior checkpoint envelope",operationally_corrected_before_admission,"english_source_first_workpass/build_checkpoint_I_4_27_r1 and r2; french_source_corrected_workpass/build_checkpoint_C0012_T0019_r1 XeLaTeX console files"
FAC-SELF-0012,I_4_27_r1,FAC-FR-C0011,french_source_corrected_workpass/source/fac_body.tex,line933,correct_but_layout_disruptive_tex,"two-line substack for p>=0 and q>=h produced a 64-page corrected reader","single-line substack preserves both constraints while avoiding gratuitous pagination drift",0,lead_build_page_count_comparison,"corrected French C0011 formula and matching English rendering","the first mathematically correct build was preserved as adverse r1; r2 must recover the established page envelope and be visually checked before admission",corrected_before_checkpoint_admission,french_source_corrected_workpass/build_checkpoint_C0012_T0019_r1
FAC-SELF-0013,I_4_27_r3,NA,english_source_first_workpass/build_checkpoint_I_4_27_r3,PowerShell_argument_vector,PowerShell_automatic_variable_collision,"used the reserved automatic variable $args for the pdfLaTeX argument list","used the task-specific variable $texArgs and rebuilt copy-on-write as r4",0,missing_command_line_filename_in_console,"English build invocation only","r3 console ended at TeX's interactive filename prompt and produced no PDF or source change; r4 received the explicit master filename and completed three passes",operationally_corrected_before_admission,english_source_first_workpass/build_checkpoint_I_4_27_r3
FAC-SELF-0014,I_4_27_r4,"FAC-SELF-0011;FAC-SELF-0013",controls/EDITORIAL_SELF_CORRECTION_LEDGER.csv,"data rows 11 and 13",machine_ledger_rectangularity,"two provisional self-correction rows had 13 fields because affected_locator was omitted","inserted explicit affected_locator fields and revalidated the complete ledger as rectangular",0,lead_TextFieldParser_validation,"all current and future self-correction ledger rows","parser must report 14 fields for every row; unique stable IDs and formula safety are rechecked; checkpoint manifest is regenerated after the repair",corrected_before_checkpoint_admission,controls/CHECKPOINT_IDENTITIES.csv provisional SHA 5C02AB1A42B0482E136F5D2EFF0D6776E98DBD21ADD92C55B00391959FE6C735
FAC-SELF-0015,I_4_29_r1,FAC-FR-C0015,french_source_corrected_workpass/source/fac_body.tex,line1029,local_editorial_typo,"l'homomisme","l'homomorphisme",1,post_patch_live_line_review,"corrected French line1029 and global corrected-layer search","global fixed-string search finds zero occurrences of l'homomisme; the diplomatic source remains unchanged",corrected_before_checkpoint_admission,none_no_build_created
FAC-SELF-0016,II_1_32_r1,NA,english_source_first_workpass/build_checkpoint_II_1_32_r1/render_affected_600dpi,render_invocation,invalid_Poppler_option,"pdftoppm -singlefile:$false","reran pdftoppm without -singlefile for the two-page English render and with plain -singlefile for the one-page French render",0,lead_command_failure_review,"render command only; TeX sources and PDFs were unchanged","first invocation exited nonzero before generating an English render; corrected invocation generated pages 27--28 and French page 22 and all were personally reviewed",operationally_corrected_before_admission,none_no_artifact_admitted_from_failed_invocation
FAC-SELF-0017,II_1_35_r1,FAC-FR-T0021,"french_source_diplomatic_canon/source/fac_body.tex; french_source_corrected_workpass/source/fac_body.tex",line1278,patch_context_mismatch,"first apply_patch hunk matched only the opening clause of a 1457-character live line","reapplied against the complete live line in both French layers",0,apply_patch_fail_closed_output,"French line1278 only; English component and all other files remained unchanged by the failed atomic patch","failed patch changed zero files; complete-line successor restored both source-visible primes and was reviewed before build",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0018,II_1_35_manifest_r1,NA,controls/CHECKPOINT_IDENTITIES.csv,post_generation_verification_path,verification_path_error,"queried CHECKPOINT_IDENTITIES.csv at the FAC root after the generator wrote its documented default under controls","queried controls/CHECKPOINT_IDENTITIES.csv and verified the generated 56-row manifest",0,lead_command_failure_review,"verification command only; the generator had succeeded and no manuscript or generated manifest bytes were altered by the failed query","controls/CHECKPOINT_IDENTITIES.csv exists with 56 rows; the root-level path does not exist; subsequent replay uses the controls path",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0019,II_1_35_validation_r1,NA,english_source_first_workpass/build_checkpoint_II_1_35_r1/Serre_FAC_English_source_aligned_workpass.pdf,combined_validation_command,pdfinfo_long_path_failure,"Poppler pdfinfo could not open the long <REDACTED_USER_HOME> path during the combined validation command","replayed pdfinfo through the existing F: subst mapping to the same byte-identical PDF",0,lead_command_failure_review,"page-count query only; the English PDF and all source files remained unchanged","F: resolves to the exact FAC root; pdfinfo reports 31 pages for the same 520317-byte PDF SHA 4A0A4F1A...B8E3",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0020,II_1_35_validation_r1,FAC-SELF-0019,controls/EDITORIAL_SELF_CORRECTION_LEDGER.csv,FAC-SELF-0019_provisional_row,machine_ledger_rectangularity,"the provisional FAC-SELF-0019 row omitted affected_locator and shifted its final fields left","inserted combined_validation_command as affected_locator and replayed the full ledger schema",0,lead_ImportCsv_semantic_validation,"FAC-SELF-0019 row only; no manuscript or PDF was affected","all 20 data rows now expose 14 named fields; occurrence_count is numeric for every row; stable IDs remain unique",corrected_before_checkpoint_admission,provisional_FAC_SELF_0019_row
FAC-SELF-0021,II_1_36_r1,NA,lead_validation_command,PowerShell_parser,empty_pipe_parser_error,"piped directly from a foreach statement terminator into Format-List","accumulated objects in arrays and piped the completed arrays to Format-List",0,lead_command_failure_review,"diagnostic query only; all TeX sources and three built PDFs were unchanged","corrected query returned exact page/hash/build diagnostics for English and both French layers",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0022,II_1_36_r1,NA,lead_source_inspection_command,component_lines_58_68,powershell_variable_interpolation_parser_error,"used an interpolated string beginning $i: so PowerShell parsed the colon as an invalid variable suffix","used the format operator with explicit numeric placeholders",0,lead_command_failure_review,"source-line display command only; component and all builds remained unchanged","corrected command displayed lines 58--68 and confirmed the single no.36 sup_i source occurrence",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0023,II_1_36_r1,NA,lead_identity_query,foreach_pipeline,powershell_empty_pipe_parser_error_recurrence,"piped directly from a foreach statement terminator into ConvertTo-Json","accumulated identity objects in an array before ConvertTo-Json",0,lead_command_failure_review,"hash query only; all source and build bytes remained unchanged","corrected query returned six exact file identities including both 1100-dpi authority pages",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0024,II_2_37_written_r1,FAC-FR-T0023,controls/FRENCH_TRANSCRIPTION_REPAIRS.csv,FAC-FR-T0023_inherited_tex,machine_ledger_exactness,"the provisional evidence string encoded two literal backslashes beforemathrm","reduced it to the single TeX backslash present in the inherited source",0,lead_live_ledger_review,"FAC-FR-T0023 evidence row only; French and English TeX were already correct","raw CSV now records the exact inherited token J_x(backslashmathrm{V}); schema replay follows before admission",corrected_before_checkpoint_admission,provisional_FAC_FR_T0023_evidence_string
FAC-SELF-0025,II_2_38_validation_r1,NA,lead_checkpoint_inspection_command,controls_FAC_PROGRESS_csv,verification_path_error,"queried a nonexistent controls/FAC_PROGRESS.csv while inspecting the checkpoint","queried the actual controls/TRANSLATION_PROGRESS.csv and continued from its live rows",0,lead_command_failure_review,"diagnostic query only; no source PDF or ledger bytes were changed by the failed read","the corrected query returned U0035 and U0036 with their exact fields; this append-only row records the harmless failed lookup",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0026,II_2_38_validation_r1,FAC-EN-N0037,controls/generate_english_normalization_occurrences.ps1,N0037_regex,machine_ledger_coverage,"used sheaves? which matches sheave or sheaves but not the singular spelling sheaf","changed the pattern to shea(?:f|ves) and regenerated the occurrence ledger",4,lead_zero_count_review,"normalization occurrence ledger and generator only; English and French TeX and all PDFs were already correct","replay now binds all four source-visible sheaf of finite type occurrences in U0035 under N0037; unique stable IDs and schema are revalidated",corrected_before_checkpoint_admission,provisional_1488_row_normalization_ledger
FAC-SELF-0027,II_2_38_validation_r1,FAC-SELF-0026,controls/EDITORIAL_SELF_CORRECTION_LEDGER.csv,FAC-SELF-0026_provisional_count,machine_ledger_exactness,"initially described the repaired N0037 coverage as three occurrences before replay","updated the row to the replay-established four occurrences and recorded this append-only correction",0,lead_generator_replay_review,"FAC-SELF-0026 evidence row only; generator English and French TeX and all PDFs were already correct","the final 1492-row normalization ledger contains exactly four N0037 rows all in U0035 and the self-correction row now agrees",corrected_before_checkpoint_admission,provisional_FAC_SELF_0026_count
FAC-SELF-0028,II_2_39_written_r1,NA,lead_terminology_search_command,components_015_filename,verification_path_error,"queried nonexistent component filename 015_I_2_17_extension_by_zero.tex together with a valid no.26 component","resolved the actual filename 015_I_2_17_extension_and_restriction.tex and replayed the terminology search",0,lead_command_failure_review,"read-only terminology query; no source ledger or PDF bytes changed","the corrected search confirmed the established phrase extending by zero in U0015 and U0024 before U0037 used it",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0029,II_3_43_r2,NA,component041_proposition5_display,"two sum symbols provisionally carried an explicit lower x index",source_notation_fidelity,"the first no.43 build added a summation subscript absent from the printed formula","restored Serre's unindexed sum symbols while retaining the indexed factors R_x Q_x and R_x P_x",2,lead_1100dpi_authority_and_600dpi_render_review,"English component 041 only; both French layers already matched the printed unindexed sums","r2 is rebuilt and the affected English page is rechecked; r1 remains rejected history",corrected_before_checkpoint_admission,build_checkpoint_II_3_43_r1
FAC-SELF-0030,II_3_43_french_render_locator_r1,FAC-FR-T0024,lead_pdf_text_locator_command,poppler_runtime_pdftotext_path,verification_path_error,"queried a pdftotext executable name not present in the bundled Poppler bin","resolved the installed MiKTeX pdftotext executable and reran the read-only page-location search",0,lead_command_failure_review,"diagnostic page-location query only; no TeX PDF or ledger bytes changed","corrected locator command identifies the French reader page before bounded rendering",operationally_corrected_before_admission,none_no_artifact_created
FAC-SELF-0031,II_3_43_validation_r1,FAC-EN-N0048,controls/generate_english_normalization_occurrences.ps1,N0048_regex,machine_ledger_coverage,"the provisional regex escaped the literal parentheses as though a backslash preceded them and returned zero rows","corrected the regex to match literal parentheses around U times V and regenerated the occurrence ledger",2,lead_zero_count_and_exact_source_review,"normalization generator and occurrence ledger only; English and French TeX and PDFs were already correct","replay binds both N0048 occurrences in component 040 with unique stable IDs",corrected_before_checkpoint_admission,provisional_1664_row_normalization_ledger
