unit_id,source_start_line,source_end_line,source_chars,source_sha256,target_start_line,target_end_line,target_chars,target_sha256,status,review_evidence,notes
BOOK_S03,21099,21116,1426,9D7E0692722A3C86C224ABA3F486F10586059EADB62DD25263CCC512368ED72F,19738,19755,1338,1D56E46A5E2105009A762F8F66856DECA3BC4F7C2AF2FE92FDD006A75A5705E5,pending-source-reconciliation,,
BOOK_S04,21117,21259,7171,7D170972E675BDA90D9FFE5BD14EEA8CB4A45384BB27624AAEA3E75774B65E9F,19756,19910,6491,C35728837EFE18123C3224AD91A2569191634B80842C63ABBD5C5D6BC86EE563,pending-source-reconciliation,,
BOOK_S05,21260,21290,1683,9B15D32A1EAAC8559A1C2D077821BCFAEEFD5F289EEA74311DC3242A44E3CA12,19911,19945,1608,120931F380D76A7ED5FE6728BF3591EA92487C9387E375AA06D9451BA3F67F2A,pending-source-reconciliation,,
BOOK_S06,21291,21308,2228,9EF0D3E1622FF6557C044C0A4C5DDC9EAC099EC276993FC182F566E3C9C8D0FD,19946,19969,2069,28E0401363CCE079D0E18131853FBFA5F800DE4523E3C504C6EF743D27641E22,pending-source-reconciliation,,
BOOK_S07,21309,21320,1639,4603A4471E23543D64144118C8372A6BBCFDF381947634A7E8E19BAF0F7C7008,19970,19981,1543,66406ED2FE221AA522047590BC23EFB90CFFA88F4EFA42918A4A28DCEE9254FB,pending-source-reconciliation,,
BOOK_S08,21321,21326,949,B4DAFAEC7F654C8D0F9B1FCACBBEA48943BF1288F517E443190AB32F7DB1821E,19982,19993,960,FCBD314A1E18803FE1F2295C48308B34F9BA2B9063C5BA605F87BB7F05E48106,pending-source-reconciliation,,
BOOK_S09,21327,21330,585,F211164EECD2A61F4C92FD0FE2B6C74D8C750A17D358D73E7C9924F9A0C7E683,19994,20003,519,7CA99676680FDA3E199630D48CBD0DB9F6B55D968AB10C2188DF88D0C71560A8,pending-source-reconciliation,,
BOOK_S10,21331,21334,603,CFB51D0781491EFB0C7D02C6F8DC4197292F337DDF76D57B3A9DB8A0E78EB00D,20004,20007,557,73451903CB39634002AD39E51D19712EC4B86BE458F7B8F1F6325CABB611B428,pending-source-reconciliation,,
BOOK_S11,21335,21437,6839,2C2495D9984090E992033A5F3BF73ACD4DD376D556EE599F06790AB424B110A7,20008,20145,6338,00FE77C73FF03836894D09D1534C371448DC1FE87011AD50954452CAD04B706B,pending-source-reconciliation,,
BOOK_S12,21438,21487,1710,0DE90FA0B01B8173AB1FCFFB4992CD1ADFB70EA53B1E556AA65B485BE8672251,20146,20205,1461,D5198828E3B2DC4D404BC759C219DE1C8FED88758A2A12F312D99ECAF00C6004,pending-source-reconciliation,,
BOOK_S13,21488,21545,3403,71BDCA7347EC8DD465D8F776DB8A9EF5EBE0AA208FC62F4174928C7B3ABE96CB,20206,20293,3505,106883759C21B5D7991A0037DB3E04796E7FACAF71E703F7B8B20A7AD5BFE08B,pending-source-reconciliation,,
BOOK_S14,21546,21591,1889,D3C277C5446D4E9D00767A54B5AF30E3E9BCC61EFAAB03DF84D82FB1BF262F3F,20294,20340,1929,020B3B38251C6FA94AF20E528E41B99A1320F7CBEDE6DD3BE951CCC1DBD6D94E,pending-source-reconciliation,,
BOOK_S15,21592,21639,3587,A43E44A38C07A4AE8130BDD20BD2934F1767E207A7400C448D20A6B51F1E7D12,20341,20385,3774,4A378E97564BDC89F5B74E210AB449F306F6A910C2CEB94574B006FC9F30337F,pending-source-reconciliation,,
BOOK_S16,21640,21667,774,10DBC2FFCE7020D4C1805EC3C5DA0B2A70155F8C57A8B0768CD9F4DDC7529EA9,20386,20413,837,1BF214B2C515357219F8CCEC2051C8A4DA64D3C83877B7AD8B38EEDAD701E0FC,pending-source-reconciliation,,
BOOK_S17,21668,21791,7542,5BD5FB78048B1AED062F963670A517A4556FD4AFD7B8AC456DCA661584A92376,20414,20534,7724,E8831E330CD0BBF9FB9B0C43C179E346C172909D36D3236C4C6B0C6BE514C61B,pending-source-reconciliation,,
BOOK_S18,21792,21938,5519,D84013CB2CFB8C505455DE434FDCBD3E9FAD110766543A7AFE55A101A6165BE5,20535,20681,5641,F37BB059535A046C9554EAB2F091E6867C9EA014ED1D4784E567A4FFE8E25E89,pending-source-reconciliation,,
BOOK_S19,21939,22088,9308,E29BEAAA55BAF4DA1A6B16EAAE791AB44F744656D2D86B9DE3512A3EB445A8CE,20682,20834,9643,D4E782262508EFFCC56667A7CB42992547DB10CC68A68C3A3C6DFBB0CC39B559,pending-source-reconciliation,,
BOOK_S20,22089,22257,13864,B0DB55CA81697C209F4631AC537622ACF5AB1BDEE408EF57F377C2A2F6E4CBEB,20835,20999,14370,9B12F88A2E6434E147E13450F814750F23434036899FF4BCDB7F6D862B3C233A,pending-source-reconciliation,,
BOOK_S21,22258,22344,7333,F130F0C08A28BE43B0A2885515825A3C5BD4476E620B6ED7019B68F2D0AC9539,21000,21085,7537,E2F9F4441029D568DAC0AD45D496D3F1252C7CD1955DD5BDBC631EE0EBC0D951,pending-source-reconciliation,,
BOOK_S22,22345,22440,8558,556F948EB263FCCE813C07BE9033A44A4A9D1C43DB6F59996A43B296612000BC,21086,21181,8731,FC787EADA031644A79CCC4822B1D17D78764A027732591339DDF6F6EFB9217BF,pending-source-reconciliation,,
BOOK_S23,22441,22565,7545,35EC00DA46188CCDFDF2646030A79E3E39AC92413EE9E07663556665A0A865C8,21182,21323,7629,13A5EFCFDF17AB97AC2FC4FFB7A09272224FEF5C1478C09FB886576D7325327B,pending-source-reconciliation,,
BOOK_S24,22566,22970,20896,13A5408BAD97FD7AC60E42D77E6C3AD70B32EC82BBF12EEDC43A01BFAA3E50F3,21324,21725,21848,D614EBE4E740A960E925A70F77E804FBC2D02BEA887CB11685F395D561437486,pending-source-reconciliation,,
BOOK_S25,22971,23264,11972,E89812D3C4C86754AC36ECBF40AAC74DAB5FDBB2E0FE3253368AF7C478741CA0,21726,22015,12351,7C6B8E8D3E21A2A9245210B75DC9C8EB127E3510DBF49893EFA42B6B0DE3E30F,pending-source-reconciliation,,
BOOK_S26,23265,23321,3719,6B35E8374D82B5C692C6234EC2295C01F4F48D8E21ED9E6719A1D6525420E707,22016,22071,3714,9ED2D8E46D3703C079642165CDFE18CD18267929E0798B54654F8E119A414D33,pending-source-reconciliation,,
BOOK_S27,23322,23450,10631,9390A2C8839C108DC21CF609E18677F33699D035BB2A16E8922F6B9464A01A96,22072,22232,9647,526A239F2233908FCE84EB2CBBDECE4FD0BD78BB195F5E683A772788F01F0818,pending-source-reconciliation,,
BOOK_S28,23451,23581,9796,A9804EC69C6E35876A45CB8C75DA6E3C8B6DAC88CD0683FAE72F7182DF885829,22233,22364,10421,DABCD2125EBAF3060FF17E163A1935D8916461D3091731B6FD7938F54A7EB4A6,pending-source-reconciliation,,
BOOK_S29,23582,23601,1900,A653534FDDBDEBB94911985A2ECB4D79B2242200540FFBAE68C69FFDF16DC87E,22365,22391,1741,C7FDD553FD50BC29BA3BF280B2657878B3EF49FFAFD8E600154C74DAB402CB11,pending-source-reconciliation,,
BOOK_S30,23602,23678,5204,6352ECE8FD10572F0083B99859C20DEFB98538DB168AD446201F6645F4C10C7A,22392,22476,4642,71D86F797FA7742338F346D1669CF5CC6211C378FF2FBE414219B5430E42B6CE,pending-source-reconciliation,,
BOOK_S31,23679,23717,4812,4D6913368CBD9D66901E8D514F1DD842828CF37DAD4AF0AE22DCA9D8F1F72918,22477,22522,4301,E2665A57E8FB784D61754D88575E3B5B09597EB41FFCCEFFB19CDE2B39501DFA,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
POST45_MAIN,23718,23863,15514,784590D8AB44C470FDB056E8A6769E18C3F17DB84F2DC2D7F435444BDA5E9CCE,22523,22674,13706,5C9882E7E055F1F81DF1F281A31C319A55A39AC8ACB9534678318857C1CDE7C9,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
POST45_NOETHER_SUPPLEMENT,23864,23964,7766,F64112482ED5301CCBF5D8E832C980396ABF17BB886CBD6CA496F1B939727AD6,22675,22767,7469,FC76AF4212F0DB58C199E5F762ECE51804A107F4BA373980D2B21E0B03B31CBB,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
BIBLIOGRAPHY,23965,24064,5306,9D63E852164A03DAD0D50913665E05A6CFCFD59259A8843767533ED1B26B915A,22768,22822,5632,DBF358935F70251005320601D5804716C8103F4998608CFB83AB95F8830E89F0,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
SHORT_NOTICES,24065,24090,1344,CBA5342CC0699E26CC79957E2091DE684E3FE2701F8F128B81D59F7822AC019F,22823,22841,1410,3FF8E2662A0AD67A4C41090563972CA02D812E101FB69ABC45A6289B8B0D1BFC,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
BOOK_REVIEWS,24091,24110,1004,11F7018D06B422AA0F265B39835C03BE817C4EFD4863D5308156018C8C0528BD,22842,22851,984,125F22CF971A4E399C080C8453978E42FFC291B6056B70C00C7B5FF9BD6B0DED,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
BOOKS_WITH_NOETHER,24111,24123,531,D0B29C72144552AAC8CC479D2B1B85B03707CC0915E576983D32C0BA45FA484A,22852,22859,561,499F7A1B902A0877C88124D88C50B41420DA5215925BD9F9A215695763D1F428,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
