unit_id,target_start_line,target_end_line,target_chars,target_utf8_bytes,target_sha256,target_root_tex,start_excerpt
P18,10206,10240,2526,2555,B17397ED4D8A0822023464310268A6317195B35A61FDAA67F0132C1CEF1D88F5,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,% Paper 18: la contribución visible en la fuente comienza con la sesión del congreso.
P19,10241,11377,125531,127078,50DD54B17BB7CA5C473506EDDB3A4549ACD19D3F034EA35DD1FFE4C0932D3F0E,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 19. Teoría de ideales en dominios de anillos.}\par
P20,11378,11601,20991,21211,1D9128847F4F54E0621729A5EE9E27DC11E7197D516306EFC19B1BD98BCAFE9F,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{20. Un criterio algebraico para la irreducibilidad absoluta}
P21,11602,11730,10125,10251,9F6C35AC1FDD5D0CBB9B599B1509EF6E822A91C6405E3F569E31402B9A5423BC,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{21. Cálculo variacional formal e invariantes diferenciales}
P22,11731,12532,79267,80068,1EF6DA41F74F15BA8907E60FB7DC5D68758B07C5A2990161D43C33FF9E110D85,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{22. Reelaboración de un trabajo de K. Hentzelt:\\ sobre la teoría de los ideales de polinomios y las resultantes}
P23,12533,12707,22154,22440,75C8A994996BB75BA718BBD0060BDD438B12EA37E3F2EDABB8CBA2D97F453F42,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{23. Invariantes algebraicos y diferenciales}
P24,12708,13227,99713,100863,9C4A26D30014F97A10EF52A376663D1A6AC92924B3283BCD3F96E3B2BAE5BEE7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{24. Teoría de la eliminación y teoría general de ideales}
P25,13228,13278,13345,13524,0DD207775902585752B6DAD7E90E6E5375373D82455DA81887B3E0A2F198DA2E,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{25. Teoría de la eliminación y teoría de ideales}
P26,13279,13290,1080,1099,64F979A682EB7CDB75D3437969C9F6A83A899869BEBD273E62166EEA7B937A4C,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{26. Construcción abstracta de la teoría de ideales en el cuerpo algebraico de números}
P27,13291,13298,1743,1781,656BBC1DDA820C2A3189064E6E981719B597B1E63ED135B6930A150BB3F288F7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{27. Números hilbertianos en la teoría de ideales}
P28,13299,13312,1463,1482,2F7763144EE81636D076A0E045490CCDAC4AF295D02066ABE08EA7EF6EA4B3D9,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{28. Caracteres de grupos y teoría de ideales}
P29,13313,13409,20725,20931,C190704C79D7075B771B8DC51BCDF854CC27A3D727904E01BCD43CECD52095A0,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{29. El teorema de finitud de los invariantes de grupos lineales finitos de característica $p$}
P30,13410,14216,104349,105824,544F7026A19E1A573F4E9CDB24D79E4C09B7E96B192D8111EAB0D67D8A777761,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{30. Construcción abstracta de la teoría de ideales en cuerpos algebraicos de números y de funciones}
P31,14217,14669,67160,67795,375EA4974046729EF3DBC033ED3A62A68479AE3E730F660CCC7983C753E53176,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{31. El teorema del discriminante para los órdenes de un cuerpo algebraico de números o de funciones}
P32,14670,14814,22395,22691,250F0F1CD1C7B3C2515C47C8824B26DEF9BE9CEE3B0F44C84D7165C8E9D2B2C5,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{32. En colaboración con R. Brauer: Sobre los cuerpos de descomposición minimales de representaciones irreducibles}
P33,14815,14857,8096,8214,B517B6A9C887ADB15E865B68DF56E2620335CB9308BBC99435E2E1B365CFA9D2,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{33. Magnitudes hipercomplejas y teoría de representaciones en formulación aritmética}
P34,14858,16798,125927,127302,8E740DFA124599050349FAED93727912615C8CD951C6C2BD0F4CE31F1D57846A,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{34. Magnitudes hipercomplejas y teoría de representaciones}
P35,16799,16982,30396,30688,73BF28FB37D2792413FEFA9127FD3C22F32D01E906A77AE96879BAA25AAD7D9A,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{35. Sobre dominios maximales de funciones de coeficientes enteros}
P36,16983,16994,608,620,C672359D57E23B5DA742C0A789402EA441A05716A31E4C7C0B308C7D6849D308,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{36. Diferenciación de ideales y diferente}
P37,16995,17181,22173,22399,2D1449B6557E6903B148E47453B2B3861BE3C08F8C4FEB2E4ACD0C4269B16D19,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{37. Base normal en cuerpos sin ramificación superior}
P38,17182,17381,25968,26397,007CB680D7106403E57005C208EB8950E4D369D3803A9DF8706043215DDF8AD7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{38. En colaboración con R. Brauer y H. Hasse: Demostración de un teorema principal en la teoría de las álgebras}
P39,17382,17497,16970,17258,C9228C8539EC8F7E98EC49CA0F8E5F1C252901F844A12E5502D06CDC8CD7C79F,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{39. Sistemas hipercomplejos en sus relaciones con el álgebra conmutativa y la teoría de números}
P40,17498,18323,82380,83613,DCA331271EC9B8E6991ECFE2E7B2FC4FBDA7C79FBB463E49EBB561BCDAEB97CC,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{40. Álgebras no conmutativas}
P41,18324,18551,20844,21125,6B1971C4B98B8FDF2A39A2CF05C5BE766CD83C6DCDE4D6354ED8725908A5B7FB,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{41. El teorema del género principal para cuerpos numéricos relativamente galoisianos}
P42,18552,18807,19440,19674,951F834878E38FA2BF203C7BDEF630FBA67FA371B15F06C0525448D3B63ADBEF,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{42. Productos cruzados escindidos y sus órdenes maximales}
P43,18808,19622,91064,91882,2BB26166710C6F74D45BED4338F150AF5F4D7320DF775C4B645735232F5D4710,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{43. Diferenciación de ideales y diferente.}
BOOK_TITLE_INTRO,19623,19699,5019,5097,2671734EA020400B47052AA97EE593E70C354E858672D7596A98E3CDAC8D5ADD,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\LARGE\bfseries Álgebra de las magnitudes hipercomplejas\par}
BOOK_S01,19700,19727,1702,1725,1C0E463D97EDA9AE38011FB1386F2BED3E8A43790ACCC91A94B5948CE53E5F70,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 1. Definición de la representación directa}
BOOK_S02,19728,19737,973,984,3CBE105F07C52B8B6E6B9D72273983E7E76E7E5481FF423D1D3A1BAB319F5D65,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 2. Clases de representaciones}
BOOK_S03,19738,19755,1338,1363,1D56E46A5E2105009A762F8F66856DECA3BC4F7C2AF2FE92FDD006A75A5705E5,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 3. Módulos de representación}
BOOK_S04,19756,19910,6491,6558,C35728837EFE18123C3224AD91A2569191634B80842C63ABBD5C5D6BC86EE563,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 4. Relación entre los módulos de representación y las representaciones}
BOOK_S05,19911,19945,1608,1617,120931F380D76A7ED5FE6728BF3591EA92487C9387E375AA06D9451BA3F67F2A,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 5. Extensión de coeficientes de sistemas hipercomplejos}
BOOK_S06,19946,19969,2069,2091,28E0401363CCE079D0E18131853FBFA5F800DE4523E3C504C6EF743D27641E22,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 6. Las representaciones irreducibles de los sistemas conmutativos}
BOOK_S07,19970,19981,1543,1560,66406ED2FE221AA522047590BC23EFB90CFFA88F4EFA42918A4A28DCEE9254FB,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 7. Los isomorfismos de un cuerpo}
BOOK_S08,19982,19993,960,967,FCBD314A1E18803FE1F2295C48308B34F9BA2B9063C5BA605F87BB7F05E48106,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 8. El cuerpo de descomposición}
BOOK_S09,19994,20003,519,523,7CA99676680FDA3E199630D48CBD0DB9F6B55D968AB10C2188DF88D0C71560A8,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 9. Los isomorfismos de $Z_1$ sobre los $Z_i$}
BOOK_S10,20004,20007,557,560,73451903CB39634002AD39E51D19712EC4B86BE458F7B8F1F6325CABB611B428,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 10. El grupo de Galois}
BOOK_S11,20008,20145,6338,6362,00FE77C73FF03836894D09D1534C371448DC1FE87011AD50954452CAD04B706B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 11. El teorema fundamental de la teoría de Galois}
BOOK_S12,20146,20205,1461,1468,D5198828E3B2DC4D404BC759C219DE1C8FED88758A2A12F312D99ECAF00C6004,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 12. Significado formal de las componentes $e_i$}
BOOK_S13,20206,20293,3505,3538,106883759C21B5D7991A0037DB3E04796E7FACAF71E703F7B8B20A7AD5BFE08B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 13. El teorema general de prolongación}
BOOK_S14,20294,20340,1929,1939,020B3B38251C6FA94AF20E528E41B99A1320F7CBEDE6DD3BE951CCC1DBD6D94E,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 14. El anillo de grupo}\label{el-anillo-de-grupo}
BOOK_S15,20341,20385,3774,3812,4A378E97564BDC89F5B74E210AB449F306F6A910C2CEB94574B006FC9F30337F,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 15. Los anillos de grupo de los grupos abelianos}\label{los-anillos-de-grupo-de-los-grupos-abelianos}
BOOK_S16,20386,20413,837,841,1BF214B2C515357219F8CCEC2051C8A4DA64D3C83877B7AD8B38EEDAD701E0FC,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 16. Las relaciones de caracteres}\label{las-relaciones-de-caracteres}
BOOK_S17,20414,20534,7724,7769,E8831E330CD0BBF9FB9B0C43C179E346C172909D36D3236C4C6B0C6BE514C61B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 17. La teoría de Galois de los grupos abelianos}\label{la-teoria-de-galois-de-los-grupos-abelianos}
BOOK_S18,20535,20681,5641,5672,F37BB059535A046C9554EAB2F091E6867C9EA014ED1D4784E567A4FFE8E25E89,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 18. Un lema}\label{un-lema}
BOOK_S19,20682,20834,9643,9733,D4E782262508EFFCC56667A7CB42992547DB10CC68A68C3A3C6DFBB0CC39B559,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 19. Representaciones de sistemas hipercomplejos simples bilaterales en cuerpos de extensión no conmutativos de sus cuerpos de coeficientes}\label
BOOK_S20,20835,20999,14370,14496,9B12F88A2E6434E147E13450F814750F23434036899FF4BCDB7F6D862B3C233A,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 20. Cuerpos no conmutativos}\label{nichtkommutative-koerper}
BOOK_S21,21000,21085,7537,7581,E2F9F4441029D568DAC0AD45D496D3F1252C7CD1955DD5BDBC631EE0EBC0D951,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 21. La teoría de Galois de los cuerpos no conmutativos}\label{die-galoissche-theorie-der-nichtkommutativen-koerper}
BOOK_S22,21086,21181,8731,8771,FC787EADA031644A79CCC4822B1D17D78764A027732591339DDF6F6EFB9217BF,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 22. El grupo de los cuerpos con centro dado}\label{die-gruppe-der-koerper-mit-gegebenem-zentrum}
BOOK_S23,21182,21323,7629,7679,13A5EFCFDF17AB97AC2FC4FFB7A09272224FEF5C1478C09FB886576D7325327B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 23. Sistemas de factores}\label{faktorensysteme}
BOOK_S24,21324,21725,21848,21967,D614EBE4E740A960E925A70F77E804FBC2D02BEA887CB11685F395D561437486,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 24. Multiplicación de sistemas de factores}\label{multiplikation-von-faktorensystemen}
BOOK_S25,21726,22015,12351,12450,7C6B8E8D3E21A2A9245210B75DC9C8EB127E3510DBF49893EFA42B6B0DE3E30F,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 25. Representación normal de \(\mathfrak K_r\) con subcuerpo conmutativo maximal de Galois\protect\footnotemark}
BOOK_S26,22016,22071,3714,3749,9ED2D8E46D3703C079642165CDFE18CD18267929E0798B54654F8E119A414D33,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 26. Multiplicación de las representaciones cruzadas}\label{multiplikation-der-verschraenkten-darstellungen}
BOOK_S27,22072,22232,9647,9727,526A239F2233908FCE84EB2CBBDECE4FD0BD78BB195F5E683A772788F01F0818,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 27. Representación de los $\mathfrak K_r$ como productos cruzados}
BOOK_S28,22233,22364,10421,10476,DABCD2125EBAF3060FF17E163A1935D8916461D3091731B6FD7938F54A7EB4A6,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 28. Teorema del producto para sistemas de factores}\label{produktsatz-fuer-faktorensysteme}
BOOK_S29,22365,22391,1741,1761,C7FDD553FD50BC29BA3BF280B2657878B3EF49FFAFD8E600154C74DAB402CB11,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 29. Teorema del género principal en lo minimal}
BOOK_S30,22392,22476,4642,4686,71D86F797FA7742338F346D1669CF5CC6211C378FF2FBE414219B5430E42B6CE,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 30. Especialización a cuerpos de descomposición cíclicos}
BOOK_S31,22477,22522,4301,4366,E2665A57E8FB784D61754D88575E3B5B09597EB41FFCCEFFB19CDE2B39501DFA,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{§ 31. Aplicaciones del caso especial cíclico}
POST45_MAIN,22523,22674,13706,13850,5C9882E7E055F1F81DF1F281A31C319A55A39AC8ACB9534678318857C1CDE7C9,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\subsection*{Condiciones necesarias y suficientes de multiplicidad para el teorema fundamental de Noether sobre las funciones algebraicas.}\label{notwendige-und
POST45_NOETHER_SUPPLEMENT,22675,22767,7469,7535,FC76AF4212F0DB58C199E5F762ECE51804A107F4BA373980D2B21E0B03B31CBB,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"\subsection*{Suplemento, en colaboración con E. Noether\srcfn{13)}{La interpretación ideal-teórica se debe a E. Noether; la demostración subyacente de (5) y (6)"
BIBLIOGRAPHY,22768,22822,5632,5719,DBF358935F70251005320601D5804716C8103F4998608CFB83AB95F8830E89F0,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\begin{center}{\Large\bfseries Bibliografía}\end{center}
SHORT_NOTICES,22823,22841,1410,1429,3FF8E2662A0AD67A4C41090563972CA02D812E101FB69ABC45A6289B8B0D1BFC,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\begin{center}{\Large\bfseries Lista de comunicaciones breves y reseñas bibliográficas de Emmy Noether}\end{center}
BOOK_REVIEWS,22842,22851,984,990,125F22CF971A4E399C080C8453978E42FFC291B6056B70C00C7B5FF9BD6B0DED,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\begin{center}\emph{Reseñas bibliográficas publicadas en los Jahresberichte der Deutschen Mathematiker-Vereinigung}\end{center}
BOOKS_WITH_NOETHER,22852,22859,561,567,499F7A1B902A0877C88124D88C50B41420DA5215925BD9F9A215695763D1F428,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\begin{center}\emph{Libros realizados con la colaboración de Emmy Noether}\end{center}
