lanes,role,files,csv,json,md,txt,zip,other,next_action,claim_boundary
B3; Persianate/Tajik/R3,source-gated draft/pretranslation/interlinear support,2,2,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R2,blocker/gap/recovery,17,10,0,4,1,1,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R2,source-body/source-witness/source-use,7,7,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R2,source-gated draft/pretranslation/interlinear support,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R6,Fable/source-use/adverse/do-not-use ledger,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R6,blocker/gap/recovery,24,17,0,5,2,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R6,source-body/source-witness/source-use,24,20,0,3,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R6,source-gated draft/pretranslation/interlinear support,3,3,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R7,blocker/gap/recovery,2,2,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R7,branch-support artifact,10,5,0,5,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R7,manifest/checksum/validation,5,2,1,0,2,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R7,source-body/source-witness/source-use,3,3,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R7,source-gated draft/pretranslation/interlinear support,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R9,blocker/gap/recovery,9,6,0,2,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R9,source-body/source-witness/source-use,2,2,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; R9,source-gated draft/pretranslation/interlinear support,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Interlanguage/Fable support,Fable/source-use/adverse/do-not-use ledger,27,11,11,4,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Interlanguage/Fable support,source-body/source-witness/source-use,34,15,15,3,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Interlanguage/Fable support,source-gated draft/pretranslation/interlinear support,2,1,1,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
