"delta_id","source_event","input_artifact","input_artifact_sha256","input_artifact_bytes","row_type","evidence_tier","language","witness_id","source_title","source_url","source_type","local_path","sha256","bytes","text_or_sidecar_path","text_or_sidecar_sha256","text_or_sidecar_bytes","access_license_signal","topic_tags","evidence_status","result_class","exact_or_hard_hit_summary","context_hit_summary","hard_row_effect","source_canon_value_and_gap","next_gate","non_claim_boundary"
"R2-DELTA-E049-011","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Kyrgyz","KY-PDF-002","Kyrgyz mathematics curriculum PDF, edu.gov.kg","https://edu.gov.kg/media/files/c832083a-4db8-4b7f-89cc-315d5535f520.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-002_edu_gov_kg_math_curriculum.pdf","34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C","601365","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-002_edu_gov_kg_math_curriculum.txt","E4AE84B91831D06F9A935284CD7FC5E07A547095FEE450CFCEE52AD9CBC3000B","138234","public PDF from Kyrgyz education ministry domain; no blanket license clearance","Kyrgyz;mathematics curriculum;algebra;polynomial","pdf_captured_text_extracted","source_corpus_witness_context_only","","hard_row_exact_hits=0; context_hits=Көп мүчө=11; көп мүчө=4; көп мүчөлөр=2","no hard-row closure; source-corpus or gap provenance only","Captured Kyrgyz government mathematics-curriculum PDF. Extracted text contains Kyrgyz polynomial topic rows, but no exact Noetherian-ring or polynomial-ring hard-row witness.","Use as Kyrgyz algebra/polynomial source-corpus provenance only; exact ring hard rows remain open.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-012","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Kyrgyz","KY-PDF-003","Algebra 8 PDF, Bizdin.kg","https://new.bizdin.kg/media/books/Algebra-8-klass-211-bet..pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-003_bizdin_algebra_8.pdf","68011FC29EC571591C7C639C85E1B2B291844075D6CD8DF27A85F9D8202D3612","12053260","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-003_bizdin_algebra_8.txt","02FAF4F67B177F6EB34AB305A9832A28D4CBA5F786FD8B473AAE0AA934D69A28","105","public PDF from Bizdin.kg; no blanket license clearance","Kyrgyz;algebra;polynomial;textbook","pdf_captured_text_extraction_sparse","source_corpus_witness_ocr_needed","","hard_row_exact_hits=0; context_hits=0","no hard-row closure; source-corpus or gap provenance only","Captured Kyrgyz algebra 8 PDF. pdftotext sidecar is sparse, so OCR remains needed before row-level internal terms can be cited.","Run OCR before using internal rows; exact hard-row source still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-013","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","capture_blocked_or_low_access_lead","Turkmen","TK-WEB-001","ResearchGate Turkmen mathematical modeling monograph lead","https://www.researchgate.net/publication/390161055_YERASTY_SUYJI_SUW_YATAKLARYNY_MATEMATIKI_MODELIRLEMEK","web_capture_attempt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TK-WEB-001_researchgate_groundwater_math_modeling.html","33CF6F3D6FDC4B34B93DBDAE246DD89EB2D3F0EC2A4996E4C8C10E6E899A7C54","191","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TK-WEB-001_researchgate_groundwater_math_modeling.txt","1EED7C4F18D1C3625CFC2BF61256830B5DFCFA73CD33555575A12B6339F78C45","193","search-visible ResearchGate publication lead; direct local capture 403; no license clearance","Turkmen;mathematical modeling;monograph;polynomial context","direct_capture_403","source_lead_capture_blocked","","hard_row_exact_hits=0; context_hits=0","no hard-row closure; source-corpus or gap provenance only","Current web search identifies a Turkmen mathematical-modeling monograph lead with polynomial/context snippets, but direct local capture produced only 403 and no usable local source text.","Need accessible PDF/text/source capture before using as source-corpus witness; exact ring hard rows remain open.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-014","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","event049_gap_summary","explicit_gap_summary","Tatar","E049-GAP-Tatar","Event 049 exact hard-row scan summary","","aggregate_gap_summary","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103","","0","","","0","derived from local Event 049 captures; no license clearance","Tatar;Noetherian ring;polynomial ring;hard blocker","exact_hard_row_zero_hits_in_event049_captures","gap_strengthened_not_closed","","event049_capture_rows=3; exact_hard_row_support_rows=0","hard blockers remain open/candidate-only as previously recorded","This event adds source-corpus provenance or capture-blocker evidence, but no exact Noetherian-ring or polynomial-ring source row for this language.","Need exact target-language mathematical source row, source package, or reviewer return.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-015","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","event049_gap_summary","explicit_gap_summary","Kyrgyz","E049-GAP-Kyrgyz","Event 049 exact hard-row scan summary","","aggregate_gap_summary","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103","","0","","","0","derived from local Event 049 captures; no license clearance","Kyrgyz;Noetherian ring;polynomial ring;hard blocker","exact_hard_row_zero_hits_in_event049_captures","gap_strengthened_not_closed","","event049_capture_rows=3; exact_hard_row_support_rows=0","hard blockers remain open/candidate-only as previously recorded","This event adds source-corpus provenance or capture-blocker evidence, but no exact Noetherian-ring or polynomial-ring source row for this language.","Need exact target-language mathematical source row, source package, or reviewer return.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-016","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","event049_gap_summary","explicit_gap_summary","Turkmen","E049-GAP-Turkmen","Event 049 exact hard-row scan summary","","aggregate_gap_summary","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103","","0","","","0","derived from local Event 049 captures; no license clearance","Turkmen;Noetherian ring;polynomial ring;hard blocker","exact_hard_row_zero_hits_in_event049_captures","gap_strengthened_not_closed","","event049_capture_rows=1; exact_hard_row_support_rows=0","hard blockers remain open/candidate-only as previously recorded","This event adds source-corpus provenance or capture-blocker evidence, but no exact Noetherian-ring or polynomial-ring source row for this language.","Need exact target-language mathematical source row, source package, or reviewer return.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-017","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","control","CTRL-AGENTS","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","","","","local source-canon artifact/provenance file; no blanket license clearance","repository instructions","observed","control_anchor","","","no hard-row closure recorded","Repository instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-018","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","control","CTRL-COPILOT","copilot instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","","","","local source-canon artifact/provenance file; no blanket license clearance","repository instructions","observed","control_anchor","","","no hard-row closure recorded","Copilot instruction hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-019","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","control","CTRL-PARENT","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","4F3AA28CDC4BEB647AE4FD946DE0DE6D673B5EDC07099FC42D3B61D4E3675417","515209","","","","local source-canon artifact/provenance file; no blanket license clearance","parent ledger","observed","control_anchor","","","no hard-row closure recorded","Parent consolidation ledger hash anchor for Event 050.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-020","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","control","CTRL-STEERING","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","","","local source-canon artifact/provenance file; no blanket license clearance","source-canon steering","observed","control_anchor","","","no hard-row closure recorded","Source-canon-first steering record hash anchor.","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E050-021","E050","NOETHER_R2_PAN_TURKIC_KYRGYZ_SPARSE_PDF_OCR_GATE_20260705T1144.csv","C7D884AAA074C6A0BF5A058278730D907F7AF6F255FF37FC2B9B81E9CD32BAFE","14097","control_or_register","control_anchor","R2 Pan-Turkic","R2-REGISTER-BOUNDARY","normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","","","","local source-canon artifact/provenance file; no blanket license clearance","R2 register;hard blockers","observed","register_boundary_unchanged","","","no hard-row closure recorded","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","Need exact source rows or reviewer returns for hard blockers.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
