"lane","packet_path","csv_name","row_count","bytes","sha256"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","BRANCH_CHANGED_PATH_CATEGORY_ROWS_C0CB1DB1.csv","43","16691","B0D59BB81FB3431592AF71E512DF6128CC8BFF85FE2324D15778316F099E8C33"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","BRANCH_CHANGED_PATH_CATEGORY_SUMMARY_C0CB1DB1.csv","2","105","6CA77735F55094A39C922F5C3AEFD75AAA3EBB542241705AEBD7983CBE82D5AB"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","BRANCH_COMPARE_COMMITS_68E4432B_TO_C0CB1DB1.csv","1","558","6FECB209A58649573406B823A65E9B062AC3E7B2CD23E8212AC0721C0017CEFE"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","BRANCH_COMPARE_FILES_68E4432B_TO_C0CB1DB1.csv","43","10644","F4727634B35142B7FEB4AF65212B0D08413BB4113E5D2A01529BAE1039F83B93"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","CHILD_PACKET_CSV_ROW_COUNTS_C0CB1DB1.csv","115","44406","A9A9402497AC9B580B9053C9885D8BF74CCE4C287E3AB176F3A4042BF3EA8C34"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","CHILD_PACKET_INVENTORY_C0CB1DB1.csv","9","5216","E1FE995D4A4F56A90C544FE82BFD21013CFB8F310C30B884BFC59EC0A86ECA9E"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","EIGHT_LANE_SOURCE_GATE_ROUTING_C0CB1DB1.csv","8","3921","9CB318B1626000CB57D24BD617CB7FA3704A5213EBACCEEF2F17745C2DF64121"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","EXACT_BLOCKER_RECOVERY_ROWS_C0CB1DB1.csv","6","1896","05FC380FB306C56D471F154A33B57D60F8E27192F67B50BD5A9B7DABE83CCE60"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","MANIFEST.csv","15","1731","D581A1A3D674089817E108557B710685AE1AEAF82AB13B6E865478ADFFCBDA58"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","PACKET_MANIFEST_REPLAY_C0CB1DB1.csv","15","3086","2BE517156C0BDEDBDC944A36C103488F1E21D23982F8A17EB80B10685C124483"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","SIBLING_B3_HANDOFF_ROWS_C0CB1DB1.csv","2","456","CECA7BB41E9216F5690930C1A689D98275DC8951F4CC080BBFE8BBE5C7B1F65A"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","SOURCE_USE_GAP_FABLE_ADVERSE_LEDGER_C0CB1DB1.csv","6","3309","F8E83C31C0B5B2A0048AAC8EEC9D004974F29A57A73F906533A5473ADFC1983A"
