"gap_id","gap_class","source_row_id","owner_or_consumer","target_language_or_access_target","source_title","source_url","local_path","sha256_or_expected_hash","blocker_or_drift","route_or_action","r3_policy_hint","sidecar_decision","boundary","created_utc"
"R3-GAP-ACTION-019","arabic_external_pointer_live_drift","external_lane_pointer::AR-SRC-REJECT-013","Arabic RTL source-canon lane","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-REJECT-013: none","https://raw.githubusercontent.com/Ag-ilies/pfe/fbd0c804af7c2bf2d151251ad0b39a40dec21809/Content/02_Chapter1/Text/chapter1.tex","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ARABIC_EXTERNAL_POINTER_PAYLOAD_PROBE_20260704T210216Z\fetched\github_Ag-ilies_pfe_chapter1_false_positive.tex","expected=EA0D8192E487589ADFDE181DDA5E3A82A32AB867FD24308BCF94CD84FD709F8E; actual=F3AA052D1300715AD637B337FEBC2DB99C695073F55864C2B35413D372FA3CA6","Live fetch hash differs from external pointer; preserve as drift/blocker and do not replace owner-lane expected hash without B3 or owner-lane review.","record as manifest-only drift blocker","manifest_only_source_archive_until_B3_license_review","drift/blocker sidecar only; no raw payload publication","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-020","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Advanced Algebra course PDF","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Advanced Algebra course PDF","https://people.iut.ac.ir/sites/default/files/users/behboodi/course_files/advanced_algebra_dr._behboodi.pdf","outputs/source_canon_witness_cache_20260704/fa_iut_behboodi_advanced_algebra.pdf","B2BEDB1AA29693935B09445ED8D90910F27BDEEA7CA2F0BB5E3394F0150FDA40","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","external_lane_pointer::Advanced Algebra course PDF:manifest_hash_url_only_no_payload_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-021","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::PNU ring/module book preview","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","PNU ring/module book preview","https://press.pnu.ac.ir/book_30094.pdf","outputs/source_canon_witness_cache_20260704/fa_pnu_ring_module_book_30094.pdf","62FC1509AA543B70F2EFB461DA1871A3978D194DD8D79DFC480319B02702ED07","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","external_lane_pointer::PNU ring/module book preview:manifest_hash_url_only_no_payload_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-022","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Noncommutative prime ideals thesis PDF","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Noncommutative prime ideals thesis PDF","https://shahroodut.ac.ir/fa/thesis/files/somefiles/sf_QA37.pdf","outputs/source_canon_witness_cache_20260704/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdf","77C32EE8A31778858F2D2D05AC432661102B4E27A54ABA8BE0573DA299BFA335","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","external_lane_pointer::Noncommutative prime ideals thesis PDF:manifest_hash_url_only_no_payload_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-023","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Foundations of Algebra course guide","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Foundations of Algebra course guide","https://kntu.ac.ir/dorsapax/userfiles/file/FoundationsofAlgebra.pdf","outputs/source_canon_witness_cache_20260704/fa_kntu_foundations_of_algebra_course_guide.pdf","85DF283F559FB9F81406712A12A6C164A1937E9DAAFD3C4A0AB47FDF2D49C125","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-024","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Ø­Ø¯Ø³ Ø§ÙˆØ³Ù„Ù†Ø¯Ø±-Ø±ÛŒØªÙ† Ø¨Ø±Ø§ÛŒ Ø­Ù„Ù‚Ù‡â€ŒÙ‡Ø§ÛŒ Ú¯Ø±Ù†Ø´ØªØ§ÛŒÙ† Ø§Ø² Ø¨Ø¹Ø¯ Ú©Ø±ÙˆÙ„ Ø­Ø¯Ø§Ù‚Ù„ 2","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Ø­Ø¯Ø³ Ø§ÙˆØ³Ù„Ù†Ø¯Ø±-Ø±ÛŒØªÙ† Ø¨Ø±Ø§ÛŒ Ø­Ù„Ù‚Ù‡â€ŒÙ‡Ø§ÛŒ Ú¯Ø±Ù†Ø´ØªØ§ÛŒÙ† Ø§Ø² Ø¨Ø¹Ø¯ Ú©Ø±ÙˆÙ„ Ø­Ø¯Ø§Ù‚Ù„ 2","https://math-sci.ui.ac.ir/article_26915.html","outputs/source_canon_witness_cache_20260704/fa_ui_math_sci_auslander_reiten_gorenstein_rings_article_26915.pdf","PDF 9F15766508A213DD273DD58E6905047B0E61A47038C472DBA5D09C379EFC8FE3; HTML CD360D3B4B1AD6A065D074EC20B83D5A535ED997F182F3C1BECAA456DE3BB9BC","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-025","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Persian linear algebra 3Blue1Brown notes","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Persian linear algebra 3Blue1Brown notes","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","r3_normalized_witness::fa_github_sirejeff_repo_metadata:manifest_only_source_archive_until_B3_license_review | r3_normalized_witness::fa_github_sirejeff_source_zip:manifest_only_source_archive_until_B3_license_review | external_lane_pointer::Persian linear algebra 3Blue1Brown notes:manifest_only_source_archive_until_B3_license_review | r3_github_archive_probe::existing_master_fa_github_sirejeff_repo_metadata:manifest_only_source_archive_until_B3_license_review | r3_github_archive_probe::existing_master_fa_github_sirejeff_source_zip:manifest_only_source_archive_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-026","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Persian translation of selected chapters from Linear Algebra and Its Applications","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Persian translation of selected chapters from Linear Algebra and Its Applications","https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-027","persianate_owner_upload_policy_field_gap","owner_row::fa_IR::Persian Noether-topic TeX/arXiv source package","Persianate/Tajik owner lane - fa_IR only","Persian/Farsi (Iran)","Persian Noether-topic TeX/arXiv source package","","","","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-028","persianate_owner_upload_policy_field_gap","owner_row::prs_AF::Algebra - Abdullah Momand","Persianate/Tajik owner lane - prs_AF separate gate","Dari/Persian (Afghanistan)","Algebra - Abdullah Momand","https://ecampus-afghanistan.org/wp-content/uploads/2021/10/Algebra-Abdullah-Momand.pdf","outputs/source_canon_witness_cache_20260704/prs_af_ecampus_algebra_momand.pdf","5145F1EFA0AB4275AD3CBF03C0016A3362D5D7A6EDE3444FDE512719E813D8F4","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","external_lane_pointer::Algebra - Abdullah Momand:manifest_hash_url_only_no_payload_until_B3_license_review | r3_gap_refresh::prs_af_ecampus_algebra_abdullah_momand_pdf:manifest_hash_url_only_no_payload_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-029","persianate_owner_upload_policy_field_gap","owner_row::prs_AF::eCampus 369 Afghan university textbook list","Persianate/Tajik owner lane - prs_AF separate gate","Dari/Persian (Afghanistan)","eCampus 369 Afghan university textbook list","https://ecampus-afghanistan.org/list-of-369-published-textbooks-for-afghan-universities/","outputs/source_canon_witness_cache_20260704/prs_af_ecampus_369_textbook_list.html","E78A9FC816B597DA04F6817F93A77E3A6DDDBBD7A6F884BDBFDD4D8DEFAFAFAA","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","external_lane_pointer::eCampus 369 Afghan university textbook list:manifest_hash_url_only_no_payload_until_B3_license_review","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-030","persianate_owner_upload_policy_field_gap","owner_row::prs_AF::Discrete Mathematics","Persianate/Tajik owner lane - prs_AF separate gate","Dari/Persian (Afghanistan)","Discrete Mathematics","https://ku.edu.af/sites/default/files/2023-11/Discrete-mathematics.pdf","outputs/source_canon_witness_cache_20260704/prs_af_kabul_university_discrete_mathematics_2023-11.pdf","PDF 7FFE47055B54932151A862A1976D1D99AA1D30D241ED813753F6007ADD2AB3D4; text 3C69812198A648F1518AC47626316BC2F1C7386AA5E5D7AA7097D2A431D0A24A","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-031","persianate_owner_upload_policy_field_gap","owner_row::prs_AF::Dari TeX/arXiv/invariant-theory source packages","Persianate/Tajik owner lane - prs_AF separate gate","Dari/Persian (Afghanistan)","Dari TeX/arXiv/invariant-theory source packages","","","","Owner-lane witness row lacks explicit upload_policy/payload_policy/source_upload_policy field; R3 does not edit owner-lane files.","owner lane should add explicit upload/payload policy; R3 provides hint where rows overlap","","owner-lane repair action row; no payload decision from R3","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
