manifest_id,relative_path,absolute_path,source_use_label,language_bucket,file_role,extension,byte_count,sha256,source_use_label_note
CJK-PACKAGE-FILE-20260705-0042,source-files/korean_addendum/alstn2468__category-theory-for-programmers/part-3/09-algebras-for-monads.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\alstn2468__category-theory-for-programmers\part-3\09-algebras-for-monads.md,pointer-only,korean_addendum,zero-byte source-path placeholder,.md,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"recorded source path is zero-byte; retained as pointer-only, not body evidence"
CJK-PACKAGE-FILE-20260705-0043,source-files/korean_addendum/calofmijuck__algebra/algebra.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\algebra.tex,native-source-body,korean_addendum,literal external source body,.tex,3096,4DC3453CFA186DDB237A438EC9AF0795A77EC320CD626C08E8BDB32798FA5BE6,non-empty external source body
CJK-PACKAGE-FILE-20260705-0044,source-files/korean_addendum/calofmijuck__algebra/chap/01/01.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\chap\01\01.tex,native-source-body,korean_addendum,literal external source body,.tex,9131,8655797153006A2E958D4FBF276555E8FB0A73961E0325F4038DCF90150BE7EA,non-empty external source body
CJK-PACKAGE-FILE-20260705-0045,source-files/korean_addendum/calofmijuck__algebra/chap/01/02.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\chap\01\02.tex,native-source-body,korean_addendum,literal external source body,.tex,9197,364949F642FD3F7041117DCE92CA56505AE527BC68B55B2671C4D54228D5FFBB,non-empty external source body
CJK-PACKAGE-FILE-20260705-0046,source-files/korean_addendum/calofmijuck__algebra/chap/01/03.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\chap\01\03.tex,native-source-body,korean_addendum,literal external source body,.tex,9578,97ED9108E9E50E1C4B0482C7C6099C8DAC00A255C05D13EED61216C12BAE27EF,non-empty external source body
CJK-PACKAGE-FILE-20260705-0047,source-files/korean_addendum/calofmijuck__algebra/chap/01/04.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\chap\01\04.tex,native-source-body,korean_addendum,literal external source body,.tex,7653,765CA6EAEA17FE254A5B5CFACBCCA42D74B5EE1940EE22EF2D2D5997D5608F72,non-empty external source body
CJK-PACKAGE-FILE-20260705-0048,source-files/korean_addendum/calofmijuck__algebra/chap/01/05.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\calofmijuck__algebra\chap\01\05.tex,native-source-body,korean_addendum,literal external source body,.tex,1392,6D1531658EAD2E2C5243F354E5D048E5F39471425552D3E18BBB0235EEFAAF38,non-empty external source body
CJK-PACKAGE-FILE-20260705-0049,source-files/korean_addendum/gshstexsociety__examples/2015_Science_Research_Writing/2015_Science_Research_Writing.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\gshstexsociety__examples\2015_Science_Research_Writing\2015_Science_Research_Writing.tex,native-source-body,korean_addendum,literal external source body,.tex,36423,2418E081BB201D35C9B48693A8F11D32A4028CF70ED13B5F2B2A1C2554C1B81F,non-empty external source body
CJK-PACKAGE-FILE-20260705-0050,source-files/korean_addendum/gshstexsociety__examples/2016_GSHS_Linear_Algebra/final/Appendix.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\gshstexsociety__examples\2016_GSHS_Linear_Algebra\final\Appendix.tex,native-source-body,korean_addendum,literal external source body,.tex,1470,40778798CE3D37A5B767D750F755C3B583FA7308BEC2CCE9A57DBE7001F79AEB,non-empty external source body
CJK-PACKAGE-FILE-20260705-0051,source-files/korean_addendum/gshstexsociety__examples/2016_GSHS_Linear_Algebra/final/Ch3_Matrices.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\gshstexsociety__examples\2016_GSHS_Linear_Algebra\final\Ch3_Matrices.tex,native-source-body,korean_addendum,literal external source body,.tex,1392,554303F6D485DCF8FF96F1892730BD7654ECB8AFDD1CAB225D0C8B49E88E13CF,non-empty external source body
CJK-PACKAGE-FILE-20260705-0052,source-files/korean_addendum/gshstexsociety__examples/2016_GSHS_Linear_Algebra/midterm/Ch2_systems_of_linear_equations.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\gshstexsociety__examples\2016_GSHS_Linear_Algebra\midterm\Ch2_systems_of_linear_equations.tex,native-source-body,korean_addendum,literal external source body,.tex,26380,6EA160938CD19562A3A78B9FF34541CE682AE0E7E387D5E95EDE435706E59C59,non-empty external source body
CJK-PACKAGE-FILE-20260705-0053,source-files/simplified_chinese/arshtyi__Advanced-Algebra/Note/AdvancedAlgebra.cls,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\arshtyi__Advanced-Algebra\Note\AdvancedAlgebra.cls,native-source-body,simplified_chinese,literal external source body,.cls,3714,C87B9CF03102494A90B4D0730F86A0D1CA41B05504F00B565CDA1BF9ECD60E7D,non-empty external source body
CJK-PACKAGE-FILE-20260705-0054,source-files/simplified_chinese/arshtyi__Advanced-Algebra/Note/AdvancedAlgebra.sty,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\arshtyi__Advanced-Algebra\Note\AdvancedAlgebra.sty,native-source-body,simplified_chinese,literal external source body,.sty,30130,29E101CD716FF392EEC6597C9CA9AD24C5EF172A7430B6436486BF53D3107D66,non-empty external source body
CJK-PACKAGE-FILE-20260705-0055,source-files/simplified_chinese/arshtyi__Advanced-Algebra/Note/AdvancedAlgebra.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\arshtyi__Advanced-Algebra\Note\AdvancedAlgebra.tex,native-source-body,simplified_chinese,literal external source body,.tex,670,B93338B7AFFB98F7247E36BD82E7C9AA1902F5A10F260BB87B57DD364A3CEB34,non-empty external source body
CJK-PACKAGE-FILE-20260705-0056,source-files/simplified_chinese/arshtyi__Advanced-Algebra/Note/Macros.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\arshtyi__Advanced-Algebra\Note\Macros.tex,native-source-body,simplified_chinese,literal external source body,.tex,3178,6CC11754105CCDF1FE8543957D0D298973E3FDB14711ACDF33F5102E10A66363,non-empty external source body
CJK-PACKAGE-FILE-20260705-0057,source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-1.tex,native-source-body,simplified_chinese,literal external source body,.tex,63837,839AA307A40D4B5828DDD8831D4E41E769619ED6E632F094AF14AA98CFCF8A4B,non-empty external source body
CJK-PACKAGE-FILE-20260705-0058,source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-2.tex,native-source-body,simplified_chinese,literal external source body,.tex,47026,A8861763C8321599D9BB43D53C98A49875CFBA9576DCC010BB268184A9341FBB,non-empty external source body
CJK-PACKAGE-FILE-20260705-0059,source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-3.tex,native-source-body,simplified_chinese,literal external source body,.tex,113486,E3B9F43AE70565F813F679237A1AF17373D2AC34C9795F3BC44AEBDF2EA5A506,non-empty external source body
CJK-PACKAGE-FILE-20260705-0060,source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-4.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\ayhe123__algebra-lecturenote\1-4.tex,native-source-body,simplified_chinese,literal external source body,.tex,120030,2BB0428BF8FA0FF8BDF54C9AD6FB49950C9FB17D4B583259E6B0F713D2F882E3,non-empty external source body
CJK-PACKAGE-FILE-20260705-0061,source-files/simplified_chinese/DolveKD__Advanced-Algebra-Notes/Notes/elegantbook.cls,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\DolveKD__Advanced-Algebra-Notes\Notes\elegantbook.cls,native-source-body,simplified_chinese,literal external source body,.cls,50670,01C64C1E479D8A21E8CF5B7B6CF907449CAA5B5C8A6F8241C1812A77AB3A4B7F,non-empty external source body
CJK-PACKAGE-FILE-20260705-0062,source-files/simplified_chinese/DolveKD__Advanced-Algebra-Notes/Notes/note.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\DolveKD__Advanced-Algebra-Notes\Notes\note.tex,native-source-body,simplified_chinese,literal external source body,.tex,10462,93D626F5BE0215A65C663506637A663E567E106F3371AC4D47732F8A0968C0D4,non-empty external source body
CJK-PACKAGE-FILE-20260705-0063,source-files/simplified_chinese/DolveKD__Advanced-Algebra-Notes/README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\simplified_chinese\DolveKD__Advanced-Algebra-Notes\README.md,native-source-body,simplified_chinese,literal external source body,.md,420,524AE7CFEA06018ED9EEB6EA15C9C82EE5F9DEF8F05D35D318757191C976FBB1,non-empty external source body
