paper,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,english_sync_status
11,25196,25196,6113,6113,1.00000000,normalized-identical,0,0,0,0,0,6113,74f79e80046c72c20398b62d289f95051b1ceeed6e97e3e1f29bd4d0418c8c39,74f79e80046c72c20398b62d289f95051b1ceeed6e97e3e1f29bd4d0418c8c39,source-identical-no-delta-detected
12,18260,18260,4423,4423,1.00000000,normalized-identical,0,0,0,0,0,4423,fc0722ff6d995ed5ac0f99bcd1f7f81a56cb7def22701011a4d45ad939fcd3ea,fc0722ff6d995ed5ac0f99bcd1f7f81a56cb7def22701011a4d45ad939fcd3ea,source-identical-no-delta-detected
13,56901,56886,14467,14463,0.99979260,small-delta,4,1,5,0,0,14462,24bd84ea0712c53f11748a6ac0849419cdba42f06a504e322516e4d4d350add1,e7407ffe17ed7dc76a4c40f1a10406e02cb2ea7aff42c8663246e65b14b8036c,review-and-propagation-required
14,62726,62723,12794,12798,0.99929666,small-delta,7,5,2,5,6,12787,2429f1c6b6e62ade3e8be2a8047df7b913d0bad543aea8ceec83b96ea98074f0,f683b8254bb7dbfbe11392f889ce274e7b27f26033fbdcb3d6a2b8a7e3318c90,review-and-propagation-required
15,44842,45464,12323,12433,0.98909355,moderate-delta,143,124,16,64,66,12243,6db67f12b9dc916ca92184b83f5f59499605443411ab3404915e24673ad835a4,052f411b47dc7e7753512bb8353a0aee4a8eca9ed56842d6adbed0263a905749,review-and-propagation-required
16,16231,16231,4388,4388,1.00000000,normalized-identical,0,0,0,0,0,4388,22e3c37ef6a2566439b71eff84eb9ccd4ba57eed884806f611281c84acdd216d,22e3c37ef6a2566439b71eff84eb9ccd4ba57eed884806f611281c84acdd216d,source-identical-no-delta-detected
17,92387,92387,23122,23122,1.00000000,normalized-identical,0,0,0,0,0,23122,9cad58d0736f59724ee26819e4e003779b1641d466a990c937037caa80d9b639,9cad58d0736f59724ee26819e4e003779b1641d466a990c937037caa80d9b639,source-identical-no-delta-detected
18,2345,2345,531,531,1.00000000,normalized-identical,0,0,0,0,0,531,600412d53fde90c5b08c27298a28966d8a340d9f8ea030a4b37a1969d825dc4a,600412d53fde90c5b08c27298a28966d8a340d9f8ea030a4b37a1969d825dc4a,source-identical-no-delta-detected
19,129413,129344,30237,30280,0.99489400,moderate-delta,128,89,40,93,87,30104,b06a918ceec61499b2d5957ea185e884f35811165a7a52b701d7a1fbd7e3d0c3,53fba64adfd52811af5d3aab6dc3b1a4fb92c08fdabd42be600c6156a513a9ec,review-and-propagation-required
20,20514,20793,5590,5734,0.96043801,large-delta,109,143,69,83,153,5438,ed4ff7819b7fe13e902dff7286c8a781103830f3add3cc477f446177c5915c66,81ce8a027229cef7b7e5b97212270929d4169da22f20a4d0f48197c3869eeed6,review-and-propagation-required
21,9757,9757,2318,2318,1.00000000,normalized-identical,0,0,0,0,0,2318,aabe58368396414646aedd9107a485284cde284301ee96a4f47b780466f2f49e,aabe58368396414646aedd9107a485284cde284301ee96a4f47b780466f2f49e,source-identical-no-delta-detected
22,78928,78928,23035,23035,1.00000000,normalized-identical,0,0,0,0,0,23035,66cfa106e2c78f75709dd0258bb504c830cf3108ab333bf2f11fc5f20ff5fe2b,66cfa106e2c78f75709dd0258bb504c830cf3108ab333bf2f11fc5f20ff5fe2b,source-identical-no-delta-detected
23,22118,22118,4684,4684,1.00000000,normalized-identical,0,0,0,0,0,4684,fb79a1dcc462078a8e2aa5513010be5613bf3de185be89c79259694acef5c5f8,fb79a1dcc462078a8e2aa5513010be5613bf3de185be89c79259694acef5c5f8,source-identical-no-delta-detected
24,96620,96622,24240,24240,0.99991749,small-delta,2,0,0,2,2,24238,d12e5aea658c6716ec9c74a7e1000285f7485b23bf29d48da2db2923def08a39,86afbe0b66ff1615fed492fd99cc4b9d391609224e59c669ca3a16e929f30511,review-and-propagation-required
25,12934,12934,2765,2765,1.00000000,normalized-identical,0,0,0,0,0,2765,bae3854163565abffc2b29d32e8e2919b3dea0167b2e8f1ddd618a620bc000d2,bae3854163565abffc2b29d32e8e2919b3dea0167b2e8f1ddd618a620bc000d2,source-identical-no-delta-detected
26,990,981,173,170,0.99125364,moderate-delta,2,0,3,0,0,170,4b9744cec108ce7dc6c0d88353862326820d654c5d544e7ca5989684caeedafa,9ec1556cd294c5ac8270b00ad84f770f0fa73ae42d3f5c41836c944ffe305284,review-and-propagation-required
27,1599,1599,297,297,1.00000000,normalized-identical,0,0,0,0,0,297,95075fa5f573f775cc190996218af40685bef762e7c5592c69114c95765e140f,95075fa5f573f775cc190996218af40685bef762e7c5592c69114c95765e140f,source-identical-no-delta-detected
28,1363,1363,210,210,1.00000000,normalized-identical,0,0,0,0,0,210,aff5f11e95caabf075071bafdb06b2edead5c192cc90c0705bf5da9b6faacb3d,aff5f11e95caabf075071bafdb06b2edead5c192cc90c0705bf5da9b6faacb3d,source-identical-no-delta-detected
29,20864,20864,4865,4865,1.00000000,normalized-identical,0,0,0,0,0,4865,932868ecfe6a3ba06147737eff4961599b2da3fa9bdab94184776f50fb885858,932868ecfe6a3ba06147737eff4961599b2da3fa9bdab94184776f50fb885858,source-identical-no-delta-detected
30,105274,106113,24746,25022,0.98963189,moderate-delta,237,269,18,102,127,24626,1847032450f3dc8e45a6eb542fcd15b95ce8cc7554a7078bc31db3c918dcf124,7c10003b3f7719bdba5ec7bc69315f8f13783c2999a9e693052a6e39924f7dd6,review-and-propagation-required
31,79624,79623,18338,18337,0.99991820,small-delta,1,0,0,2,1,18336,c575f4db162ef03f8e094003e6d85e42b984cd4b8e79f1db6db9c74e56e5f81e,840b88712935716703a40c60bca72d7c7d120c64bee699f6079fa87ec772c1c2,review-and-propagation-required
32,22092,22088,5063,5061,0.99960490,small-delta,1,0,0,3,1,5060,ab5658ff409372cf8aeaae253ead4c5644a4a7b223851e52f2668edfa0b0121f,6a47254c11be4eaf4e16b594b2c63196e76eda82626f3987310679b88c28a287,review-and-propagation-required
33,9252,9252,1699,1699,1.00000000,normalized-identical,0,0,0,0,0,1699,e0b5991e6852dccf6542480ac829f45de157e911c06253724042a228ecfdbfd6,e0b5991e6852dccf6542480ac829f45de157e911c06253724042a228ecfdbfd6,source-identical-no-delta-detected
34,120595,121423,30209,30484,0.99059200,moderate-delta,172,218,6,142,205,30061,a530115993fd92fa33bd03298b27ad995c579fcd677cdb6e2c7b915d6a3a1585,eb05a8145878d9ca375829bad1bd5dfa81c215beeeab5ffadb63397a7b51eb82,review-and-propagation-required
35,32364,32366,8648,8652,0.99953757,small-delta,2,0,0,2,6,8646,7a7a494e58e01ce84590f8e94c74ac5370c1567f0c8c668fc63f76d2ad0295e0,02000d0785645f524881218aadb644cf335bbecdcb02842e5cc623c9f73db899,review-and-propagation-required
36,565,565,102,102,1.00000000,normalized-identical,0,0,0,0,0,102,ec5e29fc39ab6cb1bf10c74bfc627f4881a9c5656368d59ce04da18b179a3576,ec5e29fc39ab6cb1bf10c74bfc627f4881a9c5656368d59ce04da18b179a3576,source-identical-no-delta-detected
37,21387,21387,4938,4938,1.00000000,normalized-identical,0,0,0,0,0,4938,516792b26d9688745bdd8412ab0289044e3608075597d67b48620a2136f3e043,516792b26d9688745bdd8412ab0289044e3608075597d67b48620a2136f3e043,source-identical-no-delta-detected
38,26191,26191,5930,5930,1.00000000,normalized-identical,0,0,0,0,0,5930,669d87c0596a66e78cef65904ddfaf9fc70d229e6ad7360370fc8375ce30820d,669d87c0596a66e78cef65904ddfaf9fc70d229e6ad7360370fc8375ce30820d,source-identical-no-delta-detected
39,18244,18244,3719,3719,1.00000000,normalized-identical,0,0,0,0,0,3719,b2817cd5586afd84ffa2341d6edddd02395cafff2e9eab135bc9a9020d88827c,b2817cd5586afd84ffa2341d6edddd02395cafff2e9eab135bc9a9020d88827c,source-identical-no-delta-detected
40,81152,81152,18134,18134,1.00000000,normalized-identical,0,0,0,0,0,18134,9baf6503db9b264e1f036924519d3e3435780f098aac0c56b3f98296435544af,9baf6503db9b264e1f036924519d3e3435780f098aac0c56b3f98296435544af,source-identical-no-delta-detected
41,26569,26569,6041,6041,0.99983446,small-delta,1,0,0,1,1,6040,915cbca3b237c5006b66963addf3fba709cbb80dc64939091712d0f1d29adda6,e5cd45688305d1271f1ff745c26ab9d1eec66ea1e868c585f2b16a236c82f7b7,review-and-propagation-required
42,23372,23372,5539,5539,1.00000000,normalized-identical,0,0,0,0,0,5539,875338c523211e11eecb04106fe5cbce89577472a691d19f3097c5cfa186064c,875338c523211e11eecb04106fe5cbce89577472a691d19f3097c5cfa186064c,source-identical-no-delta-detected
43,90835,90835,22446,22446,1.00000000,normalized-identical,0,0,0,0,0,22446,771185a2d84d5e6de334980a0b6d185c98c1983f2c5e33cd9abb316bf16adb47,771185a2d84d5e6de334980a0b6d185c98c1983f2c5e33cd9abb316bf16adb47,source-identical-no-delta-detected
