physical_page	printed_page	prompt_id	french_status	english_status	apparatus_status	french_record_sha256	english_record_sha256	apparatus_record_sha256	freeze_order
20	266	P04	COMPLETE	COMPLETE	COMPLETE	6312BA0CB3A74CECF64FF41B98C26108BAF8C083ED13BCE1F7944399046BFF8E	6E755CB286CEEEC03ECD8F5A720D39228051EC4A64728E8E5FA535C8B3414133	A708FF5B417D4CF21BB3EEB155CD2C3A37B4860304EDCB195B03E1225D4E4517	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
21	267	P04	COMPLETE	COMPLETE	COMPLETE	56EE810460D7E1280A78CE1988515823CD783E54830B6EB15E82C617464A06EB	A4FDA839FA5ED76419F19BA4CBEB3815873B1419EEDD2AAAD0968C9445AD2D28	0D6F62C3C04C6482CBC19B74ABBACBDC277C478C43ABE7A50632E59D0748ED0E	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
22	268	P04	COMPLETE	COMPLETE	COMPLETE	EDC8B69417ABC6EE76ED794FDB79E2FC678D0EE08E23D067D121CDFBD35DFCAC	A416554D6E617DB1824AAE27A605169F9E2C2E7B11497295C86DD7804E3B39C5	8A054408A29DE12C2078F75E33E4D2970AA03E354BC9F9633A9CF91B8CB8458D	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
23	269	P04	COMPLETE	COMPLETE	COMPLETE	C1CEEAD183E7CB3DE9C6ED579661386C2C1DA4DAF17FA575AFBCA8F8736ED2CD	433435427400830AB289257F1F9D7571E791D7B285F2B729D7CE89988D6DB0A5	C9BFE7F6AF7F7B5EE0AE51F2683F564956FD630C3C170A55B2EA0D7BA46B0438	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
24	270	P04	COMPLETE	COMPLETE	COMPLETE	6F15119B3A1F96A7470472972B33E044E6BAE037040A02D97B780DF1EE8B5BC5	385D357A0B7D5F68A6F86A4C2A3E928E9C549782D7C70562BF8A6C9314C6C54B	12FC2AAEFEBEBCD9D454258D0FFA5B7405302A94F741E58B45FF1587D5B398F0	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
25	271	P05	COMPLETE	COMPLETE	COMPLETE	05FDC3D56F190999155C955DB7C032AD8913E9E04154247B09ABB30DFB9BDB88	41D04D78E759AEFDBDB6A340314EDE59395BE682CF6EB8EDE6326D679903FBF7	4A45E594621285FEC7B3C383E6081BFD58E65CAFACFE597A497D7B5A511C14C6	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
26	272	P05	COMPLETE	COMPLETE	COMPLETE	59C857221C2FC228CC8186DA22584CA5C90ABA90D612835C6DCD7DF0EFC025DC	AB7C5F78210B0B5E4E4EFE3AC7CFB39D453F6F715F199270F3386419A4F34F0A	B27485806B3567614705D8974AA81D8170B05903A66E7073EBFE092341C1607C	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
27	273	P05	COMPLETE	COMPLETE	COMPLETE	C3CD14F7657795DE6755C3E86C492894D33DB01C3769E2737E0FC945E3FA0586	43D884C89F5D1127C630B9441C7928EEDEC8EF92BB7F3BCA64308D3E90800FC6	14AA9D061BBB87E37C0FB89577A04CA361C375E42802E6FDF84594B319940E1D	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
28	274	P05	COMPLETE	COMPLETE	COMPLETE	3DCF815E90673F5D1D54E0C7943F9F0166FF0F8687E3ABA91D5FB28C54343D69	6085B936EB1C9A18AA86863243E20EF301ED705567E4032E6FC0DFA08263D4D0	E1E1E139D06B4358AA39DE1DE6865A776FDFF5F417D42FB6A384E45C81A94B5D	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
29	275	P05	COMPLETE	COMPLETE	COMPLETE	3743B3D2719601D021ECF2EA8E03D819436976232BDCE06DCBA737F7527D2B90	BECC273265114F85120A3F4ECFAD476D2332C32F335CA848DE54961E801D6F57	4017812F6FF953270A0C3B69ED80083A463DFAAB746E52FAABAC51DFEE9CC857	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
30	276	P05	COMPLETE	COMPLETE	COMPLETE	46CEFD33AC3A999CE4E86C752A6764037558830721F6EDB84A92FA18B532A3D9	EDB7287C2BB7856BF38BEED96A540EB66D5F5DA18B9E60643B5805D2FD8DBC87	1F1916A8440C96A9333ABB59F8CDBA13F36DC78603BBDCC5027F9FA060ACCBA7	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
31	277	P06	COMPLETE	COMPLETE	COMPLETE	8F436A83A6372AD69ACBBBC13B6E3BD95F4DADE114C520BE71F6D5032AEA96D7	606FA6E38AA2B000879F60EE0450CFEDF9E85A944AE65B8A528B76A410FABB8F	0EE002436943F714D18408F749E925C9388302945C00876A2C2AA9248D1CA1CB	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
32	278	P06	COMPLETE	COMPLETE	COMPLETE	D4AB843C230BB32AC0C0E78CF86ABDFB1D001B7F0E4E8CB9A1FFE0CD364F2262	DC3D19D4396CF970CF3C9C713C9A166C7FEDC26B24E38D12CAA1C5916AFA7185	ED1D9CCA9B667E3CE2793D30371168EA30B0679502771BAFCAE1AA48B93B04C8	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
33	279	P06	COMPLETE	COMPLETE	COMPLETE	D781C5F50DF5AFB4FA0A8A9076594B7B32FB246B11C4C91F2FFA131FE1999A62	9C75EBEA127A67EDAA06F9052AC5799CBDEC73694DFA351C60975B43F75EB472	A16E7963F7E04E0A0C32883061CC8C5009D464DBB9147F35C7F3A4E78A925DC6	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
34	280	P06	COMPLETE	COMPLETE	COMPLETE	3DB847B4D2C965A95F0E5F7387FD59F066776B782B3F69547DA947CC2660EF7F	A2D17F501E55E012D284F4324C511F861B4A53BC459617EC346B83F0067ACD0A	3B10F83C2C0E33FF5752670741BB66D2B25032732D706EF4EC3365E3E2163979	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
35	281	P06	COMPLETE	COMPLETE	COMPLETE	6BD30ACF8D6F88BDADF9673D627B03B888A184BF26A4D2C5891699634C0EBB53	F6447087490E3628D880DE549C7B73A1F4DDE0E3EA7051B6A84267F9052DDA68	10C36C09041516B7160A7F3DE33573D54FF17150B3099B545D2AFE2B9FE986E3	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
36	282	P06	COMPLETE	COMPLETE	COMPLETE	E80D92C3DD9D23EE21CCEF2D8D221BEF4589B4912A2C8048D82C0FF934769E89	DE80657FAD6B64A172C4AF6552691BDE27D2D447DBA72B4A9765782CCBD89103	C08E50C266F7ABBBB669B80FE3B4404F7DFBC0E6A2E89EBFF90D72A5B61FFD75	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
37	283	P07	COMPLETE	COMPLETE	COMPLETE	81F2BA91B46FE19D8CA2E6F4DAEE7332DFA9BD0E50370D07D4DF47EC7CA4167E	DE073E9D5A8E09001EEC6DB2F689DE55DDCD9293F5354CCEA56A90070A0A47D2	4EE95F8342CBBAF884704361824F1B23BEEF3100FE2F9F87A498BBD5BD500371	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
38	284	P07	COMPLETE	COMPLETE	COMPLETE	B81C5C84A5FBA2E42F4ADF843C72A9AB5B9F9D9C5AC0D9EBEAB56B5148A520CD	00C7F3F7C789ED3E4CFD21558882D9F8B07BE9B991A32A3129067B853336A34F	4101F30CE4E3FF1E7E77843115318D20BAC24EBD7B4DBBD144EDE9F48D9A8682	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
39	285	P07	COMPLETE	COMPLETE	COMPLETE	121BAB2DC20BC25F8D536426D34248669170E48283BD8D6AA1F1873A50B31506	9D7A0C6C367D907924C56366ED6B7D92E2912C15C3EB8B1912034D7639F13475	CC3755FD899E81D9EAF294B4381E30419A2F30905B6404649AE750A03254EF60	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
40	286	P07	COMPLETE	COMPLETE	COMPLETE	985B4F045AA627B5E543BB6EAAB959D2F90FE98D5B6FE40B3D9029982A3B6F75	B337B1F46FE1D0FB39CC769A5B482C0F48E544056ED54D683837FCF2D5DCB7D3	288EA1FB2710BE0ACA8E893672ECCE0D9B0DD76BD954F3BE2DACFA6BD79FCDD1	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
41	287	P07	COMPLETE	COMPLETE	COMPLETE	361A8E36EB5F9A8CA698255F793F3B8B50D045436911BC9B9506072DE8379A02	25C25D73351BF20C39DE1975D43DB08E6ACCC09869249394FE258EC784C352FE	28D78B9327BAB8330A70B00CBC9F92BDC32FA98D55A32E7DD7512EBFE70E2B9F	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
42	288	P07	COMPLETE	COMPLETE	COMPLETE	4C3D38E99B4E72E983CF18C4DD2C04DEF3ECF52AF27FB35F0A0E6DFE6AD37BE3	FE1D4FE41E2F8A96A906F68F3CA127C6E7E62436598187240586F83894BBD533	7CA58AB6EFBC5D770DE87B504186E16915FA2128F26CC67D54F41AF909CA022A	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
43	289	P08	COMPLETE	COMPLETE	COMPLETE	C229F515068C5668267F5242997C30FCC761F86583A6E01D7298F7746B694345	BEBF5977AFD85F8DAC3D72E2675E6FDB01BFE1B6E2B196CCB7144F2110679BCB	DC11B992FF0CC26AB8DCE2B59F7053ABC6608F4F511BF05DD11E42468DE59CB0	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
