physical_page	article_page_index	printed_page	printed_page_display	collected_comparator_page	ias_comparator_page	prompt_id	source_sha256	disposition	copy_matter_disposition	major_marker	object_note
11	10	282	282	750	10	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
12	11	283	283	751	11	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 3; PRINTED 283	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
13	12	284	284	752	12	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
14	13	285	285	753	13	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
15	14	286	286	754	14	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
16	15	287	287	755	15	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 4; PRINTED 287	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
17	16	288	288	756	16	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
18	17	289	289	757	17	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 5; PROJECTION DIAGRAM (5.1.1); PRINTED 289	ONE_BIT_CCITT_ARTICLE_SCAN_WITH_PROJECTION_DIAGRAM_5_1_1
19	18	290	290	758	18	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	HAND-DRAWN LACETS/LOOPS FIGURE; PRINTED 290	ONE_BIT_CCITT_ARTICLE_SCAN_WITH_HAND_DRAWN_LACETS_FIGURE
20	19	291	291	759	19	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
21	20	292	292	760	20	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
22	21	293	293	761	21	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
23	22	294	294	762	22	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 6; PRINTED 294	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
24	23	295	295	763	23	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
25	24	296	296	764	24	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
26	25	297	297	765	25	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
27	26	298	298	766	26	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 7; PRINTED 298	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
28	27	299	299	767	27	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
29	28	300	300	768	28	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
30	29	301	301	769	29	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 8; PRINTED 301	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
31	30	302	302	770	30	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
32	31	303	303	771	31	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
33	32	304	304	772	32	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
34	33	305	305	773	33	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
35	34	306	306	774	34	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	BIBLIOGRAPHY BEGINS; PRINTED 306	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
36	35	307	307	775	35	P06	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	BIBLIOGRAPHY TERMINUS; SGA SIGLA; RECEIVED DATE; PRINTED 307	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
