id,language_group,language,title,role,url,local_reference,status_note
polish_mimuw_algebra2_galois,West Slavic,Polish,Algebra 2,Galois/splitting-field register control,https://www.mimuw.edu.pl/~aboj/algebra2/algebra_2.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_mimuw_algebra2_galois.pdf,primary local reference control
polish_mimuw_left_ideals_idempotents,West Slavic,Polish,Polgrupa klas sprzezonosci idealow lewostronnych algebry lacznej,left-ideal/idempotent associative-algebra control,https://mimuw.edu.pl/~amecel/prezentacja_Mecel.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_mimuw_left_ideals_idempotents.pdf,primary local reference control
slovak_abstraktna_algebra,West Slavic,Slovak,Abstraktna algebra ucebnica,Slovak okruh/teleso/grupa axis control,https://elea.sk/assets/abstraktna-algebra-ucebnica.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/slovak_abstraktna_algebra.pdf,primary local reference control
slovenian_uvod_v_algebro,South Slavic,Slovenian,Uvod v algebro,Slovenian kolobar/polje/algebra/homomorphism control,https://users.fmf.uni-lj.si/bresar/documents/UvodVAlgebro2018.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/slovenian_uvod_v_algebro.pdf,primary local reference control
slovenian_komutativna_algebra_noetherian,South Slavic,Slovenian,Komutativna algebra 2004/05 zakljucne naloge,Noetherian kolobar/modul control,https://users.fmf.uni-lj.si/kosir/poucevanje/0405/komalg-dnzak.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/slovenian_komutativna_algebra_noetherian.pdf,primary local reference control
serbian_belgrade_algebra_i_lecture9,South Slavic,Serbian,Algebra I predavanja 9,Serbian Cyrillic prsten/polje control,https://poincare.matf.bg.ac.rs/~zoran.petrovic/Algebra%28I%29-predavanja_9.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/serbian_belgrade_algebra_i_lecture9.pdf,primary local reference control
croatian_mathhr_algebra_structures_2024,South Slavic,Croatian,Algebarske strukture,Croatian prsten/polje/tijelo axis control,https://algprof.math.hr/wp-content/uploads/2025/03/AS-2024.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/croatian_mathhr_algebra_structures_2024.pdf,primary local reference control
croatian_pmf_split_prsteni,South Slavic,Croatian,Prsteni,Croatian ring/polynomial register control,https://mapmf.pmfst.unist.hr/~skresic/Algebra/Prezentacije/Prsteni.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/croatian_pmf_split_prsteni.pdf,primary local reference control
bulgarian_sofia_rings_lecture7,South Slavic,Bulgarian,Prasteni osnovni ponyatiya,Bulgarian ring/field Cyrillic register control,https://store.fmi.uni-sofia.bg/fmi/algebra/lect_notes_nenov/07.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/bulgarian_sofia_rings_lecture7.pdf,primary local reference control
bulgarian_sofia_noncommutative_body_problem,South Slavic,Bulgarian,Sample problems on rings Applied Math,Bulgarian noncommutative body/quaternion control,https://store.fmi.uni-sofia.bg/fmi/algebra/syllabuses/va1/Sample_Problems_Rings_ApplMath_2011.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/bulgarian_sofia_noncommutative_body_problem.pdf,primary local reference control
archive_org_supplement,mixed Slavic,mixed,Archive.org algebra supplement,secondary archival/register support,https://archive.org/,sources/interslavic_triangulation/20260624_slavic_math_reference/archive_org,lower-ranked supplement only
arxiv_2504_06816,method only,cross-linguistic,A Graph Diffusion Algorithm for Lexical Similarity Evaluation,possible future automated legibility diagnostic method,https://arxiv.org/abs/2504.06816,not downloaded into canonical tree,not terminology authority
arxiv_2403_18430,method only,cross-linguistic,Exploring language relations through syntactic distances and geographic proximity,possible future syntax-distance context,https://arxiv.org/abs/2403.18430,not downloaded into canonical tree,not terminology authority
arxiv_2601_18791,method only,cross-linguistic,Subword-Based Comparative Linguistics across 242 Languages Using Wikipedia Glottosets,possible future lexical/subword similarity context,https://arxiv.org/abs/2601.18791,not downloaded into canonical tree,not terminology authority
