"row_id","language","status","source_rank","title","access_license_bucket","license_signal","source_level","local_evidence_present","url","use_boundary","permission_claim","review_claim","translation_trigger","next_access_action"
"blocked_montenegrin_math_algebra_source","Montenegrin","local_fulltext_witness","primary_local_reference_plus_official_ects_control","Teorija kodiranja i konacna polja, UCG/PMF Podgorica 2017","official_or_bibliographic_public_access_no_reuse_clearance","public web PDF/HTML; reuse license not established; no license clearance claimed","University of Montenegro specialist thesis PDF plus extracted text, with UCG ECTS HTML control; no TeX/source package","True","https://vladimirbozovic.net/univerzitet/bozovic/wp-content/uploads/2018/09/Teorija-kodiranja-i-kona%C4%8Dna-polja-v2.pdf ; https://www.ucg.ac.me/SP_ECTS.php?oz_del=7&sif_del=1&sif_mat=2","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_serbian_belgrade_algebra_i_lecture9","Serbian","local_fulltext_witness","primary_local_reference","Algebra I predavanja 9","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://poincare.matf.bg.ac.rs/~zoran.petrovic/Algebra%28I%29-predavanja_9.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_slovenian_komutativna_algebra_noetherian","Slovenian","local_fulltext_witness","primary_local_reference","Komutativna algebra 2004/05: zakljucne naloge","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://users.fmf.uni-lj.si/kosir/poucevanje/0405/komalg-dnzak.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_slovenian_uvod_v_algebro","Slovenian","local_fulltext_witness","primary_local_reference","Uvod v algebro","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://users.fmf.uni-lj.si/bresar/documents/UvodVAlgebro2018.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_cuni_algebra_2021","Czech","local_fulltext_witness","primary_local_reference","Ucebni text Algebra 2020/21","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://karlin.mff.cuni.cz/~kala/2021alg/algebra21.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_cuni_noncommutative_body_thesis","Czech","local_fulltext_witness","primary_local_reference","Czech thesis reference using nekomutativni teleso","public_web_access_signal_no_reuse_clearance","local text contains possible license/copyright/ISBN signal; inspect source before reuse: Univerzita Karlova v Praze má právo na uzavření licenční smlouvy o užití této práce","PDF plus extracted text; TeX/source package not present in local canon","True","https://dspace.cuni.cz/bitstream/handle/20.500.11956/75721/BPTX_2014_1_11320_0_348573_0_141241.pdf?sequence=1","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_cuni_representation_idempotents","Czech","local_fulltext_witness","primary_local_reference","Vyznacne prvky grupovych okruhu","public_web_access_signal_no_reuse_clearance","local text contains possible license/copyright/ISBN signal; inspect source before reuse: že Univerzita Karlova má právo na uzavření licenční smlouvy o užití této práce / New York, 1977. ISBN 978-0-471-02272-5.","PDF plus extracted text; TeX/source package not present in local canon","True","https://dspace.cuni.cz/bitstream/handle/20.500.11956/127526/120389931.pdf?sequence=1","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_cuni_telesa_pole_note","Czech","local_fulltext_witness","primary_local_reference","Telesa, pole terminology note","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.karlin.mff.cuni.cz/~becvar/LA-dotaz3.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_karlin_commutative_rings_fields","Czech","local_fulltext_witness","primary_local_reference","Komutativni okruhy: Teorie teles a jeji aplikace","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.karlin.mff.cuni.cz/~ruzicka/komalg/telesa.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_czech_karlin_galois_splitting_field","Czech","local_fulltext_witness","primary_local_reference","Algebra 2: Rozkladove teleso","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.karlin.mff.cuni.cz/~stovicek/dl/19-20-ls/algebra2_04052020.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_impan_algebra_lecture3","Polish","local_fulltext_witness","primary_local_reference","Algebra z geometria: pierscienie, ciala i homomorfizmy","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.impan.pl/~pmh/teach/algebra/lectures/lecture3.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_mimuw_algebra2_galois","Polish","local_fulltext_witness","primary_local_reference","Algebra 2","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.mimuw.edu.pl/~aboj/algebra2/algebra_2.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_mimuw_left_ideals_idempotents","Polish","local_fulltext_witness","primary_local_reference","Polgrupa klas sprzezonosci idealow lewostronnych algebry lacznej","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://mimuw.edu.pl/~amecel/prezentacja_Mecel.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_mimuw_noncommutative_body","Polish","local_fulltext_witness","primary_local_reference","MIMUW forms notes with nieprzemienne cialo kwaternionow","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://www.mimuw.edu.pl/~torunczy/GAL/09-10/Sem2/VII.KW.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_uj_algebra1_noetherian","Polish","local_fulltext_witness","primary_local_reference","Algebra I","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://slawomir-cynk.u.matinf.uj.edu.pl/images/videos/AlgebraI.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_polish_uwr_algebra2_rings","Polish","local_fulltext_witness","primary_local_reference","Algebra II: Pierscienie","public_web_access_signal_no_reuse_clearance","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","PDF plus extracted text; TeX/source package not present in local canon","True","https://ii.uni.wroc.pl/~kosciels/algebra/pliki/alg2-03.pdf","Use as findability/source-canon evidence only; no reuse, approval, or review claim.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"mathref_slovak_abstraktna_algebra","Slovak","local_fulltext_witness","primary_local_reference","Abstraktna algebra ucebnica","cc_signal_web_text_not_publication_clearance","local text contains possible license/copyright/ISBN signal; inspect source before reuse: Licencia a právo na použitie / Celý dokument je k dispozícii zdarma pod licenciou Creative Commons BY-NC-SA [1].","PDF plus extracted text; TeX/source package not present in local canon","True","https://elea.sk/assets/abstraktna-algebra-ucebnica.pdf","Open web-text license signal may support inspection, but row remains candidate/non-publication unless separately reviewed.","none","none","none","retain local hash evidence; check access terms only if redistribution/reuse is requested"
"blocked_sorbian_lower_math_algebra_source","Sorbian Lower","bibliographic_control_content_blocked","bibliographic_math_terminology_control","Terminologija za pśedmjat matematika, Lower Sorbian/WITAJ official catalog control","third_party_or_mirror_not_clearance","official public catalog evidence plus third-party bibliographic lead; booklet content/license unavailable locally; no license clearance claimed","official WITAJ catalog PDF plus extracted text; terminology booklet body not cached; no algebra term content inspected","True","https://www.witaj-sprachzentrum.de/niedersorbisch/wp-content/uploads/sites/2/2024/02/Poskitk-ds-WEB.pdf ; https://www.yumpu.com/de/document/view/23246157/pdf-2569-kb-witaj-sprachzentrums","Findability lead only; do not treat as official source, license clearance, or canonical terminology authority.","none","none","none","seek official or permission-clean source before promotion"
"blocked_sorbian_upper_math_terminology_content","Sorbian Upper","bibliographic_control_content_blocked","bibliographic_math_terminology_control","Terminologija za predmjet matematika / Terminologie fuer das Fach Mathematik","official_or_bibliographic_public_access_no_reuse_clearance","official public catalog/source-list evidence only; booklet content/license unavailable locally; no license clearance claimed","official WITAJ catalog PDF plus Domowina/Sorbian Institute source-list PDFs and extracted text; no local booklet/corpus content hash","True","https://www.witaj-sprachzentrum.de/obersorbisch/wp-content/uploads/sites/3/2026/02/Poskitk-hs-WEB.pdf ; https://domowina-verlag.de/assets/pdf/34_LND_Lieferbare-Literatur_2022.pdf ; https://slavistik-portal.de/en/datenpool/sorbib-db.html?autor=Ku%C5%A1kec%2C+Lucija ; https://www.serbski-institut.de/wp-content/uploads/2022/02/Z%CC%8Co%CC%81rla-hornjoserbskeho-tekstoweho-korpusa.pdf","Use as source-canon evidence and terminology witness within audit; do not infer redistribution or translation permission.","none","none","none","verify source authority, access terms, or qualified review before any terminology mutation"
"candidate_bosnian_scribd_algebra_fulltext_2017","Bosnian","third_party_web_fulltext_candidate_not_promoted","candidate_fulltext_mirror","Algebra za kompjuterske nauke: grupa, prsten, polje, third-party Scribd mirror lead","third_party_or_mirror_not_clearance","Scribd-hosted third-party mirror; cached page signals All Rights Reserved; no license clearance, no official-source status, and no native review","third-party Scribd web mirror/preview; not an official PMF Sarajevo source and not a TeX/source package","True","https://www.scribd.com/document/696217010/Osnove-Opce-Algebre-Sa-Primjenama-Knjiga","Findability lead only; do not treat as official source, license clearance, or canonical terminology authority.","none","none","none","seek official or permission-clean source before promotion"
