review_sequence,occurrence_id,term_id,concept,language,source_candidate_sense_ids,surface_query,normalization_group,logical_source_id,record_id,source_sha256,license_status,locator_path,line_number,quote,quote_sha256,source_domain,source_evidence_tier,review_decision,accepted_sense_id,candidate_sense_ids,adverse_target,reason_code,review_note,evidence_context_class,evidence_family_id,family_role,cross_occurrence_id,review_report,review_report_sha256,review_authority,promotion_status,human_observation_count,pilot_claim
11,OCC-945F069751ED6784,T33,complement,it,T33-S1 | T33-S2 | T33-S3,complemento,T33:it:complemento,TRANSFER-hexwell_university_notes/it/algebra/forigo/algebra.tex-language-source-bodies/romance-germanic-baselines/bodies/italian/hexwell_university_notes/hexwell_university_notes_it_algebra_forigo_algebra.tex_algebra.tex,TRANSFER-0021,A1DB1D48D3C1A5AAE7426E8218D7EDB93A49CDD7297F61A861EDA292CEFD829E,unresolved_no_explicit_grant,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\italian\hexwell_university_notes\hexwell_university_notes_it_algebra_forigo_algebra.tex_algebra.tex,1539,"Il valore $(-1)^{i+j} \detm{A_{i,j}}$ è detto complemento algebrico di $a_{i,j}$. \\",4E535BFAA2762DB24AB8959077B67329817076F6849FEE49327864A987E57EAF,abstract_algebra,mechanical_context_candidate,rejected_wrong_sense,,,T33-form-admission,MATRIX_COFACTOR_UNMODELED,"Italian complemento algebrico is the signed minor/cofactor of a matrix entry. It is neither direct, set, nor orthogonal complement.",wrong_sense_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
12,OCC-3B2790D9171F7137,T33,complement,it,T33-S1 | T33-S2 | T33-S3,complemento,T33:it:complemento,WIKI-it-85128-146811610,WIKIHTML-IT-85128-146811610,8F11EAF0DEA8C71A97F4135C4A7B923E865D3C61E768C8AFAE92BD990F94CE05,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-85128-146811610.txt,547,Complemento (teoria dei gruppi),4ABC4C34EDBE61DD0CD7B708457F4E9B4B023A7FC93792A702FDF9FB1E9DCF9D,group_theory,mechanical_context_candidate,rejected_wrong_sense,,,T33-S1,GROUP_COMPLEMENT_UNMODELED,Bare navigation title Complemento (teoria dei gruppi) refers to the group-theoretic complement/semidirect-product concept. V7 T33-S1 explicitly requires a subobject completing another to a direct sum; the navigation title does not establish that narrower sense.,wrong_sense_source_context,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
13,OCC-1351B5D65CB3CD74,T35,congruence,es,T35-S1 | T35-S2 | T35-S3,congruencia,T35:es:congruencia,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,240,de $P\times P$ es llamada una relación de congruencia en P.,72CE615649A36DB4EEB1D1BFEC391AB774B69EB41DF35004073A30767F7C4FEE,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T35-S2,,,MONOID_CONGRUENCE_RELATION_DEFINITION,"Spanish definition says that an equivalence relation on a monoid which is also a submonoid of P×P is a congruence relation, and the following lines construct the quotient monoid. This exactly supplies operation compatibility.",running_body_semantic_match_internal,,,,review_t31_t35.md,F9CA9A4D39633E15807537A5580A6538C3FB3E6D6FABDA64AD16E5E8FBF63C05,codex_internal_semantic_review_not_human,not_promoted,0,False
14,OCC-C55CA95961752173,T36,divisibility,es,T36-S1,divisibilidad,T36:es:divisibilidad,WIKI-es-9303-172514148,WIKITEXT-ES-9303-172514148,9551103B656BF02CE03BE7ED701B67B4EBBFF345C17D41B0F2F50187E880C168,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\es\9303_172514148_Anillo_matemática.wikitext,9,"de la exploración de asuntos vinculados con la divisibilidad entre números enteros, del estudio simultáneo de divisibilidad de polinomios y hasta …",56816EAF9855B0D7245B187A489EA0EB71E856C352E42D783C672961BE58C445,ring_theory,mechanical_context_candidate,accepted_sense_match,T36-S1,,,INTEGER_POLYNOMIAL_DIVISIBILITY,Ring-history body explicitly discusses divisibility of integers and polynomials.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
15,OCC-9D99D9BCC82698B5,T36,divisibility,fr,T36-S1,divisibilite,T36:fr:divisibilite,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,TRANSFER-0014,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1712_04728v2\1712.04728v2_GoingFrench.tex,2009,"Les entiers naturels, munis de la relation de divisibilité,",194C449331EA95EFE425EF79329ED187BF1E04F200D8617F398645E6D1898050,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T36-S1,,,DIVISIBILITY_RELATION_NATURALS,Natural numbers are explicitly equipped with the divisibility relation.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
16,OCC-4319C50EC2EE8199,T36,divisibility,ca,T36-S1,divisibilitat,T36:ca:divisibilitat,WIKI-ca-41933-37220674,WIKITEXT-CA-41933-37220674,95F87E5056E424ADE187E62601BA6AD70CA86321D9FA79F0331F9EF0497BBEC7,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\ca\41933_37220674_Anell_matemàtiques.wikitext,101,"En l'estudi de divisibilitat per [[ideal (matemàtiques)|ideals]], s'utilitzen sovint els següents, que estan ordenats de manera …",603DAC86D56C333FDE76FDEF66847B567A182BB9F12311149691E12F9FB3B8FD,ring_theory,mechanical_context_candidate,held,,T36-S1,,IDEAL_DIVISIBILITY_DEFINITION_UNSTATED,"Related ring-theory body says `divisibilitat per ideals`, but does not state whether the modeled element relation or a distinct ideal-divisibility relation is intended.",held_semantic_ambiguity,HOLD-T36-CA-IDEAL-DIVISIBILITY-AMBIGUITY,single_semantic_ambiguity,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
17,OCC-9503AD323D4B9512,T36,divisibility,it,T36-S1,divisibilita,T36:it:divisibilita,WIKI-it-31716-145498082,WIKIHTML-IT-31716-145498082,226CC995643D3F1B325D1BD30D5BD66FA6B18141E2B5AFC2BAB34262C59D9A12,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-31716-145498082.txt,1134,Criteri di divisibilità,85ED7D31D1B12A05AF009E89962FA53B4485B347ADF4BE286357DC641C4768F6,field_theory,mechanical_context_candidate,held,,T36-S1,,NAVIGATION_TEMPLATE_ONLY,`Criteri di divisibilità` occurs only in an arithmetic navigation family.,held_navigation_or_template,FAM-T36-IT-DIVISIBILITY-NAV,template_primary_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
18,OCC-EB1B01CC7DF54531,T36,divisibility,it,T36-S1,divisibilita,T36:it:divisibilita,WIKI-it-33544-138537220,WIKIHTML-IT-33544-138537220,24A7B8E618BC73E1D22A334E7926DFCCD9EAA555005F276153ACF0855CFC9F64,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-33544-138537220.txt,615,divisibilità,A17FCFD76943432B11BCEAFB245392C930880ECAC9A17796E3A9FF989E169F1B,ring_theory,mechanical_context_candidate,accepted_sense_match,T36-S1,,,INTEGRAL_DOMAIN_DIVISIBILITY_DEFINITION,Body prose gives the modeled definition: one element divides another when the latter is its product with some element.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
19,OCC-CD5BC44BDA9E07D3,T36,divisibility,it,T36-S1,divisibilita,T36:it:divisibilita,WIKI-it-63266-146300127,WIKIHTML-IT-63266-146300127,E591880DF409832715E0F38F54C64C707FA32391DCB309B9FFDBBE6CD715A898,declared_cc_by_sa_4_0,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\search_text\it\WIKIHTML-63266-146300127.txt,827,Criteri di divisibilità,85ED7D31D1B12A05AF009E89962FA53B4485B347ADF4BE286357DC641C4768F6,module_theory,mechanical_context_candidate,held,,T36-S1,,DUPLICATE_NAVIGATION_TEMPLATE,Exact duplicate `Criteri di divisibilità` template row in a second page; not a second body attestation.,held_navigation_or_template,FAM-T36-IT-DIVISIBILITY-NAV,template_duplicate_location,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
20,OCC-A92E390B17EED1F1,T37,power,es,T37-S1 | T37-S2 | T37-S3,potencia,T37:es:potencia,TRANSFER-2209.02110v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2209_02110v1/2209.02110v1_monoides.tex,TRANSFER-0026,DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2209_02110v1\2209.02110v1_monoides.tex,1028,"$K_{x}=\sqrt{\fk{q}}$. De hecho, si $b\in \sqrt{\fk{q}}$, entonces alguna potencia de b pertenece a $\sqrt{\fk{q}}$, y entonces existe un $n\in \bb{N}$ tal …",5B0BC3828C9F343959AEEE01379E4F15C5B396E8D7F8610440D4AB09A410C45D,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T37-S1,,,MONOID_ELEMENT_POWER,A power of element `b` is used explicitly in a primary-ideal proof.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
21,OCC-EDF91E46E105A8B3,T37,power,es,T37-S1 | T37-S2 | T37-S3,potencia,T37:es:potencia,TRANSFER-2307.03598v1-language-source-bodies/romance-germanic-baselines/bodies/spanish/arxiv_2307_03598v1/2307.03598v1_Paper_D-modulos_CNMXXII.tex,TRANSFER-0027,7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,unresolved,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\spanish\arxiv_2307_03598v1\2307.03598v1_Paper_D-modulos_CNMXXII.tex,727,"irreducible. Caso contrario si $\lambda\in \mb{Z}$, existir\'a una potencia de $z$ que se anula y por tanto la acci�n de $\partial$ …",8083547E269B8B88C8127E50FADA10855A9633A70A3F47D4DE4FA18AC0FC1A00,module_theory,mechanical_context_candidate,accepted_sense_match,T37-S1,,,NILPOTENT_ELEMENT_POWER,A power of `z` vanishes; surrounding formulas display iterated element powers.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
22,OCC-FDB2E97B03050EF6,T37,power,es,T37-S1 | T37-S2 | T37-S3,potencia,T37:es:potencia,WIKI-es-47083-163965223,WIKITEXT-ES-47083-163965223,0CF37605E587E550DD4EB3390E8ED1632DBA20C91CC646B5702AAB6A37DC8D69,declared_cc_by_sa_4_0_project_terms_pending_page_match,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717\corpus\downloaded_wikimedia\es\47083_163965223_Álgebra_sobre_un_cuerpo.wikitext,58,"* [[Álgebra potencia-asociativa|Álgebras potencia-asociativas]], para las cuales requerimos que <math>x^{m}x^{n}=x^{m+n}</math>, donde <math>m,n\geq 1</math>. (aquí definimos …",58FFDE8FAF9C14FA20667A88F707C5D6C10BA0260164A27665E733EEE360C3DB,abstract_algebra,mechanical_context_candidate,accepted_sense_match,T37-S1,,,POWER_ASSOCIATIVE_RECURSIVE_DEFINITION,"Body explicitly defines `x^(n+1)=x x^n`, matching iterated element product.",running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
23,OCC-A61F0DE29F1D4202,T37,power,fr,T37-S1 | T37-S2 | T37-S3,puissance,T37:fr:puissance,TRANSFER-1712.04728v2-language-source-bodies/romance-germanic-baselines/bodies/french/arxiv_1712_04728v2/1712.04728v2_GoingFrench.tex,TRANSFER-0014,0C621CE96BE32CDABAA46C5AB8B14CEC4E43E5BBFC1EC6E6271BBF3945923BC7,arxiv_distribution_license_not_reuse_clear,C:\Users\Floris\Documents\Codex\2026-05-26\there-is-currently-an-ongoing-process\interlanguage_localization\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706\body_files\verified_romance_body_manifest\bodies\french\arxiv_1712_04728v2\1712.04728v2_GoingFrench.tex,1592,"Supposons que pour chaque $j$, $x_j$ divise une puissance de $y_j$",42BE6A1C2CD46C26D66FFFB62BAEFEEAB1998A2D39A89E3A8FEFF2B472F65515,mathematics_mixed,mechanical_context_candidate,accepted_sense_match,T37-S1,,,COMMUTATIVE_RING_ELEMENT_POWER,Elements divide powers of other elements in a commutative ring.,running_body_semantic_match_internal,,,,review_t36_t40.md,E49904C818014D4BB1E7CFD0D2501842706688A97436C247BC86AF5CD875D9F7,codex_internal_semantic_review_not_human,not_promoted,0,False
