"witness_id","target_family","language_access_target","source_title","source_format","source_url","local_path","bytes","sha256","text_or_aux_local_path","text_or_aux_sha256","video_or_dynamic_routes","source_archive_status","license_permission_signal","topic_language_access_tags","evidence_tier","ethics_authority_note","allowed_current_use","blocked_before","source_csv"
"R6-CR-P2-008","Creole/contact","Papiamento/Papiamentu - Aruba","Aruba bilingual education policy note","application/pdf","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Pa-un-Ensenansa-Bilingual-na-Aruba-beleidsnota-1988.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_papiamento_bilingual_education_policy_1988.pdf","3018364","237faf3704d9b106379c4bfe22286710438beb442a5dc0f100e54d4016b16cb8","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento-in-education policy witness; source-canon","T2 local PDF capture; source-authority/reuse review still required","policy/context source; not term witness; Use as Papiamento education-policy context only; exact math/manual PDFs still require download resolution and reviewer return.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-009","Creole/contact","Papiamento/Papiamentu - Aruba","Aruba integrated language policy stakeholder appendix","application/pdf","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Integraal-Taalbeleid-Bijlage-mei-2023.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_integraal_taalbeleid_bijlage_2023.pdf","6705741","d51701b0f50029b5a756f03b77b3770976b294125c08f807dfa20bf62785a3b2","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento/eigen onderwijs policy context; source-canon","T2 local PDF capture; source-authority/reuse review still required","policy/context source; not term witness; Use as Papiamento education-policy context only; exact math/manual PDFs still require download resolution and reviewer return.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-013","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","Suriname Vooruit met Taal multilingual source book","application/pdf","https://gov.sr/wp-content/uploads/2023/10/VOORUIT-MET-TAAL-Leerjr-8-Bronnenboek-Meertaligheid.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_vooruit_met_taal_leerjr8_bronnenboek_meertaligheid.pdf","851737","f6e0652b2c9ddf835e3c374fc67f1ed5f6c6c547b49ecb9119f6d799da0f6514","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official multilingual/Sranan/Okanisi school-language witness; source-canon","T2 local PDF capture; source-authority/reuse review still required","language/context witness; STEM exact witness still pending; Use as multilingual/Sranan context source; exact math/STEM witness still pending.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-014","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","Suriname official language context page","text/html; charset=UTF-8","https://gov.sr/suriname/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_gov_language_context.html","208970","9b50c123f707021acdfa32480c553cb32cfb7f9716000c647202bd2f07d6c058","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located in R6 evidence; captured PDF/HTML/context only","license/reuse pending; source-owner/reviewer return required","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official language context page mentioning Sranantongo and education language context; source-canon","T2 local HTML capture; source-authority/reuse review still required","policy/context source; not term witness; Use as multilingual/Sranan context source; exact math/STEM witness still pending.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-QA-SAR-003","Indigenous Americas","Aymara","Jakhukipawinaka 1 - Aymara. Fichas de trabajo de matematicas del 1st Primaria - Aimara","PDF with extracted text","https://repositorio.minedu.gob.pe/handle/20.500.12799/11963","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\downloaded_evidence\indigenous_american\minedu_aymara_jakhukipawinaka_matematicas_1primaria.pdf","34464079","702b3f1dcf4d949f653c696b58c22b5d060f1274ef9bd51f13a42516c9b5ea90","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\extracted_text\minedu_aymara_jakhukipawinaka_matematicas_1primaria.txt","39e26e672a84259362570a69a52786eda071684755a374c40b60e34a0f8eb1db","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; official PDF/text witness","openAccess CC-BY-4.0 per DSpace metadata; attribution sidecar still required before reuse","Aymara; EIB; school mathematics; numeracy; PDF; text extract; Peru Minedu","T2 exact PDF/text capture; T3 candidate official-local authority; T4 reviewer return missing; T5 attribution/reuse sidecar pending","Can this official EIB workbook be treated as source authority for Aymara numeracy/math packet planning? Crosswalk guard: Which terms or patterns, if any, should be compared with Quechua rows, and which should remain Aymara-only?","source pointer, exact-capture provenance, attribution planning, and reviewer questions only","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot","R6_QUECHUA_AYMARA_EIB_SOURCE_AUTHORITY_READER_20260701T134500Z.csv"
"R6-IA-P3-003","Indigenous Americas","Bolivia Quechua candidate","Curriculo base y curriculo regionalizado de la nacion quechua","application/pdf","https://www.minedu.gob.bo/files/publicaciones/upiip/cr-indigenaquechua.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T211500Z_r6_indigenous_americas_exact_download_resolver_pass3\captures\Curriculo_base_y_curriculo_regionalizado_de_la_nacion_quechua_Curriculo_base_y_curriculo_r.pdf","7751929","6ae6ed54d160805ca355600efdfea857ab1029f371dc808b968c56e291f04d9b","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located; candidate PDF only","license/reuse pending; source-owner/reviewer return required","Bolivia Quechua; curriculum; candidate exact source; PDF; local knowledge; math-access context","T2 candidate exact local source capture; T3/T4/T5 still missing","Create source-authority/reuse/reviewer request row before any excerpt, term, crosswalk, translation, or surface work.","candidate_exact_source_pointer_only","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","R6_INDIGENOUS_AMERICAS_EXACT_DOWNLOAD_RESOLVER_PASS3_20260701T211500Z.csv"
"R6-QA-SAR-001","Indigenous Americas","Quechua Central","1 yupana-Quechua Central. Fichas de Trabajo de Matematicas del 1st Primaria - Quechua Central","PDF with extracted text","https://repositorio.minedu.gob.pe/handle/20.500.12799/11978","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\downloaded_evidence\indigenous_american\minedu_quechua_central_1_yupana_matematicas_1primaria.pdf","43460173","2dd710ac1f78dd0efbfcdc2d031f7d2ef16bd477a525f4e9e23c11a99813e284","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\extracted_text\minedu_quechua_central_1_yupana_matematicas_1primaria.txt","973e5cf9ec61e8976bb935469b37720744da3f83801872ae3d323707b08753e6","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; official PDF/text witness","openAccess CC-BY-4.0 per DSpace metadata; attribution sidecar still required before reuse","Quechua Central; EIB; school mathematics; numeracy; PDF; text extract; Peru Minedu","T2 exact PDF/text capture; T3 candidate official-local authority; T4 reviewer return missing; T5 attribution/reuse sidecar pending","Can this official EIB workbook be treated as source authority for Quechua Central numeracy/math packet planning? Crosswalk guard: Which terms or patterns, if any, may be compared with Quechua Chanka without erasing Quechua Central?","source pointer, exact-capture provenance, attribution planning, and reviewer questions only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot","R6_QUECHUA_AYMARA_EIB_SOURCE_AUTHORITY_READER_20260701T134500Z.csv"
"R6-QA-SAR-002","Indigenous Americas","Quechua Chanka","1 yupana-Quechua Chanka. Fichas de Trabajo de Matematicas del 1st Primaria - Quechua Chanka","PDF with extracted text","https://repositorio.minedu.gob.pe/handle/20.500.12799/11979","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\downloaded_evidence\indigenous_american\minedu_quechua_chanka_1_yupana_matematicas_1primaria.pdf","43286073","006de1956e982cfef9e8c75d7a54c7b06b7745dc8561383070e24f7672c68d05","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\extracted_text\minedu_quechua_chanka_1_yupana_matematicas_1primaria.txt","0245389ad7ae0f007c24bc3b76e70f6af303beee0cfb7edf5a3bd28af425e3f6","","no_TeX_LaTeX_arXiv_or_eprint_source_archive_located_in_R6_evidence; official PDF/text witness","openAccess CC-BY-4.0 per DSpace metadata; attribution sidecar still required before reuse","Quechua Chanka; EIB; school mathematics; numeracy; PDF; text extract; Peru Minedu","T2 exact PDF/text capture; T3 candidate official-local authority; T4 reviewer return missing; T5 attribution/reuse sidecar pending","Can this official EIB workbook be treated as source authority for Quechua Chanka numeracy/math packet planning? Crosswalk guard: Which terms or patterns, if any, may be compared with Quechua Central without erasing Quechua Chanka?","source pointer, exact-capture provenance, attribution planning, and reviewer questions only","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot","R6_QUECHUA_AYMARA_EIB_SOURCE_AUTHORITY_READER_20260701T134500Z.csv"
"R6-ASL-SAR-001","Signed language","ASL","ASL-STEM home/category index","HTML source route plus video pointer metadata","https://aslstem.cs.washington.edu/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\asl\aslstem_home.html","66240","58c115cae26182c4ed173c46c0482ca5cf9451a8eb468cf16bf047547ad49741","","","category/index route only","no_TeX_LaTeX_arXiv_or_eprint_source_archive; video-first route evidence only","Does the site permit linking, embedding, screenshots, derived stills, or only external pointers? Captured footer/status must be checked before any media reuse.","ASL; STEM; video-first; equation; array; algebra-access; source-route; media-gate","T2 captured source route; T3 candidate scope; T4 reviewer and T5 media/reuse missing","Can this source be treated as a reliable ASL STEM route for packet planning, and what limits should be recorded? What variant, regional, educational-level, or community notes should a reviewer record for any later entry-level sign row?","route/category metadata and reviewer question only","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","R6_ASL_VIDEO_FIRST_SOURCE_AUTHORITY_READER_20260701T133500Z.csv"
"R6-ASL-SAR-002","Signed language","ASL","ASL-CORE Physics: Equation","HTML source route plus video pointer metadata","https://aslcore.org/physics/entries/?id=equation","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\asl\aslcore_physics_equation.html","30155","a9fdc95f9ed5d4ac20a3d0d1e2290d3a548a3fb32455691f3809ffec9dceeccd","","","https://player.vimeo.com/video/247330227","no_TeX_LaTeX_arXiv_or_eprint_source_archive; video-first route evidence only","May the Vimeo route be linked, embedded, quoted as metadata, screenshotted, or only externally referenced?","ASL; STEM; video-first; equation; array; algebra-access; source-route; media-gate","T2 captured source and video route; T3 candidate video scope; T4 reviewer and T5 media/reuse missing","Should this row be accepted as a candidate concept-video route, rejected, or split into variant/context rows? Record handshape/movement/location notes only if a qualified reviewer supplies them; do not infer from English gloss.","video pointer and reviewer/media question only","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","R6_ASL_VIDEO_FIRST_SOURCE_AUTHORITY_READER_20260701T133500Z.csv"
"R6-ASL-SAR-003","Signed language","ASL","ASL-CORE Computer Science: Array","HTML source route plus video pointer metadata","https://aslcore.org/computerscience/entries/?id=array","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\asl\aslcore_computerscience_array.html","26108","bf36cbb7c99b18ea36694830c64aa281be6942d96b6957909311500b746edaad","","","https://player.vimeo.com/video/283770387; https://player.vimeo.com/video/316576648","no_TeX_LaTeX_arXiv_or_eprint_source_archive; video-first route evidence only","May either Vimeo route be linked, embedded, quoted as metadata, screenshotted, or only externally referenced?","ASL; STEM; video-first; equation; array; algebra-access; source-route; media-gate","T2 captured source and video routes; T3 candidate video scope; T4 reviewer and T5 media/reuse missing","Should either video route be accepted for packet planning, split, rejected, or annotated with scope limits? Preserve disagreement/variant data as first-class ledger state rather than compressing both videos into one English gloss.","video pointers and reviewer/media questions only","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","R6_ASL_VIDEO_FIRST_SOURCE_AUTHORITY_READER_20260701T133500Z.csv"
"DGS-CAT-001","Signed language","DGS","Sign2MINT category count: Astronomie","dynamic/API/source/video metadata","https://sign2mint-searchcache.s3.eu-central-1.amazonaws.com/signCount.json","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\captures\sign2mint_signCount_20260701T193000Z.json","143","9500c8dd766e35734f7e768adfa7d87e5a74c4da8c377de405ed0bee6168a9dc","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive; dynamic app/API/video route metadata only","license/media/reuse pending; source-owner/reviewer return required","DGS; MINT; mathematics; API; Sign2MINT; SWU metadata; video-route; media-gate","T2 category-count metadata only; source-owner/reviewer return missing","Keep as neighboring MINT category context only.","category prioritization pointer only","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","R6_DGS_DYNAMIC_SOURCE_AUTHORITY_READER_20260701T193000Z.csv"
"DGS-CAT-002","Signed language","DGS","Sign2MINT category count: Biologie","dynamic/API/source/video metadata","https://sign2mint-searchcache.s3.eu-central-1.amazonaws.com/signCount.json","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\captures\sign2mint_signCount_20260701T193000Z.json","143","9500c8dd766e35734f7e768adfa7d87e5a74c4da8c377de405ed0bee6168a9dc","","","","no_TeX_LaTeX_arXiv_or_eprint_source_archive; dynamic app/API/video route metadata only","license/media/reuse pending; source-owner/reviewer return required","DGS; MINT; mathematics; API; Sign2MINT; SWU metadata; video-route; media-gate","T2 category-count metadata only; source-owner/reviewer return missing","Keep as neighboring MINT category context only.","category prioritization pointer only","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","R6_DGS_DYNAMIC_SOURCE_AUTHORITY_READER_20260701T193000Z.csv"
