"branch_head","ledger_source","language_gate","category","source_use_status","evidence_or_weight_basis","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","branch-weight","source-use/provenance/gap/draft-noncanonical","ensure branch-weight ledger rows cite source body/path/hash and use State C for Interslavic where applicable","Per-gate source witness rows only; no Arabic/Persian/Urdu/Ottoman bridge weighting."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","marginal-intelligibility","source-use/provenance/gap/draft-noncanonical","queue owner-lane review of marginal-intelligibility criteria before generated-draft terminology","No marginal-intelligibility promotion for R3; owner-lane review questions only."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","source-use","source-use/provenance/gap/draft-noncanonical","require source-canon/source-body path, hash, access label, and gap state before draft work","Draft rows retain source_file/context and witness rows carry hashes where available."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","adverse-evidence","source-use/provenance/gap/draft-noncanonical","block or flag candidate forms through adverse-evidence/do-not-use rows before term promotion","Do-not-use rows block cross-gate inheritance and generated-draft-as-witness misuse."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","normalization","source-use/provenance/gap/draft-noncanonical","route as normalization draft rule with source pointer and adverse-evidence check","RTL/script/register notes are scaffold support, not accepted terminology."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","marker-table","source-use/provenance/gap/draft-noncanonical","route as interlinear/marker scaffold support; no accepted bridge surface","Interlinear rows are semi-constructed support, not bridge/pilot surface."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","authority-boundary","source-use/provenance/gap/draft-noncanonical","preserve noncanonical/no-review/no-approval/no-completion labels in every owner lane","No review/approval/license/gate/final/source-certification/completion claim."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use Arabic rows as Persian/Farsi evidence."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use fa_IR rows as Arabic evidence."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use fa_IR rows as Dari/Tajik evidence."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use Urdu rows as Hindustani/Hindi evidence."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use Ottoman/Turkic provenance leads as Pan-Turkic witness bodies."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","","do-not-use/adverse","active boundary","block inheritance or promotion","Do not use generated drafts as native witness, accepted terminology, or review."
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","ar","do-not-use/adverse","active boundary","use only Arabic-gate source contexts; acquire fa_IR source rows independently","Arabic rows do not authorize Persian/Farsi rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","fa_IR","do-not-use/adverse","active boundary","use only fa_IR source contexts; acquire Arabic source rows independently","Persian/Farsi rows do not authorize Arabic rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","fa_IR","do-not-use/adverse","active boundary","keep prs_AF and tg_Cyrl_TJ source witnesses separate","fa_IR rows do not authorize Dari or Tajik rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","ur_Arab","do-not-use/adverse","active boundary","route only to Urdu owner unless separate Hindustani gate closes","Urdu rows do not authorize Hindustani/Hindi rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","ota_Arab","do-not-use/adverse","active boundary","keep literal Ottoman Arabic-script body recovery blocked until source body is captured","Ottoman/Turkic provenance does not authorize Pan-Turkic or modern Turkish translation rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","ug_Arab","do-not-use/adverse","active boundary","route only as Uyghur/Pan-Turkic-adjacent source evidence where independently gated","Uyghur rows do not authorize Pan-Turkic or Ottoman rows"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","branch_weight_ledger.csv","covered-as-evidence-routing-weights","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","not acceptance or completion score"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","marginal_intelligibility.csv","carried as not-promoted owner-review boundary","FABLE_BRANCH_WEIGHT_WITNESS_LEDGER.csv","no marginal-intelligibility promotion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","source_use_status.csv / source_documents.csv","covered-with-source-use/provenance/gap labels","SOURCE_USE_LABEL_ROWS.csv;SOURCE_BODY_SOURCE_WITNESS_STATUS.csv","own-gate only; no source certification"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","adverse/do-not-use ledger","covered-with-active-gate-boundaries","FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","no Arabic/Persian/Dari/Tajik/Urdu/Ottoman/Pan-Turkic inheritance"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","normalization / marker-table / formula-neighboring checks","covered-for-source-resolved rows; unresolved rows remain blockers","SOURCE_CONTEXT_NOTES_AR_FA_PERSIANATE_ADJACENT_LA.csv","draft/noncanonical only"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","generated-draft/noncanonical rows only after source/adverse checks","covered-for resolved rows","DRAFT_PRETRANSLATION_INTERLINEAR_SOURCE_RESOLVED_ROWS.csv","no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","adjacent eigen/linear-algebra source-context audit","covered as source-context audit","ADJACENT_EIGEN_LINEAR_ALGEBRA_ROW_AUDIT.csv","no cross-gate promotion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","blocker/recovery exact rows","covered; recovery remains open where source gaps remain","EXACT_BLOCKERS_AND_RECOVERY_SEARCHES.csv","blocker rows are not completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","R3_AUTHORITY_REQUIREMENT_RESPONSE_MATRIX.csv","","branch-delta/package context","covered as branch provenance","BRANCH_212DFB_DELTA_CONTEXT.csv","branch visibility is not review approval"
