"branch_head","language_gate","concept","target_rendering","term_alternatives_or_register_notes","formula_neighboring_usage_note","source_context_locator","source_resolution_status","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-37:utf16-105","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","المثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-37:utf16-103","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-3:line-38:utf16-102","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","matrix / matrix ring context","مصفوفة","source form only; no accepted terminology claim","Use only as a matrix or matrix-ring neighbor; not enough by itself for invariant-theory term promotion.","pdf-page-4:line-15:utf16-37","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring","الحلقة","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-1:line-15:utf16-90","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-5:utf16-22","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring","الحلقة","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-2:line-5:utf16-3","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-6:utf16-31","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring","الحلقة","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-2:line-7:utf16-34","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","حلقة نوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-2:line-8:utf16-46","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","نوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-2:line-8:utf16-51","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-8:utf16-72","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring","الحلقة","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-2:line-8:utf16-82","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","نوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-2:line-9:utf16-9","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-2:line-35:utf16-106","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal","مثالي","مثالي | المثاليات; Arabic-only support","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-38:utf16-60","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","الحلقة النوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","html/text-section-1:line-405:utf16-4","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring","نوثرية","حلقة نوثرية | الحلقة النوثرية | حلقات نوثرية; نوتيرية kept only as searched variant/adverse form","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","html/text-section-1:line-405:utf16-13","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","source-context term","المجال البروفري","source form only; no accepted terminology claim","Use only with the exact source context row.","html/text-section-1:line-405:utf16-39","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring","الحلقة السلسلية","source form only; no accepted terminology claim","Use only with the exact source context row.","html/text-section-1:line-405:utf16-86","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","Noetherian ring","نوتری","حلقه نوتری | حلقه نوتر | نوتری | نوتر; source-boundary alternatives only","Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","pdf-page-4:line-28:utf16-24","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-4:line-30:utf16-37","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","field","میدان","میدان | ميدان; Persian/Farsi only","Use only next to field/vector-space/scalar context in the cited Persian source row.","pdf-page-6:line-11:utf16-40","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","field","میدان","میدان | ميدان; Persian/Farsi only","Use only next to field/vector-space/scalar context in the cited Persian source row.","pdf-page-6:line-19:utf16-32","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-7:line-31:utf16-47","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","field","میدان","میدان | ميدان; Persian/Farsi only","Use only next to field/vector-space/scalar context in the cited Persian source row.","pdf-page-7:line-36:utf16-30","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-8:line-4:utf16-30","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","field","میدان","میدان | ميدان; Persian/Farsi only","Use only next to field/vector-space/scalar context in the cited Persian source row.","pdf-page-9:line-12:utf16-22","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-10:line-18:utf16-56","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","field","میدان","میدان | ميدان; Persian/Farsi only","Use only next to field/vector-space/scalar context in the cited Persian source row.","pdf-page-11:line-9:utf16-40","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-15:line-22:utf16-66","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-15:line-23:utf16-58","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-15:line-31:utf16-43","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-15:line-38:utf16-36","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-16:line-1:utf16-49","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-21:line-3:utf16-78","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-21:line-8:utf16-32","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-24:line-26:utf16-27","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-24:line-29:utf16-1","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-24:line-33:utf16-70","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-24:line-38:utf16-45","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-26:line-8:utf16-65","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-27:line-11:utf16-48","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ideal","ایدهآل","ایده‌آل | ایده آل | ایدهآل | ایدهال; spacing/normalization variants remain review-only","Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","pdf-page-27:line-16:utf16-48","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ring","حلقه","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-1:line-17:utf16-33","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","fa_IR","ring","حلقه","source form only; no accepted terminology claim","Use only with the exact source context row.","pdf-page-1:line-18:utf16-22","resolved-source-context","term/register and formula-neighboring support only; no accepted terminology"
