volume,source_pages,source_page_count,reader_pdf_start_page,reader_pdf_end_page,reader_pdf_pages,source_layer,pdf_or_source_path
I,276-287,12,266,278,13,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_276_287.pdf
I,288-300,13,279,288,10,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_288_300.pdf
I,301-350,50,289,332,44,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_301_350.pdf
I,351-375,25,333,350,18,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_351_375.pdf
I,376-388,13,351,359,9,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_376_388.pdf
I,389-400,12,360,367,8,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_389_400/cayley_vol01_pages389_400_suspect_draft.pdf
I,401-425,25,368,385,18,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_401_425.pdf
I,426-437,12,386,397,12,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_426_437.pdf
I,438-450,13,398,410,13,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_438_450/cayley_vol01_pages438_450_suspect_draft.pdf
I,451-500,50,411,440,30,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_451_500.pdf
I,501-525,25,441,457,17,2026-06-02 gap fill,sources/classical/cayley-volume-i-suspect-draft-reader-2026-06-02/gap_fills/pages_501_525/cayley_vol01_pages501_525_suspect_draft.pdf
I,526-545,20,458,470,13,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_526_545.pdf
I,546-573,28,471,488,18,2026-05-29 repaired slice source,sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_repaired_slice_sources_2026-05-29/sources_tex_Vol_I/cayley_vol01_pages_546_573.pdf
