term_id,source_term,target_term,sense,status,source_evidence,wordweb_link,alternatives_or_crosswalk,adverse_evidence,rationale
HG137,direkte Summe,summa directe,the internal direct-sum decomposition of the quotient into field summands,construction_candidate,R823:21295;21298,T16-S2 + C2-direct_sum,somme directe; suma directa; somma diretta,a direct product or an unqualified additive sum,Core and extension nodes jointly witness the exact direct-sum construction
HG138,Körper endlichen Grades über Omega,corps de grado finite super Omega,field summands of finite extension degree over Omega,construction_candidate_scope_locked,R823:21295,T02-S1 + T29-S3,corps de degré fini sur Omega; cuerpos de grado finito sobre Omega,finite cardinality of each field,The verified field and finite-degree senses exclude finite-cardinality drift
HG139,Summanden mit Omega isomorph,summandos isomorphe a Omega,each direct summand structurally isomorphic to Omega,construction_candidate_scope_locked,R823:21295,T19-S1 + T16-S2,sommants isomorphes à Omega; sumandos isomorfos a Omega,equality as subsets rather than isomorphism,The algebraic-closure step yields isomorphism and does not identify the summands literally
HG140,Komponenten der Einheit,componentes del elemento identitate,the idempotent components of the multiplicative identity in the displayed direct sum,construction_candidate_scope_locked,R823:21301,T60-S1,composantes de l'élément neutre; componentes del elemento identidad,arbitrary invertible elements under the unit sense T60-S4,The exact T60-S1 identity-element sense is used and the competing unit sense is rejected
HG141,t verschiedene irreduzible Darstellungsklassen,t classes distincte de representation irreducibile,exactly t distinct equivalence classes of irreducible representations,construction_candidate_scope_locked,R823:21303,T17-S1 + none_representation_class_not_in_wordweb_v10,t classes distinctes de représentations irréductibles; t clases distintas de representaciones irreducibles,t representatives assumed distinct without class equivalence,The class layer and irreducible qualifier remain explicit gaps around the verified representation sense
HG142,vom ersten Grad,de grado un,degree-one representations rather than field extensions of degree one,source_preserving_candidate_scope_locked,R823:21303;21305,none_representation_degree_not_in_wordweb_v10,de premier degré; de primer grado; di primo grado,finite extension degree T29-S3 or matrix rank T23-S1,No v10 sense encodes representation degree so no false link is asserted
HG143,Rang von Z_Omega/C,rango de Z_Omega/C,the free Omega-module rank t of the quotient displayed as t copies of Omega,construction_candidate_scope_locked,R823:21303,T23-S2 + T15-S2,rang du quotient; rango del cociente,matrix rank or generic unqualified order,The displayed direct-sum basis selects free-module rank while the quotient link records the factor object
HG144,jede Klasse enthält nur eine Darstellung,cata classe contene solmente un representation,each degree-one representation class has a single representation because scalar conjugation is trivial,construction_candidate_scope_locked,R823:21305,T30-S1 + T17-S1,chaque classe ne contient qu'une représentation; cada clase contiene una sola representación,unique only up to a nontrivial conjugacy relation,The source asserts literal singleton classes and supplies the conjugation equality
HG145,Transformation ersten Grades im kommutativen Körper,transformation de grado un in un corp commutativ,conjugation of a degree-one representation by a nonzero field scalar,source_preserving_analytic_candidate_scope_locked,R823:21305,T17-S1 + T02-S1 + none_conjugation_not_in_wordweb_v10,transformation d'une représentation de degré un; transformación de una representación de grado uno,a general change of basis that can alter matrix entries,The literal scalar equality controls the claim and no conjugation node is fabricated
HG146,homomorphe Abbildungen Theta_i,applicationes homomorphe Theta_i,operation-preserving maps from Z_Omega with the stated images,construction_candidate_scope_locked,R823:21307,T18-S1,applications homomorphes; aplicaciones homomorfas,isomorphisms or automorphisms not asserted in section 6,The verified homomorphism sense is exact and stronger map types are deferred to section 7
HG147,auf Teilringe von Omega,sobre subanellos de Omega,onto maps whose images are subrings of Omega,construction_candidate_scope_locked,R823:21307,T01-S1 + none_subring_not_in_wordweb_v10,sur des sous-anneaux de Omega; sobre subanillos de Omega,onto the whole field Omega or into an unspecified set,The ring node supports the algebraic type while subring and surjectivity remain explicit; sobre has living Spanish Portuguese and Catalan support and avoids the Spanish south false parse of sur
