audit_id,component_relpath,upstream_line,visible_locator_tex,normalized_locator,scope,section_context,context_cue,external_basis,audit_class,candidate_id,candidate_pattern_kind,candidate_visible_reference_tex,resolution_status,resolved_target_id,link_inserted
locator-audit-00088,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,390,6.5,6.5,e00,6,,,candidate_covered,reference-candidate-00087,parenthesized_locator,(6.5),resolved,sga6.e00.eq.6-5,yes
locator-audit-00089,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,391,6.6,6.6,e00,6,,,structural_definition_or_tag,,,,,,
locator-audit-00090,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,398,6.6,6.6,e00,6,,,candidate_covered,reference-candidate-00088,parenthesized_locator,(6.6),resolved,sga6.e00.eq.6-6,yes
locator-audit-00091,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,400,6.4,6.4,e00,6,,,candidate_covered,reference-candidate-00089,parenthesized_locator,(6.4),resolved,sga6.e00.eq.6-4,yes
locator-audit-00092,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,400,6.5,6.5,e00,6,,,candidate_covered,reference-candidate-00090,parenthesized_locator,(6.5),resolved,sga6.e00.eq.6-5,yes
locator-audit-00093,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,400,6.6,6.6,e00,6,,,candidate_covered,reference-candidate-00091,parenthesized_locator,(6.6),resolved,sga6.e00.eq.6-6,yes
locator-audit-00094,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,404,7.1,7.1,e00,7,,,structural_definition_or_tag,,,,,,
locator-audit-00095,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,410,7.2,7.2,e00,7,,,structural_definition_or_tag,,,,,,
locator-audit-00096,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,414,7.3,7.3,e00,7,,,structural_definition_or_tag,,,,,,
locator-audit-00097,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,448,0.74,0.74,e00,chapter-i-rings-formal-preliminaries,,,table_layout_dimension,,,,,,
locator-audit-00098,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,456,0.74,0.74,e00,chapter-ii-classes-of-coherent-algebraic,,,table_layout_dimension,,,,,,
locator-audit-00099,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,469,2.1,2.1,e00,1,,,candidate_covered,reference-candidate-00104,roman_locator,V 2.1,resolved,sga6.e05.def.2-1,yes
locator-audit-00100,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,469,2.4,2.4,e00,1,,,candidate_covered,reference-candidate-00105,roman_locator,V 2.4,resolved,sga6.e05.def.2-4,yes
locator-audit-00101,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,470,1.1,1.1,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00102,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,474,1.2,1.2,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00103,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,479,1.3,1.3,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00104,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,488,1.4,1.4,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00105,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,492,1.5,1.5,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00106,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,507,1.6,1.6,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00107,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,511,1.7,1.7,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00108,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,521,1.8,1.8,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00109,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,524,1.2,1.2,e00,1,,,candidate_covered,reference-candidate-00106,parenthesized_locator,(1.2),resolved,sga6.e00.eq.1-2.occ2,yes
locator-audit-00110,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,525,1.9,1.9,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00111,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,529,1.7,1.7,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00112,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,534,1.10,1.10,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00113,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,540,1.11,1.11,e00,1,,,structural_definition_or_tag,,,,,,
locator-audit-00114,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,547,1.5,1.5,e00,1,,,candidate_covered,reference-candidate-00107,parenthesized_locator,(1.5),resolved,sga6.e00.eq.1-5,yes
locator-audit-00115,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,561,3.3,3.3,e00,2,,,candidate_covered,reference-candidate-00108,roman_locator,VI 3.3,resolved,sga6.e06.thm.3-3,yes
locator-audit-00116,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,580,1.13,1.13,e00,2,,,structural_definition_or_tag,,,,,,
locator-audit-00117,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,585,1.13,1.13,e00,2,,,candidate_covered,reference-candidate-00111,parenthesized_locator,(1.13),resolved,sga6.e00.eq.1-13,yes
locator-audit-00118,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,601,1.1,1.1,e00,2,,,candidate_covered,reference-candidate-00114,named_object,Theorem 1.1,resolved,sga6.e00.thm.1-1,yes
locator-audit-00119,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,606,1.14,1.14,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00120,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,614,1.15,1.15,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00121,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,622,1.16,1.16,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00122,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,626,1.17,1.17,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00123,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,629,1.17,1.17,e00,3,,,candidate_covered,reference-candidate-00115,parenthesized_locator,(1.17),resolved,sga6.e00.eq.1-17,yes
locator-audit-00124,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,630,1.17,1.17,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00125,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,640,1.18,1.18,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00126,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,645,1.19,1.19,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00127,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,650,1.2,1.2,e00,3,,,candidate_covered,reference-candidate-00116,parenthesized_locator,(1.2),resolved,sga6.e00.prop.1-2,yes
locator-audit-00128,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,651,1.20,1.20,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00129,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,655,1.21,1.21,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00130,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,671,1.22,1.22,e00,3,,,structural_definition_or_tag,,,,,,
locator-audit-00131,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,674,1.22,1.22,e00,3,,,candidate_covered,reference-candidate-00117,parenthesized_locator,(1.22),resolved,sga6.e00.eq.1-22,yes
locator-audit-00132,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,676,1.22,1.22,e00,3,,,candidate_covered,reference-candidate-00118,parenthesized_locator,(1.22),resolved,sga6.e00.eq.1-22,yes
