audit_id,component_relpath,upstream_line,visible_subitem_tex,base_locator,subitem_label,candidate_id,candidate_pattern_kind,candidate_visible_reference_tex,resolution_status,resolved_target_id,link_inserted,coverage_status
subitem-reference-00011,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6043,1.1 (iii),1.1,iii,reference-candidate-00826,named_object,Theorem 1.1 (iii),resolved,sga6.e03.thm.1-1,yes,candidate_covered
subitem-reference-00012,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6045,1.1 (iii),1.1,iii,reference-candidate-00828,named_object,Theorem 1.1 (iii),resolved,sga6.e03.thm.1-1,yes,candidate_covered
subitem-reference-00013,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6107,1.1 (iii),1.1,iii,reference-candidate-00846,named_object,Theorem 1.1 (iii),resolved,sga6.e03.thm.1-1,yes,candidate_covered
subitem-reference-00014,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6107,1.1 (iii),1.1,iii,reference-candidate-00847,named_object,Theorem 1.1 (iii),resolved,sga6.e03.thm.1-1,yes,candidate_covered
subitem-reference-00015,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6151,2.2 (ii),2.2,ii,reference-candidate-00858,locator_subitem,2.2 (ii),resolved,sga6.e03.thm.2-2,yes,candidate_covered
subitem-reference-00016,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,6163,2.2 (ii),2.2,ii,reference-candidate-00860,named_object,Theorem 2.2 (ii),resolved,sga6.e03.thm.2-2,yes,candidate_covered
subitem-reference-00017,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,7510,(2.9 (i)),2.9,i,reference-candidate-01088,locator_subitem,(2.9 (i)),resolved,sga6.e04.para.2-9,yes,candidate_covered
subitem-reference-00018,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,9438,6.6.1(iii),6.6.1,iii,reference-candidate-01226,locator_subitem,6.6.1(iii),resolved,sga6.e05.prop.6-6-1,yes,candidate_covered
subitem-reference-00019,SGA6_sourcePDF001_525_English_Inherited_PartiallySourceSynchronized_fragment.tex,12186,2.7.1 (iv),2.7.1,iv,reference-candidate-01475,roman_locator,IV 2.7.1 (iv),external,,no,candidate_covered
subitem-reference-00020,SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex,111,5.4.1(ii),5.4.1,ii,reference-candidate-01638,roman_locator,IV 5.4.1(ii),external,,no,candidate_covered
subitem-reference-00021,SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex,284,5.4.1(ii),5.4.1,ii,reference-candidate-01659,roman_locator,IV 5.4.1(ii),external,,no,candidate_covered
subitem-reference-00022,SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex,1902,2.9(ii),2.9,ii,reference-candidate-01800,roman_locator,IV 2.9(ii),resolved,sga6.e04.para.2-9,yes,candidate_covered
subitem-reference-00023,SGA6_idx532_702_and_backmatter_English_Synchronized_body.tex,2271,17.12.1(c),17.12.1,c,reference-candidate-01850,roman_locator,IV 17.12.1(c),external,,no,candidate_covered
subitem-reference-00024,SGA6_idx608_615_English_SourceChecked_fragment.tex,151,2.1 (iii),2.1,iii,reference-candidate-01949,named_object,Theorem 2.1 (iii)),external,,no,candidate_covered
subitem-reference-00025,SGA6_idx608_615_English_SourceChecked_fragment.tex,164,2.7.1 (xiv),2.7.1,xiv,reference-candidate-01954,roman_locator,IV 2.7.1 (xiv),external,,no,candidate_covered
subitem-reference-00026,SGA6_idx608_615_English_SourceChecked_fragment.tex,180,5.1.10 (ii),5.1.10,ii,reference-candidate-01956,roman_locator,II 5.1.10 (ii),external,,no,candidate_covered
subitem-reference-00027,SGA6_idx625_635_English_SourceChecked_fragment.tex,300,1.3(i),1.3,i,reference-candidate-01990,locator_subitem,1.3(i),resolved,sga6.e13.prop.1-3,yes,candidate_covered
subitem-reference-00028,SGA6_idx625_635_English_SourceChecked_fragment.tex,332,1.3(ii),1.3,ii,reference-candidate-01991,locator_subitem,1.3(ii),resolved,sga6.e13.prop.1-3,yes,candidate_covered
subitem-reference-00029,SGA6_idx625_635_English_SourceChecked_fragment.tex,504,1.8(i),1.8,i,reference-candidate-01997,locator_subitem,1.8(i),resolved,sga6.e13.prop.1-8,yes,candidate_covered
subitem-reference-00030,SGA6_idx625_635_English_SourceChecked_fragment.tex,508,1.3(i),1.3,i,reference-candidate-01998,locator_subitem,1.3(i),resolved,sga6.e13.prop.1-3,yes,candidate_covered
subitem-reference-00031,SGA6_idx625_635_English_SourceChecked_fragment.tex,512,1.8(ii),1.8,ii,reference-candidate-01999,locator_subitem,1.8(ii),resolved,sga6.e13.prop.1-8,yes,candidate_covered
subitem-reference-00032,SGA6_idx636_646_English_SourceChecked_fragment.tex,62,1.3 (iii),1.3,iii,reference-candidate-02005,locator_subitem,1.3 (iii),resolved,sga6.e13.prop.1-3,yes,candidate_covered
subitem-reference-00033,SGA6_idx636_646_English_SourceChecked_fragment.tex,265,1.3 (i),1.3,i,reference-candidate-02014,locator_subitem,1.3 (i),resolved,sga6.e13.prop.1-3,yes,candidate_covered
subitem-reference-00034,SGA6_idx636_646_English_SourceChecked_fragment.tex,296,1.8 (i),1.8,i,reference-candidate-02016,locator_subitem,1.8 (i),resolved,sga6.e13.prop.1-8,yes,candidate_covered
subitem-reference-00035,SGA6_idx636_646_English_SourceChecked_fragment.tex,347,2.7 (ii),2.7,ii,reference-candidate-02021,locator_subitem,2.7 (ii),resolved,sga6.e13.lem.2-7,yes,candidate_covered
subitem-reference-00036,SGA6_idx636_646_English_SourceChecked_fragment.tex,371,2.7 (i),2.7,i,reference-candidate-02022,locator_subitem,2.7 (i),resolved,sga6.e13.lem.2-7,yes,candidate_covered
subitem-reference-00037,SGA6_idx636_646_English_SourceChecked_fragment.tex,454,1.4 (ii),1.4,ii,reference-candidate-02029,locator_subitem,1.4 (ii),resolved,sga6.e13.prop.1-4,yes,candidate_covered
subitem-reference-00038,SGA6_idx636_646_English_SourceChecked_fragment.tex,468,1.4 (i),1.4,i,reference-candidate-02030,locator_subitem,1.4 (i),resolved,sga6.e13.prop.1-4,yes,candidate_covered
subitem-reference-00039,SGA6_idx636_646_English_SourceChecked_fragment.tex,473,1.8 (i),1.8,i,reference-candidate-02031,locator_subitem,1.8 (i),resolved,sga6.e13.prop.1-8,yes,candidate_covered
subitem-reference-00040,SGA6_idx636_646_English_SourceChecked_fragment.tex,583, 8.10.5 (vi),8.10.5,vi,reference-candidate-02038,locator_subitem, 8.10.5 (vi),external,,no,candidate_covered
subitem-reference-00041,SGA6_idx636_646_English_SourceChecked_fragment.tex,583,\n11.2.6 (ii),11.2.6,ii,reference-candidate-02039,locator_subitem,\n11.2.6 (ii),external,,no,candidate_covered
subitem-reference-00042,SGA6_idx636_646_English_SourceChecked_fragment.tex,584, 8.5.2 (i),8.5.2,i,reference-candidate-02040,locator_subitem, 8.5.2 (i),external,,no,candidate_covered
subitem-reference-00043,SGA6_idx636_646_English_SourceChecked_fragment.tex,627,(1.13 (i)),1.13,i,reference-candidate-02044,locator_subitem,(1.13 (i)),resolved,sga6.e13.thm.1-13,yes,candidate_covered
subitem-reference-00044,SGA6_idx647_665_English_SourceChecked_fragment.tex,57,3.4 (i),3.4,i,reference-candidate-02046,locator_subitem,3.4 (i),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00045,SGA6_idx647_665_English_SourceChecked_fragment.tex,61,3.2 (i),3.2,i,reference-candidate-02048,locator_subitem,3.2 (i),resolved,sga6.e13.prop.3-2,yes,candidate_covered
subitem-reference-00046,SGA6_idx647_665_English_SourceChecked_fragment.tex,66,3.4 (i),3.4,i,reference-candidate-02049,locator_subitem,3.4 (i),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00047,SGA6_idx647_665_English_SourceChecked_fragment.tex,80,3.4 (ii),3.4,ii,reference-candidate-02051,locator_subitem,3.4 (ii),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00048,SGA6_idx647_665_English_SourceChecked_fragment.tex,91,3.4 (ii),3.4,ii,reference-candidate-02054,locator_subitem,3.4 (ii),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00049,SGA6_idx647_665_English_SourceChecked_fragment.tex,92,3.4 (i),3.4,i,reference-candidate-02055,locator_subitem,3.4 (i),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00050,SGA6_idx647_665_English_SourceChecked_fragment.tex,234, 4.7 (iii),4.7,iii,reference-candidate-02072,locator_subitem, 4.7 (iii),resolved,sga6.e13.thm.4-7,yes,candidate_covered
subitem-reference-00051,SGA6_idx647_665_English_SourceChecked_fragment.tex,282,4.6.1 (vi),4.6.1,vi,reference-candidate-02079,locator_subitem,4.6.1 (vi),external,,no,candidate_covered
subitem-reference-00052,SGA6_idx647_665_English_SourceChecked_fragment.tex,523,3.13\n(iii),3.13,iii,reference-candidate-02111,locator_subitem,3.13\n(iii),resolved,sga6.e13.thm.3-13,yes,candidate_covered
subitem-reference-00053,SGA6_idx647_665_English_SourceChecked_fragment.tex,582,4.6\n(i),4.6,i,reference-candidate-02117,locator_subitem,4.6\n(i),resolved,sga6.e13.thm.4-6,yes,candidate_covered
subitem-reference-00054,SGA6_idx647_665_English_SourceChecked_fragment.tex,586,3.4 (i),3.4,i,reference-candidate-02118,locator_subitem,3.4 (i),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00055,SGA6_idx647_665_English_SourceChecked_fragment.tex,593,3.4 (i),3.4,i,reference-candidate-02120,locator_subitem,3.4 (i),resolved,sga6.e13.lem.3-4,yes,candidate_covered
subitem-reference-00056,SGA6_idx647_665_English_SourceChecked_fragment.tex,602,4.6\n(i),4.6,i,reference-candidate-02125,locator_subitem,4.6\n(i),resolved,sga6.e13.thm.4-6,yes,candidate_covered
subitem-reference-00057,SGA6_idx647_665_English_SourceChecked_fragment.tex,632, 4.7 (iii),4.7,iii,reference-candidate-02128,locator_subitem, 4.7 (iii),resolved,sga6.e13.thm.4-7,yes,candidate_covered
subitem-reference-00058,SGA6_idx647_665_English_SourceChecked_fragment.tex,640,4.7 (iii),4.7,iii,reference-candidate-02130,locator_subitem,4.7 (iii),resolved,sga6.e13.thm.4-7,yes,candidate_covered
subitem-reference-00059,SGA6_idx647_665_English_SourceChecked_fragment.tex,652,4.6 (i),4.6,i,reference-candidate-02133,locator_subitem,4.6 (i),resolved,sga6.e13.thm.4-6,yes,candidate_covered
subitem-reference-00060,SGA6_idx647_665_English_SourceChecked_fragment.tex,705,4.6 (i),4.6,i,reference-candidate-02138,locator_subitem,4.6 (i),resolved,sga6.e13.thm.4-6,yes,candidate_covered
subitem-reference-00061,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,89,1.4(i),1.4,i,reference-candidate-02150,locator_subitem,1.4(i),resolved,sga6.e13.prop.1-4,yes,candidate_covered
subitem-reference-00062,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,152,1.6(i),1.6,i,reference-candidate-02155,locator_subitem,1.6(i),resolved,sga6.e13.prop.1-6,yes,candidate_covered
subitem-reference-00063,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,158, 6.5(ii),6.5,ii,reference-candidate-02156,locator_subitem, 6.5(ii),resolved,sga6.e13.lem.6-5,yes,candidate_covered
subitem-reference-00064,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,192,6.4(ii),6.4,ii,reference-candidate-02161,locator_subitem,6.4(ii),resolved,sga6.e13.thm.6-4,yes,candidate_covered
subitem-reference-00065,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,193,6.4(iii),6.4,iii,reference-candidate-02163,locator_subitem,6.4(iii),resolved,sga6.e13.thm.6-4,yes,candidate_covered
subitem-reference-00066,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,214,\n6.7(ii),6.7,ii,reference-candidate-02165,locator_subitem,\n6.7(ii),resolved,sga6.e13.thm.6-7,yes,candidate_covered
subitem-reference-00067,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,217,6.4(ii),6.4,ii,reference-candidate-02166,locator_subitem,6.4(ii),resolved,sga6.e13.thm.6-4,yes,candidate_covered
subitem-reference-00068,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,231,1.6(i),1.6,i,reference-candidate-02167,locator_subitem,1.6(i),resolved,sga6.e13.prop.1-6,yes,candidate_covered
subitem-reference-00069,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,242,(6.7(i)),6.7,i,reference-candidate-02168,locator_subitem,(6.7(i)),resolved,sga6.e13.thm.6-7,yes,candidate_covered
subitem-reference-00070,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,262,6.7(i),6.7,i,reference-candidate-02170,locator_subitem,6.7(i),resolved,sga6.e13.thm.6-7,yes,candidate_covered
subitem-reference-00071,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,263,1.8(i),1.8,i,reference-candidate-02172,locator_subitem,1.8(i),resolved,sga6.e13.prop.1-8,yes,candidate_covered
subitem-reference-00072,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,302,6.7(i),6.7,i,reference-candidate-02175,locator_subitem,6.7(i),resolved,sga6.e13.thm.6-7,yes,candidate_covered
subitem-reference-00073,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,323,6.4(iii),6.4,iii,reference-candidate-02176,locator_subitem,6.4(iii),resolved,sga6.e13.thm.6-4,yes,candidate_covered
subitem-reference-00074,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,417,4.5(ii),4.5,ii,reference-candidate-02182,locator_subitem,4.5(ii),resolved,sga6.e13.prop.4-5,yes,candidate_covered
subitem-reference-00075,fragments/SGA6_idx666_684_English_Reconciled_Prefix.tex,496,7.4(i),7.4,i,reference-candidate-02187,locator_subitem,7.4(i),resolved,sga6.e13.cor.7-4,yes,candidate_covered
